stem,seq,frame_idx,n_gt,n_pred_10_super,mean_conf_10_super,n_pred_25_super,mean_conf_25_super,n_pred_50_super,mean_conf_50_super,n_pred_75_super,mean_conf_75_super,top10_mean_conf_super,n_pred_all_super,mean_conf_all_super,n_pred_10_base,mean_conf_10_base,n_pred_25_base,mean_conf_25_base,n_pred_50_base,mean_conf_50_base,n_pred_75_base,mean_conf_75_base,top10_mean_conf_base,n_pred_all_base,mean_conf_all_base,ap5095_super,ap5095_base
0000_000000,0000,0,3,7,0.5263199210166931,5,0.6730710864067078,3,0.8125786781311035,3,0.8125786781311035,0.39433369040489197,165,0.034551460295915604,8,0.47796785831451416,5,0.6723500490188599,4,0.7414863705635071,3,0.7903670072555542,0.39987143874168396,167,0.035898249596357346,0.6301666666666667,0.5638333333333334
0000_000001,0000,1,3,12,0.46487706899642944,8,0.625244140625,6,0.7132142782211304,3,0.8369154930114746,0.5348560810089111,150,0.04740656167268753,13,0.44869452714920044,8,0.6220690011978149,7,0.6704736948013306,3,0.8103786706924438,0.5425503849983215,136,0.05632824823260307,0.5970000000000001,0.5970000000000001
0000_000002,0000,2,3,12,0.41104134917259216,7,0.5867937803268433,4,0.7583246827125549,3,0.8180446624755859,0.4712648391723633,157,0.04310233145952225,13,0.3916398584842682,7,0.5967952609062195,5,0.6906435489654541,3,0.7949771285057068,0.4767463803291321,152,0.0447244867682457,0.398,0.398
0000_000003,0000,3,3,10,0.4805825352668762,7,0.6186987161636353,5,0.7153723835945129,1,0.8488718867301941,0.4805825352668762,128,0.04803793132305145,8,0.4896584451198578,5,0.6951201558113098,5,0.6951201558113098,1,0.8451420664787292,0.40990686416625977,126,0.04260656237602234,0.33166666666666667,0.2985
0000_000004,0000,4,3,9,0.4214189350605011,5,0.6160566210746765,4,0.7051864266395569,2,0.7884616851806641,0.388582319021225,142,0.04134426265954971,12,0.31156301498413086,4,0.6321167945861816,3,0.7138707041740417,1,0.8263795971870422,0.352280855178833,162,0.03837193176150322,0.29435416666666664,0.31271428634971377
0000_000005,0000,5,4,12,0.39891499280929565,7,0.5508397817611694,4,0.6736146807670593,1,0.8473565578460693,0.4513676166534424,167,0.04129234701395035,15,0.2981124520301819,6,0.49531567096710205,3,0.6735239028930664,1,0.836965799331665,0.38418278098106384,172,0.0377822108566761,0.13358139534294605,0.1335111111477018
0000_000006,0000,6,3,10,0.35931724309921265,5,0.56485515832901,2,0.8010115623474121,1,0.8615413308143616,0.35931724309921265,173,0.03489770367741585,9,0.35923686623573303,5,0.546657383441925,2,0.7875137329101562,1,0.8492716550827026,0.3331321179866791,183,0.031403228640556335,0.2497899999544025,0.24939516124129296
0000_000007,0000,7,3,8,0.3550257980823517,4,0.5567659139633179,2,0.7417219877243042,1,0.8596731424331665,0.30274146795272827,158,0.0314628928899765,12,0.3111787438392639,6,0.48641476035118103,3,0.6664798259735107,1,0.8424311876296997,0.351181298494339,186,0.03121461346745491,0.1997586206831038,0.19952238802425562
0000_000008,0000,8,3,10,0.3357955813407898,5,0.5250215530395508,3,0.6985001564025879,1,0.849963903427124,0.3357955813407898,160,0.033720340579748154,13,0.31734970211982727,5,0.5716769099235535,3,0.7091142535209656,1,0.8472509384155273,0.3777380883693695,205,0.032729703933000565,0.20340573361422862,0.207528646081686
0000_000009,0000,9,3,7,0.42113223671913147,5,0.523705244064331,2,0.754668116569519,1,0.8473822474479675,0.3204444348812103,155,0.03160009905695915,12,0.33576664328575134,5,0.5790746212005615,3,0.6865619421005249,1,0.8454694151878357,0.3782103955745697,183,0.03479097783565521,0.22853571436274794,0.19988888890296222
0000_000010,0000,10,3,10,0.3757428824901581,5,0.5840680003166199,3,0.6857552528381348,1,0.8332324624061584,0.3757428824901581,163,0.03436679020524025,13,0.3374137878417969,6,0.5449948310852051,3,0.7056669592857361,1,0.8314175605773926,0.4011497497558594,198,0.03720292076468468,0.279115810021758,0.2743508063964546
0000_000011,0000,11,3,7,0.39625489711761475,4,0.5728077292442322,2,0.7571088075637817,1,0.8411341905593872,0.29871079325675964,155,0.026863647624850273,16,0.2956380248069763,6,0.5689355731010437,5,0.6272258758544922,1,0.83940589427948,0.40429869294166565,171,0.03842088207602501,0.2353767862217501,0.24359568804129955
0000_000012,0000,12,3,7,0.42648521065711975,5,0.5386428833007812,2,0.7602366209030151,1,0.833736002445221,0.3221267759799957,129,0.0360068678855896,9,0.4251484274864197,6,0.5574660301208496,4,0.6570745706558228,1,0.82420814037323,0.3922954201698303,163,0.03761710599064827,0.20629366897884754,0.2860595244239085
0000_000013,0000,13,3,5,0.4669038951396942,3,0.664240837097168,2,0.7558800578117371,1,0.8038552403450012,0.2634943425655365,111,0.030391130596399307,7,0.4319211542606354,5,0.532903790473938,3,0.6288584470748901,1,0.8174847364425659,0.32754403352737427,141,0.03463318198919296,0.25050675682350987,0.25017857147380707
0000_000014,0000,14,3,6,0.4301374554634094,3,0.7310951948165894,3,0.7310951948165894,1,0.8256115317344666,0.2927849590778351,130,0.03431256115436554,11,0.3002055883407593,4,0.5963617563247681,3,0.673835277557373,1,0.8181467056274414,0.32019516825675964,164,0.032957859337329865,0.21191666707349946,0.20931896566133945
0000_000015,0000,15,3,5,0.5177366137504578,4,0.6156799793243408,3,0.717967689037323,1,0.8127917051315308,0.2931647002696991,106,0.03579813614487648,6,0.4818146824836731,5,0.5553092956542969,3,0.664652943611145,1,0.8092162013053894,0.31438905000686646,126,0.03287847712635994,0.24561461889371278,0.2602444447409362
0000_000016,0000,16,3,10,0.3680896461009979,4,0.7001777291297913,4,0.7001777291297913,1,0.7938532829284668,0.3680896461009979,118,0.04318571463227272,11,0.34574344754219055,5,0.6074446439743042,3,0.7121602296829224,1,0.790071964263916,0.3701808452606201,129,0.041294850409030914,0.26045486217271535,0.27422115539107467
