stem,split,loss_super,box_super,cls_super,dfl_super,loss_base,box_base,cls_base,dfl_base,loss_diff,box_diff,cls_diff,dfl_diff,n_gt,n_pred_01_super,mean_conf_01_super,n_pred_05_super,mean_conf_05_super,n_pred_10_super,mean_conf_10_super,n_pred_25_super,mean_conf_25_super,n_pred_50_super,mean_conf_50_super,n_pred_75_super,mean_conf_75_super,top10_mean_conf_super,top20_mean_conf_super,top30_mean_conf_super,n_pred_all_super,mean_conf_all_super,n_pred_01_base,mean_conf_01_base,n_pred_05_base,mean_conf_05_base,n_pred_10_base,mean_conf_10_base,n_pred_25_base,mean_conf_25_base,n_pred_50_base,mean_conf_50_base,n_pred_75_base,mean_conf_75_base,top10_mean_conf_base,top20_mean_conf_base,top30_mean_conf_base,n_pred_all_base,mean_conf_all_base,tp_super,fp_super,fn_super,precision_super,recall_super,ap5095_super,tp_base,fp_base,fn_base,precision_base,recall_base,ap5095_base
000000,train,2.5901723206043243,0.4253380596637726,1.3419080972671509,0.8229261636734009,2.5553005933761597,0.4430254101753235,1.2836894989013672,0.828585684299469,-0.03487172722816467,0.017687350511550903,-0.05821859836578369,0.005659520626068115,1,2,0.45926547050476074,1,0.902543842792511,1,0.902543842792511,1,0.902543842792511,1,0.902543842792511,1,0.902543842792511,0.09551425278186798,0.04961920529603958,0.03412590175867081,277,0.005082476418465376,2,0.48112571239471436,1,0.9367363452911377,1,0.9367363452911377,1,0.9367363452911377,1,0.9367363452911377,1,0.9367363452911377,0.10001625120639801,0.05181561037898064,0.035581883043050766,271,0.005264654755592346,1,0,0,1.0,1.0,0.8955,1,0,0,1.0,1.0,0.8955
000001,train,2.9132875204086304,0.8009452819824219,1.187480092048645,0.9248621463775635,2.825311303138733,0.7460035681724548,1.1602221727371216,0.9190855622291565,-0.08797621726989746,-0.05494171380996704,-0.027257919311523438,-0.005776584148406982,3,6,0.35377752780914307,4,0.5145707726478577,3,0.6676585078239441,2,0.9136966466903687,2,0.9136966466903687,2,0.9136966466903687,0.2155218869447708,0.1097826138138771,0.0742344781756401,296,0.00895513966679573,9,0.23163053393363953,4,0.4928293526172638,2,0.9092042446136475,2,0.9092042446136475,2,0.9092042446136475,2,0.9092042446136475,0.20914605259895325,0.10716766119003296,0.07259812206029892,300,0.008688066154718399,2,0,1,1.0,0.6666666666666666,0.7296666666666667,2,0,1,1.0,0.6666666666666666,0.7130833333333333
000002,train,3.041833817958832,0.8324447274208069,1.386040449142456,0.8233486413955688,3.19522625207901,0.7571845650672913,1.6128095388412476,0.8252321481704712,0.15339243412017822,-0.07526016235351562,0.2267690896987915,0.0018835067749023438,1,3,0.3195962607860565,1,0.9226306080818176,1,0.9226306080818176,1,0.9226306080818176,1,0.9226306080818176,1,0.9226306080818176,0.09962098300457001,0.051242318004369736,0.03505247086286545,244,0.005682609975337982,3,0.3277410566806793,2,0.47547730803489685,1,0.8779012560844421,1,0.8779012560844421,1,0.8779012560844421,1,0.8779012560844421,0.10134629160165787,0.05244864150881767,0.0359555222094059,257,0.005493508651852608,1,0,0,1.0,1.0,0.796,1,0,0,1.0,1.0,0.796
000003,train,3.0331148207187653,0.33971431851387024,1.8763349056243896,0.8170655965805054,3.336230844259262,0.44248709082603455,2.0659289360046387,0.8278148174285889,0.3031160235404968,0.1027727723121643,0.18959403038024902,0.010749220848083496,1,6,0.33473294973373413,3,0.6444525122642517,3,0.6444525122642517,3,0.6444525122642517,2,0.8343241810798645,2,0.8343241810798645,0.20336806774139404,0.10393404960632324,0.0704617127776146,278,0.00906266551464796,11,0.15927493572235107,3,0.5269074440002441,3,0.5269074440002441,2,0.6857338547706604,2,0.6857338547706604,0,nan,0.1740000694990158,0.09051667898893356,0.06187213212251663,292,0.007828660309314728,1,2,0,0.3333333333333333,1.0,0.9949999999999999,1,1,0,0.5,1.0,0.8955
000004,train,2.6923890709877014,0.6867302060127258,1.2092434167861938,0.7964154481887817,2.863225281238556,0.7140944600105286,1.337572693824768,0.8115581274032593,0.1708362102508545,0.027364253997802734,0.12832927703857422,0.015142679214477539,2,7,0.37779730558395386,4,0.6405259370803833,4,0.6405259370803833,3,0.8105918169021606,3,0.8105918169021606,2,0.9001919031143188,0.2667487859725952,0.135542631149292,0.09137307852506638,300,0.010558928363025188,11,0.27291589975357056,6,0.4830082356929779,5,0.5632597208023071,4,0.6769424676895142,3,0.809170663356781,2,0.9085192680358887,0.29889610409736633,0.15308144688606262,0.10361795127391815,300,0.011905588209629059,2,1,0,0.6666666666666666,1.0,0.8459811320826411,2,2,0,0.5,1.0,0.8955
000005,train,3.9428998231887817,1.2627453804016113,1.7795871496200562,0.9005672931671143,3.8417320251464844,0.998013973236084,1.9654532670974731,0.8782647848129272,-0.10116779804229736,-0.26473140716552734,0.185866117477417,-0.02230250835418701,1,3,0.3072561025619507,2,0.44486749172210693,2,0.44486749172210693,1,0.7436587810516357,1,0.7436587810516357,0,nan,0.09536094963550568,0.04935728758573532,0.033903077244758606,300,0.0048055499792099,7,0.12455432116985321,3,0.26179054379463196,1,0.6776298880577087,1,0.6776298880577087,1,0.6776298880577087,0,nan,0.08972584456205368,0.0480513833463192,0.033508025109767914,300,0.004852646496146917,1,0,0,1.0,1.0,0.6965,1,0,0,1.0,1.0,0.796
000006,train,3.684613823890686,1.303054928779602,1.2226557731628418,1.1589031219482422,3.5592061281204224,1.233563780784607,1.2040499448776245,1.121592402458191,-0.12540769577026367,-0.06949114799499512,-0.018605828285217285,-0.03731071949005127,4,24,0.20566575229167938,9,0.512711226940155,6,0.736135721206665,6,0.736135721206665,5,0.8329736590385437,3,0.8929736018180847,0.4651181399822235,0.24405737221240997,0.1660831868648529,300,0.01831108331680298,26,0.18163517117500305,6,0.7076255679130554,6,0.7076255679130554,5,0.8260995745658875,5,0.8260995745658875,3,0.903946578502655,0.44232940673828125,0.2324586659669876,0.1587231457233429,300,0.017929114401340485,4,2,0,0.6666666666666666,1.0,0.5826512838359921,3,2,1,0.6,0.75,0.6233205158552155
000007,train,2.323594331741333,0.7062064409255981,0.8338139057159424,0.7835739850997925,2.2522354125976562,0.7098786234855652,0.7568301558494568,0.7855266332626343,-0.07135891914367676,0.003672182559967041,-0.0769837498664856,0.0019526481628417969,4,21,0.16639167070388794,9,0.3567330539226532,5,0.5800827145576477,4,0.693008542060852,3,0.8388495445251465,3,0.8388495445251465,0.3257599472999573,0.17409446835517883,0.11890260875225067,300,0.013773364014923573,21,0.1778254359960556,7,0.4770434498786926,6,0.5404154062271118,4,0.7277320623397827,3,0.8611990213394165,3,0.8611990213394165,0.3471279740333557,0.18608465790748596,0.12658680975437164,300,0.014362391084432602,4,0,0,1.0,1.0,0.7470966518347125,4,0,0,1.0,1.0,0.7797157692464435
000008,train,2.1865537762641907,0.6952201128005981,0.6414183974266052,0.8499152660369873,2.0949111580848694,0.6147199273109436,0.6451097726821899,0.8350814580917358,-0.09164261817932129,-0.08050018548965454,0.003691375255584717,-0.014833807945251465,6,23,0.35260751843452454,13,0.6060757040977478,11,0.7006256580352783,10,0.7495966553688049,7,0.9046700596809387,6,0.9330164790153503,0.7495966553688049,0.4037671983242035,0.2723519504070282,300,0.02915297821164131,27,0.31746959686279297,14,0.5937421321868896,13,0.6336316466331482,11,0.7218052744865417,9,0.8141417503356934,6,0.9203366637229919,0.7637026906013489,0.4244430959224701,0.28644394874572754,300,0.030499977990984917,6,4,0,0.6,1.0,0.8401337841190397,6,5,0,0.5454545454545454,1.0,0.8678602949700268
000009,train,3.593117356300354,1.4498246908187866,1.195028305053711,0.9482643604278564,3.5244652032852173,1.3578522205352783,1.251883864402771,0.914729118347168,-0.06865215301513672,-0.0919724702835083,0.05685555934906006,-0.03353524208068848,3,8,0.2316851168870926,4,0.4384174942970276,3,0.5578181743621826,2,0.7238510847091675,2,0.7238510847091675,1,0.8853147029876709,0.1871444582939148,0.0961582139134407,0.06530957669019699,300,0.00810224749147892,10,0.18745481967926025,3,0.5778487920761108,3,0.5778487920761108,2,0.7877011895179749,2,0.7877011895179749,1,0.9037380814552307,0.18745481967926025,0.09689425677061081,0.0659010261297226,300,0.008125892840325832,2,0,1,1.0,0.6666666666666666,0.635139181328447,2,0,1,1.0,0.6666666666666666,0.6330406122642037
