# {"dataset": "bdd100k", "cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/bdd100k/cache_train.pt", "val_cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/bdd100k/cache_val.pt", "flops": "/home/hslee/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/bdd100k/flops_table.json", "epochs": 20, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 64, "group_dim": 64, "feat": "both", "mode": "regress", "margin": 0.0, "seed": 0, "device": "cuda:0", "out": "/home/hslee/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/bdd100k/policy.pt", "logdir": "/home/hslee/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/bdd100k/logs", "tag": "regress_bestval"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.01399	0.01399	0.00000	0.00000	0.0438	0.0427	0.01419
1	0.01277	0.01277	0.00000	0.00000	0.0447	0.0525	0.01404
2	0.01249	0.01249	0.00000	0.00000	0.0446	0.0448	0.01362
3	0.01234	0.01234	0.00000	0.00000	0.0447	0.0408	0.01361
4	0.01230	0.01230	0.00000	0.00000	0.0448	0.0452	0.01364
5	0.01222	0.01222	0.00000	0.00000	0.0448	0.0457	0.01389
6	0.01217	0.01217	0.00000	0.00000	0.0449	0.0391	0.01381
7	0.01215	0.01215	0.00000	0.00000	0.0448	0.0330	0.01354
8	0.01211	0.01211	0.00000	0.00000	0.0447	0.0403	0.01365
9	0.01203	0.01203	0.00000	0.00000	0.0449	0.0471	0.01399
10	0.01202	0.01202	0.00000	0.00000	0.0449	0.0468	0.01371
11	0.01196	0.01196	0.00000	0.00000	0.0448	0.0464	0.01377
12	0.01189	0.01189	0.00000	0.00000	0.0449	0.0532	0.01420
13	0.01187	0.01187	0.00000	0.00000	0.0450	0.0456	0.01372
14	0.01175	0.01175	0.00000	0.00000	0.0448	0.0510	0.01403
15	0.01171	0.01171	0.00000	0.00000	0.0454	0.0379	0.01401
16	0.01164	0.01164	0.00000	0.00000	0.0449	0.0469	0.01378
17	0.01156	0.01156	0.00000	0.00000	0.0452	0.0366	0.01355
18	0.01147	0.01147	0.00000	0.00000	0.0451	0.0497	0.01424
19	0.01136	0.01136	0.00000	0.00000	0.0451	0.0439	0.01412
