# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "input", "norm": "layer", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "margin": 0.0, "seed": 0, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/A3_layer/policy_input_s0.pt", "logdir": "method01_advantage_regress/outputs/kitti/A3_layer/logs", "tag": "A3_layer_s0"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04641	0.04641	0.00000	0.00000	0.1122	0.1470	0.04355
1	0.04336	0.04336	0.00000	0.00000	0.1084	0.1259	0.04310
2	0.04311	0.04311	0.00000	0.00000	0.1140	0.1017	0.04214
3	0.04313	0.04313	0.00000	0.00000	0.1056	0.1195	0.04235
4	0.04285	0.04285	0.00000	0.00000	0.1131	0.1063	0.04187
5	0.04242	0.04242	0.00000	0.00000	0.1128	0.1088	0.04155
6	0.04242	0.04242	0.00000	0.00000	0.1088	0.1291	0.04164
7	0.04230	0.04230	0.00000	0.00000	0.1119	0.1283	0.04154
8	0.04190	0.04190	0.00000	0.00000	0.1135	0.0823	0.04187
9	0.04197	0.04197	0.00000	0.00000	0.1076	0.1408	0.04198
10	0.04194	0.04194	0.00000	0.00000	0.1148	0.1124	0.04126
11	0.04212	0.04212	0.00000	0.00000	0.1106	0.1042	0.04087
12	0.04132	0.04132	0.00000	0.00000	0.1112	0.1239	0.04099
13	0.04167	0.04167	0.00000	0.00000	0.1092	0.1105	0.04131
14	0.04127	0.04127	0.00000	0.00000	0.1117	0.0935	0.04113
15	0.04096	0.04096	0.00000	0.00000	0.1140	0.0935	0.04100
16	0.04049	0.04049	0.00000	0.00000	0.1092	0.1305	0.04100
17	0.04046	0.04046	0.00000	0.00000	0.1124	0.0935	0.04090
18	0.04018	0.04018	0.00000	0.00000	0.1123	0.1109	0.04042
19	0.04038	0.04038	0.00000	0.00000	0.1118	0.0652	0.04253
20	0.04123	0.04123	0.00000	0.00000	0.1090	0.0860	0.04098
21	0.04046	0.04046	0.00000	0.00000	0.1130	0.0966	0.04007
22	0.03983	0.03983	0.00000	0.00000	0.1111	0.0784	0.04146
23	0.04009	0.04009	0.00000	0.00000	0.1105	0.1093	0.04009
24	0.03963	0.03963	0.00000	0.00000	0.1118	0.1043	0.04003
25	0.03998	0.03998	0.00000	0.00000	0.1123	0.1121	0.04101
26	0.03956	0.03956	0.00000	0.00000	0.1088	0.0921	0.04011
27	0.03933	0.03933	0.00000	0.00000	0.1091	0.1143	0.04032
28	0.03929	0.03929	0.00000	0.00000	0.1118	0.1350	0.04122
29	0.03884	0.03884	0.00000	0.00000	0.1133	0.1117	0.03983
30	0.03855	0.03855	0.00000	0.00000	0.1093	0.1229	0.04025
31	0.03840	0.03840	0.00000	0.00000	0.1116	0.1179	0.03979
32	0.03926	0.03926	0.00000	0.00000	0.1114	0.1096	0.03937
33	0.03894	0.03894	0.00000	0.00000	0.1142	0.0582	0.04293
34	0.04065	0.04065	0.00000	0.00000	0.1092	0.0670	0.04230
35	0.04019	0.04019	0.00000	0.00000	0.1100	0.1047	0.04045
36	0.03911	0.03911	0.00000	0.00000	0.1105	0.1075	0.03989
37	0.03885	0.03885	0.00000	0.00000	0.1137	0.1337	0.04052
38	0.03951	0.03951	0.00000	0.00000	0.1096	0.1548	0.04231
39	0.03832	0.03832	0.00000	0.00000	0.1152	0.0870	0.04046
40	0.03874	0.03874	0.00000	0.00000	0.1107	0.1164	0.04078
41	0.03915	0.03915	0.00000	0.00000	0.1117	0.0925	0.04071
42	0.03929	0.03929	0.00000	0.00000	0.1122	0.1272	0.03989
43	0.03806	0.03806	0.00000	0.00000	0.1087	0.1167	0.03994
44	0.03786	0.03786	0.00000	0.00000	0.1090	0.1381	0.04112
45	0.03890	0.03890	0.00000	0.00000	0.1160	0.0716	0.04144
46	0.03885	0.03885	0.00000	0.00000	0.1102	0.1150	0.03933
47	0.03870	0.03870	0.00000	0.00000	0.1104	0.0939	0.04091
48	0.03785	0.03785	0.00000	0.00000	0.1093	0.1548	0.04332
49	0.03704	0.03704	0.00000	0.00000	0.1116	0.1202	0.03907
50	0.03727	0.03727	0.00000	0.00000	0.1097	0.1313	0.03986
51	0.03816	0.03816	0.00000	0.00000	0.1164	0.0971	0.04040
52	0.03906	0.03906	0.00000	0.00000	0.1089	0.1411	0.04064
53	0.03748	0.03748	0.00000	0.00000	0.1107	0.0864	0.03984
54	0.03776	0.03776	0.00000	0.00000	0.1137	0.1078	0.03898
55	0.03693	0.03693	0.00000	0.00000	0.1115	0.1234	0.03958
56	0.03646	0.03646	0.00000	0.00000	0.1095	0.1039	0.03886
57	0.03642	0.03642	0.00000	0.00000	0.1145	0.0960	0.03951
58	0.03679	0.03679	0.00000	0.00000	0.1123	0.0976	0.03882
59	0.03673	0.03673	0.00000	0.00000	0.1105	0.1100	0.03888
60	0.03699	0.03699	0.00000	0.00000	0.1138	0.0907	0.03975
61	0.03840	0.03840	0.00000	0.00000	0.1095	0.1039	0.03952
62	0.03738	0.03738	0.00000	0.00000	0.1143	0.1019	0.03940
63	0.03695	0.03695	0.00000	0.00000	0.1136	0.0797	0.03981
64	0.03645	0.03645	0.00000	0.00000	0.1085	0.1331	0.04036
65	0.03673	0.03673	0.00000	0.00000	0.1145	0.0756	0.04004
66	0.03575	0.03575	0.00000	0.00000	0.1108	0.0960	0.03936
67	0.03617	0.03617	0.00000	0.00000	0.1128	0.0836	0.04054
68	0.03613	0.03613	0.00000	0.00000	0.1103	0.1011	0.03943
69	0.03553	0.03553	0.00000	0.00000	0.1118	0.1242	0.04034
70	0.03615	0.03615	0.00000	0.00000	0.1106	0.1457	0.04181
71	0.03646	0.03646	0.00000	0.00000	0.1130	0.1132	0.03952
72	0.03544	0.03544	0.00000	0.00000	0.1114	0.1000	0.03933
73	0.03632	0.03632	0.00000	0.00000	0.1111	0.1047	0.03991
74	0.03516	0.03516	0.00000	0.00000	0.1126	0.0978	0.03942
75	0.03528	0.03528	0.00000	0.00000	0.1106	0.1317	0.03997
76	0.03632	0.03632	0.00000	0.00000	0.1122	0.0928	0.04019
77	0.03604	0.03604	0.00000	0.00000	0.1138	0.1299	0.04020
78	0.03520	0.03520	0.00000	0.00000	0.1094	0.1592	0.04385
79	0.03864	0.03864	0.00000	0.00000	0.1157	0.0900	0.04056
80	0.03589	0.03589	0.00000	0.00000	0.1105	0.0723	0.04065
81	0.03592	0.03592	0.00000	0.00000	0.1106	0.1135	0.03880
82	0.03693	0.03693	0.00000	0.00000	0.1152	0.1071	0.03883
83	0.03524	0.03524	0.00000	0.00000	0.1061	0.1279	0.03911
84	0.03551	0.03551	0.00000	0.00000	0.1152	0.0891	0.03983
85	0.03478	0.03478	0.00000	0.00000	0.1092	0.1178	0.03944
86	0.03488	0.03488	0.00000	0.00000	0.1130	0.1137	0.03914
87	0.03531	0.03531	0.00000	0.00000	0.1089	0.1177	0.03900
88	0.03456	0.03456	0.00000	0.00000	0.1128	0.0919	0.03896
89	0.03489	0.03489	0.00000	0.00000	0.1108	0.1490	0.04138
90	0.03520	0.03520	0.00000	0.00000	0.1108	0.1359	0.04062
91	0.03477	0.03477	0.00000	0.00000	0.1112	0.1157	0.03902
92	0.03469	0.03469	0.00000	0.00000	0.1164	0.0983	0.03877
93	0.03559	0.03559	0.00000	0.00000	0.1078	0.0899	0.03921
94	0.03536	0.03536	0.00000	0.00000	0.1086	0.1330	0.03942
95	0.03530	0.03530	0.00000	0.00000	0.1153	0.0785	0.04080
96	0.03535	0.03535	0.00000	0.00000	0.1115	0.1087	0.03988
97	0.03415	0.03415	0.00000	0.00000	0.1099	0.0700	0.04227
98	0.03480	0.03480	0.00000	0.00000	0.1145	0.0992	0.03942
99	0.03408	0.03408	0.00000	0.00000	0.1089	0.0971	0.03959
100	0.03392	0.03392	0.00000	0.00000	0.1142	0.1080	0.04016
101	0.03449	0.03449	0.00000	0.00000	0.1125	0.1183	0.03968
102	0.03415	0.03415	0.00000	0.00000	0.1091	0.1339	0.04126
103	0.03607	0.03607	0.00000	0.00000	0.1122	0.1079	0.03963
104	0.03621	0.03621	0.00000	0.00000	0.1096	0.0977	0.03945
105	0.03484	0.03484	0.00000	0.00000	0.1140	0.1199	0.03882
106	0.03623	0.03623	0.00000	0.00000	0.1160	0.0908	0.03865
107	0.03475	0.03475	0.00000	0.00000	0.1053	0.1033	0.03977
