# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "input", "norm": "none", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "margin": 0.0, "seed": 0, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/A3_none/policy_input_s0.pt", "logdir": "method01_advantage_regress/outputs/kitti/A3_none/logs", "tag": "A3_none_s0"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04393	0.04393	0.00000	0.00000	0.1046	0.1395	0.04328
1	0.04330	0.04330	0.00000	0.00000	0.1163	0.1136	0.04278
2	0.04312	0.04312	0.00000	0.00000	0.1134	0.1153	0.04220
3	0.04303	0.04303	0.00000	0.00000	0.1067	0.1158	0.04269
4	0.04301	0.04301	0.00000	0.00000	0.1150	0.1018	0.04197
5	0.04273	0.04273	0.00000	0.00000	0.1131	0.1016	0.04182
6	0.04281	0.04281	0.00000	0.00000	0.1098	0.1056	0.04174
7	0.04251	0.04251	0.00000	0.00000	0.1108	0.1424	0.04271
8	0.04239	0.04239	0.00000	0.00000	0.1145	0.0860	0.04207
9	0.04234	0.04234	0.00000	0.00000	0.1079	0.1231	0.04185
10	0.04242	0.04242	0.00000	0.00000	0.1130	0.1292	0.04201
11	0.04238	0.04238	0.00000	0.00000	0.1129	0.1070	0.04160
12	0.04176	0.04176	0.00000	0.00000	0.1096	0.1173	0.04150
13	0.04186	0.04186	0.00000	0.00000	0.1114	0.0979	0.04163
14	0.04148	0.04148	0.00000	0.00000	0.1131	0.0768	0.04236
15	0.04150	0.04150	0.00000	0.00000	0.1118	0.1155	0.04124
16	0.04146	0.04146	0.00000	0.00000	0.1097	0.1043	0.04102
17	0.04104	0.04104	0.00000	0.00000	0.1143	0.0760	0.04200
18	0.04099	0.04099	0.00000	0.00000	0.1106	0.1145	0.04090
19	0.04083	0.04083	0.00000	0.00000	0.1124	0.0783	0.04161
20	0.04121	0.04121	0.00000	0.00000	0.1093	0.1000	0.04079
21	0.04050	0.04050	0.00000	0.00000	0.1123	0.0784	0.04127
22	0.04070	0.04070	0.00000	0.00000	0.1127	0.0738	0.04194
23	0.04068	0.04068	0.00000	0.00000	0.1086	0.1163	0.04035
24	0.04026	0.04026	0.00000	0.00000	0.1130	0.0950	0.04087
25	0.04138	0.04138	0.00000	0.00000	0.1109	0.1403	0.04186
26	0.04056	0.04056	0.00000	0.00000	0.1103	0.0788	0.04143
27	0.04067	0.04067	0.00000	0.00000	0.1081	0.1166	0.04094
28	0.04071	0.04071	0.00000	0.00000	0.1108	0.1216	0.04121
29	0.04027	0.04027	0.00000	0.00000	0.1150	0.1263	0.04077
30	0.03987	0.03987	0.00000	0.00000	0.1111	0.0952	0.04056
31	0.03964	0.03964	0.00000	0.00000	0.1114	0.1018	0.04035
32	0.04027	0.04027	0.00000	0.00000	0.1105	0.1119	0.04043
33	0.04005	0.04005	0.00000	0.00000	0.1158	0.0562	0.04337
34	0.04166	0.04166	0.00000	0.00000	0.1091	0.0654	0.04262
35	0.03996	0.03996	0.00000	0.00000	0.1110	0.1183	0.04068
36	0.03956	0.03956	0.00000	0.00000	0.1125	0.0681	0.04209
37	0.03970	0.03970	0.00000	0.00000	0.1095	0.1304	0.04093
38	0.03945	0.03945	0.00000	0.00000	0.1120	0.1344	0.04077
39	0.03898	0.03898	0.00000	0.00000	0.1121	0.1079	0.04017
40	0.03918	0.03918	0.00000	0.00000	0.1115	0.1132	0.04033
41	0.03900	0.03900	0.00000	0.00000	0.1122	0.0800	0.04084
42	0.03915	0.03915	0.00000	0.00000	0.1120	0.0866	0.04046
43	0.03876	0.03876	0.00000	0.00000	0.1118	0.1180	0.04008
44	0.03899	0.03899	0.00000	0.00000	0.1085	0.1208	0.04027
45	0.03948	0.03948	0.00000	0.00000	0.1125	0.0858	0.04087
46	0.03960	0.03960	0.00000	0.00000	0.1144	0.1028	0.04001
47	0.03889	0.03889	0.00000	0.00000	0.1085	0.1131	0.03981
48	0.03848	0.03848	0.00000	0.00000	0.1109	0.1461	0.04224
49	0.03853	0.03853	0.00000	0.00000	0.1130	0.1164	0.04016
50	0.03858	0.03858	0.00000	0.00000	0.1094	0.1087	0.03975
51	0.03945	0.03945	0.00000	0.00000	0.1154	0.1226	0.04021
52	0.03870	0.03870	0.00000	0.00000	0.1098	0.1100	0.03992
53	0.03807	0.03807	0.00000	0.00000	0.1112	0.1030	0.03971
54	0.03816	0.03816	0.00000	0.00000	0.1133	0.1211	0.04030
55	0.03794	0.03794	0.00000	0.00000	0.1112	0.1171	0.04039
56	0.03822	0.03822	0.00000	0.00000	0.1125	0.0876	0.04033
57	0.03747	0.03747	0.00000	0.00000	0.1123	0.1150	0.04031
58	0.03795	0.03795	0.00000	0.00000	0.1108	0.1116	0.03998
59	0.03760	0.03760	0.00000	0.00000	0.1114	0.1167	0.04033
60	0.03805	0.03805	0.00000	0.00000	0.1123	0.1137	0.03956
61	0.03755	0.03755	0.00000	0.00000	0.1113	0.0851	0.04017
62	0.03840	0.03840	0.00000	0.00000	0.1089	0.1500	0.04201
63	0.03904	0.03904	0.00000	0.00000	0.1174	0.0830	0.04085
64	0.03847	0.03847	0.00000	0.00000	0.1073	0.1149	0.04133
65	0.03755	0.03755	0.00000	0.00000	0.1115	0.0931	0.03997
66	0.03749	0.03749	0.00000	0.00000	0.1137	0.0818	0.04105
67	0.03793	0.03793	0.00000	0.00000	0.1095	0.0863	0.04051
68	0.03889	0.03889	0.00000	0.00000	0.1129	0.1231	0.04001
69	0.03803	0.03803	0.00000	0.00000	0.1098	0.1151	0.04008
70	0.03736	0.03736	0.00000	0.00000	0.1121	0.1396	0.04148
71	0.03677	0.03677	0.00000	0.00000	0.1113	0.1187	0.03972
72	0.03674	0.03674	0.00000	0.00000	0.1124	0.1070	0.03927
73	0.03715	0.03715	0.00000	0.00000	0.1107	0.1030	0.03917
74	0.03658	0.03658	0.00000	0.00000	0.1129	0.0805	0.04006
75	0.03723	0.03723	0.00000	0.00000	0.1100	0.1282	0.03952
76	0.03743	0.03743	0.00000	0.00000	0.1105	0.1481	0.04171
77	0.03669	0.03669	0.00000	0.00000	0.1156	0.1001	0.03891
