# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 64, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "margin": 0.0, "seed": 4, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/B1_pd64/policy_input_s4.pt", "logdir": "method01_advantage_regress/outputs/kitti/B1_pd64/logs", "tag": "B1_pd64_s4"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04703	0.04703	0.00000	0.00000	0.1121	0.1043	0.04205
1	0.04161	0.04161	0.00000	0.00000	0.1124	0.0861	0.04121
2	0.03999	0.03999	0.00000	0.00000	0.1103	0.1236	0.04022
3	0.03893	0.03893	0.00000	0.00000	0.1125	0.1036	0.03976
4	0.03690	0.03690	0.00000	0.00000	0.1105	0.1028	0.04077
5	0.03630	0.03630	0.00000	0.00000	0.1102	0.1186	0.04059
6	0.03580	0.03580	0.00000	0.00000	0.1091	0.1314	0.04010
7	0.03517	0.03517	0.00000	0.00000	0.1149	0.0964	0.04003
8	0.03396	0.03396	0.00000	0.00000	0.1100	0.0984	0.04000
9	0.03300	0.03300	0.00000	0.00000	0.1115	0.1145	0.03941
10	0.03334	0.03334	0.00000	0.00000	0.1121	0.1091	0.04044
11	0.03315	0.03315	0.00000	0.00000	0.1115	0.1120	0.03906
12	0.03146	0.03146	0.00000	0.00000	0.1119	0.1054	0.03961
13	0.03092	0.03092	0.00000	0.00000	0.1111	0.1112	0.03966
14	0.03054	0.03054	0.00000	0.00000	0.1106	0.1348	0.04103
15	0.03022	0.03022	0.00000	0.00000	0.1115	0.1004	0.04036
16	0.03050	0.03050	0.00000	0.00000	0.1115	0.0999	0.04116
17	0.02888	0.02888	0.00000	0.00000	0.1140	0.0773	0.04253
18	0.02881	0.02881	0.00000	0.00000	0.1115	0.1016	0.04137
19	0.02866	0.02866	0.00000	0.00000	0.1120	0.1120	0.04228
20	0.03010	0.03010	0.00000	0.00000	0.1102	0.1155	0.04184
21	0.02903	0.02903	0.00000	0.00000	0.1097	0.1247	0.04138
22	0.02781	0.02781	0.00000	0.00000	0.1101	0.1048	0.04199
23	0.02830	0.02830	0.00000	0.00000	0.1106	0.1283	0.04209
24	0.02736	0.02736	0.00000	0.00000	0.1157	0.0794	0.04296
25	0.02612	0.02612	0.00000	0.00000	0.1091	0.0993	0.04204
26	0.02564	0.02564	0.00000	0.00000	0.1123	0.1063	0.03948
27	0.02515	0.02515	0.00000	0.00000	0.1111	0.1065	0.03968
28	0.02472	0.02472	0.00000	0.00000	0.1119	0.1076	0.04162
29	0.02544	0.02544	0.00000	0.00000	0.1142	0.0574	0.04439
30	0.02448	0.02448	0.00000	0.00000	0.1110	0.1095	0.04031
31	0.02319	0.02319	0.00000	0.00000	0.1091	0.1168	0.04105
32	0.02343	0.02343	0.00000	0.00000	0.1113	0.1154	0.04288
33	0.02312	0.02312	0.00000	0.00000	0.1115	0.1340	0.04281
34	0.02289	0.02289	0.00000	0.00000	0.1112	0.0903	0.04125
35	0.02228	0.02228	0.00000	0.00000	0.1134	0.1323	0.04307
36	0.02091	0.02091	0.00000	0.00000	0.1125	0.0939	0.04299
37	0.02195	0.02195	0.00000	0.00000	0.1111	0.0790	0.04406
38	0.02206	0.02206	0.00000	0.00000	0.1127	0.0801	0.04374
39	0.02272	0.02272	0.00000	0.00000	0.1064	0.1520	0.04402
40	0.02141	0.02141	0.00000	0.00000	0.1102	0.1093	0.04186
41	0.02058	0.02058	0.00000	0.00000	0.1118	0.1137	0.04374
42	0.02019	0.02019	0.00000	0.00000	0.1110	0.1110	0.04310
