# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 768, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/B1_pd768/policy_input_s0.pt", "logdir": "method01_advantage_regress/outputs/kitti/B1_pd768/logs", "tag": "B1_pd768_s0"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.20696	0.20696	0.00000	0.00000	0.1017	0.0556	0.05067
1	0.04601	0.04601	0.00000	0.00000	0.1233	0.1018	0.04199
2	0.04280	0.04280	0.00000	0.00000	0.1097	0.1014	0.04177
3	0.04197	0.04197	0.00000	0.00000	0.1121	0.1143	0.04115
4	0.04195	0.04195	0.00000	0.00000	0.1096	0.1275	0.04147
5	0.04029	0.04029	0.00000	0.00000	0.1118	0.0844	0.04066
6	0.03984	0.03984	0.00000	0.00000	0.1120	0.0971	0.04118
7	0.03942	0.03942	0.00000	0.00000	0.1097	0.1115	0.04030
8	0.03955	0.03955	0.00000	0.00000	0.1131	0.1147	0.03897
9	0.03851	0.03851	0.00000	0.00000	0.1104	0.0812	0.04071
10	0.03735	0.03735	0.00000	0.00000	0.1119	0.1420	0.04037
11	0.03659	0.03659	0.00000	0.00000	0.1128	0.1297	0.04027
12	0.03731	0.03731	0.00000	0.00000	0.1116	0.1315	0.04177
13	0.03587	0.03587	0.00000	0.00000	0.1129	0.0997	0.03923
14	0.03505	0.03505	0.00000	0.00000	0.1104	0.1476	0.04060
15	0.03453	0.03453	0.00000	0.00000	0.1099	0.1483	0.04303
16	0.03670	0.03670	0.00000	0.00000	0.1138	0.0982	0.04318
17	0.03450	0.03450	0.00000	0.00000	0.1115	0.0717	0.04196
18	0.03504	0.03504	0.00000	0.00000	0.1083	0.1236	0.04195
