# {"dataset": "kitti", "cache": "method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/B1_pd8/policy_input_s0.pt", "logdir": "method01_advantage_regress/outputs/kitti/B1_pd8/logs", "tag": "B1pd8_s0"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04506	0.04506	0.00000	0.00000	0.1104	0.1282	0.04230
1	0.04011	0.04011	0.00000	0.00000	0.1108	0.1072	0.04089
2	0.03820	0.03820	0.00000	0.00000	0.1133	0.0807	0.04058
3	0.03763	0.03763	0.00000	0.00000	0.1066	0.1481	0.04224
4	0.03690	0.03690	0.00000	0.00000	0.1158	0.0856	0.04184
5	0.03558	0.03558	0.00000	0.00000	0.1126	0.0984	0.03896
6	0.03463	0.03463	0.00000	0.00000	0.1076	0.1196	0.03927
7	0.03404	0.03404	0.00000	0.00000	0.1123	0.1207	0.04133
8	0.03301	0.03301	0.00000	0.00000	0.1136	0.0811	0.04182
9	0.03269	0.03269	0.00000	0.00000	0.1077	0.1334	0.04082
10	0.03157	0.03157	0.00000	0.00000	0.1130	0.1213	0.03932
11	0.03076	0.03076	0.00000	0.00000	0.1115	0.1020	0.03993
12	0.03035	0.03035	0.00000	0.00000	0.1123	0.1129	0.04048
13	0.03017	0.03017	0.00000	0.00000	0.1086	0.1474	0.04206
14	0.03004	0.03004	0.00000	0.00000	0.1138	0.0770	0.04196
15	0.02851	0.02851	0.00000	0.00000	0.1130	0.1018	0.04019
16	0.02802	0.02802	0.00000	0.00000	0.1109	0.1052	0.04037
17	0.02790	0.02790	0.00000	0.00000	0.1119	0.0928	0.04202
18	0.02706	0.02706	0.00000	0.00000	0.1121	0.0971	0.04120
19	0.02681	0.02681	0.00000	0.00000	0.1113	0.0838	0.04113
20	0.02694	0.02694	0.00000	0.00000	0.1095	0.0912	0.04095
21	0.02578	0.02578	0.00000	0.00000	0.1121	0.1002	0.04249
22	0.02592	0.02592	0.00000	0.00000	0.1115	0.0834	0.04088
23	0.02499	0.02499	0.00000	0.00000	0.1091	0.1054	0.04326
24	0.02554	0.02554	0.00000	0.00000	0.1135	0.0966	0.04197
