# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "corr", "margin": 0.0, "seed": 4, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/C1_corr/policy_input_s4.pt", "logdir": "method01_advantage_regress/outputs/kitti/C1_corr/logs", "tag": "C1_corr_s4"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.89386	0.89386	0.00000	0.00000	0.0091	0.1394	0.85419
1	0.76292	0.76292	0.00000	0.00000	0.0849	0.0842	0.80693
2	0.69266	0.69266	0.00000	0.00000	0.0544	0.0395	0.76386
3	0.64051	0.64051	0.00000	0.00000	0.0584	0.0698	0.74330
4	0.60110	0.60110	0.00000	0.00000	0.0670	0.0206	0.72718
5	0.58691	0.58691	0.00000	0.00000	0.0460	0.0684	0.72884
6	0.55744	0.55744	0.00000	0.00000	0.0630	0.0554	0.70124
7	0.55461	0.55461	0.00000	0.00000	0.0739	0.0027	0.72696
8	0.56697	0.56697	0.00000	0.00000	0.0180	0.0304	0.72050
9	0.51055	0.51055	0.00000	0.00000	0.0460	0.0432	0.69431
10	0.48635	0.48635	0.00000	0.00000	0.0679	0.0657	0.72481
11	0.47517	0.47517	0.00000	0.00000	0.0574	0.0061	0.67511
12	0.46463	0.46463	0.00000	0.00000	0.0332	0.0779	0.70375
13	0.45159	0.45159	0.00000	0.00000	0.0873	0.1105	0.69179
14	0.43256	0.43256	0.00000	0.00000	0.0672	0.0295	0.72887
15	0.43762	0.43762	0.00000	0.00000	0.0468	0.0670	0.70666
16	0.41341	0.41341	0.00000	0.00000	0.0427	0.0876	0.71253
17	0.42812	0.42812	0.00000	0.00000	0.0491	0.0114	0.70345
18	0.41195	0.41195	0.00000	0.00000	0.0551	0.0384	0.67637
19	0.39446	0.39446	0.00000	0.00000	0.0370	0.0442	0.70727
20	0.38324	0.38324	0.00000	0.00000	0.0466	0.0603	0.66843
21	0.36494	0.36494	0.00000	0.00000	0.0532	0.0226	0.68629
22	0.36761	0.36761	0.00000	0.00000	0.0508	0.0713	0.70310
23	0.36466	0.36466	0.00000	0.00000	0.0575	0.0637	0.69101
24	0.34196	0.34196	0.00000	0.00000	0.0691	0.0732	0.67234
25	0.35545	0.35545	0.00000	0.00000	0.0820	0.0817	0.71475
26	0.33957	0.33957	0.00000	0.00000	0.0571	0.0694	0.69927
27	0.31898	0.31898	0.00000	0.00000	0.0675	0.0576	0.69696
28	0.31870	0.31870	0.00000	0.00000	0.0545	0.0667	0.70922
29	0.31447	0.31447	0.00000	0.00000	0.0633	0.0427	0.69034
30	0.30735	0.30735	0.00000	0.00000	0.0444	0.0851	0.68538
31	0.29771	0.29771	0.00000	0.00000	0.0646	0.0596	0.69217
32	0.29776	0.29776	0.00000	0.00000	0.0608	0.0487	0.73551
33	0.28725	0.28725	0.00000	0.00000	0.0712	0.0587	0.71273
34	0.29527	0.29527	0.00000	0.00000	0.0990	0.0990	0.69626
35	0.27862	0.27862	0.00000	0.00000	0.0811	0.0745	0.71664
36	0.27508	0.27508	0.00000	0.00000	0.0790	0.0657	0.72791
37	0.27360	0.27360	0.00000	0.00000	0.0696	0.0943	0.70841
38	0.25793	0.25793	0.00000	0.00000	0.0743	0.1046	0.71705
39	0.25035	0.25035	0.00000	0.00000	0.1034	0.0847	0.70054
40	0.25806	0.25806	0.00000	0.00000	0.0936	0.0879	0.69920
41	0.23613	0.23613	0.00000	0.00000	0.0945	0.0459	0.72627
42	0.26957	0.26957	0.00000	0.00000	0.0791	0.1041	0.73721
43	0.24506	0.24506	0.00000	0.00000	0.0859	0.0891	0.70800
44	0.24461	0.24461	0.00000	0.00000	0.0997	0.0895	0.69713
45	0.23809	0.23809	0.00000	0.00000	0.0869	0.0935	0.73276
46	0.23245	0.23245	0.00000	0.00000	0.0835	0.0862	0.70975
47	0.22472	0.22472	0.00000	0.00000	0.0934	0.0731	0.72826
48	0.22117	0.22117	0.00000	0.00000	0.0742	0.0882	0.71367
49	0.21663	0.21663	0.00000	0.00000	0.0845	0.0822	0.71323
50	0.21753	0.21753	0.00000	0.00000	0.0806	0.1264	0.69261
51	0.21219	0.21219	0.00000	0.00000	0.0936	0.0797	0.68907
52	0.20532	0.20532	0.00000	0.00000	0.0716	0.0854	0.70745
53	0.21711	0.21711	0.00000	0.00000	0.0822	0.0928	0.72654
54	0.22093	0.22093	0.00000	0.00000	0.0830	0.0556	0.72622
55	0.20448	0.20448	0.00000	0.00000	0.0748	0.0647	0.68886
