# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "huber", "margin": 0.0, "seed": 4, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/C1_huber/policy_input_s4.pt", "logdir": "method01_advantage_regress/outputs/kitti/C1_huber/logs", "tag": "C1_huber_s4"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.01057	0.01057	0.00000	0.00000	0.1037	0.1185	0.01026
1	0.00976	0.00976	0.00000	0.00000	0.1036	0.1114	0.01010
2	0.00939	0.00939	0.00000	0.00000	0.1038	0.1065	0.00988
3	0.00925	0.00925	0.00000	0.00000	0.1057	0.0975	0.00975
4	0.00892	0.00892	0.00000	0.00000	0.1045	0.1175	0.00984
5	0.00885	0.00885	0.00000	0.00000	0.1076	0.1142	0.01033
6	0.00877	0.00877	0.00000	0.00000	0.1081	0.1059	0.00987
7	0.00860	0.00860	0.00000	0.00000	0.1088	0.0741	0.01004
8	0.00856	0.00856	0.00000	0.00000	0.1040	0.1029	0.00988
9	0.00835	0.00835	0.00000	0.00000	0.1088	0.0976	0.01022
10	0.00833	0.00833	0.00000	0.00000	0.1061	0.1106	0.01018
11	0.00812	0.00812	0.00000	0.00000	0.1082	0.1034	0.00983
12	0.00805	0.00805	0.00000	0.00000	0.1081	0.1029	0.01018
13	0.00788	0.00788	0.00000	0.00000	0.1075	0.1128	0.00991
14	0.00774	0.00774	0.00000	0.00000	0.1089	0.1430	0.01050
15	0.00776	0.00776	0.00000	0.00000	0.1080	0.1174	0.01000
16	0.00760	0.00760	0.00000	0.00000	0.1093	0.1108	0.00992
17	0.00762	0.00762	0.00000	0.00000	0.1066	0.0951	0.01056
18	0.00748	0.00748	0.00000	0.00000	0.1101	0.0997	0.00998
19	0.00737	0.00737	0.00000	0.00000	0.1079	0.1063	0.00995
20	0.00730	0.00730	0.00000	0.00000	0.1093	0.0892	0.01006
21	0.00721	0.00721	0.00000	0.00000	0.1094	0.0960	0.01002
22	0.00705	0.00705	0.00000	0.00000	0.1101	0.0916	0.01021
23	0.00717	0.00717	0.00000	0.00000	0.1090	0.0976	0.00996
