# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mae", "margin": 0.0, "seed": 1, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/C1_mae/policy_input_s1.pt", "logdir": "method01_advantage_regress/outputs/kitti/C1_mae/logs", "tag": "C1_mae_s1"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.15351	0.15351	0.00000	0.00000	0.0958	0.0680	0.14367
1	0.14101	0.14101	0.00000	0.00000	0.1047	0.0761	0.14204
2	0.13777	0.13777	0.00000	0.00000	0.1041	0.1009	0.14073
3	0.13527	0.13527	0.00000	0.00000	0.1040	0.0881	0.14083
4	0.13264	0.13264	0.00000	0.00000	0.1045	0.0982	0.14056
5	0.13131	0.13131	0.00000	0.00000	0.1070	0.0996	0.14163
6	0.13077	0.13077	0.00000	0.00000	0.1045	0.0861	0.14075
7	0.12803	0.12803	0.00000	0.00000	0.1072	0.0946	0.14247
8	0.12731	0.12731	0.00000	0.00000	0.1052	0.1170	0.14249
9	0.12687	0.12687	0.00000	0.00000	0.1045	0.1135	0.14113
10	0.12491	0.12491	0.00000	0.00000	0.1089	0.0868	0.14327
11	0.12348	0.12348	0.00000	0.00000	0.1046	0.0975	0.14039
12	0.12376	0.12376	0.00000	0.00000	0.1060	0.1138	0.14320
13	0.12194	0.12194	0.00000	0.00000	0.1076	0.1039	0.14261
14	0.12026	0.12026	0.00000	0.00000	0.1105	0.0980	0.14370
15	0.11820	0.11820	0.00000	0.00000	0.1068	0.0917	0.14226
16	0.11761	0.11761	0.00000	0.00000	0.1074	0.1115	0.14235
17	0.11690	0.11690	0.00000	0.00000	0.1082	0.1155	0.14250
18	0.11565	0.11565	0.00000	0.00000	0.1086	0.1057	0.13986
19	0.11430	0.11430	0.00000	0.00000	0.1097	0.1080	0.14101
20	0.11462	0.11462	0.00000	0.00000	0.1102	0.0947	0.14461
21	0.11598	0.11598	0.00000	0.00000	0.1086	0.0921	0.14024
22	0.11176	0.11176	0.00000	0.00000	0.1081	0.1063	0.13993
23	0.11204	0.11204	0.00000	0.00000	0.1068	0.1101	0.14189
24	0.11071	0.11071	0.00000	0.00000	0.1089	0.1066	0.14445
25	0.11001	0.11001	0.00000	0.00000	0.1106	0.1088	0.14152
26	0.11154	0.11154	0.00000	0.00000	0.1088	0.1214	0.14470
27	0.10949	0.10949	0.00000	0.00000	0.1101	0.1091	0.14471
28	0.10824	0.10824	0.00000	0.00000	0.1084	0.0945	0.14301
29	0.10976	0.10976	0.00000	0.00000	0.1080	0.1231	0.14731
30	0.10730	0.10730	0.00000	0.00000	0.1082	0.1187	0.14213
