# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.0, "seed": 0, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/G_prevp00/policy_input_s0.pt", "logdir": "method01_advantage_regress/outputs/kitti/G_prevp00/logs", "tag": "G_prevp00_s0"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04502	0.04502	0.00000	0.00000	0.1106	0.1141	0.04204
1	0.03928	0.03928	0.00000	0.00000	0.1105	0.0997	0.04118
2	0.03730	0.03730	0.00000	0.00000	0.1142	0.0749	0.04130
3	0.03643	0.03643	0.00000	0.00000	0.1057	0.1326	0.04313
4	0.03603	0.03603	0.00000	0.00000	0.1144	0.0908	0.04071
5	0.03340	0.03340	0.00000	0.00000	0.1140	0.0927	0.04039
6	0.03303	0.03303	0.00000	0.00000	0.1072	0.1218	0.04112
7	0.03200	0.03200	0.00000	0.00000	0.1113	0.1089	0.04219
8	0.03114	0.03114	0.00000	0.00000	0.1148	0.0599	0.04567
9	0.03062	0.03062	0.00000	0.00000	0.1081	0.1183	0.04187
10	0.02909	0.02909	0.00000	0.00000	0.1125	0.1044	0.04196
11	0.02808	0.02808	0.00000	0.00000	0.1116	0.0937	0.04054
12	0.02716	0.02716	0.00000	0.00000	0.1124	0.0891	0.04474
13	0.02708	0.02708	0.00000	0.00000	0.1111	0.1208	0.04206
14	0.02711	0.02711	0.00000	0.00000	0.1107	0.1067	0.04331
15	0.02590	0.02590	0.00000	0.00000	0.1113	0.0985	0.04279
16	0.02451	0.02451	0.00000	0.00000	0.1119	0.1194	0.04247
17	0.02486	0.02486	0.00000	0.00000	0.1118	0.0933	0.04308
18	0.02334	0.02334	0.00000	0.00000	0.1130	0.0943	0.04358
19	0.02349	0.02349	0.00000	0.00000	0.1122	0.0541	0.04618
20	0.02358	0.02358	0.00000	0.00000	0.1085	0.1185	0.04400
21	0.02238	0.02238	0.00000	0.00000	0.1137	0.1046	0.04496
22	0.02158	0.02158	0.00000	0.00000	0.1113	0.1255	0.04579
23	0.02168	0.02168	0.00000	0.00000	0.1111	0.1255	0.04559
24	0.02180	0.02180	0.00000	0.00000	0.1123	0.1133	0.04545
25	0.02013	0.02013	0.00000	0.00000	0.1116	0.1131	0.04865
26	0.02073	0.02073	0.00000	0.00000	0.1125	0.1016	0.04468
27	0.02027	0.02027	0.00000	0.00000	0.1092	0.1238	0.04715
28	0.01896	0.01896	0.00000	0.00000	0.1117	0.1416	0.04857
29	0.01963	0.01963	0.00000	0.00000	0.1124	0.1092	0.04689
30	0.01865	0.01865	0.00000	0.00000	0.1097	0.1318	0.04685
31	0.01699	0.01699	0.00000	0.00000	0.1130	0.1063	0.04989
32	0.01714	0.01714	0.00000	0.00000	0.1102	0.0968	0.04934
33	0.01717	0.01717	0.00000	0.00000	0.1116	0.1086	0.04786
34	0.01651	0.01651	0.00000	0.00000	0.1105	0.1100	0.05303
35	0.01638	0.01638	0.00000	0.00000	0.1130	0.1284	0.04818
36	0.01581	0.01581	0.00000	0.00000	0.1106	0.1397	0.05022
37	0.01615	0.01615	0.00000	0.00000	0.1137	0.1283	0.04988
38	0.01544	0.01544	0.00000	0.00000	0.1111	0.1047	0.05185
39	0.01472	0.01472	0.00000	0.00000	0.1113	0.1271	0.05292
40	0.01479	0.01479	0.00000	0.00000	0.1123	0.0975	0.05071
41	0.01478	0.01478	0.00000	0.00000	0.1085	0.1257	0.05096
42	0.01462	0.01462	0.00000	0.00000	0.1115	0.1561	0.05324
43	0.01406	0.01406	0.00000	0.00000	0.1142	0.1051	0.04908
44	0.01330	0.01330	0.00000	0.00000	0.1093	0.1387	0.05163
45	0.01247	0.01247	0.00000	0.00000	0.1120	0.1320	0.05408
46	0.01274	0.01274	0.00000	0.00000	0.1116	0.1122	0.05246
47	0.01263	0.01263	0.00000	0.00000	0.1099	0.1323	0.05100
48	0.01186	0.01186	0.00000	0.00000	0.1115	0.1374	0.05303
49	0.01222	0.01222	0.00000	0.00000	0.1121	0.1141	0.05562
50	0.01161	0.01161	0.00000	0.00000	0.1102	0.1552	0.05576
51	0.01305	0.01305	0.00000	0.00000	0.1126	0.1119	0.05269
52	0.01239	0.01239	0.00000	0.00000	0.1114	0.1100	0.05253
53	0.01153	0.01153	0.00000	0.00000	0.1109	0.1269	0.05460
54	0.01149	0.01149	0.00000	0.00000	0.1111	0.1527	0.05448
55	0.01218	0.01218	0.00000	0.00000	0.1117	0.1491	0.05659
56	0.01116	0.01116	0.00000	0.00000	0.1124	0.1371	0.05303
57	0.01110	0.01110	0.00000	0.00000	0.1115	0.1356	0.05676
58	0.01091	0.01091	0.00000	0.00000	0.1126	0.1237	0.05021
59	0.01070	0.01070	0.00000	0.00000	0.1107	0.1355	0.05413
60	0.01043	0.01043	0.00000	0.00000	0.1137	0.1094	0.05214
61	0.01123	0.01123	0.00000	0.00000	0.1131	0.1214	0.05346
62	0.01080	0.01080	0.00000	0.00000	0.1103	0.1199	0.05590
63	0.01089	0.01089	0.00000	0.00000	0.1135	0.1231	0.05651
64	0.01085	0.01085	0.00000	0.00000	0.1107	0.1504	0.05878
65	0.01106	0.01106	0.00000	0.00000	0.1094	0.1549	0.05470
66	0.01046	0.01046	0.00000	0.00000	0.1118	0.1301	0.05587
67	0.01042	0.01042	0.00000	0.00000	0.1117	0.1162	0.05476
68	0.01037	0.01037	0.00000	0.00000	0.1117	0.1099	0.05189
69	0.01015	0.01015	0.00000	0.00000	0.1112	0.1320	0.05674
70	0.00993	0.00993	0.00000	0.00000	0.1127	0.1072	0.05529
71	0.00989	0.00989	0.00000	0.00000	0.1096	0.1219	0.05367
72	0.00963	0.00963	0.00000	0.00000	0.1125	0.1201	0.05241
73	0.00932	0.00932	0.00000	0.00000	0.1124	0.1112	0.05339
74	0.00933	0.00933	0.00000	0.00000	0.1109	0.1144	0.05376
75	0.00965	0.00965	0.00000	0.00000	0.1098	0.1528	0.05834
76	0.01047	0.01047	0.00000	0.00000	0.1127	0.0994	0.05115
77	0.00979	0.00979	0.00000	0.00000	0.1098	0.1303	0.05522
78	0.01002	0.01002	0.00000	0.00000	0.1126	0.1492	0.05318
79	0.00897	0.00897	0.00000	0.00000	0.1113	0.1011	0.05308
80	0.00884	0.00884	0.00000	0.00000	0.1108	0.1345	0.05285
81	0.00857	0.00857	0.00000	0.00000	0.1117	0.1142	0.05362
82	0.00870	0.00870	0.00000	0.00000	0.1118	0.1153	0.05535
83	0.00863	0.00863	0.00000	0.00000	0.1104	0.1367	0.05348
84	0.00823	0.00823	0.00000	0.00000	0.1118	0.1444	0.05577
85	0.00842	0.00842	0.00000	0.00000	0.1110	0.1286	0.05538
86	0.00847	0.00847	0.00000	0.00000	0.1107	0.1359	0.05828
87	0.00824	0.00824	0.00000	0.00000	0.1114	0.1221	0.05280
88	0.00798	0.00798	0.00000	0.00000	0.1110	0.1245	0.05576
89	0.00814	0.00814	0.00000	0.00000	0.1114	0.1429	0.05548
90	0.00843	0.00843	0.00000	0.00000	0.1117	0.1213	0.05442
91	0.00844	0.00844	0.00000	0.00000	0.1132	0.1073	0.05327
92	0.00802	0.00802	0.00000	0.00000	0.1127	0.0917	0.05713
93	0.00794	0.00794	0.00000	0.00000	0.1102	0.1181	0.05423
94	0.00805	0.00805	0.00000	0.00000	0.1101	0.1386	0.05656
95	0.00814	0.00814	0.00000	0.00000	0.1128	0.0994	0.05530
96	0.00761	0.00761	0.00000	0.00000	0.1096	0.1376	0.05656
97	0.00751	0.00751	0.00000	0.00000	0.1126	0.1138	0.05530
98	0.00801	0.00801	0.00000	0.00000	0.1112	0.1469	0.05696
99	0.00816	0.00816	0.00000	0.00000	0.1097	0.1272	0.05740
100	0.00753	0.00753	0.00000	0.00000	0.1125	0.1372	0.05585
101	0.00802	0.00802	0.00000	0.00000	0.1123	0.1156	0.05225
102	0.00773	0.00773	0.00000	0.00000	0.1119	0.1209	0.05592
103	0.00741	0.00741	0.00000	0.00000	0.1105	0.1455	0.05634
104	0.00718	0.00718	0.00000	0.00000	0.1133	0.1151	0.05641
105	0.00687	0.00687	0.00000	0.00000	0.1103	0.1264	0.05402
106	0.00689	0.00689	0.00000	0.00000	0.1115	0.1085	0.05359
107	0.00770	0.00770	0.00000	0.00000	0.1118	0.1378	0.05546
108	0.00774	0.00774	0.00000	0.00000	0.1115	0.1321	0.05649
109	0.00770	0.00770	0.00000	0.00000	0.1102	0.1447	0.05710
110	0.00728	0.00728	0.00000	0.00000	0.1120	0.1253	0.05512
111	0.00744	0.00744	0.00000	0.00000	0.1099	0.1317	0.05466
112	0.00734	0.00734	0.00000	0.00000	0.1109	0.1533	0.05839
113	0.00697	0.00697	0.00000	0.00000	0.1110	0.1410	0.05521
114	0.00702	0.00702	0.00000	0.00000	0.1123	0.1112	0.05552
115	0.00673	0.00673	0.00000	0.00000	0.1120	0.1341	0.05766
116	0.00700	0.00700	0.00000	0.00000	0.1104	0.1476	0.05978
117	0.00738	0.00738	0.00000	0.00000	0.1125	0.1220	0.05308
118	0.00749	0.00749	0.00000	0.00000	0.1126	0.1198	0.05585
119	0.00720	0.00720	0.00000	0.00000	0.1102	0.1312	0.05769
120	0.00727	0.00727	0.00000	0.00000	0.1130	0.1138	0.05837
121	0.00736	0.00736	0.00000	0.00000	0.1106	0.1199	0.05583
122	0.00687	0.00687	0.00000	0.00000	0.1110	0.1250	0.05383
123	0.00707	0.00707	0.00000	0.00000	0.1108	0.1483	0.05920
124	0.00707	0.00707	0.00000	0.00000	0.1122	0.1197	0.05538
125	0.00692	0.00692	0.00000	0.00000	0.1121	0.1271	0.05451
126	0.00667	0.00667	0.00000	0.00000	0.1105	0.1544	0.05599
127	0.00674	0.00674	0.00000	0.00000	0.1121	0.1228	0.05372
128	0.00685	0.00685	0.00000	0.00000	0.1119	0.1180	0.05465
129	0.00690	0.00690	0.00000	0.00000	0.1109	0.1195	0.05416
130	0.00691	0.00691	0.00000	0.00000	0.1115	0.1357	0.05685
131	0.00715	0.00715	0.00000	0.00000	0.1106	0.1229	0.05469
132	0.00779	0.00779	0.00000	0.00000	0.1120	0.1250	0.05557
133	0.00723	0.00723	0.00000	0.00000	0.1118	0.1131	0.05428
134	0.00668	0.00668	0.00000	0.00000	0.1125	0.1164	0.05559
135	0.00748	0.00748	0.00000	0.00000	0.1105	0.1525	0.05592
136	0.00719	0.00719	0.00000	0.00000	0.1127	0.1050	0.05768
137	0.00751	0.00751	0.00000	0.00000	0.1093	0.1376	0.05625
138	0.00710	0.00710	0.00000	0.00000	0.1116	0.1273	0.05480
139	0.00660	0.00660	0.00000	0.00000	0.1109	0.1378	0.05617
140	0.00641	0.00641	0.00000	0.00000	0.1117	0.1434	0.05465
141	0.00637	0.00637	0.00000	0.00000	0.1115	0.1524	0.05604
142	0.00678	0.00678	0.00000	0.00000	0.1118	0.1252	0.05493
143	0.00670	0.00670	0.00000	0.00000	0.1112	0.1305	0.05598
144	0.00671	0.00671	0.00000	0.00000	0.1108	0.1263	0.05804
145	0.00669	0.00669	0.00000	0.00000	0.1128	0.1062	0.05439
146	0.00715	0.00715	0.00000	0.00000	0.1090	0.1458	0.05730
147	0.00663	0.00663	0.00000	0.00000	0.1127	0.1319	0.05560
148	0.00624	0.00624	0.00000	0.00000	0.1107	0.1373	0.05563
149	0.00661	0.00661	0.00000	0.00000	0.1128	0.1079	0.05552
150	0.00660	0.00660	0.00000	0.00000	0.1107	0.1368	0.05616
151	0.00647	0.00647	0.00000	0.00000	0.1122	0.1112	0.05558
152	0.00632	0.00632	0.00000	0.00000	0.1107	0.1259	0.05510
153	0.00580	0.00580	0.00000	0.00000	0.1109	0.1226	0.05556
154	0.00608	0.00608	0.00000	0.00000	0.1121	0.1025	0.05512
155	0.00583	0.00583	0.00000	0.00000	0.1111	0.1187	0.05585
156	0.00587	0.00587	0.00000	0.00000	0.1114	0.1275	0.05143
157	0.00581	0.00581	0.00000	0.00000	0.1111	0.1173	0.05521
158	0.00615	0.00615	0.00000	0.00000	0.1116	0.1166	0.05293
159	0.00613	0.00613	0.00000	0.00000	0.1113	0.1083	0.05536
160	0.00660	0.00660	0.00000	0.00000	0.1120	0.1226	0.05324
161	0.00590	0.00590	0.00000	0.00000	0.1105	0.1339	0.05584
162	0.00631	0.00631	0.00000	0.00000	0.1119	0.1102	0.05657
163	0.00635	0.00635	0.00000	0.00000	0.1119	0.0981	0.05555
164	0.00611	0.00611	0.00000	0.00000	0.1100	0.1199	0.05299
165	0.00540	0.00540	0.00000	0.00000	0.1123	0.1130	0.05426
166	0.00598	0.00598	0.00000	0.00000	0.1100	0.1236	0.05403
167	0.00655	0.00655	0.00000	0.00000	0.1123	0.1089	0.05276
168	0.00624	0.00624	0.00000	0.00000	0.1115	0.0972	0.05459
169	0.00554	0.00554	0.00000	0.00000	0.1116	0.1032	0.05340
170	0.00600	0.00600	0.00000	0.00000	0.1120	0.1120	0.05666
171	0.00562	0.00562	0.00000	0.00000	0.1114	0.1146	0.05397
172	0.00605	0.00605	0.00000	0.00000	0.1114	0.1226	0.05428
173	0.00584	0.00584	0.00000	0.00000	0.1110	0.1269	0.05472
174	0.00544	0.00544	0.00000	0.00000	0.1109	0.1310	0.05606
175	0.00549	0.00549	0.00000	0.00000	0.1121	0.1160	0.05469
176	0.00546	0.00546	0.00000	0.00000	0.1117	0.1320	0.05681
177	0.00592	0.00592	0.00000	0.00000	0.1131	0.1003	0.05655
178	0.00581	0.00581	0.00000	0.00000	0.1107	0.1253	0.05606
179	0.00613	0.00613	0.00000	0.00000	0.1096	0.1230	0.05372
180	0.00565	0.00565	0.00000	0.00000	0.1129	0.1162	0.05527
181	0.00557	0.00557	0.00000	0.00000	0.1106	0.1129	0.05526
182	0.00568	0.00568	0.00000	0.00000	0.1122	0.1170	0.05482
183	0.00596	0.00596	0.00000	0.00000	0.1121	0.1245	0.05485
184	0.00682	0.00682	0.00000	0.00000	0.1106	0.1322	0.05623
185	0.00597	0.00597	0.00000	0.00000	0.1128	0.1115	0.05380
186	0.00538	0.00538	0.00000	0.00000	0.1112	0.1161	0.05556
187	0.00551	0.00551	0.00000	0.00000	0.1106	0.1435	0.05601
188	0.00578	0.00578	0.00000	0.00000	0.1136	0.0947	0.05146
189	0.00661	0.00661	0.00000	0.00000	0.1101	0.1394	0.05430
190	0.00600	0.00600	0.00000	0.00000	0.1115	0.1280	0.05488
191	0.00570	0.00570	0.00000	0.00000	0.1117	0.1350	0.05327
192	0.00562	0.00562	0.00000	0.00000	0.1128	0.1085	0.05452
193	0.00564	0.00564	0.00000	0.00000	0.1108	0.1164	0.05174
194	0.00535	0.00535	0.00000	0.00000	0.1122	0.1029	0.05347
195	0.00530	0.00530	0.00000	0.00000	0.1117	0.1105	0.05569
196	0.00543	0.00543	0.00000	0.00000	0.1109	0.1116	0.05126
197	0.00503	0.00503	0.00000	0.00000	0.1119	0.1246	0.05389
198	0.00493	0.00493	0.00000	0.00000	0.1121	0.1170	0.05374
199	0.00491	0.00491	0.00000	0.00000	0.1111	0.1315	0.05325
200	0.00511	0.00511	0.00000	0.00000	0.1128	0.1126	0.05691
201	0.00509	0.00509	0.00000	0.00000	0.1120	0.1156	0.05476
202	0.00506	0.00506	0.00000	0.00000	0.1122	0.1048	0.05574
203	0.00499	0.00499	0.00000	0.00000	0.1098	0.1196	0.05436
204	0.00513	0.00513	0.00000	0.00000	0.1114	0.1244	0.05517
205	0.00505	0.00505	0.00000	0.00000	0.1123	0.1110	0.05119
206	0.00515	0.00515	0.00000	0.00000	0.1113	0.1313	0.05525
207	0.00532	0.00532	0.00000	0.00000	0.1104	0.1544	0.05661
208	0.00559	0.00559	0.00000	0.00000	0.1132	0.1106	0.05455
209	0.00547	0.00547	0.00000	0.00000	0.1116	0.1270	0.05527
210	0.00539	0.00539	0.00000	0.00000	0.1110	0.1101	0.05467
211	0.00540	0.00540	0.00000	0.00000	0.1106	0.1296	0.05342
212	0.00494	0.00494	0.00000	0.00000	0.1120	0.1179	0.05614
213	0.00447	0.00447	0.00000	0.00000	0.1108	0.1271	0.05446
214	0.00450	0.00450	0.00000	0.00000	0.1115	0.1307	0.05597
215	0.00507	0.00507	0.00000	0.00000	0.1116	0.1164	0.05288
216	0.00457	0.00457	0.00000	0.00000	0.1105	0.1291	0.05662
217	0.00507	0.00507	0.00000	0.00000	0.1120	0.1193	0.05435
218	0.00509	0.00509	0.00000	0.00000	0.1116	0.1150	0.05463
219	0.00544	0.00544	0.00000	0.00000	0.1114	0.1196	0.05528
220	0.00485	0.00485	0.00000	0.00000	0.1113	0.1107	0.05529
221	0.00477	0.00477	0.00000	0.00000	0.1118	0.1136	0.05469
222	0.00541	0.00541	0.00000	0.00000	0.1100	0.1348	0.05390
223	0.00504	0.00504	0.00000	0.00000	0.1128	0.1084	0.05449
224	0.00500	0.00500	0.00000	0.00000	0.1113	0.1224	0.05538
225	0.00478	0.00478	0.00000	0.00000	0.1104	0.1371	0.05588
226	0.00469	0.00469	0.00000	0.00000	0.1126	0.1102	0.05322
227	0.00479	0.00479	0.00000	0.00000	0.1112	0.1248	0.05440
228	0.00454	0.00454	0.00000	0.00000	0.1113	0.1071	0.05299
229	0.00472	0.00472	0.00000	0.00000	0.1115	0.1170	0.05515
230	0.00473	0.00473	0.00000	0.00000	0.1105	0.1386	0.05771
231	0.00497	0.00497	0.00000	0.00000	0.1125	0.1254	0.05288
232	0.00475	0.00475	0.00000	0.00000	0.1111	0.1164	0.05467
233	0.00466	0.00466	0.00000	0.00000	0.1121	0.1201	0.05618
234	0.00457	0.00457	0.00000	0.00000	0.1118	0.1097	0.05381
235	0.00469	0.00469	0.00000	0.00000	0.1113	0.1226	0.05221
236	0.00419	0.00419	0.00000	0.00000	0.1116	0.1133	0.05432
