# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "input", "norm": "batch", "mode": "regress", "margin": 0.0, "seed": 2, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/ablation/policy_input_s2.pt", "logdir": "method01_advantage_regress/outputs/kitti/ablation/logs", "tag": "abl_input_s2"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04538	0.04538	0.00000	0.00000	0.1072	0.0346	0.04732
1	0.04008	0.04008	0.00000	0.00000	0.1120	0.0728	0.04190
2	0.03836	0.03836	0.00000	0.00000	0.1107	0.1220	0.04045
3	0.03792	0.03792	0.00000	0.00000	0.1138	0.1067	0.03940
4	0.03659	0.03659	0.00000	0.00000	0.1107	0.0983	0.03958
5	0.03505	0.03505	0.00000	0.00000	0.1099	0.1204	0.03959
6	0.03437	0.03437	0.00000	0.00000	0.1120	0.1214	0.04079
7	0.03362	0.03362	0.00000	0.00000	0.1125	0.0779	0.03992
8	0.03322	0.03322	0.00000	0.00000	0.1105	0.1415	0.04029
9	0.03168	0.03168	0.00000	0.00000	0.1136	0.1033	0.03907
10	0.03198	0.03198	0.00000	0.00000	0.1108	0.1013	0.03956
11	0.03110	0.03110	0.00000	0.00000	0.1112	0.0813	0.04037
12	0.03027	0.03027	0.00000	0.00000	0.1079	0.1129	0.03984
13	0.02928	0.02928	0.00000	0.00000	0.1128	0.1079	0.03953
14	0.02863	0.02863	0.00000	0.00000	0.1129	0.1068	0.03942
15	0.02852	0.02852	0.00000	0.00000	0.1090	0.1052	0.04110
16	0.02954	0.02954	0.00000	0.00000	0.1118	0.1356	0.04027
17	0.02748	0.02748	0.00000	0.00000	0.1108	0.1194	0.04096
18	0.02687	0.02687	0.00000	0.00000	0.1118	0.1201	0.03978
19	0.02709	0.02709	0.00000	0.00000	0.1116	0.1089	0.04082
20	0.02659	0.02659	0.00000	0.00000	0.1117	0.1066	0.04266
21	0.02542	0.02542	0.00000	0.00000	0.1106	0.1133	0.04070
22	0.02524	0.02524	0.00000	0.00000	0.1102	0.1426	0.04241
23	0.02456	0.02456	0.00000	0.00000	0.1111	0.1330	0.04242
24	0.02383	0.02383	0.00000	0.00000	0.1127	0.0923	0.04167
25	0.02392	0.02392	0.00000	0.00000	0.1112	0.1045	0.04182
26	0.02308	0.02308	0.00000	0.00000	0.1119	0.1244	0.04214
27	0.02424	0.02424	0.00000	0.00000	0.1112	0.1107	0.04233
28	0.02288	0.02288	0.00000	0.00000	0.1118	0.0937	0.04173
29	0.02369	0.02369	0.00000	0.00000	0.1110	0.1195	0.04330
30	0.02176	0.02176	0.00000	0.00000	0.1111	0.1102	0.04191
31	0.02110	0.02110	0.00000	0.00000	0.1120	0.1161	0.04213
32	0.02081	0.02081	0.00000	0.00000	0.1097	0.1210	0.04212
33	0.02119	0.02119	0.00000	0.00000	0.1154	0.0966	0.04215
34	0.02075	0.02075	0.00000	0.00000	0.1108	0.0879	0.04323
35	0.02069	0.02069	0.00000	0.00000	0.1121	0.1037	0.04283
36	0.02001	0.02001	0.00000	0.00000	0.1109	0.0964	0.04319
37	0.01925	0.01925	0.00000	0.00000	0.1113	0.1171	0.04372
38	0.01871	0.01871	0.00000	0.00000	0.1112	0.1004	0.04310
39	0.01858	0.01858	0.00000	0.00000	0.1117	0.0970	0.04379
40	0.01954	0.01954	0.00000	0.00000	0.1100	0.1166	0.04223
