# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "both", "norm": "batch", "mode": "regress", "margin": 0.0, "seed": 3, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/ablation/policy_both_s3.pt", "logdir": "method01_advantage_regress/outputs/kitti/ablation/logs", "tag": "abl_both_s3"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04595	0.04595	0.00000	0.00000	0.1127	0.0885	0.04240
1	0.04038	0.04038	0.00000	0.00000	0.1102	0.0960	0.04102
2	0.03775	0.03775	0.00000	0.00000	0.1109	0.0805	0.04062
3	0.03730	0.03730	0.00000	0.00000	0.1087	0.0806	0.04043
4	0.03584	0.03584	0.00000	0.00000	0.1143	0.0988	0.03933
5	0.03419	0.03419	0.00000	0.00000	0.1097	0.1353	0.04006
6	0.03298	0.03298	0.00000	0.00000	0.1107	0.1298	0.04001
7	0.03297	0.03297	0.00000	0.00000	0.1123	0.0761	0.04077
8	0.03226	0.03226	0.00000	0.00000	0.1111	0.1042	0.03945
9	0.03136	0.03136	0.00000	0.00000	0.1107	0.1181	0.04007
10	0.03082	0.03082	0.00000	0.00000	0.1145	0.0975	0.03922
11	0.03031	0.03031	0.00000	0.00000	0.1111	0.0992	0.03984
12	0.02975	0.02975	0.00000	0.00000	0.1098	0.1105	0.03920
13	0.02772	0.02772	0.00000	0.00000	0.1103	0.1196	0.04038
14	0.02765	0.02765	0.00000	0.00000	0.1116	0.1253	0.04147
15	0.02685	0.02685	0.00000	0.00000	0.1105	0.1219	0.04234
16	0.02684	0.02684	0.00000	0.00000	0.1118	0.1047	0.04074
17	0.02613	0.02613	0.00000	0.00000	0.1110	0.1302	0.03986
18	0.02481	0.02481	0.00000	0.00000	0.1109	0.0988	0.04224
19	0.02458	0.02458	0.00000	0.00000	0.1113	0.1150	0.04202
20	0.02492	0.02492	0.00000	0.00000	0.1117	0.1011	0.04136
21	0.02485	0.02485	0.00000	0.00000	0.1107	0.1301	0.04140
22	0.02415	0.02415	0.00000	0.00000	0.1094	0.1304	0.04226
23	0.02324	0.02324	0.00000	0.00000	0.1143	0.1004	0.04195
24	0.02224	0.02224	0.00000	0.00000	0.1127	0.1050	0.04147
25	0.02154	0.02154	0.00000	0.00000	0.1099	0.1074	0.04173
26	0.02079	0.02079	0.00000	0.00000	0.1094	0.1313	0.04291
27	0.02069	0.02069	0.00000	0.00000	0.1126	0.1126	0.04322
28	0.02056	0.02056	0.00000	0.00000	0.1104	0.1008	0.04205
29	0.01937	0.01937	0.00000	0.00000	0.1115	0.1229	0.04429
30	0.02001	0.02001	0.00000	0.00000	0.1110	0.0980	0.04284
31	0.01932	0.01932	0.00000	0.00000	0.1109	0.1217	0.04365
32	0.01862	0.01862	0.00000	0.00000	0.1145	0.0979	0.04280
33	0.01829	0.01829	0.00000	0.00000	0.1118	0.0937	0.04428
