# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "both", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "margin": 0.0, "seed": 1, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/ablation/policy_both_s1.pt", "logdir": "method01_advantage_regress/outputs/kitti/ablation/logs", "tag": "corr_both_s1"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04460	0.04460	0.00000	0.00000	0.1110	0.1000	0.04246
1	0.04099	0.04099	0.00000	0.00000	0.1131	0.0943	0.04064
2	0.03831	0.03831	0.00000	0.00000	0.1096	0.0993	0.04025
3	0.03706	0.03706	0.00000	0.00000	0.1121	0.1014	0.04085
4	0.03558	0.03558	0.00000	0.00000	0.1087	0.1204	0.03881
5	0.03433	0.03433	0.00000	0.00000	0.1154	0.0765	0.03965
6	0.03340	0.03340	0.00000	0.00000	0.1107	0.1262	0.04078
7	0.03237	0.03237	0.00000	0.00000	0.1110	0.0837	0.03965
8	0.03176	0.03176	0.00000	0.00000	0.1127	0.0695	0.04307
9	0.03152	0.03152	0.00000	0.00000	0.1100	0.1041	0.04065
10	0.02987	0.02987	0.00000	0.00000	0.1114	0.1106	0.03960
11	0.02893	0.02893	0.00000	0.00000	0.1114	0.1010	0.04106
12	0.02927	0.02927	0.00000	0.00000	0.1117	0.1348	0.03928
13	0.02888	0.02888	0.00000	0.00000	0.1095	0.1171	0.04054
14	0.02763	0.02763	0.00000	0.00000	0.1122	0.0999	0.04122
15	0.02703	0.02703	0.00000	0.00000	0.1104	0.1258	0.04033
16	0.02689	0.02689	0.00000	0.00000	0.1150	0.1004	0.04273
17	0.02552	0.02552	0.00000	0.00000	0.1112	0.1070	0.04191
18	0.02507	0.02507	0.00000	0.00000	0.1094	0.1190	0.03981
19	0.02538	0.02538	0.00000	0.00000	0.1119	0.1109	0.04162
20	0.02440	0.02440	0.00000	0.00000	0.1120	0.1042	0.04116
21	0.02362	0.02362	0.00000	0.00000	0.1136	0.0955	0.04318
22	0.02414	0.02414	0.00000	0.00000	0.1126	0.0781	0.04600
23	0.02350	0.02350	0.00000	0.00000	0.1117	0.1130	0.04252
24	0.02320	0.02320	0.00000	0.00000	0.1090	0.1182	0.04366
25	0.02273	0.02273	0.00000	0.00000	0.1131	0.1056	0.04434
26	0.02139	0.02139	0.00000	0.00000	0.1104	0.1332	0.04414
27	0.02073	0.02073	0.00000	0.00000	0.1131	0.0974	0.04219
28	0.01995	0.01995	0.00000	0.00000	0.1109	0.0904	0.04439
29	0.02024	0.02024	0.00000	0.00000	0.1120	0.0981	0.04281
30	0.01935	0.01935	0.00000	0.00000	0.1118	0.1005	0.04454
31	0.02002	0.02002	0.00000	0.00000	0.1104	0.1279	0.04402
32	0.01928	0.01928	0.00000	0.00000	0.1120	0.1152	0.04305
33	0.01844	0.01844	0.00000	0.00000	0.1114	0.1068	0.04327
34	0.01775	0.01775	0.00000	0.00000	0.1120	0.0922	0.04354
35	0.01759	0.01759	0.00000	0.00000	0.1109	0.1019	0.04378
36	0.01712	0.01712	0.00000	0.00000	0.1118	0.1081	0.04345
37	0.01715	0.01715	0.00000	0.00000	0.1123	0.1174	0.04518
38	0.01645	0.01645	0.00000	0.00000	0.1089	0.1496	0.04755
39	0.01692	0.01692	0.00000	0.00000	0.1135	0.1058	0.04309
40	0.01656	0.01656	0.00000	0.00000	0.1125	0.0846	0.04437
41	0.01654	0.01654	0.00000	0.00000	0.1109	0.1141	0.04381
42	0.01579	0.01579	0.00000	0.00000	0.1143	0.0925	0.04335
43	0.01486	0.01486	0.00000	0.00000	0.1109	0.0926	0.04492
44	0.01482	0.01482	0.00000	0.00000	0.1091	0.1298	0.04568
45	0.01517	0.01517	0.00000	0.00000	0.1114	0.1160	0.04518
46	0.01468	0.01468	0.00000	0.00000	0.1124	0.0885	0.04748
47	0.01507	0.01507	0.00000	0.00000	0.1100	0.1291	0.04584
48	0.01423	0.01423	0.00000	0.00000	0.1122	0.1066	0.04545
49	0.01370	0.01370	0.00000	0.00000	0.1121	0.1128	0.04490
50	0.01333	0.01333	0.00000	0.00000	0.1099	0.1082	0.04433
51	0.01379	0.01379	0.00000	0.00000	0.1134	0.0957	0.04601
52	0.01395	0.01395	0.00000	0.00000	0.1112	0.0928	0.04574
53	0.01290	0.01290	0.00000	0.00000	0.1111	0.0997	0.04505
54	0.01225	0.01225	0.00000	0.00000	0.1105	0.1208	0.04446
55	0.01318	0.01318	0.00000	0.00000	0.1130	0.1140	0.04599
56	0.01242	0.01242	0.00000	0.00000	0.1104	0.1051	0.04419
57	0.01272	0.01272	0.00000	0.00000	0.1114	0.1052	0.04547
58	0.01207	0.01207	0.00000	0.00000	0.1116	0.0948	0.04549
59	0.01204	0.01204	0.00000	0.00000	0.1112	0.1025	0.04628
60	0.01174	0.01174	0.00000	0.00000	0.1121	0.0804	0.04761
61	0.01143	0.01143	0.00000	0.00000	0.1104	0.1210	0.04563
62	0.01163	0.01163	0.00000	0.00000	0.1117	0.1181	0.04617
63	0.01128	0.01128	0.00000	0.00000	0.1090	0.1385	0.04720
64	0.01142	0.01142	0.00000	0.00000	0.1141	0.1090	0.04536
65	0.01057	0.01057	0.00000	0.00000	0.1100	0.1133	0.04601
66	0.01073	0.01073	0.00000	0.00000	0.1127	0.1022	0.04623
67	0.01083	0.01083	0.00000	0.00000	0.1115	0.0847	0.04770
