# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "input", "norm": "batch", "dropout": 0.2, "weight_decay": 0.0001, "mode": "regress", "margin": 0.0, "seed": 2, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/ablation_reg/policy_input_s2.pt", "logdir": "method01_advantage_regress/outputs/kitti/ablation_reg/logs", "tag": "reg_input_s2"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04883	0.04883	0.00000	0.00000	0.1037	0.0383	0.04712
1	0.04253	0.04253	0.00000	0.00000	0.1113	0.0615	0.04287
2	0.04088	0.04088	0.00000	0.00000	0.1087	0.1120	0.03946
3	0.03928	0.03928	0.00000	0.00000	0.1121	0.0948	0.03918
4	0.03777	0.03777	0.00000	0.00000	0.1091	0.1164	0.04029
5	0.03670	0.03670	0.00000	0.00000	0.1110	0.1162	0.03998
6	0.03685	0.03685	0.00000	0.00000	0.1092	0.1070	0.04024
7	0.03557	0.03557	0.00000	0.00000	0.1115	0.1032	0.03974
8	0.03594	0.03594	0.00000	0.00000	0.1064	0.1103	0.03860
9	0.03440	0.03440	0.00000	0.00000	0.1159	0.0973	0.03856
10	0.03462	0.03462	0.00000	0.00000	0.1076	0.1188	0.03885
11	0.03322	0.03322	0.00000	0.00000	0.1110	0.1186	0.03925
12	0.03296	0.03296	0.00000	0.00000	0.1098	0.0930	0.03878
13	0.03239	0.03239	0.00000	0.00000	0.1113	0.0977	0.03828
14	0.03220	0.03220	0.00000	0.00000	0.1082	0.1224	0.03954
15	0.03156	0.03156	0.00000	0.00000	0.1127	0.1053	0.03973
16	0.03156	0.03156	0.00000	0.00000	0.1060	0.1260	0.03884
17	0.03142	0.03142	0.00000	0.00000	0.1123	0.1011	0.03882
18	0.03017	0.03017	0.00000	0.00000	0.1113	0.1168	0.03809
19	0.03031	0.03031	0.00000	0.00000	0.1102	0.1020	0.03928
20	0.02986	0.02986	0.00000	0.00000	0.1107	0.1158	0.04058
21	0.02960	0.02960	0.00000	0.00000	0.1084	0.1065	0.03819
22	0.02922	0.02922	0.00000	0.00000	0.1092	0.1197	0.03865
23	0.02871	0.02871	0.00000	0.00000	0.1121	0.1032	0.04056
24	0.02789	0.02789	0.00000	0.00000	0.1108	0.1087	0.03898
25	0.02848	0.02848	0.00000	0.00000	0.1116	0.0960	0.04035
26	0.02801	0.02801	0.00000	0.00000	0.1101	0.1145	0.04089
27	0.02889	0.02889	0.00000	0.00000	0.1092	0.1132	0.03793
28	0.02770	0.02770	0.00000	0.00000	0.1131	0.1017	0.04038
29	0.02801	0.02801	0.00000	0.00000	0.1092	0.0988	0.03974
30	0.02673	0.02673	0.00000	0.00000	0.1105	0.0987	0.03867
31	0.02639	0.02639	0.00000	0.00000	0.1151	0.0936	0.04017
32	0.02578	0.02578	0.00000	0.00000	0.1072	0.0969	0.04076
33	0.02607	0.02607	0.00000	0.00000	0.1104	0.1144	0.03900
34	0.02562	0.02562	0.00000	0.00000	0.1135	0.1010	0.03947
35	0.02556	0.02556	0.00000	0.00000	0.1093	0.1095	0.04057
36	0.02551	0.02551	0.00000	0.00000	0.1106	0.1035	0.03885
37	0.02505	0.02505	0.00000	0.00000	0.1106	0.1081	0.04081
38	0.02501	0.02501	0.00000	0.00000	0.1103	0.1145	0.03950
39	0.02394	0.02394	0.00000	0.00000	0.1117	0.1025	0.04054
40	0.02435	0.02435	0.00000	0.00000	0.1113	0.0993	0.04086
41	0.02390	0.02390	0.00000	0.00000	0.1120	0.1129	0.03967
42	0.02368	0.02368	0.00000	0.00000	0.1105	0.1292	0.04169
43	0.02305	0.02305	0.00000	0.00000	0.1097	0.1243	0.04277
44	0.02356	0.02356	0.00000	0.00000	0.1119	0.0968	0.04150
45	0.02285	0.02285	0.00000	0.00000	0.1128	0.1044	0.04164
46	0.02297	0.02297	0.00000	0.00000	0.1098	0.1217	0.04088
47	0.02279	0.02279	0.00000	0.00000	0.1113	0.1083	0.04206
48	0.02275	0.02275	0.00000	0.00000	0.1110	0.1106	0.04186
49	0.02206	0.02206	0.00000	0.00000	0.1109	0.1134	0.04145
50	0.02210	0.02210	0.00000	0.00000	0.1142	0.0942	0.04169
51	0.02292	0.02292	0.00000	0.00000	0.1121	0.0992	0.04067
52	0.02197	0.02197	0.00000	0.00000	0.1095	0.1062	0.04157
53	0.02227	0.02227	0.00000	0.00000	0.1120	0.0998	0.04119
54	0.02231	0.02231	0.00000	0.00000	0.1098	0.1106	0.04188
55	0.02172	0.02172	0.00000	0.00000	0.1108	0.1100	0.04195
56	0.02117	0.02117	0.00000	0.00000	0.1107	0.1017	0.04122
57	0.02098	0.02098	0.00000	0.00000	0.1116	0.1180	0.04351
58	0.02102	0.02102	0.00000	0.00000	0.1121	0.1079	0.04098
59	0.02062	0.02062	0.00000	0.00000	0.1095	0.1051	0.04111
60	0.02010	0.02010	0.00000	0.00000	0.1118	0.1138	0.04227
61	0.01989	0.01989	0.00000	0.00000	0.1114	0.1005	0.04127
62	0.02005	0.02005	0.00000	0.00000	0.1110	0.1039	0.04314
63	0.02044	0.02044	0.00000	0.00000	0.1113	0.1290	0.04316
64	0.01979	0.01979	0.00000	0.00000	0.1102	0.1111	0.04226
65	0.01985	0.01985	0.00000	0.00000	0.1141	0.1036	0.04144
66	0.01968	0.01968	0.00000	0.00000	0.1114	0.0941	0.04163
67	0.01954	0.01954	0.00000	0.00000	0.1114	0.0897	0.04079
68	0.01907	0.01907	0.00000	0.00000	0.1106	0.1074	0.04119
69	0.01947	0.01947	0.00000	0.00000	0.1117	0.0912	0.04357
70	0.01923	0.01923	0.00000	0.00000	0.1111	0.1081	0.04191
71	0.01901	0.01901	0.00000	0.00000	0.1111	0.1169	0.04234
72	0.01919	0.01919	0.00000	0.00000	0.1095	0.1216	0.04300
73	0.01808	0.01808	0.00000	0.00000	0.1112	0.1143	0.04171
74	0.01884	0.01884	0.00000	0.00000	0.1112	0.1176	0.04332
75	0.01792	0.01792	0.00000	0.00000	0.1114	0.1303	0.04619
76	0.01873	0.01873	0.00000	0.00000	0.1144	0.0994	0.04383
77	0.01836	0.01836	0.00000	0.00000	0.1102	0.0930	0.04310
78	0.01753	0.01753	0.00000	0.00000	0.1111	0.1071	0.04271
79	0.01770	0.01770	0.00000	0.00000	0.1121	0.1062	0.04432
80	0.01743	0.01743	0.00000	0.00000	0.1137	0.1019	0.04232
81	0.01774	0.01774	0.00000	0.00000	0.1103	0.1202	0.04247
82	0.01701	0.01701	0.00000	0.00000	0.1103	0.1253	0.04409
83	0.01816	0.01816	0.00000	0.00000	0.1103	0.1163	0.04244
84	0.01783	0.01783	0.00000	0.00000	0.1117	0.0996	0.04369
85	0.01709	0.01709	0.00000	0.00000	0.1121	0.1131	0.04222
86	0.01687	0.01687	0.00000	0.00000	0.1093	0.1159	0.04340
87	0.01704	0.01704	0.00000	0.00000	0.1132	0.1094	0.04299
88	0.01675	0.01675	0.00000	0.00000	0.1117	0.1166	0.04363
89	0.01644	0.01644	0.00000	0.00000	0.1102	0.1185	0.04466
90	0.01730	0.01730	0.00000	0.00000	0.1118	0.1046	0.04332
91	0.01642	0.01642	0.00000	0.00000	0.1115	0.1156	0.04448
92	0.01739	0.01739	0.00000	0.00000	0.1118	0.1054	0.04247
93	0.01667	0.01667	0.00000	0.00000	0.1104	0.1068	0.04249
94	0.01615	0.01615	0.00000	0.00000	0.1121	0.0995	0.04305
95	0.01575	0.01575	0.00000	0.00000	0.1109	0.1060	0.04298
96	0.01581	0.01581	0.00000	0.00000	0.1108	0.1047	0.04257
97	0.01640	0.01640	0.00000	0.00000	0.1101	0.1080	0.04409
98	0.01587	0.01587	0.00000	0.00000	0.1130	0.1025	0.04444
99	0.01646	0.01646	0.00000	0.00000	0.1111	0.1023	0.04398
100	0.01584	0.01584	0.00000	0.00000	0.1121	0.0988	0.04506
101	0.01587	0.01587	0.00000	0.00000	0.1122	0.1015	0.04305
102	0.01704	0.01704	0.00000	0.00000	0.1102	0.1113	0.04374
103	0.01638	0.01638	0.00000	0.00000	0.1108	0.1030	0.04301
104	0.01557	0.01557	0.00000	0.00000	0.1117	0.1160	0.04415
105	0.01508	0.01508	0.00000	0.00000	0.1125	0.1013	0.04356
106	0.01603	0.01603	0.00000	0.00000	0.1120	0.0946	0.04392
107	0.01642	0.01642	0.00000	0.00000	0.1093	0.1117	0.04398
108	0.01591	0.01591	0.00000	0.00000	0.1118	0.1029	0.04483
109	0.01562	0.01562	0.00000	0.00000	0.1104	0.0959	0.04365
110	0.01601	0.01601	0.00000	0.00000	0.1107	0.1154	0.04297
111	0.01536	0.01536	0.00000	0.00000	0.1128	0.1141	0.04296
112	0.01525	0.01525	0.00000	0.00000	0.1135	0.0906	0.04514
113	0.01526	0.01526	0.00000	0.00000	0.1109	0.1049	0.04249
114	0.01540	0.01540	0.00000	0.00000	0.1091	0.1143	0.04507
115	0.01486	0.01486	0.00000	0.00000	0.1124	0.1325	0.04453
116	0.01521	0.01521	0.00000	0.00000	0.1114	0.1202	0.04512
117	0.01553	0.01553	0.00000	0.00000	0.1125	0.1093	0.04454
118	0.01487	0.01487	0.00000	0.00000	0.1118	0.1075	0.04375
119	0.01501	0.01501	0.00000	0.00000	0.1107	0.0938	0.04504
120	0.01504	0.01504	0.00000	0.00000	0.1107	0.0958	0.04450
121	0.01508	0.01508	0.00000	0.00000	0.1151	0.0991	0.04394
122	0.01491	0.01491	0.00000	0.00000	0.1084	0.0919	0.04552
123	0.01445	0.01445	0.00000	0.00000	0.1125	0.1006	0.04520
124	0.01533	0.01533	0.00000	0.00000	0.1100	0.1123	0.04587
125	0.01504	0.01504	0.00000	0.00000	0.1083	0.1240	0.04436
126	0.01424	0.01424	0.00000	0.00000	0.1147	0.1079	0.04597
127	0.01473	0.01473	0.00000	0.00000	0.1100	0.1246	0.04651
128	0.01391	0.01391	0.00000	0.00000	0.1110	0.1108	0.04462
129	0.01360	0.01360	0.00000	0.00000	0.1130	0.0979	0.04535
130	0.01411	0.01411	0.00000	0.00000	0.1121	0.0937	0.04385
131	0.01419	0.01419	0.00000	0.00000	0.1106	0.0975	0.04515
132	0.01409	0.01409	0.00000	0.00000	0.1122	0.0917	0.04646
133	0.01449	0.01449	0.00000	0.00000	0.1093	0.1143	0.04430
134	0.01369	0.01369	0.00000	0.00000	0.1131	0.0979	0.04655
135	0.01398	0.01398	0.00000	0.00000	0.1108	0.0961	0.04823
136	0.01441	0.01441	0.00000	0.00000	0.1120	0.1084	0.04505
137	0.01379	0.01379	0.00000	0.00000	0.1112	0.1110	0.04462
138	0.01371	0.01371	0.00000	0.00000	0.1114	0.1080	0.04549
139	0.01443	0.01443	0.00000	0.00000	0.1133	0.1092	0.04424
140	0.01427	0.01427	0.00000	0.00000	0.1103	0.1046	0.04653
141	0.01388	0.01388	0.00000	0.00000	0.1099	0.1231	0.04660
142	0.01361	0.01361	0.00000	0.00000	0.1122	0.1171	0.04563
143	0.01395	0.01395	0.00000	0.00000	0.1117	0.1078	0.04525
144	0.01386	0.01386	0.00000	0.00000	0.1143	0.0946	0.04568
145	0.01435	0.01435	0.00000	0.00000	0.1112	0.0950	0.04450
146	0.01408	0.01408	0.00000	0.00000	0.1095	0.1015	0.04375
147	0.01395	0.01395	0.00000	0.00000	0.1113	0.0939	0.04588
148	0.01361	0.01361	0.00000	0.00000	0.1111	0.1071	0.04556
149	0.01353	0.01353	0.00000	0.00000	0.1115	0.1095	0.04473
150	0.01399	0.01399	0.00000	0.00000	0.1108	0.1205	0.04518
151	0.01405	0.01405	0.00000	0.00000	0.1123	0.1067	0.04505
152	0.01346	0.01346	0.00000	0.00000	0.1130	0.1031	0.04440
153	0.01368	0.01368	0.00000	0.00000	0.1095	0.1058	0.04576
154	0.01297	0.01297	0.00000	0.00000	0.1114	0.0972	0.04418
155	0.01361	0.01361	0.00000	0.00000	0.1134	0.0758	0.04612
156	0.01341	0.01341	0.00000	0.00000	0.1112	0.1052	0.04586
157	0.01352	0.01352	0.00000	0.00000	0.1102	0.1156	0.04685
158	0.01340	0.01340	0.00000	0.00000	0.1122	0.1146	0.04427
159	0.01308	0.01308	0.00000	0.00000	0.1119	0.0989	0.04382
160	0.01318	0.01318	0.00000	0.00000	0.1113	0.1097	0.04545
161	0.01315	0.01315	0.00000	0.00000	0.1120	0.1284	0.04500
162	0.01386	0.01386	0.00000	0.00000	0.1116	0.1156	0.04588
163	0.01359	0.01359	0.00000	0.00000	0.1113	0.0916	0.04671
164	0.01336	0.01336	0.00000	0.00000	0.1116	0.1151	0.04655
165	0.01325	0.01325	0.00000	0.00000	0.1124	0.1039	0.04569
166	0.01340	0.01340	0.00000	0.00000	0.1101	0.0928	0.04632
167	0.01307	0.01307	0.00000	0.00000	0.1110	0.1053	0.04715
168	0.01275	0.01275	0.00000	0.00000	0.1115	0.1082	0.04613
169	0.01270	0.01270	0.00000	0.00000	0.1127	0.1077	0.04424
170	0.01257	0.01257	0.00000	0.00000	0.1104	0.0999	0.04386
171	0.01250	0.01250	0.00000	0.00000	0.1132	0.1033	0.04615
172	0.01250	0.01250	0.00000	0.00000	0.1116	0.0948	0.04583
173	0.01206	0.01206	0.00000	0.00000	0.1096	0.1155	0.04591
174	0.01250	0.01250	0.00000	0.00000	0.1126	0.1066	0.04735
175	0.01228	0.01228	0.00000	0.00000	0.1096	0.1254	0.04646
176	0.01251	0.01251	0.00000	0.00000	0.1123	0.1134	0.04610
177	0.01263	0.01263	0.00000	0.00000	0.1116	0.1154	0.04620
178	0.01200	0.01200	0.00000	0.00000	0.1131	0.1016	0.04613
179	0.01236	0.01236	0.00000	0.00000	0.1100	0.1148	0.04633
180	0.01204	0.01204	0.00000	0.00000	0.1106	0.1226	0.04527
181	0.01295	0.01295	0.00000	0.00000	0.1110	0.1268	0.04693
182	0.01264	0.01264	0.00000	0.00000	0.1119	0.1081	0.04586
183	0.01272	0.01272	0.00000	0.00000	0.1129	0.1000	0.04670
184	0.01244	0.01244	0.00000	0.00000	0.1092	0.1143	0.04607
185	0.01236	0.01236	0.00000	0.00000	0.1125	0.1176	0.04689
186	0.01258	0.01258	0.00000	0.00000	0.1102	0.1175	0.04707
187	0.01300	0.01300	0.00000	0.00000	0.1121	0.1181	0.04740
188	0.01276	0.01276	0.00000	0.00000	0.1117	0.1225	0.04540
189	0.01264	0.01264	0.00000	0.00000	0.1115	0.1091	0.04614
190	0.01243	0.01243	0.00000	0.00000	0.1102	0.1050	0.04740
191	0.01255	0.01255	0.00000	0.00000	0.1119	0.0966	0.04668
192	0.01241	0.01241	0.00000	0.00000	0.1106	0.1120	0.04582
193	0.01230	0.01230	0.00000	0.00000	0.1124	0.1148	0.04710
194	0.01223	0.01223	0.00000	0.00000	0.1120	0.0894	0.04817
195	0.01287	0.01287	0.00000	0.00000	0.1105	0.1078	0.04788
196	0.01236	0.01236	0.00000	0.00000	0.1107	0.1124	0.04658
197	0.01239	0.01239	0.00000	0.00000	0.1111	0.1046	0.04679
198	0.01249	0.01249	0.00000	0.00000	0.1107	0.1143	0.04761
199	0.01222	0.01222	0.00000	0.00000	0.1119	0.1148	0.04862
200	0.01149	0.01149	0.00000	0.00000	0.1118	0.1042	0.04791
201	0.01161	0.01161	0.00000	0.00000	0.1103	0.1135	0.04746
202	0.01219	0.01219	0.00000	0.00000	0.1124	0.1137	0.04712
203	0.01230	0.01230	0.00000	0.00000	0.1103	0.1082	0.04627
204	0.01161	0.01161	0.00000	0.00000	0.1107	0.1126	0.04770
205	0.01154	0.01154	0.00000	0.00000	0.1134	0.0939	0.04801
206	0.01215	0.01215	0.00000	0.00000	0.1109	0.1107	0.04674
207	0.01206	0.01206	0.00000	0.00000	0.1113	0.1176	0.04676
208	0.01160	0.01160	0.00000	0.00000	0.1123	0.1114	0.04677
209	0.01232	0.01232	0.00000	0.00000	0.1105	0.1087	0.04649
210	0.01151	0.01151	0.00000	0.00000	0.1127	0.1076	0.04757
211	0.01205	0.01205	0.00000	0.00000	0.1116	0.1077	0.04560
212	0.01258	0.01258	0.00000	0.00000	0.1107	0.1041	0.04476
213	0.01219	0.01219	0.00000	0.00000	0.1116	0.1111	0.04680
214	0.01237	0.01237	0.00000	0.00000	0.1109	0.1141	0.04742
215	0.01255	0.01255	0.00000	0.00000	0.1103	0.1181	0.04762
216	0.01228	0.01228	0.00000	0.00000	0.1120	0.1139	0.04557
217	0.01210	0.01210	0.00000	0.00000	0.1117	0.1232	0.04684
218	0.01213	0.01213	0.00000	0.00000	0.1120	0.1005	0.04726
219	0.01173	0.01173	0.00000	0.00000	0.1101	0.1008	0.04569
220	0.01194	0.01194	0.00000	0.00000	0.1123	0.1059	0.04605
221	0.01153	0.01153	0.00000	0.00000	0.1108	0.1142	0.04724
222	0.01254	0.01254	0.00000	0.00000	0.1117	0.1201	0.04485
223	0.01205	0.01205	0.00000	0.00000	0.1121	0.0982	0.04695
224	0.01180	0.01180	0.00000	0.00000	0.1111	0.1028	0.04523
225	0.01131	0.01131	0.00000	0.00000	0.1124	0.0998	0.04604
226	0.01135	0.01135	0.00000	0.00000	0.1104	0.1146	0.04479
227	0.01173	0.01173	0.00000	0.00000	0.1128	0.1097	0.04747
228	0.01176	0.01176	0.00000	0.00000	0.1111	0.1088	0.04518
229	0.01162	0.01162	0.00000	0.00000	0.1114	0.1078	0.04566
230	0.01186	0.01186	0.00000	0.00000	0.1121	0.0933	0.04652
231	0.01173	0.01173	0.00000	0.00000	0.1103	0.0999	0.04623
232	0.01142	0.01142	0.00000	0.00000	0.1124	0.0923	0.04502
233	0.01151	0.01151	0.00000	0.00000	0.1093	0.1178	0.04804
234	0.01183	0.01183	0.00000	0.00000	0.1133	0.1149	0.04667
235	0.01157	0.01157	0.00000	0.00000	0.1118	0.0928	0.04768
