# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "both", "norm": "batch", "dropout": 0.2, "weight_decay": 0.0001, "mode": "regress", "margin": 0.0, "seed": 4, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/ablation_reg/policy_both_s4.pt", "logdir": "method01_advantage_regress/outputs/kitti/ablation_reg/logs", "tag": "reg_both_s4"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.05021	0.05021	0.00000	0.00000	0.1063	0.1074	0.04179
1	0.04272	0.04272	0.00000	0.00000	0.1149	0.0919	0.04129
2	0.04009	0.04009	0.00000	0.00000	0.1115	0.0923	0.03973
3	0.03846	0.03846	0.00000	0.00000	0.1082	0.1035	0.03913
4	0.03692	0.03692	0.00000	0.00000	0.1148	0.0899	0.03955
5	0.03663	0.03663	0.00000	0.00000	0.1085	0.1116	0.03883
6	0.03554	0.03554	0.00000	0.00000	0.1107	0.1050	0.03860
7	0.03515	0.03515	0.00000	0.00000	0.1114	0.1073	0.03805
8	0.03447	0.03447	0.00000	0.00000	0.1083	0.1119	0.03771
9	0.03340	0.03340	0.00000	0.00000	0.1115	0.1158	0.03873
10	0.03332	0.03332	0.00000	0.00000	0.1137	0.1036	0.03777
11	0.03269	0.03269	0.00000	0.00000	0.1105	0.1032	0.03811
12	0.03278	0.03278	0.00000	0.00000	0.1101	0.1260	0.03851
13	0.03209	0.03209	0.00000	0.00000	0.1115	0.1072	0.03852
14	0.03164	0.03164	0.00000	0.00000	0.1120	0.1155	0.03692
15	0.03066	0.03066	0.00000	0.00000	0.1128	0.0956	0.03883
16	0.02990	0.02990	0.00000	0.00000	0.1104	0.0968	0.03892
17	0.03002	0.03002	0.00000	0.00000	0.1120	0.1137	0.03771
18	0.02935	0.02935	0.00000	0.00000	0.1091	0.1238	0.03849
19	0.02918	0.02918	0.00000	0.00000	0.1146	0.0966	0.03874
20	0.02896	0.02896	0.00000	0.00000	0.1086	0.1096	0.03993
21	0.02916	0.02916	0.00000	0.00000	0.1115	0.1166	0.03938
22	0.02798	0.02798	0.00000	0.00000	0.1126	0.1122	0.04010
23	0.02701	0.02701	0.00000	0.00000	0.1107	0.1188	0.03926
24	0.02702	0.02702	0.00000	0.00000	0.1116	0.1174	0.04012
25	0.02722	0.02722	0.00000	0.00000	0.1106	0.0930	0.03892
26	0.02650	0.02650	0.00000	0.00000	0.1133	0.0873	0.03972
27	0.02606	0.02606	0.00000	0.00000	0.1097	0.1101	0.03873
28	0.02619	0.02619	0.00000	0.00000	0.1113	0.1160	0.03889
29	0.02560	0.02560	0.00000	0.00000	0.1108	0.1092	0.03744
30	0.02545	0.02545	0.00000	0.00000	0.1106	0.1168	0.03924
31	0.02617	0.02617	0.00000	0.00000	0.1136	0.1071	0.03983
32	0.02543	0.02543	0.00000	0.00000	0.1126	0.1157	0.03871
33	0.02477	0.02477	0.00000	0.00000	0.1086	0.1115	0.03905
34	0.02399	0.02399	0.00000	0.00000	0.1115	0.1070	0.03996
35	0.02451	0.02451	0.00000	0.00000	0.1123	0.0873	0.03992
36	0.02447	0.02447	0.00000	0.00000	0.1138	0.1121	0.03855
37	0.02385	0.02385	0.00000	0.00000	0.1122	0.1066	0.03886
38	0.02267	0.02267	0.00000	0.00000	0.1083	0.1081	0.04200
39	0.02330	0.02330	0.00000	0.00000	0.1126	0.1023	0.04079
40	0.02318	0.02318	0.00000	0.00000	0.1112	0.1124	0.04069
41	0.02287	0.02287	0.00000	0.00000	0.1107	0.1133	0.04050
42	0.02278	0.02278	0.00000	0.00000	0.1139	0.1089	0.04104
43	0.02200	0.02200	0.00000	0.00000	0.1092	0.1113	0.03910
44	0.02253	0.02253	0.00000	0.00000	0.1124	0.1045	0.04039
45	0.02173	0.02173	0.00000	0.00000	0.1107	0.1190	0.04217
46	0.02141	0.02141	0.00000	0.00000	0.1108	0.1144	0.03959
47	0.02141	0.02141	0.00000	0.00000	0.1118	0.1135	0.03962
48	0.02160	0.02160	0.00000	0.00000	0.1122	0.1019	0.04115
49	0.02082	0.02082	0.00000	0.00000	0.1110	0.0941	0.04077
50	0.02114	0.02114	0.00000	0.00000	0.1112	0.0936	0.04050
51	0.02066	0.02066	0.00000	0.00000	0.1120	0.0884	0.04167
52	0.02074	0.02074	0.00000	0.00000	0.1101	0.1072	0.04190
53	0.01944	0.01944	0.00000	0.00000	0.1116	0.1159	0.04141
54	0.01952	0.01952	0.00000	0.00000	0.1101	0.1264	0.04038
55	0.01965	0.01965	0.00000	0.00000	0.1137	0.0994	0.03926
56	0.01863	0.01863	0.00000	0.00000	0.1129	0.1033	0.04169
57	0.01907	0.01907	0.00000	0.00000	0.1098	0.1136	0.04102
58	0.01843	0.01843	0.00000	0.00000	0.1118	0.1178	0.04119
59	0.01838	0.01838	0.00000	0.00000	0.1106	0.1014	0.04204
60	0.01917	0.01917	0.00000	0.00000	0.1134	0.0993	0.04094
61	0.01905	0.01905	0.00000	0.00000	0.1099	0.1113	0.04142
62	0.01845	0.01845	0.00000	0.00000	0.1110	0.1084	0.03993
63	0.01854	0.01854	0.00000	0.00000	0.1138	0.1176	0.04214
64	0.01822	0.01822	0.00000	0.00000	0.1114	0.1116	0.04190
65	0.01761	0.01761	0.00000	0.00000	0.1119	0.1051	0.04275
66	0.01772	0.01772	0.00000	0.00000	0.1110	0.1135	0.04145
67	0.01834	0.01834	0.00000	0.00000	0.1107	0.1234	0.04276
68	0.01720	0.01720	0.00000	0.00000	0.1142	0.0773	0.04376
69	0.01748	0.01748	0.00000	0.00000	0.1086	0.1072	0.04032
70	0.01699	0.01699	0.00000	0.00000	0.1132	0.1110	0.04037
71	0.01746	0.01746	0.00000	0.00000	0.1108	0.1046	0.04234
72	0.01765	0.01765	0.00000	0.00000	0.1122	0.1201	0.04383
73	0.01734	0.01734	0.00000	0.00000	0.1102	0.1089	0.04236
74	0.01661	0.01661	0.00000	0.00000	0.1099	0.1249	0.04087
75	0.01712	0.01712	0.00000	0.00000	0.1141	0.1062	0.04229
76	0.01668	0.01668	0.00000	0.00000	0.1118	0.0930	0.04322
77	0.01707	0.01707	0.00000	0.00000	0.1102	0.0974	0.04115
78	0.01676	0.01676	0.00000	0.00000	0.1125	0.1150	0.04127
79	0.01600	0.01600	0.00000	0.00000	0.1112	0.1127	0.04247
80	0.01593	0.01593	0.00000	0.00000	0.1124	0.1092	0.04218
81	0.01584	0.01584	0.00000	0.00000	0.1102	0.0968	0.04324
82	0.01577	0.01577	0.00000	0.00000	0.1105	0.1254	0.04186
83	0.01640	0.01640	0.00000	0.00000	0.1125	0.1249	0.04221
84	0.01661	0.01661	0.00000	0.00000	0.1119	0.1148	0.04253
85	0.01607	0.01607	0.00000	0.00000	0.1118	0.1218	0.04284
86	0.01596	0.01596	0.00000	0.00000	0.1104	0.1247	0.04259
87	0.01555	0.01555	0.00000	0.00000	0.1127	0.1142	0.04297
88	0.01561	0.01561	0.00000	0.00000	0.1123	0.0925	0.04452
89	0.01542	0.01542	0.00000	0.00000	0.1096	0.1090	0.04465
90	0.01545	0.01545	0.00000	0.00000	0.1129	0.0998	0.04363
91	0.01515	0.01515	0.00000	0.00000	0.1114	0.1007	0.04207
92	0.01507	0.01507	0.00000	0.00000	0.1106	0.1217	0.04385
93	0.01484	0.01484	0.00000	0.00000	0.1112	0.1172	0.04306
94	0.01553	0.01553	0.00000	0.00000	0.1130	0.0905	0.04365
95	0.01541	0.01541	0.00000	0.00000	0.1118	0.1094	0.04235
96	0.01480	0.01480	0.00000	0.00000	0.1126	0.0911	0.04317
97	0.01534	0.01534	0.00000	0.00000	0.1090	0.1044	0.04385
98	0.01468	0.01468	0.00000	0.00000	0.1120	0.1191	0.04265
99	0.01438	0.01438	0.00000	0.00000	0.1123	0.1075	0.04301
100	0.01456	0.01456	0.00000	0.00000	0.1098	0.1406	0.04481
101	0.01452	0.01452	0.00000	0.00000	0.1126	0.1126	0.04271
102	0.01475	0.01475	0.00000	0.00000	0.1112	0.1213	0.04371
103	0.01490	0.01490	0.00000	0.00000	0.1118	0.1105	0.04281
104	0.01364	0.01364	0.00000	0.00000	0.1116	0.0984	0.04397
105	0.01420	0.01420	0.00000	0.00000	0.1117	0.1264	0.04522
106	0.01467	0.01467	0.00000	0.00000	0.1088	0.1420	0.04534
107	0.01501	0.01501	0.00000	0.00000	0.1122	0.1180	0.04352
108	0.01428	0.01428	0.00000	0.00000	0.1107	0.1145	0.04557
109	0.01339	0.01339	0.00000	0.00000	0.1111	0.1139	0.04345
110	0.01344	0.01344	0.00000	0.00000	0.1125	0.0961	0.04342
111	0.01420	0.01420	0.00000	0.00000	0.1116	0.0928	0.04357
112	0.01378	0.01378	0.00000	0.00000	0.1121	0.1041	0.04248
113	0.01342	0.01342	0.00000	0.00000	0.1104	0.0953	0.04435
114	0.01415	0.01415	0.00000	0.00000	0.1096	0.1153	0.04128
115	0.01393	0.01393	0.00000	0.00000	0.1114	0.1176	0.04255
116	0.01355	0.01355	0.00000	0.00000	0.1128	0.1047	0.04381
117	0.01370	0.01370	0.00000	0.00000	0.1115	0.1104	0.04411
118	0.01341	0.01341	0.00000	0.00000	0.1122	0.0999	0.04405
119	0.01369	0.01369	0.00000	0.00000	0.1111	0.1008	0.04201
120	0.01342	0.01342	0.00000	0.00000	0.1121	0.0856	0.04518
121	0.01365	0.01365	0.00000	0.00000	0.1101	0.1011	0.04396
122	0.01345	0.01345	0.00000	0.00000	0.1126	0.1024	0.04414
123	0.01363	0.01363	0.00000	0.00000	0.1134	0.1060	0.04276
124	0.01279	0.01279	0.00000	0.00000	0.1115	0.0975	0.04407
125	0.01285	0.01285	0.00000	0.00000	0.1102	0.1088	0.04644
126	0.01284	0.01284	0.00000	0.00000	0.1115	0.1154	0.04334
127	0.01368	0.01368	0.00000	0.00000	0.1139	0.0918	0.04326
128	0.01351	0.01351	0.00000	0.00000	0.1103	0.0898	0.04434
129	0.01316	0.01316	0.00000	0.00000	0.1102	0.1097	0.04571
130	0.01289	0.01289	0.00000	0.00000	0.1113	0.1120	0.04294
131	0.01309	0.01309	0.00000	0.00000	0.1109	0.1040	0.04313
132	0.01289	0.01289	0.00000	0.00000	0.1120	0.1197	0.04436
133	0.01278	0.01278	0.00000	0.00000	0.1118	0.1040	0.04314
134	0.01205	0.01205	0.00000	0.00000	0.1109	0.0950	0.04445
135	0.01278	0.01278	0.00000	0.00000	0.1112	0.1016	0.04450
136	0.01296	0.01296	0.00000	0.00000	0.1106	0.1124	0.04463
137	0.01291	0.01291	0.00000	0.00000	0.1094	0.1227	0.04606
138	0.01361	0.01361	0.00000	0.00000	0.1134	0.1002	0.04520
139	0.01274	0.01274	0.00000	0.00000	0.1101	0.1076	0.04490
140	0.01247	0.01247	0.00000	0.00000	0.1121	0.1057	0.04454
141	0.01253	0.01253	0.00000	0.00000	0.1127	0.0934	0.04432
142	0.01208	0.01208	0.00000	0.00000	0.1087	0.1185	0.04488
143	0.01253	0.01253	0.00000	0.00000	0.1140	0.1010	0.04452
144	0.01262	0.01262	0.00000	0.00000	0.1122	0.0876	0.04339
145	0.01235	0.01235	0.00000	0.00000	0.1100	0.1177	0.04456
146	0.01230	0.01230	0.00000	0.00000	0.1136	0.1083	0.04346
147	0.01211	0.01211	0.00000	0.00000	0.1119	0.1056	0.04486
148	0.01289	0.01289	0.00000	0.00000	0.1102	0.1199	0.04359
149	0.01265	0.01265	0.00000	0.00000	0.1118	0.1032	0.04369
150	0.01271	0.01271	0.00000	0.00000	0.1113	0.1088	0.04134
151	0.01284	0.01284	0.00000	0.00000	0.1104	0.1173	0.04375
152	0.01257	0.01257	0.00000	0.00000	0.1122	0.0995	0.04323
153	0.01217	0.01217	0.00000	0.00000	0.1110	0.1012	0.04377
154	0.01231	0.01231	0.00000	0.00000	0.1125	0.1096	0.04540
155	0.01243	0.01243	0.00000	0.00000	0.1109	0.1276	0.04394
156	0.01240	0.01240	0.00000	0.00000	0.1125	0.1204	0.04556
157	0.01255	0.01255	0.00000	0.00000	0.1120	0.0875	0.04501
158	0.01179	0.01179	0.00000	0.00000	0.1092	0.0988	0.04540
159	0.01235	0.01235	0.00000	0.00000	0.1106	0.1096	0.04540
160	0.01201	0.01201	0.00000	0.00000	0.1118	0.1033	0.04435
161	0.01154	0.01154	0.00000	0.00000	0.1107	0.1219	0.04705
162	0.01209	0.01209	0.00000	0.00000	0.1125	0.1085	0.04328
163	0.01352	0.01352	0.00000	0.00000	0.1095	0.1275	0.04586
164	0.01273	0.01273	0.00000	0.00000	0.1120	0.0930	0.04703
165	0.01290	0.01290	0.00000	0.00000	0.1131	0.0936	0.04592
166	0.01205	0.01205	0.00000	0.00000	0.1117	0.1121	0.04394
167	0.01215	0.01215	0.00000	0.00000	0.1129	0.0966	0.04365
168	0.01144	0.01144	0.00000	0.00000	0.1111	0.0961	0.04684
169	0.01182	0.01182	0.00000	0.00000	0.1099	0.0941	0.04339
170	0.01166	0.01166	0.00000	0.00000	0.1115	0.1087	0.04499
171	0.01173	0.01173	0.00000	0.00000	0.1125	0.1083	0.04367
172	0.01164	0.01164	0.00000	0.00000	0.1121	0.0971	0.04531
173	0.01188	0.01188	0.00000	0.00000	0.1114	0.0823	0.04598
174	0.01236	0.01236	0.00000	0.00000	0.1114	0.0954	0.04343
175	0.01248	0.01248	0.00000	0.00000	0.1093	0.1197	0.04292
176	0.01133	0.01133	0.00000	0.00000	0.1126	0.1173	0.04556
177	0.01151	0.01151	0.00000	0.00000	0.1117	0.1023	0.04499
178	0.01160	0.01160	0.00000	0.00000	0.1100	0.1151	0.04574
179	0.01143	0.01143	0.00000	0.00000	0.1129	0.1085	0.04375
180	0.01159	0.01159	0.00000	0.00000	0.1101	0.1163	0.04256
181	0.01156	0.01156	0.00000	0.00000	0.1122	0.1130	0.04558
182	0.01167	0.01167	0.00000	0.00000	0.1119	0.0998	0.04306
183	0.01170	0.01170	0.00000	0.00000	0.1112	0.1048	0.04385
184	0.01123	0.01123	0.00000	0.00000	0.1104	0.1245	0.04403
185	0.01201	0.01201	0.00000	0.00000	0.1129	0.1006	0.04321
186	0.01188	0.01188	0.00000	0.00000	0.1103	0.1254	0.04523
187	0.01154	0.01154	0.00000	0.00000	0.1105	0.1185	0.04427
188	0.01106	0.01106	0.00000	0.00000	0.1125	0.1160	0.04474
189	0.01053	0.01053	0.00000	0.00000	0.1112	0.1051	0.04351
190	0.01098	0.01098	0.00000	0.00000	0.1132	0.0887	0.04724
191	0.01138	0.01138	0.00000	0.00000	0.1096	0.1165	0.04505
192	0.01135	0.01135	0.00000	0.00000	0.1109	0.1198	0.04687
193	0.01116	0.01116	0.00000	0.00000	0.1119	0.0894	0.04582
194	0.01093	0.01093	0.00000	0.00000	0.1097	0.1252	0.04512
195	0.01061	0.01061	0.00000	0.00000	0.1141	0.1066	0.04663
196	0.01085	0.01085	0.00000	0.00000	0.1099	0.1068	0.04475
197	0.01042	0.01042	0.00000	0.00000	0.1114	0.1096	0.04478
198	0.01064	0.01064	0.00000	0.00000	0.1117	0.1068	0.04547
199	0.01102	0.01102	0.00000	0.00000	0.1110	0.1073	0.04392
200	0.01054	0.01054	0.00000	0.00000	0.1111	0.1110	0.04239
201	0.01070	0.01070	0.00000	0.00000	0.1130	0.0925	0.04515
202	0.01098	0.01098	0.00000	0.00000	0.1108	0.1130	0.04525
203	0.01127	0.01127	0.00000	0.00000	0.1118	0.1026	0.04377
204	0.01157	0.01157	0.00000	0.00000	0.1115	0.0907	0.04495
205	0.01156	0.01156	0.00000	0.00000	0.1099	0.1271	0.04551
206	0.01080	0.01080	0.00000	0.00000	0.1120	0.1172	0.04611
207	0.01197	0.01197	0.00000	0.00000	0.1101	0.1144	0.04531
208	0.01125	0.01125	0.00000	0.00000	0.1122	0.1057	0.04365
209	0.01057	0.01057	0.00000	0.00000	0.1112	0.1113	0.04269
210	0.01063	0.01063	0.00000	0.00000	0.1132	0.0910	0.04531
211	0.01114	0.01114	0.00000	0.00000	0.1097	0.1248	0.04474
212	0.01108	0.01108	0.00000	0.00000	0.1142	0.0890	0.04615
213	0.01171	0.01171	0.00000	0.00000	0.1092	0.1202	0.04622
214	0.01102	0.01102	0.00000	0.00000	0.1119	0.1050	0.04445
215	0.01056	0.01056	0.00000	0.00000	0.1118	0.0970	0.04344
216	0.01093	0.01093	0.00000	0.00000	0.1114	0.1000	0.04360
217	0.01080	0.01080	0.00000	0.00000	0.1129	0.1037	0.04603
218	0.01075	0.01075	0.00000	0.00000	0.1099	0.1083	0.04262
219	0.01070	0.01070	0.00000	0.00000	0.1111	0.1158	0.04518
220	0.01167	0.01167	0.00000	0.00000	0.1140	0.0955	0.04580
221	0.01082	0.01082	0.00000	0.00000	0.1102	0.1018	0.04474
222	0.01077	0.01077	0.00000	0.00000	0.1115	0.0990	0.04464
223	0.01127	0.01127	0.00000	0.00000	0.1116	0.1131	0.04452
224	0.01089	0.01089	0.00000	0.00000	0.1122	0.1064	0.04470
225	0.01047	0.01047	0.00000	0.00000	0.1111	0.1002	0.04493
226	0.01040	0.01040	0.00000	0.00000	0.1118	0.0832	0.04321
227	0.01037	0.01037	0.00000	0.00000	0.1101	0.1359	0.04619
228	0.01021	0.01021	0.00000	0.00000	0.1111	0.1110	0.04457
229	0.01044	0.01044	0.00000	0.00000	0.1110	0.1115	0.04468
230	0.01097	0.01097	0.00000	0.00000	0.1123	0.1228	0.04492
231	0.01080	0.01080	0.00000	0.00000	0.1118	0.1197	0.04407
232	0.01073	0.01073	0.00000	0.00000	0.1126	0.1082	0.04456
233	0.01006	0.01006	0.00000	0.00000	0.1123	0.1092	0.04419
234	0.00969	0.00969	0.00000	0.00000	0.1109	0.0975	0.04470
235	0.01097	0.01097	0.00000	0.00000	0.1117	0.1149	0.04521
236	0.01034	0.01034	0.00000	0.00000	0.1085	0.1281	0.04511
237	0.01047	0.01047	0.00000	0.00000	0.1138	0.1235	0.04363
238	0.01050	0.01050	0.00000	0.00000	0.1111	0.1129	0.04264
239	0.00991	0.00991	0.00000	0.00000	0.1127	0.1023	0.04422
240	0.01012	0.01012	0.00000	0.00000	0.1091	0.1282	0.04524
241	0.01023	0.01023	0.00000	0.00000	0.1132	0.0915	0.04397
242	0.01024	0.01024	0.00000	0.00000	0.1105	0.1067	0.04426
243	0.01055	0.01055	0.00000	0.00000	0.1118	0.1063	0.04569
244	0.01018	0.01018	0.00000	0.00000	0.1111	0.1217	0.04372
245	0.01048	0.01048	0.00000	0.00000	0.1117	0.1060	0.04439
246	0.01041	0.01041	0.00000	0.00000	0.1117	0.1118	0.04552
247	0.01026	0.01026	0.00000	0.00000	0.1121	0.1046	0.04495
248	0.00983	0.00983	0.00000	0.00000	0.1109	0.1085	0.04334
249	0.00998	0.00998	0.00000	0.00000	0.1092	0.1183	0.04551
250	0.01018	0.01018	0.00000	0.00000	0.1127	0.1267	0.04386
251	0.01116	0.01116	0.00000	0.00000	0.1125	0.0985	0.04594
252	0.01086	0.01086	0.00000	0.00000	0.1088	0.1058	0.04451
253	0.01002	0.01002	0.00000	0.00000	0.1106	0.1349	0.04611
254	0.01050	0.01050	0.00000	0.00000	0.1130	0.1011	0.04408
255	0.01031	0.01031	0.00000	0.00000	0.1097	0.0990	0.04531
256	0.00973	0.00973	0.00000	0.00000	0.1109	0.0945	0.04421
257	0.01066	0.01066	0.00000	0.00000	0.1108	0.1197	0.04420
258	0.00997	0.00997	0.00000	0.00000	0.1106	0.1222	0.04524
259	0.01075	0.01075	0.00000	0.00000	0.1126	0.0994	0.04245
260	0.00988	0.00988	0.00000	0.00000	0.1118	0.0968	0.04408
261	0.00996	0.00996	0.00000	0.00000	0.1095	0.1231	0.04439
262	0.01031	0.01031	0.00000	0.00000	0.1122	0.1016	0.04403
263	0.01005	0.01005	0.00000	0.00000	0.1096	0.1115	0.04226
264	0.00976	0.00976	0.00000	0.00000	0.1125	0.1074	0.04624
265	0.01004	0.01004	0.00000	0.00000	0.1111	0.1114	0.04430
266	0.00991	0.00991	0.00000	0.00000	0.1122	0.1100	0.04560
267	0.01004	0.01004	0.00000	0.00000	0.1113	0.1000	0.04443
268	0.01000	0.01000	0.00000	0.00000	0.1112	0.1003	0.04482
269	0.00978	0.00978	0.00000	0.00000	0.1109	0.1006	0.04305
270	0.00955	0.00955	0.00000	0.00000	0.1120	0.1278	0.04647
271	0.00922	0.00922	0.00000	0.00000	0.1111	0.1127	0.04444
272	0.00982	0.00982	0.00000	0.00000	0.1118	0.1051	0.04350
273	0.00945	0.00945	0.00000	0.00000	0.1116	0.1108	0.04524
274	0.00947	0.00947	0.00000	0.00000	0.1132	0.0923	0.04382
275	0.01088	0.01088	0.00000	0.00000	0.1103	0.1128	0.04377
276	0.01021	0.01021	0.00000	0.00000	0.1114	0.1153	0.04420
