# {"cache": "runs/kitti/policy/cache_train.pt", "val_cache": "runs/kitti/policy/cache_val.pt", "flops": "runs/kitti/policy/flops_table.json", "epochs": 30, "batch": 256, "lr": 0.001, "lambda_flops": 0.1, "lambda_uni": 0.3, "device": "cuda:0", "out": "runs/kitti/policy/policy.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/logs", "tag": "sweep"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.08018	-0.00089	0.79933	0.00379	0.4405	0.4318	-0.00278
1	0.07268	-0.00839	0.79907	0.00386	0.4398	0.4230	-0.01292
2	0.05969	-0.02164	0.80170	0.00388	0.4471	0.4357	-0.02385
3	0.05360	-0.02973	0.80028	0.01103	0.4431	0.5243	-0.02724
4	0.04529	-0.03805	0.80428	0.00969	0.4543	0.4003	-0.03284
5	0.04139	-0.04052	0.81000	0.00303	0.4702	0.4033	-0.03422
6	0.03782	-0.04525	0.80125	0.00984	0.4458	0.4706	-0.03712
7	0.03369	-0.04789	0.80443	0.00380	0.4547	0.3691	-0.04077
8	0.03204	-0.04954	0.80376	0.00402	0.4528	0.3910	-0.04111
9	0.03191	-0.05166	0.80478	0.01028	0.4557	0.3849	-0.04039
10	0.02212	-0.05957	0.80679	0.00337	0.4613	0.4206	-0.04675
11	0.02087	-0.06117	0.80819	0.00406	0.4652	0.4319	-0.04127
12	0.01743	-0.06450	0.80590	0.00445	0.4588	0.3705	-0.04683
13	0.02611	-0.05826	0.79221	0.01714	0.4206	0.3924	-0.04706
14	0.01464	-0.06711	0.80371	0.00462	0.4527	0.4157	-0.04620
15	0.01133	-0.07032	0.80499	0.00384	0.4563	0.3846	-0.04654
16	0.01383	-0.06883	0.80045	0.00874	0.4436	0.3498	-0.04621
17	0.00982	-0.07233	0.80058	0.00696	0.4440	0.3539	-0.04448
18	0.00796	-0.07387	0.79484	0.00782	0.4280	0.4920	-0.04951
19	0.00732	-0.07411	0.79908	0.00504	0.4398	0.4498	-0.04750
20	0.00464	-0.07740	0.79563	0.00827	0.4302	0.4337	-0.04970
21	0.00693	-0.07521	0.79726	0.00806	0.4347	0.4568	-0.04742
22	0.00281	-0.07867	0.79835	0.00546	0.4377	0.3716	-0.04964
23	0.00182	-0.07996	0.79527	0.00752	0.4292	0.5167	-0.05117
24	0.00277	-0.07908	0.79731	0.00704	0.4348	0.5138	-0.05341
25	0.00019	-0.08169	0.79627	0.00751	0.4320	0.3842	-0.05118
26	0.00010	-0.08154	0.79809	0.00610	0.4370	0.4382	-0.05547
27	0.00133	-0.08146	0.79349	0.01145	0.4242	0.3571	-0.05568
28	0.00558	-0.07763	0.78816	0.01464	0.4093	0.3731	-0.05326
29	0.00033	-0.08121	0.79484	0.00683	0.4280	0.3441	-0.05852
