# {"cache": "runs/kitti/policy/cache_train.pt", "val_cache": "runs/kitti/policy/cache_val.pt", "flops": "runs/kitti/policy/flops_table.json", "epochs": 50, "batch": 256, "lr": 0.001, "lambda_flops": 0.1, "lambda_uni": 0.1, "mode": "bce", "margin": 0.0, "device": "cuda:0", "out": "/tmp/pol_m0.0.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/logs", "tag": "bce_m0.0"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.67012	0.57535	0.89643	0.05126	0.7112	0.7185	0.57128
1	0.65379	0.55796	0.90382	0.05451	0.7318	0.7151	0.57009
2	0.65211	0.55525	0.90819	0.06044	0.7440	0.7297	0.56744
3	0.64815	0.55088	0.91020	0.06252	0.7496	0.7241	0.56702
4	0.64804	0.55214	0.90422	0.05474	0.7329	0.7475	0.56648
5	0.64595	0.54955	0.90662	0.05746	0.7396	0.7436	0.56536
6	0.64591	0.54923	0.90759	0.05922	0.7423	0.7427	0.56546
7	0.64435	0.54738	0.90880	0.06084	0.7457	0.7090	0.56726
8	0.64505	0.54869	0.90634	0.05727	0.7389	0.7498	0.56489
9	0.64419	0.54751	0.90764	0.05917	0.7425	0.7267	0.56440
10	0.64313	0.54665	0.90688	0.05785	0.7404	0.7309	0.56456
11	0.64559	0.54932	0.90570	0.05700	0.7371	0.7826	0.56881
12	0.64341	0.54652	0.90852	0.06037	0.7449	0.7501	0.56357
13	0.64203	0.54523	0.90822	0.05981	0.7441	0.7220	0.56391
14	0.64177	0.54513	0.90749	0.05894	0.7421	0.7225	0.56464
15	0.64375	0.54796	0.90357	0.05432	0.7311	0.7890	0.56899
16	0.64371	0.54625	0.91059	0.06403	0.7507	0.7300	0.56327
17	0.64074	0.54438	0.90619	0.05731	0.7384	0.7803	0.56732
18	0.64209	0.54553	0.90703	0.05861	0.7408	0.7373	0.56311
19	0.64090	0.54395	0.90869	0.06090	0.7454	0.7736	0.56569
20	0.64177	0.54514	0.90724	0.05911	0.7414	0.7094	0.56647
21	0.63966	0.54267	0.90890	0.06108	0.7460	0.7319	0.56298
22	0.63872	0.54203	0.90754	0.05932	0.7422	0.7126	0.56606
23	0.63883	0.54188	0.90877	0.06078	0.7456	0.7205	0.56427
24	0.63821	0.54206	0.90537	0.05612	0.7361	0.7641	0.56402
25	0.63862	0.54164	0.90872	0.06099	0.7455	0.7036	0.56678
26	0.63903	0.54245	0.90713	0.05869	0.7411	0.7181	0.56353
27	0.63795	0.54110	0.90797	0.06045	0.7434	0.7797	0.56602
28	0.63688	0.54002	0.90819	0.06037	0.7440	0.7127	0.56451
29	0.63696	0.54073	0.90545	0.05688	0.7364	0.7546	0.56355
30	0.63614	0.53943	0.90779	0.05930	0.7429	0.7371	0.56247
31	0.63658	0.53981	0.90804	0.05969	0.7436	0.7260	0.56301
32	0.63584	0.53947	0.90630	0.05743	0.7387	0.7207	0.56308
33	0.63704	0.54043	0.90712	0.05902	0.7410	0.7079	0.56522
34	0.63521	0.53879	0.90655	0.05770	0.7394	0.7288	0.56278
35	0.63424	0.53765	0.90724	0.05875	0.7414	0.7449	0.56089
36	0.63855	0.54151	0.90848	0.06196	0.7448	0.7128	0.56268
37	0.63307	0.53665	0.90652	0.05768	0.7393	0.7972	0.57017
38	0.63591	0.53903	0.90788	0.06093	0.7432	0.7207	0.56214
39	0.63609	0.53889	0.90928	0.06279	0.7470	0.6701	0.57420
40	0.63776	0.54147	0.90493	0.05796	0.7349	0.7513	0.56049
41	0.63244	0.53612	0.90616	0.05701	0.7384	0.7388	0.56130
42	0.63235	0.53581	0.90692	0.05846	0.7405	0.7747	0.56395
43	0.63241	0.53590	0.90675	0.05836	0.7400	0.7926	0.56787
44	0.63854	0.54177	0.90732	0.06036	0.7416	0.7789	0.56326
45	0.63382	0.53731	0.90655	0.05847	0.7394	0.7372	0.56100
46	0.63510	0.53765	0.91010	0.06432	0.7493	0.7428	0.56003
47	0.63001	0.53376	0.90588	0.05660	0.7376	0.7290	0.56276
48	0.63028	0.53330	0.90871	0.06107	0.7455	0.7345	0.56078
49	0.63175	0.53500	0.90771	0.05986	0.7427	0.6923	0.56568
