# {"cache": "runs/kitti/policy/cache_train.pt", "val_cache": "runs/kitti/policy/cache_val.pt", "flops": "runs/kitti/policy/flops_table.json", "epochs": 150, "batch": 256, "lr": 0.001, "lambda_flops": 0.0, "lambda_uni": 0.0, "mode": "advantage", "margin": 0.0, "device": "cuda:0", "out": "/tmp/pol_pure.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/logs", "tag": "pure"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	-0.01445	-0.01445	0.82712	0.00044	0.5180	0.5469	-0.00858
1	-0.05081	-0.05081	0.81640	0.00108	0.4881	0.5040	-0.03477
2	-0.07493	-0.07493	0.79722	0.00601	0.4346	0.4642	-0.05558
3	-0.09154	-0.09154	0.79162	0.00793	0.4190	0.4048	-0.06637
4	-0.09857	-0.09857	0.78086	0.01269	0.3890	0.3526	-0.07631
5	-0.10798	-0.10798	0.77945	0.01443	0.3851	0.3749	-0.07599
6	-0.11998	-0.11998	0.78460	0.01260	0.3994	0.4299	-0.09071
7	-0.12507	-0.12507	0.78489	0.01068	0.4002	0.3623	-0.09306
8	-0.13394	-0.13394	0.78444	0.01094	0.3990	0.3823	-0.09151
9	-0.13513	-0.13513	0.78094	0.01262	0.3892	0.4090	-0.09991
10	-0.13674	-0.13674	0.78468	0.01128	0.3996	0.4009	-0.10021
11	-0.14551	-0.14551	0.78144	0.01270	0.3906	0.3320	-0.09189
12	-0.14225	-0.14225	0.77616	0.01612	0.3759	0.3793	-0.08468
13	-0.14336	-0.14336	0.78971	0.00866	0.4137	0.4078	-0.09493
14	-0.14453	-0.14453	0.78265	0.01180	0.3940	0.3895	-0.09626
15	-0.15401	-0.15401	0.78565	0.01005	0.4024	0.3715	-0.09712
16	-0.15592	-0.15592	0.78561	0.01008	0.4022	0.3781	-0.09784
17	-0.15468	-0.15468	0.78096	0.01294	0.3893	0.3942	-0.09859
18	-0.15839	-0.15839	0.78161	0.01240	0.3911	0.3613	-0.09584
19	-0.15526	-0.15526	0.78033	0.01329	0.3875	0.3741	-0.09449
20	-0.15909	-0.15909	0.78482	0.01065	0.4000	0.3904	-0.10483
21	-0.16288	-0.16288	0.78354	0.01136	0.3964	0.4058	-0.09222
22	-0.16447	-0.16447	0.78554	0.01018	0.4020	0.4130	-0.10142
23	-0.16187	-0.16187	0.78244	0.01189	0.3934	0.3940	-0.10439
24	-0.16973	-0.16973	0.78112	0.01265	0.3897	0.3780	-0.10722
25	-0.17162	-0.17162	0.78482	0.01054	0.4000	0.3899	-0.11165
26	-0.17179	-0.17179	0.78048	0.01294	0.3879	0.4062	-0.10592
27	-0.16746	-0.16746	0.78454	0.01216	0.3992	0.4416	-0.09920
28	-0.16998	-0.16998	0.77754	0.01508	0.3797	0.4052	-0.09864
29	-0.17198	-0.17198	0.78012	0.01394	0.3869	0.4170	-0.10674
30	-0.16488	-0.16488	0.77543	0.01725	0.3738	0.3760	-0.10582
31	-0.17288	-0.17288	0.77227	0.01895	0.3650	0.3875	-0.10500
32	-0.17391	-0.17391	0.78092	0.01263	0.3892	0.3642	-0.10403
33	-0.17449	-0.17449	0.78597	0.01000	0.4032	0.4093	-0.09841
34	-0.17177	-0.17177	0.77970	0.01372	0.3858	0.4157	-0.10202
35	-0.16968	-0.16968	0.77942	0.01386	0.3850	0.4047	-0.10480
36	-0.17575	-0.17575	0.77511	0.01700	0.3730	0.4073	-0.10717
37	-0.17339	-0.17339	0.78429	0.01131	0.3985	0.3533	-0.11088
38	-0.17452	-0.17452	0.77851	0.01421	0.3824	0.3800	-0.10502
39	-0.17718	-0.17718	0.78024	0.01307	0.3873	0.3907	-0.10997
40	-0.18054	-0.18054	0.77745	0.01520	0.3795	0.3541	-0.11062
41	-0.16585	-0.16585	0.76490	0.02500	0.3445	0.3838	-0.09127
42	-0.17018	-0.17018	0.77450	0.01798	0.3713	0.4275	-0.09558
43	-0.17018	-0.17018	0.78748	0.00961	0.4074	0.3569	-0.11158
44	-0.17908	-0.17908	0.78031	0.01314	0.3874	0.3800	-0.10727
45	-0.18061	-0.18061	0.77847	0.01440	0.3823	0.3812	-0.09418
46	-0.18190	-0.18190	0.78223	0.01192	0.3928	0.3715	-0.10657
47	-0.18291	-0.18291	0.77826	0.01487	0.3817	0.3713	-0.10026
48	-0.18207	-0.18207	0.78180	0.01249	0.3916	0.3556	-0.10902
49	-0.17627	-0.17627	0.78153	0.01265	0.3908	0.4311	-0.09088
50	-0.17721	-0.17721	0.78141	0.01291	0.3905	0.3946	-0.10286
