# {"cache": "runs/kitti/policy/cache_train.pt", "val_cache": "runs/kitti/policy/cache_val.pt", "flops": "runs/kitti/policy/flops_table.json", "epochs": 120, "batch": 256, "lr": 0.001, "lambda_flops": 0.05, "lambda_uni": 0.05, "mode": "advantage", "margin": 0.0, "device": "cuda:0", "out": "runs/kitti/policy/policy.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/logs", "tag": "adv_bn"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.02877	-0.01108	0.78706	0.00997	0.4063	0.4202	-0.00564
1	-0.00237	-0.04199	0.77771	0.01470	0.3802	0.4029	-0.03167
2	-0.03177	-0.07149	0.78144	0.01277	0.3906	0.4564	-0.05211
3	-0.05439	-0.09413	0.78187	0.01291	0.3918	0.3450	-0.08875
4	-0.07023	-0.10978	0.77164	0.01939	0.3633	0.3405	-0.08981
5	-0.08183	-0.12146	0.77793	0.01477	0.3808	0.3617	-0.09691
6	-0.08810	-0.12785	0.78316	0.01185	0.3954	0.4374	-0.10261
7	-0.10049	-0.14018	0.77966	0.01412	0.3857	0.3710	-0.10031
8	-0.10238	-0.14198	0.77391	0.01810	0.3696	0.4056	-0.10456
9	-0.10840	-0.14805	0.77909	0.01394	0.3840	0.3739	-0.09856
10	-0.10792	-0.14760	0.78050	0.01312	0.3880	0.3824	-0.09884
11	-0.10791	-0.14771	0.78372	0.01222	0.3969	0.3749	-0.10214
12	-0.11513	-0.15480	0.77985	0.01350	0.3862	0.3704	-0.10143
13	-0.11325	-0.15284	0.77552	0.01627	0.3741	0.3830	-0.09859
14	-0.11486	-0.15458	0.78236	0.01190	0.3932	0.3718	-0.09906
15	-0.11063	-0.15046	0.78423	0.01226	0.3984	0.4191	-0.09143
16	-0.11609	-0.15578	0.77974	0.01405	0.3859	0.3976	-0.09601
17	-0.12255	-0.16216	0.77657	0.01569	0.3770	0.3814	-0.10309
18	-0.12591	-0.16564	0.78253	0.01195	0.3936	0.3534	-0.10541
19	-0.11631	-0.15613	0.78448	0.01195	0.3991	0.3394	-0.10604
20	-0.12380	-0.16340	0.77509	0.01683	0.3729	0.3952	-0.09285
21	-0.10836	-0.14807	0.78142	0.01279	0.3906	0.3444	-0.09361
22	-0.10650	-0.14620	0.77999	0.01406	0.3866	0.4494	-0.08182
23	-0.11938	-0.15940	0.79304	0.00730	0.4230	0.3927	-0.09549
24	-0.12642	-0.16616	0.78304	0.01180	0.3951	0.3912	-0.10647
25	-0.12921	-0.16897	0.78430	0.01082	0.3986	0.3538	-0.10470
26	-0.12904	-0.16866	0.77655	0.01599	0.3770	0.3571	-0.10129
27	-0.13158	-0.17130	0.78178	0.01272	0.3915	0.4023	-0.09946
28	-0.13233	-0.17202	0.78028	0.01359	0.3874	0.3754	-0.09828
29	-0.13026	-0.16994	0.77952	0.01400	0.3852	0.3585	-0.10977
30	-0.13880	-0.17848	0.78022	0.01335	0.3872	0.3847	-0.09969
31	-0.13635	-0.17606	0.78275	0.01143	0.3943	0.4003	-0.09224
32	-0.13594	-0.17565	0.78225	0.01191	0.3928	0.3870	-0.10033
33	-0.13821	-0.17793	0.78202	0.01246	0.3922	0.4038	-0.09521
34	-0.13504	-0.17464	0.77595	0.01607	0.3753	0.3880	-0.10832
35	-0.13945	-0.17919	0.78276	0.01208	0.3943	0.3879	-0.09390
36	-0.13768	-0.17730	0.77598	0.01643	0.3754	0.3776	-0.09734
37	-0.13959	-0.17930	0.78107	0.01316	0.3896	0.3884	-0.10918
38	-0.13999	-0.17967	0.78045	0.01318	0.3878	0.3944	-0.10807
39	-0.14374	-0.18341	0.77728	0.01600	0.3790	0.3373	-0.09418
40	-0.14036	-0.18014	0.78502	0.01069	0.4006	0.3559	-0.09493
41	-0.14026	-0.17990	0.77802	0.01478	0.3811	0.3701	-0.09827
42	-0.14517	-0.18480	0.77679	0.01575	0.3776	0.3946	-0.09511
43	-0.14465	-0.18425	0.77602	0.01597	0.3755	0.3657	-0.09501
44	-0.14765	-0.18728	0.77638	0.01621	0.3765	0.3550	-0.09585
45	-0.14813	-0.18786	0.78296	0.01170	0.3948	0.3573	-0.09840
46	-0.13977	-0.17954	0.78250	0.01290	0.3936	0.3745	-0.09702
47	-0.14357	-0.18328	0.78131	0.01283	0.3902	0.3622	-0.09857
48	-0.14136	-0.18101	0.77801	0.01510	0.3810	0.3441	-0.09620
49	-0.13850	-0.17818	0.78022	0.01334	0.3872	0.3498	-0.09556
50	-0.14547	-0.18512	0.77881	0.01418	0.3833	0.3770	-0.09586
51	-0.14738	-0.18703	0.77906	0.01407	0.3840	0.3670	-0.10286
52	-0.14069	-0.18025	0.77303	0.01829	0.3671	0.3659	-0.10754
53	-0.14781	-0.18743	0.77685	0.01555	0.3778	0.3641	-0.10337
54	-0.14942	-0.18908	0.77831	0.01491	0.3819	0.3561	-0.10273
55	-0.15003	-0.18969	0.77785	0.01533	0.3806	0.3981	-0.09549
56	-0.14806	-0.18780	0.78380	0.01118	0.3972	0.3760	-0.10479
57	-0.15005	-0.18974	0.78063	0.01318	0.3883	0.3983	-0.11440
58	-0.14947	-0.18911	0.77823	0.01451	0.3816	0.3644	-0.10909
59	-0.14890	-0.18850	0.77676	0.01530	0.3776	0.3786	-0.09732
60	-0.14803	-0.18764	0.77461	0.01755	0.3715	0.3791	-0.09974
61	-0.15253	-0.19226	0.78273	0.01197	0.3942	0.3841	-0.09924
62	-0.15229	-0.19193	0.77783	0.01495	0.3806	0.3898	-0.10393
63	-0.14811	-0.18790	0.78423	0.01150	0.3984	0.3752	-0.10298
64	-0.14855	-0.18823	0.78078	0.01284	0.3888	0.3647	-0.10511
65	-0.15343	-0.19312	0.78184	0.01208	0.3917	0.3515	-0.09756
66	-0.14885	-0.18844	0.77349	0.01822	0.3684	0.3872	-0.11151
67	-0.15019	-0.18987	0.77890	0.01472	0.3835	0.3271	-0.10367
