# {"cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "input", "mode": "regress", "margin": 0.0, "seed": 1, "device": "cuda:0", "out": "method01_gumbel_binary/outputs/ablation/policy_input_s1.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/logs", "tag": "abl_input_s1"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04863	0.04863	0.00000	0.00000	0.1081	0.0634	0.04411
1	0.04108	0.04108	0.00000	0.00000	0.1101	0.0819	0.04177
2	0.03919	0.03919	0.00000	0.00000	0.1107	0.1247	0.04066
3	0.03790	0.03790	0.00000	0.00000	0.1111	0.1023	0.03967
4	0.03685	0.03685	0.00000	0.00000	0.1109	0.0971	0.04038
5	0.03531	0.03531	0.00000	0.00000	0.1122	0.0970	0.04093
6	0.03515	0.03515	0.00000	0.00000	0.1115	0.1001	0.04089
7	0.03437	0.03437	0.00000	0.00000	0.1123	0.0924	0.04026
8	0.03358	0.03358	0.00000	0.00000	0.1139	0.1177	0.04014
9	0.03328	0.03328	0.00000	0.00000	0.1084	0.1179	0.04125
10	0.03211	0.03211	0.00000	0.00000	0.1119	0.0962	0.04166
11	0.03213	0.03213	0.00000	0.00000	0.1080	0.1174	0.03992
12	0.03163	0.03163	0.00000	0.00000	0.1122	0.1003	0.04096
13	0.02980	0.02980	0.00000	0.00000	0.1115	0.1094	0.04045
14	0.02976	0.02976	0.00000	0.00000	0.1133	0.0993	0.04117
15	0.02944	0.02944	0.00000	0.00000	0.1128	0.0842	0.04136
16	0.02870	0.02870	0.00000	0.00000	0.1113	0.1006	0.04116
17	0.02778	0.02778	0.00000	0.00000	0.1118	0.0940	0.04116
18	0.02744	0.02744	0.00000	0.00000	0.1111	0.0839	0.04151
19	0.02712	0.02712	0.00000	0.00000	0.1116	0.1120	0.04023
20	0.02599	0.02599	0.00000	0.00000	0.1108	0.1061	0.04164
21	0.02677	0.02677	0.00000	0.00000	0.1137	0.0955	0.04153
22	0.02613	0.02613	0.00000	0.00000	0.1097	0.1155	0.04102
23	0.02547	0.02547	0.00000	0.00000	0.1112	0.1115	0.04190
24	0.02549	0.02549	0.00000	0.00000	0.1120	0.1249	0.04469
25	0.02477	0.02477	0.00000	0.00000	0.1106	0.0999	0.04223
26	0.02417	0.02417	0.00000	0.00000	0.1110	0.1078	0.04323
27	0.02472	0.02472	0.00000	0.00000	0.1101	0.1049	0.04218
28	0.02345	0.02345	0.00000	0.00000	0.1121	0.0839	0.04261
29	0.02275	0.02275	0.00000	0.00000	0.1090	0.1068	0.04326
30	0.02197	0.02197	0.00000	0.00000	0.1099	0.1183	0.04315
31	0.02233	0.02233	0.00000	0.00000	0.1116	0.1273	0.04310
32	0.02176	0.02176	0.00000	0.00000	0.1120	0.1126	0.04274
33	0.02097	0.02097	0.00000	0.00000	0.1129	0.0988	0.04300
34	0.02130	0.02130	0.00000	0.00000	0.1120	0.0897	0.04475
35	0.02076	0.02076	0.00000	0.00000	0.1123	0.0798	0.04628
36	0.02014	0.02014	0.00000	0.00000	0.1101	0.1064	0.04487
37	0.01956	0.01956	0.00000	0.00000	0.1122	0.1218	0.04484
38	0.01923	0.01923	0.00000	0.00000	0.1119	0.1030	0.04391
39	0.01987	0.01987	0.00000	0.00000	0.1103	0.1209	0.04500
40	0.01952	0.01952	0.00000	0.00000	0.1104	0.1303	0.04357
41	0.01879	0.01879	0.00000	0.00000	0.1128	0.0921	0.04495
42	0.01819	0.01819	0.00000	0.00000	0.1096	0.1194	0.04402
43	0.01905	0.01905	0.00000	0.00000	0.1113	0.1139	0.04447
44	0.01850	0.01850	0.00000	0.00000	0.1125	0.0961	0.04442
45	0.01823	0.01823	0.00000	0.00000	0.1105	0.1097	0.04324
46	0.01748	0.01748	0.00000	0.00000	0.1096	0.1047	0.04417
47	0.01666	0.01666	0.00000	0.00000	0.1118	0.0955	0.04684
48	0.01675	0.01675	0.00000	0.00000	0.1121	0.0871	0.04492
49	0.01692	0.01692	0.00000	0.00000	0.1121	0.0900	0.04570
50	0.01635	0.01635	0.00000	0.00000	0.1105	0.1164	0.04508
51	0.01623	0.01623	0.00000	0.00000	0.1113	0.1096	0.04516
52	0.01595	0.01595	0.00000	0.00000	0.1124	0.0923	0.04355
53	0.01587	0.01587	0.00000	0.00000	0.1108	0.0903	0.04677
54	0.01557	0.01557	0.00000	0.00000	0.1119	0.1144	0.04481
55	0.01618	0.01618	0.00000	0.00000	0.1123	0.0840	0.04596
56	0.01582	0.01582	0.00000	0.00000	0.1110	0.1073	0.04572
