# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "margin": 0.0, "seed": 3, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/sel_corr/policy_input_s3.pt", "logdir": "method01_advantage_regress/outputs/kitti/sel_corr/logs", "tag": "corr_input_s3"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04389	0.04389	0.00000	0.00000	0.1108	0.1017	0.04206
1	0.04023	0.04023	0.00000	0.00000	0.1128	0.0887	0.04129
2	0.03855	0.03855	0.00000	0.00000	0.1090	0.1052	0.03945
3	0.03721	0.03721	0.00000	0.00000	0.1109	0.0943	0.04087
4	0.03664	0.03664	0.00000	0.00000	0.1142	0.1170	0.03955
5	0.03551	0.03551	0.00000	0.00000	0.1096	0.1157	0.03997
6	0.03408	0.03408	0.00000	0.00000	0.1123	0.1226	0.03955
7	0.03334	0.03334	0.00000	0.00000	0.1125	0.0881	0.03896
8	0.03357	0.03357	0.00000	0.00000	0.1119	0.1247	0.03994
9	0.03241	0.03241	0.00000	0.00000	0.1117	0.1350	0.03939
10	0.03166	0.03166	0.00000	0.00000	0.1147	0.1162	0.03905
11	0.03209	0.03209	0.00000	0.00000	0.1102	0.0468	0.04418
12	0.03097	0.03097	0.00000	0.00000	0.1102	0.1154	0.03935
13	0.03019	0.03019	0.00000	0.00000	0.1127	0.1267	0.03941
14	0.02999	0.02999	0.00000	0.00000	0.1136	0.1052	0.03962
15	0.02848	0.02848	0.00000	0.00000	0.1135	0.0885	0.03933
16	0.02858	0.02858	0.00000	0.00000	0.1100	0.1058	0.04028
17	0.02741	0.02741	0.00000	0.00000	0.1127	0.1221	0.04132
18	0.02762	0.02762	0.00000	0.00000	0.1114	0.0968	0.04208
19	0.02697	0.02697	0.00000	0.00000	0.1094	0.1055	0.04063
20	0.02654	0.02654	0.00000	0.00000	0.1112	0.1177	0.03933
21	0.02602	0.02602	0.00000	0.00000	0.1110	0.1181	0.04110
22	0.02596	0.02596	0.00000	0.00000	0.1138	0.0831	0.04042
23	0.02501	0.02501	0.00000	0.00000	0.1112	0.1010	0.04125
24	0.02427	0.02427	0.00000	0.00000	0.1098	0.1126	0.04112
25	0.02416	0.02416	0.00000	0.00000	0.1124	0.1003	0.03987
26	0.02374	0.02374	0.00000	0.00000	0.1109	0.0909	0.04180
27	0.02284	0.02284	0.00000	0.00000	0.1138	0.1012	0.04038
28	0.02266	0.02266	0.00000	0.00000	0.1102	0.1240	0.04070
29	0.02181	0.02181	0.00000	0.00000	0.1122	0.1144	0.04091
30	0.02184	0.02184	0.00000	0.00000	0.1129	0.0828	0.04241
31	0.02132	0.02132	0.00000	0.00000	0.1102	0.1057	0.04166
32	0.02042	0.02042	0.00000	0.00000	0.1112	0.0941	0.04287
33	0.02089	0.02089	0.00000	0.00000	0.1106	0.0982	0.04289
34	0.02134	0.02134	0.00000	0.00000	0.1156	0.0781	0.04302
35	0.02085	0.02085	0.00000	0.00000	0.1095	0.0980	0.04345
