# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_advantage_regress/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "input", "norm": "batch", "dropout": 0.2, "weight_decay": 0.0001, "select": "last", "mode": "regress", "margin": 0.0, "seed": 0, "device": "cuda:0", "out": "method01_advantage_regress/outputs/kitti/sel_reglast/policy_input_s0.pt", "logdir": "method01_advantage_regress/outputs/kitti/sel_reglast/logs", "tag": "reglast_input_s0"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04950	0.04950	0.00000	0.00000	0.1085	0.1282	0.04230
1	0.04259	0.04259	0.00000	0.00000	0.1098	0.1093	0.04137
2	0.04116	0.04116	0.00000	0.00000	0.1126	0.1084	0.04019
3	0.03927	0.03927	0.00000	0.00000	0.1066	0.1100	0.03931
4	0.03785	0.03785	0.00000	0.00000	0.1145	0.0947	0.03907
5	0.03698	0.03698	0.00000	0.00000	0.1119	0.0975	0.03886
6	0.03560	0.03560	0.00000	0.00000	0.1087	0.1119	0.03882
7	0.03554	0.03554	0.00000	0.00000	0.1111	0.1160	0.04019
8	0.03500	0.03500	0.00000	0.00000	0.1127	0.0929	0.03963
9	0.03468	0.03468	0.00000	0.00000	0.1078	0.1086	0.03813
10	0.03401	0.03401	0.00000	0.00000	0.1146	0.1045	0.03823
11	0.03325	0.03325	0.00000	0.00000	0.1117	0.1075	0.03849
12	0.03309	0.03309	0.00000	0.00000	0.1099	0.1059	0.03895
13	0.03172	0.03172	0.00000	0.00000	0.1126	0.1111	0.03884
14	0.03237	0.03237	0.00000	0.00000	0.1121	0.0939	0.03953
15	0.03122	0.03122	0.00000	0.00000	0.1090	0.1009	0.03818
16	0.03123	0.03123	0.00000	0.00000	0.1095	0.1269	0.03887
