# {"cache": "runs/kitti/policy/cache_train.pt", "val_cache": "runs/kitti/policy/cache_val.pt", "flops": "runs/kitti/policy/flops_table.json", "epochs": 50, "batch": 256, "lr": 0.001, "lambda_flops": 0.1, "lambda_uni": 0.3, "device": "cuda:0", "out": "runs/kitti/policy/policy.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/logs", "tag": "base"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.08075	-0.00038	0.80043	0.00363	0.4436	0.4351	-0.00151
1	0.07687	-0.00418	0.80116	0.00312	0.4456	0.4084	-0.00856
2	0.06577	-0.01545	0.80109	0.00369	0.4454	0.4915	-0.01987
3	0.05674	-0.02613	0.80501	0.00790	0.4563	0.3597	-0.02917
4	0.04973	-0.03225	0.80093	0.00628	0.4450	0.4315	-0.03136
5	0.04296	-0.03843	0.80520	0.00288	0.4568	0.4856	-0.03379
6	0.04108	-0.04213	0.80452	0.00921	0.4550	0.4318	-0.03820
7	0.03605	-0.04715	0.80095	0.01037	0.4450	0.4525	-0.03940
8	0.03166	-0.05059	0.80440	0.00603	0.4546	0.3358	-0.04426
9	0.02876	-0.05436	0.79904	0.01073	0.4397	0.5182	-0.03948
10	0.02613	-0.05768	0.79856	0.01318	0.4383	0.5418	-0.04047
11	0.02304	-0.05986	0.80557	0.00783	0.4579	0.3818	-0.04223
12	0.02208	-0.06094	0.80861	0.00721	0.4664	0.3587	-0.04554
13	0.01859	-0.06378	0.80167	0.00733	0.4470	0.4278	-0.04539
14	0.02182	-0.06142	0.79538	0.01232	0.4295	0.6192	-0.04287
15	0.02208	-0.06221	0.80547	0.01247	0.4576	0.3667	-0.04400
16	0.01475	-0.06722	0.80207	0.00589	0.4481	0.3756	-0.04604
17	0.01088	-0.07105	0.80317	0.00536	0.4512	0.3912	-0.04679
18	0.01197	-0.07027	0.79598	0.00880	0.4312	0.4807	-0.04696
19	0.01262	-0.07061	0.79440	0.01263	0.4267	0.4711	-0.04692
20	0.01156	-0.07123	0.79873	0.00973	0.4388	0.4528	-0.04469
21	0.00784	-0.07385	0.79937	0.00585	0.4406	0.4205	-0.05153
22	0.00447	-0.07695	0.79889	0.00511	0.4393	0.3670	-0.05354
23	0.00688	-0.07537	0.79466	0.00927	0.4275	0.4439	-0.04899
24	0.00151	-0.08003	0.79547	0.00665	0.4297	0.5144	-0.04745
25	0.00267	-0.08007	0.79431	0.01103	0.4265	0.4153	-0.05151
26	0.00187	-0.07977	0.79293	0.00782	0.4226	0.4090	-0.05084
27	-0.00016	-0.08188	0.79287	0.00812	0.4225	0.5251	-0.04862
28	0.00827	-0.07560	0.79383	0.01496	0.4252	0.4930	-0.04985
29	0.00325	-0.07886	0.80026	0.00697	0.4431	0.3559	-0.05382
30	-0.00036	-0.08251	0.79763	0.00797	0.4357	0.3367	-0.05100
31	0.00035	-0.08169	0.79131	0.00970	0.4181	0.3433	-0.05242
32	-0.00073	-0.08313	0.79427	0.00991	0.4264	0.4179	-0.05062
33	-0.00180	-0.08357	0.79025	0.00913	0.4152	0.4197	-0.05506
34	-0.00274	-0.08429	0.78981	0.00856	0.4139	0.4396	-0.05269
35	-0.00229	-0.08472	0.79337	0.01028	0.4239	0.5413	-0.04709
36	-0.00091	-0.08461	0.78911	0.01598	0.4120	0.5343	-0.05047
37	-0.00292	-0.08500	0.79530	0.00850	0.4292	0.4462	-0.05158
38	-0.00588	-0.08760	0.79171	0.00849	0.4192	0.4417	-0.05432
39	-0.00258	-0.08468	0.79197	0.00966	0.4200	0.3043	-0.05308
40	-0.00199	-0.08512	0.78524	0.01533	0.4012	0.3076	-0.05725
41	-0.00082	-0.08437	0.79073	0.01492	0.4165	0.2773	-0.05570
42	-0.00346	-0.08626	0.78452	0.01448	0.3992	0.4222	-0.05397
43	-0.00416	-0.08612	0.78715	0.01082	0.4065	0.4106	-0.05456
44	-0.00387	-0.08736	0.78920	0.01524	0.4122	0.2369	-0.05527
45	-0.00035	-0.08429	0.79163	0.01592	0.4190	0.3700	-0.05968
46	-0.00700	-0.08909	0.78514	0.01191	0.4009	0.4143	-0.05666
47	-0.00373	-0.08614	0.79757	0.00884	0.4356	0.3285	-0.05185
48	-0.00184	-0.08503	0.78906	0.01425	0.4119	0.3284	-0.05689
49	-0.00943	-0.09211	0.78376	0.01437	0.3971	0.4561	-0.05513
