# {"cache": "runs/kitti/policy/cache_train.pt", "val_cache": "runs/kitti/policy/cache_val.pt", "flops": "runs/kitti/policy/flops_table.json", "epochs": 50, "batch": 256, "lr": 0.001, "lambda_flops": 0.1, "lambda_uni": 0.1, "mode": "bce", "margin": 0.2, "device": "cuda:0", "out": "/tmp/pol_m0.2.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/logs", "tag": "bce_m0.2"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.58942	0.48809	0.91555	0.09775	0.7645	0.8889	0.37417
1	0.49992	0.39424	0.94196	0.11481	0.8382	0.8481	0.37607
2	0.49788	0.39080	0.94683	0.12390	0.8518	0.8784	0.37051
3	0.49431	0.38732	0.94649	0.12345	0.8508	0.8842	0.36900
4	0.49364	0.38623	0.94777	0.12641	0.8544	0.8757	0.36654
5	0.48960	0.38167	0.94965	0.12968	0.8596	0.8736	0.36639
6	0.48539	0.37806	0.94771	0.12561	0.8542	0.8707	0.36574
7	0.48308	0.37559	0.94818	0.12672	0.8555	0.8843	0.36550
8	0.48038	0.37259	0.94923	0.12869	0.8584	0.8519	0.36662
9	0.48255	0.37566	0.94585	0.12297	0.8490	0.8845	0.36713
10	0.47674	0.36832	0.95126	0.13290	0.8641	0.8466	0.36857
11	0.47795	0.37037	0.94794	0.12792	0.8548	0.8741	0.36675
12	0.47546	0.36794	0.94817	0.12705	0.8555	0.8788	0.36786
13	0.47191	0.36418	0.94901	0.12821	0.8578	0.8335	0.37348
14	0.47167	0.36410	0.94848	0.12721	0.8564	0.8644	0.36631
15	0.46723	0.35961	0.94863	0.12755	0.8568	0.8836	0.36829
16	0.47510	0.36679	0.95034	0.13278	0.8615	0.8223	0.37642
17	0.47244	0.36568	0.94557	0.12200	0.8482	0.8714	0.36773
18	0.46736	0.35915	0.95062	0.13150	0.8623	0.8364	0.37268
19	0.46419	0.35660	0.94857	0.12737	0.8566	0.8450	0.37031
20	0.46580	0.35869	0.94690	0.12424	0.8519	0.9003	0.37896
21	0.46853	0.36053	0.94976	0.13024	0.8599	0.8544	0.36906
22	0.46161	0.35330	0.95092	0.13217	0.8632	0.8414	0.37231
23	0.46519	0.35875	0.94454	0.11986	0.8454	0.8597	0.36985
24	0.46415	0.35679	0.94743	0.12622	0.8534	0.9077	0.38013
25	0.47434	0.36559	0.95125	0.13628	0.8641	0.8581	0.36791
26	0.45980	0.35233	0.94798	0.12676	0.8549	0.8745	0.36997
27	0.45561	0.34766	0.94976	0.12979	0.8599	0.8667	0.37250
28	0.46019	0.35235	0.94917	0.12922	0.8583	0.8032	0.38273
29	0.46228	0.35437	0.94914	0.12999	0.8582	0.8272	0.37168
30	0.45562	0.34787	0.94900	0.12853	0.8578	0.8261	0.37550
31	0.45916	0.35174	0.94758	0.12658	0.8538	0.8833	0.37358
32	0.45291	0.34474	0.95042	0.13130	0.8617	0.8763	0.37228
33	0.45961	0.35157	0.94916	0.13127	0.8582	0.8235	0.37548
34	0.45195	0.34369	0.95054	0.13208	0.8621	0.8765	0.36902
35	0.45303	0.34543	0.94835	0.12759	0.8560	0.8213	0.37738
36	0.45111	0.34284	0.95076	0.13196	0.8627	0.8356	0.37509
37	0.44944	0.34213	0.94746	0.12567	0.8535	0.8844	0.37444
38	0.44847	0.34038	0.95014	0.13071	0.8610	0.8519	0.37045
39	0.44640	0.33824	0.95038	0.13118	0.8616	0.8243	0.37921
40	0.44881	0.34126	0.94817	0.12728	0.8555	0.8817	0.37130
41	0.44373	0.33575	0.94972	0.13016	0.8598	0.8020	0.38958
42	0.44511	0.33711	0.94990	0.13011	0.8603	0.8452	0.37795
43	0.44527	0.33735	0.94956	0.12968	0.8594	0.8765	0.37449
44	0.44057	0.33328	0.94744	0.12552	0.8534	0.9015	0.37643
45	0.44956	0.34202	0.94788	0.12754	0.8547	0.8949	0.37445
46	0.44752	0.33923	0.95017	0.13269	0.8611	0.8289	0.37797
47	0.44054	0.33230	0.95056	0.13180	0.8622	0.8829	0.37152
48	0.44605	0.33758	0.95095	0.13368	0.8633	0.8058	0.38456
49	0.44396	0.33513	0.95214	0.13621	0.8665	0.8561	0.37294
