# {"cache": "runs/kitti/policy/cache_train.pt", "val_cache": "runs/kitti/policy/cache_val.pt", "flops": "runs/kitti/policy/flops_table.json", "epochs": 50, "batch": 256, "lr": 0.001, "lambda_flops": 0.1, "lambda_uni": 0.1, "mode": "bce", "margin": 0.05, "device": "cuda:0", "out": "runs/kitti/policy/policy.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/logs", "tag": "bn"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.61793	0.51995	0.91029	0.06949	0.7499	0.5970	0.59068
1	0.57700	0.47626	0.92408	0.08338	0.7883	0.6736	0.52862
2	0.56685	0.46575	0.92549	0.08552	0.7923	0.7653	0.48939
3	0.56018	0.45980	0.92270	0.08108	0.7845	0.8028	0.48907
4	0.55751	0.45600	0.92691	0.08811	0.7962	0.7936	0.49174
5	0.54529	0.44501	0.92235	0.08046	0.7835	0.7818	0.49170
6	0.53970	0.43878	0.92473	0.08444	0.7901	0.8019	0.49520
7	0.52901	0.42807	0.92477	0.08459	0.7902	0.8033	0.49655
8	0.52623	0.42471	0.92691	0.08828	0.7962	0.8028	0.49122
9	0.51192	0.41053	0.92659	0.08734	0.7953	0.7830	0.50476
10	0.50569	0.40466	0.92511	0.08509	0.7912	0.7807	0.50939
11	0.49628	0.39450	0.92802	0.08977	0.7993	0.7551	0.51428
12	0.49034	0.38969	0.92363	0.08294	0.7871	0.8013	0.51635
13	0.48315	0.38211	0.92518	0.08520	0.7914	0.8246	0.52848
14	0.47949	0.37867	0.92421	0.08399	0.7887	0.8062	0.52476
15	0.46794	0.36609	0.92807	0.09047	0.7994	0.7868	0.54507
16	0.45179	0.35049	0.92609	0.08687	0.7939	0.7935	0.54953
17	0.44847	0.34729	0.92568	0.08614	0.7928	0.7629	0.56729
18	0.43861	0.33758	0.92507	0.08525	0.7911	0.8316	0.58242
19	0.43339	0.33188	0.92684	0.08826	0.7960	0.8020	0.58213
20	0.43489	0.33303	0.92810	0.09049	0.7995	0.7553	0.59204
21	0.40967	0.30853	0.92548	0.08594	0.7922	0.7893	0.59465
22	0.40119	0.29977	0.92644	0.08772	0.7949	0.8204	0.62243
23	0.39592	0.29436	0.92699	0.08860	0.7964	0.7682	0.60967
24	0.38358	0.28254	0.92512	0.08523	0.7912	0.7933	0.63557
25	0.37603	0.27462	0.92639	0.08773	0.7948	0.7735	0.64591
26	0.36694	0.26550	0.92667	0.08774	0.7955	0.8061	0.69587
27	0.37121	0.26952	0.92761	0.08928	0.7981	0.8068	0.67811
28	0.34999	0.24841	0.92724	0.08864	0.7971	0.7636	0.69710
29	0.35931	0.25780	0.92689	0.08819	0.7961	0.8156	0.69484
30	0.35348	0.25219	0.92582	0.08711	0.7932	0.8318	0.70633
31	0.33958	0.23834	0.92590	0.08653	0.7934	0.8006	0.75962
32	0.33416	0.23250	0.92731	0.08928	0.7973	0.7796	0.73291
33	0.32508	0.22328	0.92772	0.09020	0.7985	0.7454	0.76663
34	0.33235	0.23080	0.92692	0.08856	0.7962	0.7641	0.76055
35	0.31708	0.21563	0.92660	0.08791	0.7953	0.7889	0.75180
36	0.30827	0.20691	0.92635	0.08729	0.7947	0.8244	0.76642
37	0.30132	0.19921	0.92897	0.09213	0.8020	0.7440	0.82225
38	0.31678	0.21541	0.92577	0.08786	0.7930	0.7817	0.78566
39	0.28685	0.18589	0.92469	0.08490	0.7900	0.8241	0.82490
40	0.28198	0.18004	0.92850	0.09085	0.8006	0.8204	0.84667
41	0.28090	0.17919	0.92743	0.08962	0.7977	0.8347	0.88232
42	0.28076	0.17900	0.92787	0.08973	0.7989	0.7852	0.88719
43	0.28267	0.18124	0.92622	0.08809	0.7943	0.8005	0.88093
44	0.27352	0.17249	0.92507	0.08528	0.7911	0.7965	0.91026
45	0.26220	0.16033	0.92824	0.09046	0.7999	0.7781	0.94947
46	0.25667	0.15507	0.92716	0.08886	0.7969	0.7631	0.94670
47	0.25716	0.15566	0.92675	0.08832	0.7958	0.7786	0.92690
48	0.25678	0.15490	0.92822	0.09060	0.7999	0.7479	0.95573
49	0.25606	0.15428	0.92757	0.09020	0.7981	0.7998	0.95484
