# {"cache": "runs/kitti/policy/cache_train.pt", "val_cache": "runs/kitti/policy/cache_val.pt", "flops": "runs/kitti/policy/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 0.0, "lambda_uni": 0.0, "hidden": 128, "group_dim": 64, "mode": "advantage", "margin": 0.0, "device": "cuda:0", "out": "/tmp/pol_rec.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/logs", "tag": "recover"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	-0.01633	-0.01633	0.83250	0.00128	0.5330	0.4948	-0.00943
1	-0.05486	-0.05486	0.81771	0.00026	0.4917	0.4177	-0.03875
2	-0.07418	-0.07418	0.79111	0.00761	0.4176	0.3907	-0.05830
3	-0.09461	-0.09461	0.78204	0.01261	0.3923	0.3701	-0.07926
4	-0.11442	-0.11442	0.78608	0.00991	0.4035	0.3554	-0.08267
5	-0.11817	-0.11817	0.78141	0.01366	0.3905	0.3358	-0.09402
6	-0.12731	-0.12731	0.77539	0.01825	0.3737	0.3985	-0.09394
7	-0.12943	-0.12943	0.78521	0.01178	0.4011	0.3166	-0.08827
8	-0.13410	-0.13410	0.78236	0.01462	0.3932	0.3666	-0.08127
9	-0.13795	-0.13795	0.78176	0.01271	0.3915	0.3764	-0.09465
10	-0.14926	-0.14926	0.78278	0.01177	0.3943	0.3889	-0.09569
11	-0.14899	-0.14899	0.78489	0.01075	0.4002	0.3777	-0.09407
12	-0.15398	-0.15398	0.78690	0.00977	0.4058	0.3547	-0.09107
13	-0.15416	-0.15416	0.77950	0.01448	0.3852	0.3975	-0.10917
14	-0.15495	-0.15495	0.77737	0.01546	0.3793	0.3478	-0.09536
15	-0.14870	-0.14870	0.78785	0.00979	0.4085	0.4419	-0.10008
16	-0.15507	-0.15507	0.78336	0.01231	0.3959	0.3872	-0.09638
17	-0.15933	-0.15933	0.78347	0.01147	0.3963	0.3658	-0.10146
18	-0.15740	-0.15740	0.77908	0.01407	0.3840	0.3704	-0.09674
19	-0.15905	-0.15905	0.78685	0.01078	0.4057	0.3495	-0.10565
