# {"cache": "runs/kitti/policy/cache_train.pt", "val_cache": "runs/kitti/policy/cache_val.pt", "flops": "runs/kitti/policy/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "mode": "regress", "margin": 0.0, "device": "cuda:0", "out": "/tmp/pol_reg.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/logs", "tag": "regress"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04991	0.04991	0.00000	0.00000	0.1028	0.0002	0.05441
1	0.04018	0.04018	0.00000	0.00000	0.1122	0.0491	0.04464
2	0.03803	0.03803	0.00000	0.00000	0.1103	0.1022	0.04046
3	0.03720	0.03720	0.00000	0.00000	0.1126	0.1028	0.04018
4	0.03670	0.03670	0.00000	0.00000	0.1116	0.0947	0.03909
5	0.03543	0.03543	0.00000	0.00000	0.1080	0.1238	0.03975
6	0.03497	0.03497	0.00000	0.00000	0.1130	0.1027	0.03800
7	0.03294	0.03294	0.00000	0.00000	0.1132	0.0856	0.03973
8	0.03226	0.03226	0.00000	0.00000	0.1097	0.1210	0.04001
9	0.03190	0.03190	0.00000	0.00000	0.1124	0.1124	0.04046
10	0.03192	0.03192	0.00000	0.00000	0.1125	0.0995	0.04000
11	0.03137	0.03137	0.00000	0.00000	0.1089	0.1118	0.03921
12	0.02967	0.02967	0.00000	0.00000	0.1109	0.0967	0.03983
13	0.02962	0.02962	0.00000	0.00000	0.1114	0.0919	0.04005
14	0.02872	0.02872	0.00000	0.00000	0.1103	0.0908	0.04012
15	0.02791	0.02791	0.00000	0.00000	0.1105	0.1232	0.04084
16	0.02776	0.02776	0.00000	0.00000	0.1111	0.1323	0.04071
17	0.02723	0.02723	0.00000	0.00000	0.1119	0.0905	0.04079
18	0.02693	0.02693	0.00000	0.00000	0.1132	0.0830	0.04080
19	0.02569	0.02569	0.00000	0.00000	0.1084	0.1016	0.04165
20	0.02595	0.02595	0.00000	0.00000	0.1127	0.0797	0.04116
21	0.02549	0.02549	0.00000	0.00000	0.1113	0.0972	0.04052
22	0.02426	0.02426	0.00000	0.00000	0.1113	0.1147	0.04178
23	0.02341	0.02341	0.00000	0.00000	0.1102	0.1444	0.04416
24	0.02476	0.02476	0.00000	0.00000	0.1105	0.1344	0.04136
25	0.02362	0.02362	0.00000	0.00000	0.1112	0.1276	0.04166
26	0.02345	0.02345	0.00000	0.00000	0.1100	0.1373	0.04153
27	0.02253	0.02253	0.00000	0.00000	0.1109	0.1227	0.04202
28	0.02158	0.02158	0.00000	0.00000	0.1123	0.1075	0.04107
29	0.02239	0.02239	0.00000	0.00000	0.1112	0.1101	0.04287
30	0.02179	0.02179	0.00000	0.00000	0.1134	0.0853	0.04214
31	0.02135	0.02135	0.00000	0.00000	0.1096	0.0900	0.04409
32	0.02012	0.02012	0.00000	0.00000	0.1096	0.1541	0.04570
33	0.02088	0.02088	0.00000	0.00000	0.1121	0.1055	0.04273
34	0.01917	0.01917	0.00000	0.00000	0.1117	0.1101	0.04395
35	0.02089	0.02089	0.00000	0.00000	0.1122	0.0983	0.04252
36	0.01888	0.01888	0.00000	0.00000	0.1117	0.0823	0.04245
37	0.01819	0.01819	0.00000	0.00000	0.1103	0.1064	0.04223
38	0.01811	0.01811	0.00000	0.00000	0.1134	0.0957	0.04406
39	0.01852	0.01852	0.00000	0.00000	0.1098	0.1150	0.04347
40	0.01795	0.01795	0.00000	0.00000	0.1130	0.1101	0.04467
41	0.01697	0.01697	0.00000	0.00000	0.1116	0.0981	0.04535
42	0.01648	0.01648	0.00000	0.00000	0.1134	0.0739	0.04537
43	0.01713	0.01713	0.00000	0.00000	0.1108	0.0901	0.04283
44	0.01618	0.01618	0.00000	0.00000	0.1090	0.0918	0.04333
45	0.01552	0.01552	0.00000	0.00000	0.1114	0.1099	0.04207
46	0.01588	0.01588	0.00000	0.00000	0.1113	0.0958	0.04416
47	0.01592	0.01592	0.00000	0.00000	0.1096	0.1217	0.04457
48	0.01591	0.01591	0.00000	0.00000	0.1115	0.1235	0.04293
49	0.01487	0.01487	0.00000	0.00000	0.1115	0.1231	0.04184
50	0.01538	0.01538	0.00000	0.00000	0.1111	0.1381	0.04554
51	0.01510	0.01510	0.00000	0.00000	0.1116	0.1216	0.04341
52	0.01469	0.01469	0.00000	0.00000	0.1111	0.0985	0.04440
53	0.01391	0.01391	0.00000	0.00000	0.1115	0.0947	0.04439
54	0.01325	0.01325	0.00000	0.00000	0.1128	0.0837	0.04418
55	0.01338	0.01338	0.00000	0.00000	0.1109	0.0941	0.04493
56	0.01312	0.01312	0.00000	0.00000	0.1099	0.0998	0.04393
57	0.01283	0.01283	0.00000	0.00000	0.1112	0.1256	0.04675
58	0.01318	0.01318	0.00000	0.00000	0.1117	0.1088	0.04410
59	0.01247	0.01247	0.00000	0.00000	0.1123	0.0937	0.04382
60	0.01219	0.01219	0.00000	0.00000	0.1110	0.1205	0.04519
61	0.01210	0.01210	0.00000	0.00000	0.1107	0.1248	0.04407
62	0.01178	0.01178	0.00000	0.00000	0.1122	0.1036	0.04240
63	0.01226	0.01226	0.00000	0.00000	0.1116	0.0989	0.04607
64	0.01216	0.01216	0.00000	0.00000	0.1099	0.1359	0.04550
65	0.01241	0.01241	0.00000	0.00000	0.1119	0.1127	0.04468
66	0.01278	0.01278	0.00000	0.00000	0.1115	0.0802	0.04354
67	0.01221	0.01221	0.00000	0.00000	0.1118	0.1001	0.04466
68	0.01148	0.01148	0.00000	0.00000	0.1110	0.1033	0.04456
69	0.01107	0.01107	0.00000	0.00000	0.1111	0.1020	0.04422
