# {"cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "input", "mode": "regress", "margin": 0.0, "device": "cuda:0", "out": "method01_gumbel_binary/outputs/policy_input.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/logs", "tag": "feat_input"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04586	0.04586	0.00000	0.00000	0.1082	0.0187	0.05072
1	0.03999	0.03999	0.00000	0.00000	0.1091	0.0631	0.04292
2	0.03842	0.03842	0.00000	0.00000	0.1108	0.0940	0.03913
3	0.03777	0.03777	0.00000	0.00000	0.1104	0.1143	0.03996
4	0.03611	0.03611	0.00000	0.00000	0.1113	0.1092	0.03952
5	0.03482	0.03482	0.00000	0.00000	0.1117	0.1152	0.04102
6	0.03463	0.03463	0.00000	0.00000	0.1140	0.1089	0.03969
7	0.03408	0.03408	0.00000	0.00000	0.1066	0.1204	0.04016
8	0.03314	0.03314	0.00000	0.00000	0.1140	0.1047	0.03990
9	0.03224	0.03224	0.00000	0.00000	0.1074	0.1294	0.04098
10	0.03218	0.03218	0.00000	0.00000	0.1162	0.0885	0.04106
11	0.03209	0.03209	0.00000	0.00000	0.1078	0.1224	0.04087
12	0.03107	0.03107	0.00000	0.00000	0.1111	0.1322	0.03941
13	0.02971	0.02971	0.00000	0.00000	0.1120	0.1357	0.04153
14	0.02923	0.02923	0.00000	0.00000	0.1128	0.1201	0.04159
15	0.02932	0.02932	0.00000	0.00000	0.1102	0.1065	0.04056
16	0.02893	0.02893	0.00000	0.00000	0.1148	0.0925	0.03905
17	0.02956	0.02956	0.00000	0.00000	0.1034	0.1189	0.04178
18	0.02728	0.02728	0.00000	0.00000	0.1159	0.1009	0.04118
19	0.02691	0.02691	0.00000	0.00000	0.1100	0.1223	0.04149
20	0.02602	0.02602	0.00000	0.00000	0.1116	0.0852	0.04131
21	0.02590	0.02590	0.00000	0.00000	0.1123	0.0980	0.04202
22	0.02474	0.02474	0.00000	0.00000	0.1121	0.0973	0.04279
23	0.02470	0.02470	0.00000	0.00000	0.1095	0.1283	0.04286
24	0.02456	0.02456	0.00000	0.00000	0.1123	0.1093	0.04183
25	0.02549	0.02549	0.00000	0.00000	0.1074	0.1273	0.04284
26	0.02370	0.02370	0.00000	0.00000	0.1146	0.1132	0.04251
27	0.02351	0.02351	0.00000	0.00000	0.1129	0.0783	0.04249
28	0.02367	0.02367	0.00000	0.00000	0.1096	0.1159	0.04272
29	0.02333	0.02333	0.00000	0.00000	0.1102	0.1143	0.04084
30	0.02246	0.02246	0.00000	0.00000	0.1114	0.1332	0.04253
31	0.02108	0.02108	0.00000	0.00000	0.1115	0.1386	0.04437
32	0.02128	0.02128	0.00000	0.00000	0.1124	0.1324	0.04360
33	0.02075	0.02075	0.00000	0.00000	0.1122	0.1002	0.04288
34	0.02019	0.02019	0.00000	0.00000	0.1129	0.1015	0.04276
35	0.02036	0.02036	0.00000	0.00000	0.1105	0.1203	0.04409
36	0.01978	0.01978	0.00000	0.00000	0.1104	0.1249	0.04411
37	0.01957	0.01957	0.00000	0.00000	0.1140	0.1057	0.04286
38	0.01999	0.01999	0.00000	0.00000	0.1110	0.1009	0.04397
39	0.01857	0.01857	0.00000	0.00000	0.1110	0.0850	0.04388
40	0.01978	0.01978	0.00000	0.00000	0.1107	0.0887	0.04337
41	0.01936	0.01936	0.00000	0.00000	0.1117	0.0928	0.04298
42	0.01830	0.01830	0.00000	0.00000	0.1096	0.1252	0.04470
