# {"cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "both", "mode": "regress", "margin": 0.0, "device": "cuda:0", "out": "method01_gumbel_binary/outputs/policy_both.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/logs", "tag": "feat_both"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04565	0.04565	0.00000	0.00000	0.1092	0.0927	0.04221
1	0.04025	0.04025	0.00000	0.00000	0.1115	0.0918	0.04060
2	0.03776	0.03776	0.00000	0.00000	0.1135	0.0829	0.04034
3	0.03676	0.03676	0.00000	0.00000	0.1104	0.1191	0.04051
4	0.03558	0.03558	0.00000	0.00000	0.1092	0.1540	0.04360
5	0.03632	0.03632	0.00000	0.00000	0.1148	0.0961	0.03867
6	0.03471	0.03471	0.00000	0.00000	0.1122	0.1269	0.03902
7	0.03247	0.03247	0.00000	0.00000	0.1116	0.1151	0.03905
8	0.03230	0.03230	0.00000	0.00000	0.1095	0.1116	0.04019
9	0.03138	0.03138	0.00000	0.00000	0.1123	0.0863	0.03933
10	0.03123	0.03123	0.00000	0.00000	0.1112	0.1143	0.04007
11	0.02972	0.02972	0.00000	0.00000	0.1090	0.0972	0.03992
12	0.02985	0.02985	0.00000	0.00000	0.1126	0.0903	0.04141
13	0.02837	0.02837	0.00000	0.00000	0.1113	0.1081	0.04041
14	0.02871	0.02871	0.00000	0.00000	0.1085	0.1258	0.04127
15	0.02790	0.02790	0.00000	0.00000	0.1110	0.1113	0.04029
16	0.02719	0.02719	0.00000	0.00000	0.1133	0.1039	0.03964
17	0.02664	0.02664	0.00000	0.00000	0.1067	0.1421	0.04111
18	0.02586	0.02586	0.00000	0.00000	0.1148	0.1077	0.04122
19	0.02543	0.02543	0.00000	0.00000	0.1079	0.1371	0.04171
20	0.02483	0.02483	0.00000	0.00000	0.1129	0.1366	0.04099
21	0.02421	0.02421	0.00000	0.00000	0.1114	0.1075	0.04023
22	0.02308	0.02308	0.00000	0.00000	0.1092	0.1212	0.04206
23	0.02303	0.02303	0.00000	0.00000	0.1117	0.1027	0.04153
24	0.02342	0.02342	0.00000	0.00000	0.1091	0.1100	0.04197
25	0.02211	0.02211	0.00000	0.00000	0.1146	0.1216	0.04255
