# {"cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "feat": "both", "mode": "regress", "margin": 0.0, "seed": 0, "device": "cuda:0", "out": "method01_gumbel_binary/outputs/ablation/policy_both_s0.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method01_gumbel_binary/outputs/logs", "tag": "abl_both_s0"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04903	0.04903	0.00000	0.00000	0.1080	0.0096	0.05200
1	0.04049	0.04049	0.00000	0.00000	0.1124	0.0263	0.04758
2	0.03911	0.03911	0.00000	0.00000	0.1068	0.1088	0.04112
3	0.03770	0.03770	0.00000	0.00000	0.1104	0.1222	0.04001
4	0.03611	0.03611	0.00000	0.00000	0.1087	0.1266	0.04004
5	0.03507	0.03507	0.00000	0.00000	0.1132	0.1140	0.03907
6	0.03479	0.03479	0.00000	0.00000	0.1115	0.1378	0.04136
7	0.03345	0.03345	0.00000	0.00000	0.1094	0.1443	0.04049
8	0.03291	0.03291	0.00000	0.00000	0.1101	0.1298	0.03971
9	0.03125	0.03125	0.00000	0.00000	0.1129	0.1290	0.03914
10	0.03085	0.03085	0.00000	0.00000	0.1124	0.1093	0.04105
11	0.03009	0.03009	0.00000	0.00000	0.1111	0.1028	0.04120
12	0.03042	0.03042	0.00000	0.00000	0.1125	0.0887	0.03998
13	0.02848	0.02848	0.00000	0.00000	0.1108	0.0748	0.04048
14	0.02859	0.02859	0.00000	0.00000	0.1096	0.1328	0.04237
15	0.02777	0.02777	0.00000	0.00000	0.1133	0.0852	0.04110
16	0.02741	0.02741	0.00000	0.00000	0.1091	0.1152	0.03944
17	0.02721	0.02721	0.00000	0.00000	0.1167	0.0632	0.04396
18	0.02701	0.02701	0.00000	0.00000	0.1069	0.0874	0.04176
19	0.02576	0.02576	0.00000	0.00000	0.1120	0.0951	0.04131
20	0.02465	0.02465	0.00000	0.00000	0.1122	0.0822	0.04150
21	0.02567	0.02567	0.00000	0.00000	0.1113	0.0902	0.04197
22	0.02542	0.02542	0.00000	0.00000	0.1098	0.1085	0.04173
23	0.02481	0.02481	0.00000	0.00000	0.1143	0.0613	0.04347
24	0.02380	0.02380	0.00000	0.00000	0.1110	0.0886	0.04191
25	0.02308	0.02308	0.00000	0.00000	0.1126	0.0967	0.04057
26	0.02225	0.02225	0.00000	0.00000	0.1120	0.0956	0.04143
27	0.02134	0.02134	0.00000	0.00000	0.1108	0.1098	0.04262
28	0.02111	0.02111	0.00000	0.00000	0.1118	0.1029	0.04285
29	0.02101	0.02101	0.00000	0.00000	0.1108	0.1144	0.04401
30	0.02010	0.02010	0.00000	0.00000	0.1104	0.1318	0.04404
31	0.01910	0.01910	0.00000	0.00000	0.1119	0.1014	0.04322
32	0.01907	0.01907	0.00000	0.00000	0.1098	0.1073	0.04217
33	0.01897	0.01897	0.00000	0.00000	0.1129	0.0815	0.04284
34	0.01901	0.01901	0.00000	0.00000	0.1091	0.1076	0.04138
35	0.01817	0.01817	0.00000	0.00000	0.1114	0.1370	0.04393
36	0.01755	0.01755	0.00000	0.00000	0.1122	0.1245	0.04390
37	0.01767	0.01767	0.00000	0.00000	0.1123	0.1181	0.04389
38	0.01801	0.01801	0.00000	0.00000	0.1117	0.0964	0.04485
39	0.01727	0.01727	0.00000	0.00000	0.1115	0.1004	0.04188
40	0.01638	0.01638	0.00000	0.00000	0.1109	0.0889	0.04393
41	0.01733	0.01733	0.00000	0.00000	0.1109	0.1173	0.04545
42	0.01673	0.01673	0.00000	0.00000	0.1115	0.1009	0.04291
43	0.01626	0.01626	0.00000	0.00000	0.1109	0.0942	0.04605
44	0.01560	0.01560	0.00000	0.00000	0.1118	0.0905	0.04611
45	0.01584	0.01584	0.00000	0.00000	0.1106	0.0993	0.04256
46	0.01557	0.01557	0.00000	0.00000	0.1096	0.1234	0.04502
47	0.01556	0.01556	0.00000	0.00000	0.1114	0.1219	0.04676
48	0.01526	0.01526	0.00000	0.00000	0.1121	0.1128	0.04644
49	0.01536	0.01536	0.00000	0.00000	0.1108	0.1274	0.04360
50	0.01471	0.01471	0.00000	0.00000	0.1121	0.0713	0.04484
51	0.01451	0.01451	0.00000	0.00000	0.1099	0.0982	0.04559
52	0.01436	0.01436	0.00000	0.00000	0.1124	0.0959	0.04592
53	0.01495	0.01495	0.00000	0.00000	0.1114	0.0779	0.04390
54	0.01326	0.01326	0.00000	0.00000	0.1099	0.1184	0.04508
55	0.01300	0.01300	0.00000	0.00000	0.1119	0.1332	0.04558
56	0.01304	0.01304	0.00000	0.00000	0.1120	0.1129	0.04480
57	0.01272	0.01272	0.00000	0.00000	0.1109	0.0918	0.04423
58	0.01299	0.01299	0.00000	0.00000	0.1107	0.1270	0.04512
59	0.01254	0.01254	0.00000	0.00000	0.1126	0.0934	0.04640
60	0.01300	0.01300	0.00000	0.00000	0.1095	0.1132	0.04397
61	0.01307	0.01307	0.00000	0.00000	0.1115	0.0993	0.04659
62	0.01236	0.01236	0.00000	0.00000	0.1116	0.1116	0.04403
63	0.01264	0.01264	0.00000	0.00000	0.1104	0.1393	0.04723
64	0.01235	0.01235	0.00000	0.00000	0.1128	0.1310	0.04513
65	0.01163	0.01163	0.00000	0.00000	0.1120	0.1198	0.04502
66	0.01140	0.01140	0.00000	0.00000	0.1110	0.1113	0.04551
67	0.01104	0.01104	0.00000	0.00000	0.1113	0.1172	0.04410
68	0.01149	0.01149	0.00000	0.00000	0.1133	0.1084	0.04543
69	0.01092	0.01092	0.00000	0.00000	0.1126	0.0958	0.04648
70	0.01115	0.01115	0.00000	0.00000	0.1100	0.1141	0.04514
71	0.01075	0.01075	0.00000	0.00000	0.1131	0.1032	0.04520
72	0.01021	0.01021	0.00000	0.00000	0.1105	0.1199	0.04340
73	0.01127	0.01127	0.00000	0.00000	0.1108	0.1204	0.04595
74	0.01067	0.01067	0.00000	0.00000	0.1112	0.1291	0.04474
75	0.01007	0.01007	0.00000	0.00000	0.1115	0.1047	0.04366
76	0.01013	0.01013	0.00000	0.00000	0.1116	0.1066	0.04528
77	0.01077	0.01077	0.00000	0.00000	0.1127	0.0903	0.04678
78	0.01000	0.01000	0.00000	0.00000	0.1111	0.1076	0.04473
79	0.00966	0.00966	0.00000	0.00000	0.1113	0.1127	0.04435
80	0.00951	0.00951	0.00000	0.00000	0.1121	0.1137	0.04467
81	0.01000	0.01000	0.00000	0.00000	0.1118	0.1159	0.04653
82	0.01020	0.01020	0.00000	0.00000	0.1115	0.1106	0.04586
83	0.00965	0.00965	0.00000	0.00000	0.1114	0.1000	0.04478
84	0.00952	0.00952	0.00000	0.00000	0.1123	0.1064	0.04524
85	0.00962	0.00962	0.00000	0.00000	0.1108	0.0877	0.04590
86	0.00915	0.00915	0.00000	0.00000	0.1106	0.1035	0.04441
87	0.00916	0.00916	0.00000	0.00000	0.1109	0.1130	0.04404
88	0.00898	0.00898	0.00000	0.00000	0.1124	0.1084	0.04380
89	0.00913	0.00913	0.00000	0.00000	0.1112	0.0945	0.04735
90	0.00905	0.00905	0.00000	0.00000	0.1115	0.0944	0.04480
91	0.00912	0.00912	0.00000	0.00000	0.1105	0.1175	0.04641
92	0.00910	0.00910	0.00000	0.00000	0.1123	0.1082	0.04734
93	0.00910	0.00910	0.00000	0.00000	0.1109	0.1004	0.04572
94	0.00863	0.00863	0.00000	0.00000	0.1102	0.1222	0.04524
95	0.00848	0.00848	0.00000	0.00000	0.1122	0.1061	0.04410
96	0.00914	0.00914	0.00000	0.00000	0.1102	0.1191	0.04762
97	0.00932	0.00932	0.00000	0.00000	0.1116	0.1086	0.04491
98	0.00859	0.00859	0.00000	0.00000	0.1109	0.1197	0.04575
99	0.00843	0.00843	0.00000	0.00000	0.1111	0.1042	0.04605
100	0.00851	0.00851	0.00000	0.00000	0.1126	0.0938	0.04754
101	0.00859	0.00859	0.00000	0.00000	0.1119	0.1165	0.04476
102	0.00842	0.00842	0.00000	0.00000	0.1103	0.0915	0.04621
103	0.00838	0.00838	0.00000	0.00000	0.1101	0.1412	0.04619
104	0.00873	0.00873	0.00000	0.00000	0.1122	0.0946	0.04622
105	0.00838	0.00838	0.00000	0.00000	0.1112	0.1216	0.04565
106	0.00824	0.00824	0.00000	0.00000	0.1109	0.1029	0.04556
107	0.00871	0.00871	0.00000	0.00000	0.1127	0.1146	0.04537
108	0.00856	0.00856	0.00000	0.00000	0.1122	0.0988	0.04539
109	0.00835	0.00835	0.00000	0.00000	0.1101	0.0938	0.04622
110	0.00840	0.00840	0.00000	0.00000	0.1103	0.1092	0.04603
111	0.00842	0.00842	0.00000	0.00000	0.1126	0.0905	0.04505
112	0.00841	0.00841	0.00000	0.00000	0.1111	0.0788	0.04583
113	0.00854	0.00854	0.00000	0.00000	0.1098	0.1212	0.04476
114	0.00799	0.00799	0.00000	0.00000	0.1119	0.1163	0.04496
115	0.00859	0.00859	0.00000	0.00000	0.1125	0.1218	0.04603
116	0.00777	0.00777	0.00000	0.00000	0.1103	0.1128	0.04813
117	0.00758	0.00758	0.00000	0.00000	0.1111	0.1113	0.04682
118	0.00789	0.00789	0.00000	0.00000	0.1118	0.1122	0.04584
119	0.00747	0.00747	0.00000	0.00000	0.1116	0.1118	0.04594
120	0.00746	0.00746	0.00000	0.00000	0.1114	0.0831	0.04701
121	0.00769	0.00769	0.00000	0.00000	0.1119	0.0979	0.04625
122	0.00843	0.00843	0.00000	0.00000	0.1101	0.1315	0.04608
123	0.00766	0.00766	0.00000	0.00000	0.1122	0.1084	0.04602
124	0.00761	0.00761	0.00000	0.00000	0.1114	0.1095	0.04601
125	0.00729	0.00729	0.00000	0.00000	0.1117	0.1133	0.04511
126	0.00819	0.00819	0.00000	0.00000	0.1122	0.1027	0.04537
127	0.00803	0.00803	0.00000	0.00000	0.1113	0.0935	0.04604
128	0.00763	0.00763	0.00000	0.00000	0.1110	0.1181	0.04615
129	0.00741	0.00741	0.00000	0.00000	0.1127	0.1051	0.04706
130	0.00791	0.00791	0.00000	0.00000	0.1106	0.1122	0.04624
131	0.00758	0.00758	0.00000	0.00000	0.1110	0.1163	0.04658
132	0.00735	0.00735	0.00000	0.00000	0.1118	0.1058	0.04522
133	0.00729	0.00729	0.00000	0.00000	0.1110	0.1120	0.04645
134	0.00703	0.00703	0.00000	0.00000	0.1108	0.1163	0.04422
135	0.00704	0.00704	0.00000	0.00000	0.1111	0.1167	0.04369
136	0.00756	0.00756	0.00000	0.00000	0.1109	0.1145	0.04575
137	0.00711	0.00711	0.00000	0.00000	0.1127	0.0978	0.04550
138	0.00744	0.00744	0.00000	0.00000	0.1115	0.1105	0.04602
139	0.00754	0.00754	0.00000	0.00000	0.1111	0.1203	0.04589
140	0.00735	0.00735	0.00000	0.00000	0.1116	0.0954	0.04572
141	0.00765	0.00765	0.00000	0.00000	0.1100	0.1401	0.04759
142	0.00814	0.00814	0.00000	0.00000	0.1132	0.0842	0.04569
143	0.00811	0.00811	0.00000	0.00000	0.1098	0.1360	0.04637
