# {"dataset": "bdd100k", "cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/cache_train.pt", "val_cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/cache_val.pt", "flops": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/flops_table.json", "epochs": 50, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 64, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 1, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/bdd100k/policy_1.pt", "logdir": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/logs", "tag": "seed1", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.05494	0.05494	0.00000	0.00000	0.0575	0.0580	0.01365
1	0.05462	0.05462	0.00000	0.00000	0.0573	0.0467	0.01355
2	0.05431	0.05431	0.00000	0.00000	0.0576	0.0685	0.01374
3	0.05413	0.05413	0.00000	0.00000	0.0574	0.0746	0.01408
4	0.05398	0.05398	0.00000	0.00000	0.0575	0.0657	0.01370
5	0.05372	0.05372	0.00000	0.00000	0.0576	0.0582	0.01360
6	0.05350	0.05350	0.00000	0.00000	0.0572	0.0696	0.01404
7	0.05328	0.05328	0.00000	0.00000	0.0578	0.0633	0.01412
8	0.05275	0.05275	0.00000	0.00000	0.0571	0.0742	0.01443
9	0.05213	0.05213	0.00000	0.00000	0.0581	0.0405	0.01413
10	0.05076	0.05076	0.00000	0.00000	0.0577	0.0509	0.01486
11	0.04766	0.04766	0.00000	0.00000	0.0576	0.0462	0.01359
12	0.04332	0.04332	0.00000	0.00000	0.0573	0.0600	0.01465
13	0.04004	0.04004	0.00000	0.00000	0.0577	0.0574	0.01447
14	0.03535	0.03535	0.00000	0.00000	0.0575	0.0520	0.01446
15	0.03474	0.03474	0.00000	0.00000	0.0571	0.0580	0.01566
16	0.03124	0.03124	0.00000	0.00000	0.0574	0.0572	0.01483
17	0.03218	0.03218	0.00000	0.00000	0.0572	0.0588	0.01451
18	0.03148	0.03148	0.00000	0.00000	0.0577	0.0618	0.01758
19	0.03029	0.03029	0.00000	0.00000	0.0571	0.0678	0.01723
20	0.02991	0.02991	0.00000	0.00000	0.0575	0.0573	0.01553
21	0.02884	0.02884	0.00000	0.00000	0.0573	0.0620	0.01389
22	0.02747	0.02747	0.00000	0.00000	0.0573	0.0624	0.01570
23	0.02800	0.02800	0.00000	0.00000	0.0573	0.0624	0.01441
24	0.02758	0.02758	0.00000	0.00000	0.0575	0.0491	0.01701
25	0.02836	0.02836	0.00000	0.00000	0.0574	0.0536	0.01629
26	0.02703	0.02703	0.00000	0.00000	0.0574	0.0597	0.01533
27	0.02449	0.02449	0.00000	0.00000	0.0573	0.0581	0.01484
28	0.02432	0.02432	0.00000	0.00000	0.0574	0.0618	0.01479
29	0.02467	0.02467	0.00000	0.00000	0.0573	0.0501	0.01591
30	0.02392	0.02392	0.00000	0.00000	0.0573	0.0601	0.01449
31	0.02362	0.02362	0.00000	0.00000	0.0574	0.0591	0.01381
32	0.02354	0.02354	0.00000	0.00000	0.0575	0.0566	0.01672
33	0.02455	0.02455	0.00000	0.00000	0.0574	0.0570	0.01650
34	0.02516	0.02516	0.00000	0.00000	0.0570	0.0729	0.01756
35	0.02346	0.02346	0.00000	0.00000	0.0576	0.0545	0.01400
36	0.02298	0.02298	0.00000	0.00000	0.0573	0.0601	0.01503
37	0.02296	0.02296	0.00000	0.00000	0.0574	0.0590	0.01554
38	0.02294	0.02294	0.00000	0.00000	0.0570	0.0628	0.01605
39	0.02308	0.02308	0.00000	0.00000	0.0578	0.0610	0.01608
40	0.02216	0.02216	0.00000	0.00000	0.0572	0.0612	0.01418
41	0.02219	0.02219	0.00000	0.00000	0.0573	0.0629	0.01482
42	0.02216	0.02216	0.00000	0.00000	0.0574	0.0601	0.01595
43	0.02182	0.02182	0.00000	0.00000	0.0573	0.0611	0.01448
44	0.02124	0.02124	0.00000	0.00000	0.0574	0.0652	0.01463
45	0.02101	0.02101	0.00000	0.00000	0.0575	0.0550	0.01554
46	0.02161	0.02161	0.00000	0.00000	0.0572	0.0577	0.01459
47	0.02160	0.02160	0.00000	0.00000	0.0575	0.0613	0.01471
48	0.02160	0.02160	0.00000	0.00000	0.0573	0.0608	0.01645
49	0.02172	0.02172	0.00000	0.00000	0.0574	0.0576	0.01524
