# {"dataset": "bdd100k", "cache": "outputs/bdd100k/cache_train_both.pt", "val_cache": "outputs/bdd100k/cache_val_both.pt", "flops": "outputs/bdd100k/flops_table.json", "epochs": 150, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 512, "group_dim": 256, "path_dim": 8, "feat": "both", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0001, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "outputs/bdd100k/policy_both_0.pt", "logdir": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/logs", "tag": "both_seed0", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.05542	0.05542	0.00000	0.00000	0.0574	0.0635	0.01365
1	0.05441	0.05441	0.00000	0.00000	0.0572	0.0506	0.01338
2	0.05433	0.05433	0.00000	0.00000	0.0571	0.0448	0.01359
3	0.05422	0.05422	0.00000	0.00000	0.0571	0.0701	0.01382
4	0.05422	0.05422	0.00000	0.00000	0.0572	0.0568	0.01350
5	0.05428	0.05428	0.00000	0.00000	0.0574	0.0545	0.01345
6	0.05422	0.05422	0.00000	0.00000	0.0571	0.0708	0.01383
7	0.05414	0.05414	0.00000	0.00000	0.0572	0.0609	0.01349
8	0.05409	0.05409	0.00000	0.00000	0.0573	0.0448	0.01344
9	0.05410	0.05410	0.00000	0.00000	0.0574	0.0468	0.01343
10	0.05408	0.05408	0.00000	0.00000	0.0570	0.0760	0.01408
11	0.05410	0.05410	0.00000	0.00000	0.0575	0.0474	0.01342
12	0.05404	0.05404	0.00000	0.00000	0.0570	0.0632	0.01357
13	0.05401	0.05401	0.00000	0.00000	0.0576	0.0557	0.01358
14	0.05402	0.05402	0.00000	0.00000	0.0570	0.0601	0.01358
15	0.05399	0.05399	0.00000	0.00000	0.0574	0.0606	0.01354
16	0.05401	0.05401	0.00000	0.00000	0.0573	0.0540	0.01345
17	0.05397	0.05397	0.00000	0.00000	0.0571	0.0486	0.01337
18	0.05405	0.05405	0.00000	0.00000	0.0571	0.0627	0.01356
19	0.05396	0.05396	0.00000	0.00000	0.0576	0.0637	0.01358
20	0.05399	0.05399	0.00000	0.00000	0.0575	0.0635	0.01370
21	0.05400	0.05400	0.00000	0.00000	0.0573	0.0525	0.01342
22	0.05394	0.05394	0.00000	0.00000	0.0573	0.0552	0.01338
23	0.05395	0.05395	0.00000	0.00000	0.0572	0.0586	0.01354
