# {"dataset": "bdd100k", "cache": "outputs/bdd100k/cache_train_both_2x4.pt", "val_cache": "outputs/bdd100k/cache_val_both_2x4.pt", "flops": "outputs/bdd100k/flops_table.json", "epochs": 150, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 64, "group_dim": 64, "path_dim": 8, "feat": "both", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "outputs/bdd100k/sweep_2x4/gd64_h64.pt", "logdir": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/logs", "tag": "gd64_h64", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.05566	0.05566	0.00000	0.00000	0.0555	0.0612	0.01356
1	0.05437	0.05437	0.00000	0.00000	0.0575	0.0552	0.01356
2	0.05419	0.05419	0.00000	0.00000	0.0571	0.0482	0.01347
3	0.05395	0.05395	0.00000	0.00000	0.0572	0.0550	0.01355
4	0.05384	0.05384	0.00000	0.00000	0.0573	0.0574	0.01359
5	0.05364	0.05364	0.00000	0.00000	0.0568	0.0609	0.01384
6	0.05332	0.05332	0.00000	0.00000	0.0573	0.0605	0.01364
7	0.05293	0.05293	0.00000	0.00000	0.0574	0.0604	0.01395
8	0.05213	0.05213	0.00000	0.00000	0.0575	0.0645	0.01579
9	0.05103	0.05103	0.00000	0.00000	0.0574	0.0626	0.01606
10	0.04779	0.04779	0.00000	0.00000	0.0576	0.0611	0.01379
11	0.04395	0.04395	0.00000	0.00000	0.0570	0.0765	0.01506
12	0.03790	0.03790	0.00000	0.00000	0.0575	0.0497	0.01412
13	0.03261	0.03261	0.00000	0.00000	0.0573	0.0535	0.01491
14	0.03012	0.03012	0.00000	0.00000	0.0567	0.0681	0.01421
