# {"dataset": "bdd100k", "cache": "outputs/bdd100k/cache_train_both_2x4.pt", "val_cache": "outputs/bdd100k/cache_val_both_2x4.pt", "flops": "outputs/bdd100k/flops_table.json", "epochs": 150, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 256, "group_dim": 128, "path_dim": 8, "feat": "both", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0001, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "outputs/bdd100k/sweep_2x4/gd128_h256_wd1e4.pt", "logdir": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/logs", "tag": "gd128_h256_wd1e4", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.05487	0.05487	0.00000	0.00000	0.0571	0.0653	0.01374
1	0.05435	0.05435	0.00000	0.00000	0.0575	0.0513	0.01350
2	0.05428	0.05428	0.00000	0.00000	0.0566	0.0666	0.01378
3	0.05430	0.05430	0.00000	0.00000	0.0578	0.0487	0.01343
4	0.05421	0.05421	0.00000	0.00000	0.0571	0.0519	0.01345
5	0.05426	0.05426	0.00000	0.00000	0.0571	0.0631	0.01353
6	0.05421	0.05421	0.00000	0.00000	0.0571	0.0564	0.01345
7	0.05411	0.05411	0.00000	0.00000	0.0572	0.0576	0.01346
8	0.05416	0.05416	0.00000	0.00000	0.0573	0.0559	0.01344
9	0.05409	0.05409	0.00000	0.00000	0.0567	0.0664	0.01358
10	0.05412	0.05412	0.00000	0.00000	0.0576	0.0666	0.01387
11	0.05408	0.05408	0.00000	0.00000	0.0569	0.0712	0.01383
12	0.05406	0.05406	0.00000	0.00000	0.0574	0.0528	0.01342
13	0.05397	0.05397	0.00000	0.00000	0.0573	0.0552	0.01346
14	0.05401	0.05401	0.00000	0.00000	0.0574	0.0568	0.01346
15	0.05395	0.05395	0.00000	0.00000	0.0573	0.0583	0.01342
16	0.05394	0.05394	0.00000	0.00000	0.0575	0.0545	0.01340
17	0.05402	0.05402	0.00000	0.00000	0.0572	0.0579	0.01345
18	0.05395	0.05395	0.00000	0.00000	0.0574	0.0578	0.01350
19	0.05402	0.05402	0.00000	0.00000	0.0570	0.0616	0.01346
20	0.05397	0.05397	0.00000	0.00000	0.0574	0.0586	0.01349
21	0.05396	0.05396	0.00000	0.00000	0.0571	0.0706	0.01373
22	0.05398	0.05398	0.00000	0.00000	0.0574	0.0591	0.01350
23	0.05391	0.05391	0.00000	0.00000	0.0571	0.0603	0.01349
24	0.05397	0.05397	0.00000	0.00000	0.0575	0.0541	0.01340
25	0.05392	0.05392	0.00000	0.00000	0.0574	0.0544	0.01341
26	0.05394	0.05394	0.00000	0.00000	0.0574	0.0593	0.01349
27	0.05390	0.05390	0.00000	0.00000	0.0573	0.0623	0.01350
28	0.05393	0.05393	0.00000	0.00000	0.0571	0.0548	0.01334
29	0.05390	0.05390	0.00000	0.00000	0.0572	0.0609	0.01348
30	0.05391	0.05391	0.00000	0.00000	0.0575	0.0541	0.01344
31	0.05394	0.05394	0.00000	0.00000	0.0571	0.0623	0.01366
32	0.05385	0.05385	0.00000	0.00000	0.0575	0.0558	0.01344
33	0.05393	0.05393	0.00000	0.00000	0.0568	0.0546	0.01343
34	0.05388	0.05388	0.00000	0.00000	0.0576	0.0560	0.01342
35	0.05392	0.05392	0.00000	0.00000	0.0573	0.0450	0.01342
36	0.05393	0.05393	0.00000	0.00000	0.0573	0.0649	0.01389
37	0.05388	0.05388	0.00000	0.00000	0.0573	0.0589	0.01346
38	0.05388	0.05388	0.00000	0.00000	0.0572	0.0628	0.01377
39	0.05385	0.05385	0.00000	0.00000	0.0577	0.0532	0.01350
40	0.05385	0.05385	0.00000	0.00000	0.0570	0.0599	0.01360
41	0.05380	0.05380	0.00000	0.00000	0.0574	0.0604	0.01350
42	0.05389	0.05389	0.00000	0.00000	0.0575	0.0483	0.01342
43	0.05388	0.05388	0.00000	0.00000	0.0573	0.0649	0.01366
44	0.05389	0.05389	0.00000	0.00000	0.0570	0.0612	0.01345
45	0.05380	0.05380	0.00000	0.00000	0.0574	0.0551	0.01339
46	0.05390	0.05390	0.00000	0.00000	0.0575	0.0541	0.01342
47	0.05385	0.05385	0.00000	0.00000	0.0572	0.0530	0.01341
48	0.05392	0.05392	0.00000	0.00000	0.0570	0.0721	0.01388
