# {"dataset": "bdd100k", "cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/cache_train.pt", "val_cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/cache_val.pt", "flops": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/flops_table.json", "epochs": 150, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 512, "group_dim": 256, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/bdd100k/sweep_capacity/gd256_h512.pt", "logdir": "method02_advantage_regress_tinyConv/outputs/bdd100k/sweep_capacity/logs", "tag": "gd256_h512", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.05500	0.05500	0.00000	0.00000	0.0569	0.0557	0.01358
1	0.05450	0.05450	0.00000	0.00000	0.0571	0.0602	0.01351
2	0.05419	0.05419	0.00000	0.00000	0.0574	0.0412	0.01354
3	0.05393	0.05393	0.00000	0.00000	0.0568	0.0448	0.01359
4	0.05359	0.05359	0.00000	0.00000	0.0576	0.0319	0.01437
5	0.05309	0.05309	0.00000	0.00000	0.0575	0.0604	0.01459
6	0.05191	0.05191	0.00000	0.00000	0.0575	0.0166	0.01994
7	0.04882	0.04882	0.00000	0.00000	0.0572	-0.0537	0.13389
8	0.04009	0.04009	0.00000	0.00000	0.0572	-0.0147	0.10908
9	0.03371	0.03371	0.00000	0.00000	0.0572	-0.0553	0.21572
10	0.03242	0.03242	0.00000	0.00000	0.0573	-0.0578	0.18461
11	0.03130	0.03130	0.00000	0.00000	0.0570	-0.0834	0.34701
12	0.02961	0.02961	0.00000	0.00000	0.0573	-0.0723	0.23668
13	0.02922	0.02922	0.00000	0.00000	0.0577	-0.1095	0.32422
14	0.02929	0.02929	0.00000	0.00000	0.0570	-0.1451	0.39124
15	0.02873	0.02873	0.00000	0.00000	0.0575	-0.1055	0.30979
16	0.02791	0.02791	0.00000	0.00000	0.0569	-0.1947	0.52309
17	0.02544	0.02544	0.00000	0.00000	0.0574	-0.3596	1.03167
18	0.02468	0.02468	0.00000	0.00000	0.0574	-0.3657	0.92661
19	0.02427	0.02427	0.00000	0.00000	0.0571	-0.3996	1.03967
20	0.02382	0.02382	0.00000	0.00000	0.0576	-0.1694	0.36321
21	0.02403	0.02403	0.00000	0.00000	0.0571	-0.0923	0.28987
22	0.02272	0.02272	0.00000	0.00000	0.0570	-0.1773	0.44242
23	0.02170	0.02170	0.00000	0.00000	0.0573	-0.2292	0.56741
24	0.02080	0.02080	0.00000	0.00000	0.0576	-0.0916	0.23371
25	0.02077	0.02077	0.00000	0.00000	0.0572	-0.2127	0.39187
26	0.01986	0.01986	0.00000	0.00000	0.0571	-0.0201	0.10926
27	0.01836	0.01836	0.00000	0.00000	0.0576	-0.1035	0.22364
28	0.01674	0.01674	0.00000	0.00000	0.0570	-0.1326	0.35371
29	0.01605	0.01605	0.00000	0.00000	0.0573	-0.3404	0.67845
30	0.01603	0.01603	0.00000	0.00000	0.0575	-0.3112	0.63127
31	0.01626	0.01626	0.00000	0.00000	0.0574	-0.3995	0.89965
32	0.01511	0.01511	0.00000	0.00000	0.0572	-0.4608	0.93988
33	0.01455	0.01455	0.00000	0.00000	0.0571	-0.1934	0.39535
34	0.01477	0.01477	0.00000	0.00000	0.0574	-0.3544	0.68006
35	0.01404	0.01404	0.00000	0.00000	0.0575	-0.3857	0.78724
36	0.01395	0.01395	0.00000	0.00000	0.0569	-0.2924	0.60294
37	0.01388	0.01388	0.00000	0.00000	0.0572	-0.2161	0.49451
38	0.01310	0.01310	0.00000	0.00000	0.0573	-0.1731	0.51480
39	0.01329	0.01329	0.00000	0.00000	0.0573	-0.2789	0.63008
40	0.01295	0.01295	0.00000	0.00000	0.0572	-0.4310	1.01474
41	0.01284	0.01284	0.00000	0.00000	0.0574	-0.4063	1.04487
42	0.01258	0.01258	0.00000	0.00000	0.0572	-0.1997	0.41595
43	0.01180	0.01180	0.00000	0.00000	0.0574	-0.3273	0.70817
