# {"dataset": "bdd100k", "cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/cache_train.pt", "val_cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/cache_val.pt", "flops": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/flops_table.json", "epochs": 150, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 256, "group_dim": 128, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0001, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/bdd100k/sweep_capacity/gd128_h256_wd1e4.pt", "logdir": "method02_advantage_regress_tinyConv/outputs/bdd100k/sweep_capacity/logs", "tag": "gd128_h256_wd1e4", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.05506	0.05506	0.00000	0.00000	0.0570	0.0569	0.01364
1	0.05459	0.05459	0.00000	0.00000	0.0577	0.0266	0.01431
2	0.05447	0.05447	0.00000	0.00000	0.0568	0.0567	0.01353
3	0.05434	0.05434	0.00000	0.00000	0.0575	0.0357	0.01369
4	0.05431	0.05431	0.00000	0.00000	0.0570	0.0551	0.01347
5	0.05428	0.05428	0.00000	0.00000	0.0574	0.0466	0.01345
6	0.05434	0.05434	0.00000	0.00000	0.0572	0.0412	0.01355
7	0.05421	0.05421	0.00000	0.00000	0.0574	0.0310	0.01397
8	0.05423	0.05423	0.00000	0.00000	0.0571	0.0433	0.01358
9	0.05417	0.05417	0.00000	0.00000	0.0576	0.0303	0.01402
10	0.05422	0.05422	0.00000	0.00000	0.0571	0.0439	0.01353
11	0.05415	0.05415	0.00000	0.00000	0.0573	0.0450	0.01350
12	0.05411	0.05411	0.00000	0.00000	0.0575	0.0359	0.01370
13	0.05413	0.05413	0.00000	0.00000	0.0572	0.0476	0.01346
14	0.05413	0.05413	0.00000	0.00000	0.0572	0.0384	0.01368
15	0.05407	0.05407	0.00000	0.00000	0.0577	0.0401	0.01357
16	0.05405	0.05405	0.00000	0.00000	0.0573	0.0386	0.01363
17	0.05407	0.05407	0.00000	0.00000	0.0573	0.0418	0.01356
