# {"dataset": "bdd100k", "cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/cache_train.pt", "val_cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/cache_val.pt", "flops": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/flops_table.json", "epochs": 150, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 512, "group_dim": 256, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.1, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/bdd100k/sweep_capacity/gd256_h512_do0.1.pt", "logdir": "method02_advantage_regress_tinyConv/outputs/bdd100k/sweep_capacity/logs", "tag": "gd256_h512_do0.1", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.05506	0.05506	0.00000	0.00000	0.0567	0.0462	0.01350
1	0.05454	0.05454	0.00000	0.00000	0.0565	0.0592	0.01346
2	0.05427	0.05427	0.00000	0.00000	0.0570	0.0494	0.01347
3	0.05399	0.05399	0.00000	0.00000	0.0566	0.0512	0.01351
4	0.05371	0.05371	0.00000	0.00000	0.0575	0.0548	0.01366
5	0.05333	0.05333	0.00000	0.00000	0.0571	0.0952	0.01619
6	0.05256	0.05256	0.00000	0.00000	0.0571	0.0612	0.01460
7	0.05020	0.05020	0.00000	0.00000	0.0562	0.0372	0.04000
8	0.04314	0.04314	0.00000	0.00000	0.0572	0.0185	0.09319
9	0.03555	0.03555	0.00000	0.00000	0.0568	0.0542	0.05781
10	0.03063	0.03063	0.00000	0.00000	0.0573	0.0041	0.13704
11	0.02840	0.02840	0.00000	0.00000	0.0569	0.0644	0.09171
12	0.02864	0.02864	0.00000	0.00000	0.0570	0.0771	0.02056
13	0.02731	0.02731	0.00000	0.00000	0.0577	0.0293	0.15815
14	0.02509	0.02509	0.00000	0.00000	0.0571	0.0549	0.07623
15	0.02555	0.02555	0.00000	0.00000	0.0574	0.0735	0.10830
16	0.02463	0.02463	0.00000	0.00000	0.0570	0.0383	0.22749
17	0.02380	0.02380	0.00000	0.00000	0.0574	0.0499	0.16219
18	0.02455	0.02455	0.00000	0.00000	0.0574	0.0440	0.16640
19	0.02472	0.02472	0.00000	0.00000	0.0573	0.0035	0.24166
20	0.02304	0.02304	0.00000	0.00000	0.0574	0.1019	0.06388
21	0.02348	0.02348	0.00000	0.00000	0.0571	0.0618	0.15985
22	0.02197	0.02197	0.00000	0.00000	0.0575	0.0083	0.25555
23	0.02158	0.02158	0.00000	0.00000	0.0574	0.1129	0.09563
24	0.02181	0.02181	0.00000	0.00000	0.0573	0.1370	0.10431
25	0.02202	0.02202	0.00000	0.00000	0.0571	0.0816	0.25318
26	0.02041	0.02041	0.00000	0.00000	0.0575	0.1747	0.16845
27	0.02037	0.02037	0.00000	0.00000	0.0571	0.1053	0.19400
28	0.01956	0.01956	0.00000	0.00000	0.0572	0.1448	0.17915
29	0.01926	0.01926	0.00000	0.00000	0.0575	0.2028	0.26787
30	0.01844	0.01844	0.00000	0.00000	0.0574	0.1571	0.21127
31	0.01811	0.01811	0.00000	0.00000	0.0574	0.1344	0.13863
32	0.01704	0.01704	0.00000	0.00000	0.0571	0.1834	0.12564
33	0.01653	0.01653	0.00000	0.00000	0.0571	0.1159	0.22011
34	0.01606	0.01606	0.00000	0.00000	0.0576	0.2028	0.16146
35	0.01633	0.01633	0.00000	0.00000	0.0573	0.1655	0.26056
36	0.01603	0.01603	0.00000	0.00000	0.0572	0.1895	0.20009
37	0.01547	0.01547	0.00000	0.00000	0.0573	0.1214	0.23244
38	0.01639	0.01639	0.00000	0.00000	0.0574	0.2325	0.15607
39	0.01573	0.01573	0.00000	0.00000	0.0576	0.1677	0.13829
40	0.01529	0.01529	0.00000	0.00000	0.0571	0.1025	0.38323
41	0.01441	0.01441	0.00000	0.00000	0.0575	0.1190	0.33040
42	0.01504	0.01504	0.00000	0.00000	0.0572	0.2039	0.19269
43	0.01485	0.01485	0.00000	0.00000	0.0575	0.1526	0.20171
44	0.01505	0.01505	0.00000	0.00000	0.0572	0.1691	0.19644
45	0.01524	0.01524	0.00000	0.00000	0.0571	0.0806	0.31372
46	0.01487	0.01487	0.00000	0.00000	0.0573	0.1234	0.14176
47	0.01535	0.01535	0.00000	0.00000	0.0574	0.1738	0.17006
48	0.01530	0.01530	0.00000	0.00000	0.0575	0.1510	0.27773
49	0.01483	0.01483	0.00000	0.00000	0.0573	0.1541	0.21378
50	0.01395	0.01395	0.00000	0.00000	0.0573	0.1815	0.21070
51	0.01399	0.01399	0.00000	0.00000	0.0572	0.1387	0.25666
52	0.01369	0.01369	0.00000	0.00000	0.0574	0.2178	0.20889
53	0.01364	0.01364	0.00000	0.00000	0.0574	0.2001	0.18462
54	0.01401	0.01401	0.00000	0.00000	0.0573	0.0572	0.35989
55	0.01527	0.01527	0.00000	0.00000	0.0573	0.1290	0.30082
56	0.01374	0.01374	0.00000	0.00000	0.0571	0.2093	0.30061
57	0.01368	0.01368	0.00000	0.00000	0.0576	0.1664	0.29921
58	0.01362	0.01362	0.00000	0.00000	0.0572	0.1965	0.30609
59	0.01340	0.01340	0.00000	0.00000	0.0573	0.1222	0.28597
60	0.01292	0.01292	0.00000	0.00000	0.0574	0.1472	0.37314
61	0.01288	0.01288	0.00000	0.00000	0.0572	0.0440	0.34734
62	0.01332	0.01332	0.00000	0.00000	0.0574	0.1677	0.44393
63	0.01325	0.01325	0.00000	0.00000	0.0573	0.1498	0.27834
64	0.01202	0.01202	0.00000	0.00000	0.0574	0.1655	0.31521
65	0.01212	0.01212	0.00000	0.00000	0.0572	0.1936	0.36803
66	0.01243	0.01243	0.00000	0.00000	0.0575	0.2240	0.25591
67	0.01247	0.01247	0.00000	0.00000	0.0571	0.1979	0.39850
68	0.01264	0.01264	0.00000	0.00000	0.0574	0.1545	0.26836
69	0.01223	0.01223	0.00000	0.00000	0.0573	0.1956	0.28159
70	0.01241	0.01241	0.00000	0.00000	0.0573	0.1767	0.35663
71	0.01276	0.01276	0.00000	0.00000	0.0574	0.1394	0.34600
72	0.01237	0.01237	0.00000	0.00000	0.0573	0.1476	0.35365
73	0.01145	0.01145	0.00000	0.00000	0.0573	0.2226	0.32033
74	0.01182	0.01182	0.00000	0.00000	0.0573	0.0401	0.41840
75	0.01210	0.01210	0.00000	0.00000	0.0573	0.1890	0.39925
76	0.01301	0.01301	0.00000	0.00000	0.0574	0.1394	0.31975
77	0.01120	0.01120	0.00000	0.00000	0.0573	0.1551	0.30810
78	0.01119	0.01119	0.00000	0.00000	0.0573	0.1324	0.37924
79	0.01149	0.01149	0.00000	0.00000	0.0573	0.1588	0.22767
80	0.01208	0.01208	0.00000	0.00000	0.0574	0.1693	0.33339
81	0.01077	0.01077	0.00000	0.00000	0.0573	0.1540	0.32759
82	0.01106	0.01106	0.00000	0.00000	0.0572	0.1464	0.50938
83	0.01077	0.01077	0.00000	0.00000	0.0574	0.2047	0.33193
84	0.01020	0.01020	0.00000	0.00000	0.0573	0.1115	0.43355
85	0.01039	0.01039	0.00000	0.00000	0.0573	0.1034	0.35713
86	0.01082	0.01082	0.00000	0.00000	0.0572	0.0867	0.40521
87	0.01036	0.01036	0.00000	0.00000	0.0575	0.0879	0.38803
88	0.01097	0.01097	0.00000	0.00000	0.0573	0.0878	0.33937
89	0.01063	0.01063	0.00000	0.00000	0.0573	0.2489	0.24687
90	0.01004	0.01004	0.00000	0.00000	0.0573	0.1678	0.32815
91	0.00996	0.00996	0.00000	0.00000	0.0572	0.2184	0.28436
92	0.01014	0.01014	0.00000	0.00000	0.0573	0.1251	0.28213
93	0.01003	0.01003	0.00000	0.00000	0.0575	0.0481	0.32976
94	0.00987	0.00987	0.00000	0.00000	0.0571	0.1511	0.42114
95	0.01018	0.01018	0.00000	0.00000	0.0573	0.0740	0.41187
96	0.00985	0.00985	0.00000	0.00000	0.0574	-0.0168	0.45530
97	0.00967	0.00967	0.00000	0.00000	0.0573	0.0791	0.27453
98	0.00969	0.00969	0.00000	0.00000	0.0573	-0.0047	0.39990
99	0.00955	0.00955	0.00000	0.00000	0.0574	0.1552	0.22706
100	0.00947	0.00947	0.00000	0.00000	0.0573	-0.0297	0.48880
101	0.00960	0.00960	0.00000	0.00000	0.0574	0.0460	0.32590
102	0.00935	0.00935	0.00000	0.00000	0.0573	0.0420	0.36641
103	0.00920	0.00920	0.00000	0.00000	0.0574	0.1090	0.28381
104	0.00944	0.00944	0.00000	0.00000	0.0571	0.0433	0.55261
105	0.00951	0.00951	0.00000	0.00000	0.0575	0.1379	0.30634
106	0.00970	0.00970	0.00000	0.00000	0.0573	0.1079	0.31809
107	0.00928	0.00928	0.00000	0.00000	0.0572	0.0068	0.46174
108	0.00903	0.00903	0.00000	0.00000	0.0575	0.0800	0.43408
109	0.00876	0.00876	0.00000	0.00000	0.0572	0.1693	0.31165
110	0.00894	0.00894	0.00000	0.00000	0.0573	0.0336	0.33428
111	0.00880	0.00880	0.00000	0.00000	0.0573	-0.0071	0.38873
112	0.00858	0.00858	0.00000	0.00000	0.0574	0.0706	0.38104
113	0.00903	0.00903	0.00000	0.00000	0.0574	-0.0232	0.47980
