# {"dataset": "bdd100k", "cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/cache_train.pt", "val_cache": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/cache_val.pt", "flops": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/flops_table.json", "epochs": 150, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 256, "group_dim": 128, "path_dim": 16, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/bdd100k/sweep_capacity/gd128_h256_path16.pt", "logdir": "method02_advantage_regress_tinyConv/outputs/bdd100k/sweep_capacity/logs", "tag": "gd128_h256_path16", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.05512	0.05512	0.00000	0.00000	0.0575	0.0430	0.01361
1	0.05460	0.05460	0.00000	0.00000	0.0571	0.0605	0.01371
2	0.05442	0.05442	0.00000	0.00000	0.0573	0.0573	0.01348
3	0.05408	0.05408	0.00000	0.00000	0.0574	0.0523	0.01381
4	0.05383	0.05383	0.00000	0.00000	0.0573	0.0371	0.01397
5	0.05355	0.05355	0.00000	0.00000	0.0574	0.0569	0.01382
6	0.05289	0.05289	0.00000	0.00000	0.0576	0.0419	0.01546
7	0.05140	0.05140	0.00000	0.00000	0.0579	-0.0360	0.04501
8	0.05087	0.05087	0.00000	0.00000	0.0576	-0.0783	0.07552
9	0.04463	0.04463	0.00000	0.00000	0.0573	0.0227	0.04233
10	0.03709	0.03709	0.00000	0.00000	0.0575	-0.0288	0.10879
11	0.03498	0.03498	0.00000	0.00000	0.0572	-0.4577	1.33017
12	0.03097	0.03097	0.00000	0.00000	0.0570	-0.3111	0.76943
13	0.02822	0.02822	0.00000	0.00000	0.0573	-0.2359	0.73164
14	0.02709	0.02709	0.00000	0.00000	0.0574	-0.3547	1.00183
15	0.02721	0.02721	0.00000	0.00000	0.0571	-0.2100	0.67053
16	0.02675	0.02675	0.00000	0.00000	0.0573	-0.3009	0.72697
17	0.02612	0.02612	0.00000	0.00000	0.0575	-0.0608	0.22380
18	0.02463	0.02463	0.00000	0.00000	0.0572	-0.1987	0.55048
19	0.02358	0.02358	0.00000	0.00000	0.0571	-0.3098	0.81469
20	0.02307	0.02307	0.00000	0.00000	0.0575	-0.2170	0.62015
21	0.02345	0.02345	0.00000	0.00000	0.0569	-0.2126	0.56253
