# {"dataset": "bdd100k", "cache": "method02_advantage_regress_tinyConv/outputs/bdd100k/cache_train_both.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/bdd100k/cache_val_both.pt", "flops": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/flops_table.json", "epochs": 150, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 256, "group_dim": 128, "path_dim": 8, "feat": "both", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0001, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/bdd100k/sweep_input/both_gd128_h256_wd1e4.pt", "logdir": "method02_advantage_regress_tinyConv/outputs/bdd100k/sweep_input/logs", "tag": "both_gd128_h256_wd1e4", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.05487	0.05487	0.00000	0.00000	0.0571	0.0652	0.01375
1	0.05429	0.05429	0.00000	0.00000	0.0575	0.0510	0.01347
2	0.05428	0.05428	0.00000	0.00000	0.0566	0.0631	0.01364
3	0.05425	0.05425	0.00000	0.00000	0.0578	0.0480	0.01345
4	0.05420	0.05420	0.00000	0.00000	0.0572	0.0519	0.01343
5	0.05424	0.05424	0.00000	0.00000	0.0570	0.0648	0.01359
6	0.05421	0.05421	0.00000	0.00000	0.0571	0.0560	0.01348
7	0.05411	0.05411	0.00000	0.00000	0.0572	0.0566	0.01345
8	0.05416	0.05416	0.00000	0.00000	0.0573	0.0562	0.01345
9	0.05409	0.05409	0.00000	0.00000	0.0567	0.0647	0.01357
10	0.05411	0.05411	0.00000	0.00000	0.0575	0.0675	0.01395
11	0.05406	0.05406	0.00000	0.00000	0.0570	0.0691	0.01379
12	0.05404	0.05404	0.00000	0.00000	0.0574	0.0518	0.01347
13	0.05397	0.05397	0.00000	0.00000	0.0573	0.0558	0.01351
14	0.05400	0.05400	0.00000	0.00000	0.0573	0.0569	0.01348
15	0.05394	0.05394	0.00000	0.00000	0.0573	0.0553	0.01345
16	0.05394	0.05394	0.00000	0.00000	0.0575	0.0543	0.01346
17	0.05400	0.05400	0.00000	0.00000	0.0572	0.0586	0.01348
18	0.05395	0.05395	0.00000	0.00000	0.0574	0.0572	0.01354
19	0.05399	0.05399	0.00000	0.00000	0.0570	0.0617	0.01353
20	0.05394	0.05394	0.00000	0.00000	0.0574	0.0600	0.01357
21	0.05393	0.05393	0.00000	0.00000	0.0573	0.0665	0.01368
22	0.05394	0.05394	0.00000	0.00000	0.0575	0.0587	0.01356
23	0.05391	0.05391	0.00000	0.00000	0.0571	0.0612	0.01355
24	0.05398	0.05398	0.00000	0.00000	0.0575	0.0550	0.01353
25	0.05391	0.05391	0.00000	0.00000	0.0574	0.0529	0.01349
26	0.05391	0.05391	0.00000	0.00000	0.0574	0.0572	0.01352
27	0.05390	0.05390	0.00000	0.00000	0.0574	0.0619	0.01359
28	0.05391	0.05391	0.00000	0.00000	0.0572	0.0588	0.01345
29	0.05392	0.05392	0.00000	0.00000	0.0572	0.0590	0.01353
30	0.05390	0.05390	0.00000	0.00000	0.0575	0.0558	0.01359
31	0.05391	0.05391	0.00000	0.00000	0.0571	0.0571	0.01372
32	0.05384	0.05384	0.00000	0.00000	0.0576	0.0552	0.01350
33	0.05394	0.05394	0.00000	0.00000	0.0568	0.0549	0.01352
34	0.05390	0.05390	0.00000	0.00000	0.0576	0.0565	0.01351
35	0.05393	0.05393	0.00000	0.00000	0.0572	0.0442	0.01351
36	0.05394	0.05394	0.00000	0.00000	0.0574	0.0661	0.01398
37	0.05388	0.05388	0.00000	0.00000	0.0573	0.0597	0.01356
38	0.05388	0.05388	0.00000	0.00000	0.0571	0.0643	0.01387
39	0.05384	0.05384	0.00000	0.00000	0.0577	0.0521	0.01357
40	0.05387	0.05387	0.00000	0.00000	0.0571	0.0578	0.01366
41	0.05384	0.05384	0.00000	0.00000	0.0573	0.0621	0.01366
42	0.05392	0.05392	0.00000	0.00000	0.0574	0.0449	0.01356
43	0.05389	0.05389	0.00000	0.00000	0.0573	0.0637	0.01368
44	0.05388	0.05388	0.00000	0.00000	0.0572	0.0584	0.01348
45	0.05384	0.05384	0.00000	0.00000	0.0574	0.0515	0.01345
46	0.05391	0.05391	0.00000	0.00000	0.0574	0.0557	0.01352
