# {"dataset": "bdd100k", "cache": "method02_advantage_regress_tinyConv/outputs/bdd100k/cache_train_both.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/bdd100k/cache_val_both.pt", "flops": "/home/hslee/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/bdd100k/flops_table.json", "epochs": 150, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 64, "group_dim": 64, "path_dim": 8, "feat": "both", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/bdd100k/sweep_input/both_gd64_h64.pt", "logdir": "method02_advantage_regress_tinyConv/outputs/bdd100k/sweep_input/logs", "tag": "both_gd64_h64", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.05568	0.05568	0.00000	0.00000	0.0556	0.0638	0.01367
1	0.05434	0.05434	0.00000	0.00000	0.0573	0.0539	0.01362
2	0.05420	0.05420	0.00000	0.00000	0.0572	0.0475	0.01347
3	0.05399	0.05399	0.00000	0.00000	0.0571	0.0566	0.01346
4	0.05382	0.05382	0.00000	0.00000	0.0572	0.0608	0.01358
5	0.05350	0.05350	0.00000	0.00000	0.0571	0.0605	0.01378
6	0.05318	0.05318	0.00000	0.00000	0.0573	0.0567	0.01391
7	0.05268	0.05268	0.00000	0.00000	0.0575	0.0636	0.01387
8	0.05190	0.05190	0.00000	0.00000	0.0571	0.0534	0.01561
9	0.05036	0.05036	0.00000	0.00000	0.0572	0.0521	0.01653
10	0.04626	0.04626	0.00000	0.00000	0.0574	0.0595	0.01403
11	0.04262	0.04262	0.00000	0.00000	0.0568	0.0732	0.01522
12	0.03681	0.03681	0.00000	0.00000	0.0572	0.0573	0.01445
13	0.03599	0.03599	0.00000	0.00000	0.0575	0.0492	0.01405
14	0.03533	0.03533	0.00000	0.00000	0.0570	0.0595	0.01408
15	0.03403	0.03403	0.00000	0.00000	0.0571	0.0520	0.01369
16	0.03407	0.03407	0.00000	0.00000	0.0572	0.0630	0.01606
17	0.03235	0.03235	0.00000	0.00000	0.0574	0.0617	0.01462
18	0.03169	0.03169	0.00000	0.00000	0.0572	0.0670	0.01579
19	0.03087	0.03087	0.00000	0.00000	0.0575	0.0580	0.01450
20	0.03056	0.03056	0.00000	0.00000	0.0573	0.0661	0.01402
21	0.03171	0.03171	0.00000	0.00000	0.0575	0.0585	0.01435
22	0.03087	0.03087	0.00000	0.00000	0.0576	0.0609	0.01430
23	0.02834	0.02834	0.00000	0.00000	0.0573	0.0573	0.01445
24	0.02805	0.02805	0.00000	0.00000	0.0572	0.0529	0.01371
25	0.02731	0.02731	0.00000	0.00000	0.0573	0.0628	0.01474
26	0.02625	0.02625	0.00000	0.00000	0.0573	0.0620	0.01752
27	0.02488	0.02488	0.00000	0.00000	0.0574	0.0615	0.01420
28	0.02462	0.02462	0.00000	0.00000	0.0574	0.0531	0.01433
29	0.02465	0.02465	0.00000	0.00000	0.0575	0.0464	0.01612
30	0.02435	0.02435	0.00000	0.00000	0.0573	0.0687	0.01521
31	0.02477	0.02477	0.00000	0.00000	0.0574	0.0563	0.01521
32	0.02329	0.02329	0.00000	0.00000	0.0572	0.0639	0.01498
33	0.02274	0.02274	0.00000	0.00000	0.0573	0.0626	0.01558
34	0.02327	0.02327	0.00000	0.00000	0.0574	0.0636	0.01421
35	0.02275	0.02275	0.00000	0.00000	0.0573	0.0652	0.01405
36	0.02339	0.02339	0.00000	0.00000	0.0574	0.0595	0.01498
37	0.02189	0.02189	0.00000	0.00000	0.0571	0.0557	0.01472
38	0.02073	0.02073	0.00000	0.00000	0.0576	0.0581	0.01444
39	0.02088	0.02088	0.00000	0.00000	0.0573	0.0704	0.01525
40	0.02196	0.02196	0.00000	0.00000	0.0576	0.0563	0.01481
41	0.02151	0.02151	0.00000	0.00000	0.0572	0.0495	0.01476
42	0.02124	0.02124	0.00000	0.00000	0.0573	0.0605	0.01554
43	0.02102	0.02102	0.00000	0.00000	0.0573	0.0562	0.01641
44	0.02074	0.02074	0.00000	0.00000	0.0575	0.0525	0.01474
45	0.02023	0.02023	0.00000	0.00000	0.0573	0.0567	0.01783
46	0.02074	0.02074	0.00000	0.00000	0.0573	0.0490	0.01612
47	0.02085	0.02085	0.00000	0.00000	0.0571	0.0588	0.01584
48	0.02025	0.02025	0.00000	0.00000	0.0575	0.0672	0.01808
49	0.02050	0.02050	0.00000	0.00000	0.0574	0.0507	0.01509
50	0.02018	0.02018	0.00000	0.00000	0.0576	0.0496	0.01494
51	0.01994	0.01994	0.00000	0.00000	0.0573	0.0615	0.01602
52	0.01943	0.01943	0.00000	0.00000	0.0575	0.0588	0.01602
53	0.01945	0.01945	0.00000	0.00000	0.0573	0.0575	0.01583
54	0.01970	0.01970	0.00000	0.00000	0.0573	0.0629	0.01481
55	0.01997	0.01997	0.00000	0.00000	0.0576	0.0521	0.01623
56	0.01960	0.01960	0.00000	0.00000	0.0573	0.0635	0.01672
57	0.01930	0.01930	0.00000	0.00000	0.0574	0.0512	0.01605
58	0.01951	0.01951	0.00000	0.00000	0.0575	0.0633	0.01504
59	0.01936	0.01936	0.00000	0.00000	0.0574	0.0611	0.01605
60	0.02010	0.02010	0.00000	0.00000	0.0572	0.0687	0.01671
61	0.01979	0.01979	0.00000	0.00000	0.0576	0.0524	0.01610
62	0.01926	0.01926	0.00000	0.00000	0.0575	0.0630	0.01887
63	0.01944	0.01944	0.00000	0.00000	0.0574	0.0643	0.01547
64	0.01924	0.01924	0.00000	0.00000	0.0575	0.0565	0.01510
65	0.01905	0.01905	0.00000	0.00000	0.0574	0.0589	0.01511
66	0.01888	0.01888	0.00000	0.00000	0.0573	0.0540	0.01755
67	0.01886	0.01886	0.00000	0.00000	0.0575	0.0711	0.01589
68	0.01920	0.01920	0.00000	0.00000	0.0575	0.0612	0.01532
69	0.01849	0.01849	0.00000	0.00000	0.0573	0.0528	0.01502
70	0.01822	0.01822	0.00000	0.00000	0.0576	0.0578	0.01536
71	0.01826	0.01826	0.00000	0.00000	0.0574	0.0528	0.01541
72	0.01821	0.01821	0.00000	0.00000	0.0576	0.0510	0.01585
73	0.01832	0.01832	0.00000	0.00000	0.0575	0.0603	0.01525
74	0.01855	0.01855	0.00000	0.00000	0.0573	0.0601	0.01497
75	0.01832	0.01832	0.00000	0.00000	0.0576	0.0460	0.01517
76	0.01838	0.01838	0.00000	0.00000	0.0576	0.0477	0.01541
77	0.01828	0.01828	0.00000	0.00000	0.0575	0.0585	0.01687
78	0.01820	0.01820	0.00000	0.00000	0.0575	0.0584	0.01513
79	0.01737	0.01737	0.00000	0.00000	0.0577	0.0493	0.01611
80	0.01776	0.01776	0.00000	0.00000	0.0575	0.0634	0.01553
81	0.01765	0.01765	0.00000	0.00000	0.0574	0.0672	0.01655
82	0.01760	0.01760	0.00000	0.00000	0.0577	0.0555	0.01557
83	0.01759	0.01759	0.00000	0.00000	0.0574	0.0588	0.01615
84	0.01750	0.01750	0.00000	0.00000	0.0577	0.0672	0.01650
85	0.01770	0.01770	0.00000	0.00000	0.0575	0.0563	0.01513
86	0.01756	0.01756	0.00000	0.00000	0.0576	0.0530	0.01661
87	0.01697	0.01697	0.00000	0.00000	0.0576	0.0688	0.01612
88	0.01689	0.01689	0.00000	0.00000	0.0578	0.0640	0.01571
89	0.01695	0.01695	0.00000	0.00000	0.0575	0.0637	0.01587
90	0.01683	0.01683	0.00000	0.00000	0.0577	0.0556	0.01598
91	0.01695	0.01695	0.00000	0.00000	0.0574	0.0574	0.01599
92	0.01648	0.01648	0.00000	0.00000	0.0577	0.0714	0.01574
93	0.01623	0.01623	0.00000	0.00000	0.0578	0.0647	0.01608
94	0.01650	0.01650	0.00000	0.00000	0.0577	0.0717	0.01596
95	0.01670	0.01670	0.00000	0.00000	0.0576	0.0577	0.01670
96	0.01671	0.01671	0.00000	0.00000	0.0576	0.0516	0.01539
97	0.01617	0.01617	0.00000	0.00000	0.0577	0.0528	0.01540
98	0.01618	0.01618	0.00000	0.00000	0.0575	0.0520	0.01569
99	0.01592	0.01592	0.00000	0.00000	0.0578	0.0554	0.01544
100	0.01673	0.01673	0.00000	0.00000	0.0577	0.0723	0.01624
101	0.01559	0.01559	0.00000	0.00000	0.0575	0.0778	0.01696
102	0.01566	0.01566	0.00000	0.00000	0.0577	0.0591	0.01618
103	0.01519	0.01519	0.00000	0.00000	0.0577	0.0603	0.01633
104	0.01496	0.01496	0.00000	0.00000	0.0576	0.0578	0.01671
105	0.01486	0.01486	0.00000	0.00000	0.0576	0.0700	0.01707
106	0.01452	0.01452	0.00000	0.00000	0.0576	0.0547	0.01667
107	0.01486	0.01486	0.00000	0.00000	0.0575	0.0628	0.01591
108	0.01496	0.01496	0.00000	0.00000	0.0576	0.0491	0.01606
109	0.01438	0.01438	0.00000	0.00000	0.0576	0.0559	0.01616
110	0.01421	0.01421	0.00000	0.00000	0.0574	0.0620	0.01643
111	0.01463	0.01463	0.00000	0.00000	0.0575	0.0783	0.01695
112	0.01432	0.01432	0.00000	0.00000	0.0576	0.0464	0.01662
113	0.01393	0.01393	0.00000	0.00000	0.0574	0.0717	0.01763
114	0.01382	0.01382	0.00000	0.00000	0.0576	0.0475	0.01751
115	0.01408	0.01408	0.00000	0.00000	0.0577	0.0584	0.01631
116	0.01376	0.01376	0.00000	0.00000	0.0573	0.0789	0.01686
117	0.01380	0.01380	0.00000	0.00000	0.0576	0.0589	0.01656
118	0.01334	0.01334	0.00000	0.00000	0.0577	0.0591	0.01756
119	0.01317	0.01317	0.00000	0.00000	0.0577	0.0576	0.01701
120	0.01364	0.01364	0.00000	0.00000	0.0575	0.0552	0.01723
121	0.01363	0.01363	0.00000	0.00000	0.0575	0.0480	0.01664
122	0.01306	0.01306	0.00000	0.00000	0.0574	0.0662	0.01704
123	0.01359	0.01359	0.00000	0.00000	0.0577	0.0602	0.01667
124	0.01347	0.01347	0.00000	0.00000	0.0574	0.0623	0.01608
125	0.01292	0.01292	0.00000	0.00000	0.0575	0.0629	0.01621
126	0.01294	0.01294	0.00000	0.00000	0.0574	0.0661	0.01671
127	0.01286	0.01286	0.00000	0.00000	0.0576	0.0622	0.01653
128	0.01278	0.01278	0.00000	0.00000	0.0575	0.0636	0.01629
129	0.01270	0.01270	0.00000	0.00000	0.0574	0.0662	0.01820
130	0.01231	0.01231	0.00000	0.00000	0.0574	0.0793	0.01803
131	0.01233	0.01233	0.00000	0.00000	0.0574	0.0509	0.01572
132	0.01240	0.01240	0.00000	0.00000	0.0575	0.0604	0.01726
133	0.01198	0.01198	0.00000	0.00000	0.0573	0.0556	0.01659
134	0.01223	0.01223	0.00000	0.00000	0.0574	0.0745	0.01722
135	0.01178	0.01178	0.00000	0.00000	0.0575	0.0465	0.01827
136	0.01176	0.01176	0.00000	0.00000	0.0574	0.0479	0.01668
137	0.01178	0.01178	0.00000	0.00000	0.0572	0.0688	0.01635
138	0.01154	0.01154	0.00000	0.00000	0.0574	0.0617	0.01706
139	0.01157	0.01157	0.00000	0.00000	0.0573	0.0680	0.01761
140	0.01153	0.01153	0.00000	0.00000	0.0573	0.0622	0.01564
141	0.01172	0.01172	0.00000	0.00000	0.0574	0.0551	0.01644
142	0.01189	0.01189	0.00000	0.00000	0.0573	0.0688	0.01647
143	0.01187	0.01187	0.00000	0.00000	0.0572	0.0695	0.01645
144	0.01204	0.01204	0.00000	0.00000	0.0573	0.0636	0.01674
145	0.01198	0.01198	0.00000	0.00000	0.0574	0.0647	0.01651
146	0.01132	0.01132	0.00000	0.00000	0.0573	0.0547	0.01732
147	0.01093	0.01093	0.00000	0.00000	0.0574	0.0578	0.01719
148	0.01095	0.01095	0.00000	0.00000	0.0574	0.0563	0.01759
149	0.01119	0.01119	0.00000	0.00000	0.0573	0.0579	0.01639
