# {"dataset": "kitti", "cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/kitti/cache_train.pt", "val_cache": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/kitti/cache_val.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 1, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/kitti/ablation/policy_input_s1.pt", "logdir": "method02_advantage_regress_tinyConv/outputs/kitti/ablation/logs", "tag": "conv_input_s1"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04381	0.04381	0.00000	0.00000	0.1085	0.1264	0.04218
1	0.04215	0.04215	0.00000	0.00000	0.1137	0.1020	0.04127
2	0.04091	0.04091	0.00000	0.00000	0.1114	0.1016	0.04036
3	0.03980	0.03980	0.00000	0.00000	0.1118	0.1164	0.03974
4	0.03878	0.03878	0.00000	0.00000	0.1133	0.0954	0.03998
5	0.03815	0.03815	0.00000	0.00000	0.1121	0.0850	0.03983
6	0.03664	0.03664	0.00000	0.00000	0.1137	0.0928	0.03915
7	0.03544	0.03544	0.00000	0.00000	0.1093	0.1635	0.04189
8	0.03495	0.03495	0.00000	0.00000	0.1150	0.0922	0.03900
9	0.03431	0.03431	0.00000	0.00000	0.1116	0.0868	0.03890
10	0.03252	0.03252	0.00000	0.00000	0.1078	0.1365	0.04004
11	0.03221	0.03221	0.00000	0.00000	0.1132	0.0799	0.03907
12	0.03070	0.03070	0.00000	0.00000	0.1105	0.1392	0.04081
13	0.03005	0.03005	0.00000	0.00000	0.1137	0.0779	0.03912
14	0.02984	0.02984	0.00000	0.00000	0.1097	0.1453	0.04050
15	0.02883	0.02883	0.00000	0.00000	0.1119	0.0813	0.03976
16	0.02788	0.02788	0.00000	0.00000	0.1117	0.1217	0.03936
17	0.02682	0.02682	0.00000	0.00000	0.1125	0.1217	0.03939
18	0.02583	0.02583	0.00000	0.00000	0.1112	0.1333	0.04038
19	0.02587	0.02587	0.00000	0.00000	0.1119	0.1306	0.03960
20	0.02567	0.02567	0.00000	0.00000	0.1131	0.0969	0.03967
21	0.02499	0.02499	0.00000	0.00000	0.1146	0.0828	0.03955
22	0.02509	0.02509	0.00000	0.00000	0.1065	0.1408	0.04104
23	0.02359	0.02359	0.00000	0.00000	0.1155	0.0823	0.04008
24	0.02252	0.02252	0.00000	0.00000	0.1100	0.1271	0.04064
25	0.02202	0.02202	0.00000	0.00000	0.1140	0.0782	0.04076
26	0.02166	0.02166	0.00000	0.00000	0.1104	0.1004	0.04149
27	0.02039	0.02039	0.00000	0.00000	0.1108	0.0916	0.04179
28	0.02080	0.02080	0.00000	0.00000	0.1093	0.1577	0.04473
29	0.02075	0.02075	0.00000	0.00000	0.1121	0.1389	0.04325
30	0.01959	0.01959	0.00000	0.00000	0.1136	0.1246	0.04289
31	0.01926	0.01926	0.00000	0.00000	0.1114	0.1162	0.04236
32	0.01907	0.01907	0.00000	0.00000	0.1114	0.1516	0.04371
33	0.01833	0.01833	0.00000	0.00000	0.1126	0.1251	0.04331
34	0.01731	0.01731	0.00000	0.00000	0.1112	0.1085	0.04436
35	0.01797	0.01797	0.00000	0.00000	0.1127	0.0663	0.04430
36	0.01744	0.01744	0.00000	0.00000	0.1099	0.1261	0.04274
37	0.01633	0.01633	0.00000	0.00000	0.1114	0.1364	0.04481
38	0.01652	0.01652	0.00000	0.00000	0.1114	0.1173	0.04396
39	0.01592	0.01592	0.00000	0.00000	0.1125	0.1171	0.04361
40	0.01537	0.01537	0.00000	0.00000	0.1120	0.0956	0.04488
41	0.01589	0.01589	0.00000	0.00000	0.1122	0.0726	0.04371
42	0.01523	0.01523	0.00000	0.00000	0.1103	0.1373	0.04510
43	0.01546	0.01546	0.00000	0.00000	0.1140	0.0765	0.04532
44	0.01437	0.01437	0.00000	0.00000	0.1105	0.1287	0.04622
45	0.01386	0.01386	0.00000	0.00000	0.1115	0.0854	0.04548
46	0.01402	0.01402	0.00000	0.00000	0.1100	0.1502	0.04747
47	0.01395	0.01395	0.00000	0.00000	0.1122	0.1489	0.04722
48	0.01309	0.01309	0.00000	0.00000	0.1137	0.1211	0.04626
49	0.01295	0.01295	0.00000	0.00000	0.1093	0.1779	0.05203
50	0.01276	0.01276	0.00000	0.00000	0.1133	0.1139	0.04611
51	0.01319	0.01319	0.00000	0.00000	0.1116	0.1414	0.04738
52	0.01237	0.01237	0.00000	0.00000	0.1115	0.1021	0.04622
53	0.01189	0.01189	0.00000	0.00000	0.1098	0.1392	0.04817
54	0.01227	0.01227	0.00000	0.00000	0.1116	0.1420	0.04804
55	0.01177	0.01177	0.00000	0.00000	0.1118	0.1205	0.04632
