# {"dataset": "kitti", "cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_train_g8.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_val_g8.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 2, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/kitti/ablation/policy_input_g8_s2.pt", "logdir": "method02_advantage_regress_tinyConv/outputs/kitti/ablation/logs", "tag": "g8_s2"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04406	0.04406	0.00000	0.00000	0.1117	0.0833	0.04252
1	0.04251	0.04251	0.00000	0.00000	0.1119	0.1089	0.04132
2	0.04150	0.04150	0.00000	0.00000	0.1090	0.1080	0.04042
3	0.04060	0.04060	0.00000	0.00000	0.1110	0.1050	0.04133
4	0.03994	0.03994	0.00000	0.00000	0.1104	0.1119	0.04007
5	0.03864	0.03864	0.00000	0.00000	0.1122	0.1081	0.03961
6	0.03805	0.03805	0.00000	0.00000	0.1127	0.1174	0.03915
7	0.03682	0.03682	0.00000	0.00000	0.1092	0.1320	0.03950
8	0.03559	0.03559	0.00000	0.00000	0.1129	0.1196	0.03945
9	0.03564	0.03564	0.00000	0.00000	0.1112	0.1032	0.03917
10	0.03493	0.03493	0.00000	0.00000	0.1139	0.1240	0.03867
11	0.03400	0.03400	0.00000	0.00000	0.1116	0.1146	0.03852
12	0.03192	0.03192	0.00000	0.00000	0.1108	0.1084	0.03866
13	0.03133	0.03133	0.00000	0.00000	0.1126	0.1106	0.03901
14	0.03061	0.03061	0.00000	0.00000	0.1105	0.0936	0.03921
15	0.02901	0.02901	0.00000	0.00000	0.1108	0.1304	0.03883
16	0.02793	0.02793	0.00000	0.00000	0.1125	0.0832	0.03918
17	0.02672	0.02672	0.00000	0.00000	0.1096	0.1441	0.04157
18	0.02636	0.02636	0.00000	0.00000	0.1104	0.1387	0.04158
19	0.02589	0.02589	0.00000	0.00000	0.1142	0.0941	0.03939
20	0.02446	0.02446	0.00000	0.00000	0.1108	0.1632	0.04222
21	0.02485	0.02485	0.00000	0.00000	0.1139	0.0887	0.04010
22	0.02255	0.02255	0.00000	0.00000	0.1122	0.1242	0.04013
23	0.02242	0.02242	0.00000	0.00000	0.1118	0.1249	0.04043
24	0.02140	0.02140	0.00000	0.00000	0.1116	0.1109	0.03988
25	0.02036	0.02036	0.00000	0.00000	0.1112	0.1037	0.04228
26	0.02056	0.02056	0.00000	0.00000	0.1110	0.1500	0.04314
27	0.01965	0.01965	0.00000	0.00000	0.1108	0.1483	0.04301
28	0.01904	0.01904	0.00000	0.00000	0.1116	0.1444	0.04262
29	0.01792	0.01792	0.00000	0.00000	0.1128	0.1415	0.04327
30	0.01781	0.01781	0.00000	0.00000	0.1136	0.0856	0.04233
31	0.01745	0.01745	0.00000	0.00000	0.1130	0.1010	0.04202
32	0.01672	0.01672	0.00000	0.00000	0.1120	0.1469	0.04392
33	0.01736	0.01736	0.00000	0.00000	0.1117	0.1211	0.04206
34	0.01546	0.01546	0.00000	0.00000	0.1091	0.1609	0.04579
35	0.01578	0.01578	0.00000	0.00000	0.1119	0.1103	0.04261
36	0.01455	0.01455	0.00000	0.00000	0.1108	0.1166	0.04264
37	0.01516	0.01516	0.00000	0.00000	0.1133	0.0803	0.04387
38	0.01524	0.01524	0.00000	0.00000	0.1100	0.1069	0.04284
39	0.01343	0.01343	0.00000	0.00000	0.1126	0.0882	0.04448
40	0.01382	0.01382	0.00000	0.00000	0.1108	0.1538	0.04550
41	0.01308	0.01308	0.00000	0.00000	0.1135	0.0991	0.04352
42	0.01313	0.01313	0.00000	0.00000	0.1115	0.0646	0.04617
43	0.01266	0.01266	0.00000	0.00000	0.1093	0.1017	0.04441
44	0.01269	0.01269	0.00000	0.00000	0.1105	0.1257	0.04516
45	0.01130	0.01130	0.00000	0.00000	0.1122	0.1246	0.04436
46	0.01157	0.01157	0.00000	0.00000	0.1115	0.1314	0.04668
