# {"dataset": "kitti", "cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_train_g2.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_val_g2.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/kitti/ablation/policy_input_g2L8_s0.pt", "logdir": "method02_advantage_regress_tinyConv/outputs/kitti/ablation/logs", "tag": "g2L8_s0", "keep_layers": "8"}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04514	0.04514	0.00000	0.00000	0.1123	0.0998	0.04257
1	0.04250	0.04250	0.00000	0.00000	0.1089	0.0998	0.04160
2	0.04139	0.04139	0.00000	0.00000	0.1121	0.0941	0.04116
3	0.04068	0.04068	0.00000	0.00000	0.1115	0.1174	0.04051
4	0.03976	0.03976	0.00000	0.00000	0.1113	0.1179	0.04046
5	0.03850	0.03850	0.00000	0.00000	0.1130	0.0863	0.04053
6	0.03822	0.03822	0.00000	0.00000	0.1104	0.1049	0.03979
7	0.03709	0.03709	0.00000	0.00000	0.1106	0.1176	0.03961
8	0.03585	0.03585	0.00000	0.00000	0.1102	0.1465	0.04104
9	0.03508	0.03508	0.00000	0.00000	0.1138	0.0981	0.03944
10	0.03435	0.03435	0.00000	0.00000	0.1135	0.0891	0.04009
11	0.03364	0.03364	0.00000	0.00000	0.1098	0.1184	0.03925
12	0.03270	0.03270	0.00000	0.00000	0.1123	0.1119	0.04047
13	0.03262	0.03262	0.00000	0.00000	0.1126	0.1114	0.03933
14	0.03163	0.03163	0.00000	0.00000	0.1097	0.1296	0.03997
15	0.03099	0.03099	0.00000	0.00000	0.1105	0.1478	0.04096
16	0.03127	0.03127	0.00000	0.00000	0.1132	0.0993	0.03881
17	0.02980	0.02980	0.00000	0.00000	0.1126	0.1197	0.04041
18	0.02971	0.02971	0.00000	0.00000	0.1120	0.0862	0.04016
19	0.02945	0.02945	0.00000	0.00000	0.1110	0.1316	0.04056
20	0.02899	0.02899	0.00000	0.00000	0.1098	0.1220	0.03925
21	0.02801	0.02801	0.00000	0.00000	0.1119	0.1091	0.03991
22	0.02796	0.02796	0.00000	0.00000	0.1132	0.0925	0.04029
23	0.02835	0.02835	0.00000	0.00000	0.1128	0.0652	0.04197
24	0.02730	0.02730	0.00000	0.00000	0.1106	0.0865	0.04190
25	0.02671	0.02671	0.00000	0.00000	0.1123	0.0564	0.04322
26	0.02766	0.02766	0.00000	0.00000	0.1121	0.0705	0.04198
27	0.02626	0.02626	0.00000	0.00000	0.1089	0.1342	0.04164
28	0.02532	0.02532	0.00000	0.00000	0.1095	0.1184	0.04100
29	0.02519	0.02519	0.00000	0.00000	0.1142	0.0905	0.04155
30	0.02455	0.02455	0.00000	0.00000	0.1117	0.0959	0.04231
31	0.02451	0.02451	0.00000	0.00000	0.1101	0.1086	0.04169
32	0.02398	0.02398	0.00000	0.00000	0.1115	0.1050	0.04199
33	0.02330	0.02330	0.00000	0.00000	0.1111	0.0841	0.04217
34	0.02307	0.02307	0.00000	0.00000	0.1100	0.1080	0.04213
35	0.02316	0.02316	0.00000	0.00000	0.1126	0.1382	0.04367
36	0.02396	0.02396	0.00000	0.00000	0.1123	0.1011	0.04200
37	0.02220	0.02220	0.00000	0.00000	0.1108	0.0906	0.04206
38	0.02207	0.02207	0.00000	0.00000	0.1107	0.0987	0.04388
39	0.02197	0.02197	0.00000	0.00000	0.1129	0.0925	0.04253
40	0.02212	0.02212	0.00000	0.00000	0.1109	0.1016	0.04279
41	0.02090	0.02090	0.00000	0.00000	0.1103	0.1246	0.04416
42	0.02092	0.02092	0.00000	0.00000	0.1132	0.0785	0.04402
43	0.02150	0.02150	0.00000	0.00000	0.1101	0.0974	0.04308
44	0.02039	0.02039	0.00000	0.00000	0.1122	0.1057	0.04357
45	0.02012	0.02012	0.00000	0.00000	0.1110	0.1098	0.04426
46	0.01994	0.01994	0.00000	0.00000	0.1112	0.1121	0.04492
47	0.02011	0.02011	0.00000	0.00000	0.1125	0.0964	0.04520
48	0.01947	0.01947	0.00000	0.00000	0.1089	0.1477	0.04733
49	0.02014	0.02014	0.00000	0.00000	0.1119	0.1350	0.04455
50	0.01911	0.01911	0.00000	0.00000	0.1117	0.0981	0.04461
51	0.01847	0.01847	0.00000	0.00000	0.1111	0.1251	0.04613
52	0.01822	0.01822	0.00000	0.00000	0.1121	0.1105	0.04608
53	0.01960	0.01960	0.00000	0.00000	0.1132	0.1026	0.04328
54	0.01908	0.01908	0.00000	0.00000	0.1092	0.0854	0.04431
55	0.01815	0.01815	0.00000	0.00000	0.1100	0.1232	0.04778
56	0.01764	0.01764	0.00000	0.00000	0.1139	0.1014	0.04487
57	0.01787	0.01787	0.00000	0.00000	0.1099	0.1193	0.04699
58	0.01736	0.01736	0.00000	0.00000	0.1119	0.1157	0.04674
59	0.01705	0.01705	0.00000	0.00000	0.1112	0.0969	0.04709
60	0.01662	0.01662	0.00000	0.00000	0.1106	0.1222	0.04638
61	0.01747	0.01747	0.00000	0.00000	0.1126	0.1178	0.04682
62	0.01670	0.01670	0.00000	0.00000	0.1132	0.0761	0.04869
63	0.01679	0.01679	0.00000	0.00000	0.1103	0.1196	0.04645
64	0.01653	0.01653	0.00000	0.00000	0.1099	0.1493	0.05117
65	0.01646	0.01646	0.00000	0.00000	0.1139	0.0704	0.04691
66	0.01722	0.01722	0.00000	0.00000	0.1088	0.1369	0.04847
67	0.01723	0.01723	0.00000	0.00000	0.1147	0.0831	0.04744
68	0.01603	0.01603	0.00000	0.00000	0.1087	0.1290	0.04822
69	0.01658	0.01658	0.00000	0.00000	0.1137	0.1205	0.04633
70	0.01622	0.01622	0.00000	0.00000	0.1116	0.0931	0.04896
71	0.01569	0.01569	0.00000	0.00000	0.1108	0.0855	0.04699
72	0.01497	0.01497	0.00000	0.00000	0.1108	0.1019	0.04941
73	0.01468	0.01468	0.00000	0.00000	0.1113	0.1178	0.04778
74	0.01526	0.01526	0.00000	0.00000	0.1098	0.1120	0.04585
75	0.01531	0.01531	0.00000	0.00000	0.1108	0.0923	0.04972
76	0.01497	0.01497	0.00000	0.00000	0.1107	0.0723	0.04810
77	0.01490	0.01490	0.00000	0.00000	0.1116	0.1126	0.04810
78	0.01500	0.01500	0.00000	0.00000	0.1108	0.1052	0.04765
79	0.01442	0.01442	0.00000	0.00000	0.1108	0.0971	0.04999
80	0.01421	0.01421	0.00000	0.00000	0.1117	0.1034	0.04775
81	0.01412	0.01412	0.00000	0.00000	0.1109	0.1007	0.04935
82	0.01368	0.01368	0.00000	0.00000	0.1116	0.0942	0.04862
83	0.01381	0.01381	0.00000	0.00000	0.1101	0.1276	0.05034
84	0.01331	0.01331	0.00000	0.00000	0.1128	0.0873	0.04903
85	0.01348	0.01348	0.00000	0.00000	0.1116	0.0942	0.04810
86	0.01307	0.01307	0.00000	0.00000	0.1118	0.0883	0.04910
87	0.01338	0.01338	0.00000	0.00000	0.1101	0.1193	0.04817
88	0.01324	0.01324	0.00000	0.00000	0.1113	0.1247	0.05109
89	0.01290	0.01290	0.00000	0.00000	0.1124	0.1232	0.05048
90	0.01313	0.01313	0.00000	0.00000	0.1118	0.1069	0.05211
91	0.01280	0.01280	0.00000	0.00000	0.1112	0.0929	0.04965
92	0.01288	0.01288	0.00000	0.00000	0.1114	0.1161	0.05269
93	0.01307	0.01307	0.00000	0.00000	0.1114	0.1299	0.05072
94	0.01325	0.01325	0.00000	0.00000	0.1108	0.1351	0.05289
95	0.01284	0.01284	0.00000	0.00000	0.1120	0.1186	0.04985
96	0.01280	0.01280	0.00000	0.00000	0.1118	0.1016	0.05301
97	0.01250	0.01250	0.00000	0.00000	0.1117	0.1119	0.05047
98	0.01283	0.01283	0.00000	0.00000	0.1108	0.1321	0.05017
99	0.01265	0.01265	0.00000	0.00000	0.1105	0.1148	0.04881
100	0.01235	0.01235	0.00000	0.00000	0.1133	0.1136	0.05069
101	0.01228	0.01228	0.00000	0.00000	0.1101	0.1121	0.05161
102	0.01201	0.01201	0.00000	0.00000	0.1119	0.1144	0.05123
103	0.01211	0.01211	0.00000	0.00000	0.1135	0.0790	0.05127
104	0.01208	0.01208	0.00000	0.00000	0.1094	0.1065	0.05329
105	0.01226	0.01226	0.00000	0.00000	0.1098	0.1162	0.05057
106	0.01144	0.01144	0.00000	0.00000	0.1139	0.0957	0.05081
107	0.01146	0.01146	0.00000	0.00000	0.1103	0.1321	0.05325
108	0.01182	0.01182	0.00000	0.00000	0.1140	0.0563	0.05485
109	0.01259	0.01259	0.00000	0.00000	0.1088	0.1322	0.05286
110	0.01140	0.01140	0.00000	0.00000	0.1126	0.1094	0.05279
111	0.01124	0.01124	0.00000	0.00000	0.1117	0.1358	0.05153
112	0.01104	0.01104	0.00000	0.00000	0.1101	0.1381	0.05373
113	0.01125	0.01125	0.00000	0.00000	0.1137	0.1024	0.05102
114	0.01085	0.01085	0.00000	0.00000	0.1105	0.1219	0.05349
115	0.01143	0.01143	0.00000	0.00000	0.1109	0.1291	0.05073
116	0.01108	0.01108	0.00000	0.00000	0.1111	0.1293	0.05259
117	0.01071	0.01071	0.00000	0.00000	0.1126	0.0957	0.05362
118	0.01079	0.01079	0.00000	0.00000	0.1129	0.0814	0.05430
119	0.01097	0.01097	0.00000	0.00000	0.1107	0.1018	0.05214
120	0.01105	0.01105	0.00000	0.00000	0.1117	0.1020	0.05352
121	0.01118	0.01118	0.00000	0.00000	0.1109	0.1078	0.05011
122	0.01087	0.01087	0.00000	0.00000	0.1114	0.1030	0.05260
123	0.01063	0.01063	0.00000	0.00000	0.1114	0.1257	0.05223
124	0.01033	0.01033	0.00000	0.00000	0.1112	0.1293	0.05428
125	0.01076	0.01076	0.00000	0.00000	0.1126	0.1106	0.05387
126	0.01108	0.01108	0.00000	0.00000	0.1128	0.1058	0.05443
127	0.01075	0.01075	0.00000	0.00000	0.1116	0.1033	0.05066
128	0.01071	0.01071	0.00000	0.00000	0.1092	0.1336	0.05458
129	0.01105	0.01105	0.00000	0.00000	0.1145	0.0849	0.05291
130	0.01051	0.01051	0.00000	0.00000	0.1099	0.1361	0.05206
