# {"dataset": "kitti", "cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_train_g2.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_val_g2.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method02_advantage_regress_tinyConv/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "both", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 1, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/kitti/ablation/policy_both_g2_s1.pt", "logdir": "method02_advantage_regress_tinyConv/outputs/kitti/ablation/logs", "tag": "both_g2_s1", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04782	0.04782	0.00000	0.00000	0.1071	0.0978	0.04215
1	0.04224	0.04224	0.00000	0.00000	0.1104	0.0953	0.04149
2	0.04120	0.04120	0.00000	0.00000	0.1129	0.0802	0.04138
3	0.04013	0.04013	0.00000	0.00000	0.1110	0.0975	0.04018
4	0.03876	0.03876	0.00000	0.00000	0.1119	0.0889	0.04067
5	0.03787	0.03787	0.00000	0.00000	0.1103	0.1192	0.03938
6	0.03668	0.03668	0.00000	0.00000	0.1102	0.1126	0.03978
7	0.03532	0.03532	0.00000	0.00000	0.1111	0.0905	0.04023
8	0.03513	0.03513	0.00000	0.00000	0.1136	0.0821	0.03992
9	0.03353	0.03353	0.00000	0.00000	0.1113	0.0923	0.03959
10	0.03234	0.03234	0.00000	0.00000	0.1122	0.0942	0.03940
11	0.03191	0.03191	0.00000	0.00000	0.1113	0.0943	0.03948
12	0.03128	0.03128	0.00000	0.00000	0.1125	0.0917	0.03983
13	0.03139	0.03139	0.00000	0.00000	0.1123	0.1029	0.03974
14	0.02942	0.02942	0.00000	0.00000	0.1121	0.1290	0.04025
15	0.02841	0.02841	0.00000	0.00000	0.1110	0.1153	0.04009
16	0.02811	0.02811	0.00000	0.00000	0.1131	0.0688	0.04157
17	0.02812	0.02812	0.00000	0.00000	0.1138	0.0293	0.04466
18	0.02828	0.02828	0.00000	0.00000	0.1077	0.0867	0.03922
19	0.02542	0.02542	0.00000	0.00000	0.1133	0.0819	0.04038
20	0.02679	0.02679	0.00000	0.00000	0.1095	0.1086	0.03966
21	0.02503	0.02503	0.00000	0.00000	0.1130	0.1026	0.04001
22	0.02447	0.02447	0.00000	0.00000	0.1108	0.1014	0.03954
23	0.02389	0.02389	0.00000	0.00000	0.1126	0.1394	0.04144
24	0.02387	0.02387	0.00000	0.00000	0.1113	0.0956	0.04115
25	0.02441	0.02441	0.00000	0.00000	0.1129	0.1156	0.04160
26	0.02258	0.02258	0.00000	0.00000	0.1113	0.0903	0.04206
27	0.02243	0.02243	0.00000	0.00000	0.1104	0.1396	0.04097
28	0.02099	0.02099	0.00000	0.00000	0.1133	0.0958	0.04195
29	0.02098	0.02098	0.00000	0.00000	0.1101	0.1093	0.04079
30	0.01982	0.01982	0.00000	0.00000	0.1128	0.0879	0.04106
31	0.02008	0.02008	0.00000	0.00000	0.1109	0.0998	0.04243
32	0.02049	0.02049	0.00000	0.00000	0.1138	0.0727	0.04225
33	0.01954	0.01954	0.00000	0.00000	0.1111	0.1136	0.04236
34	0.01871	0.01871	0.00000	0.00000	0.1122	0.0646	0.04271
35	0.02014	0.02014	0.00000	0.00000	0.1106	0.1198	0.04110
36	0.01831	0.01831	0.00000	0.00000	0.1111	0.0906	0.04114
37	0.01749	0.01749	0.00000	0.00000	0.1134	0.0651	0.04410
38	0.01665	0.01665	0.00000	0.00000	0.1110	0.0839	0.04218
39	0.01691	0.01691	0.00000	0.00000	0.1101	0.1328	0.04367
40	0.01621	0.01621	0.00000	0.00000	0.1117	0.1402	0.04298
41	0.01650	0.01650	0.00000	0.00000	0.1113	0.1226	0.04269
42	0.01541	0.01541	0.00000	0.00000	0.1123	0.1117	0.04284
43	0.01469	0.01469	0.00000	0.00000	0.1128	0.1288	0.04412
44	0.01508	0.01508	0.00000	0.00000	0.1124	0.1133	0.04252
45	0.01478	0.01478	0.00000	0.00000	0.1106	0.1146	0.04600
46	0.01513	0.01513	0.00000	0.00000	0.1113	0.1186	0.04208
47	0.01394	0.01394	0.00000	0.00000	0.1130	0.1096	0.04339
48	0.01329	0.01329	0.00000	0.00000	0.1106	0.1200	0.04433
49	0.01353	0.01353	0.00000	0.00000	0.1112	0.1399	0.04683
50	0.01352	0.01352	0.00000	0.00000	0.1113	0.1382	0.04640
51	0.01320	0.01320	0.00000	0.00000	0.1125	0.0825	0.04457
52	0.01336	0.01336	0.00000	0.00000	0.1113	0.1175	0.04415
53	0.01253	0.01253	0.00000	0.00000	0.1118	0.0852	0.04478
54	0.01219	0.01219	0.00000	0.00000	0.1107	0.1146	0.04475
55	0.01244	0.01244	0.00000	0.00000	0.1114	0.1209	0.04353
56	0.01255	0.01255	0.00000	0.00000	0.1119	0.1056	0.04514
57	0.01181	0.01181	0.00000	0.00000	0.1118	0.1004	0.04431
58	0.01175	0.01175	0.00000	0.00000	0.1114	0.0960	0.04502
59	0.01151	0.01151	0.00000	0.00000	0.1120	0.0793	0.04731
60	0.01164	0.01164	0.00000	0.00000	0.1107	0.0952	0.04450
61	0.01127	0.01127	0.00000	0.00000	0.1137	0.0595	0.04703
62	0.01233	0.01233	0.00000	0.00000	0.1095	0.1040	0.04605
63	0.01152	0.01152	0.00000	0.00000	0.1109	0.1027	0.04492
64	0.01090	0.01090	0.00000	0.00000	0.1127	0.0873	0.04680
65	0.01048	0.01048	0.00000	0.00000	0.1113	0.1052	0.04384
66	0.01032	0.01032	0.00000	0.00000	0.1129	0.0855	0.04560
67	0.01145	0.01145	0.00000	0.00000	0.1103	0.1359	0.04550
68	0.01014	0.01014	0.00000	0.00000	0.1115	0.1245	0.04597
69	0.00959	0.00959	0.00000	0.00000	0.1123	0.0919	0.04497
70	0.00999	0.00999	0.00000	0.00000	0.1096	0.1238	0.04745
71	0.00979	0.00979	0.00000	0.00000	0.1120	0.1038	0.04700
72	0.00954	0.00954	0.00000	0.00000	0.1110	0.1312	0.04631
73	0.01027	0.01027	0.00000	0.00000	0.1132	0.0908	0.04534
74	0.01012	0.01012	0.00000	0.00000	0.1108	0.0765	0.04746
75	0.01029	0.01029	0.00000	0.00000	0.1115	0.0895	0.04499
76	0.00951	0.00951	0.00000	0.00000	0.1117	0.1067	0.04543
77	0.00914	0.00914	0.00000	0.00000	0.1105	0.1206	0.04761
78	0.00880	0.00880	0.00000	0.00000	0.1120	0.1105	0.04578
79	0.00886	0.00886	0.00000	0.00000	0.1120	0.1059	0.04732
80	0.00982	0.00982	0.00000	0.00000	0.1124	0.1154	0.04587
81	0.00864	0.00864	0.00000	0.00000	0.1106	0.1275	0.04537
82	0.00937	0.00937	0.00000	0.00000	0.1130	0.1242	0.04896
83	0.00956	0.00956	0.00000	0.00000	0.1110	0.1229	0.04487
84	0.00850	0.00850	0.00000	0.00000	0.1142	0.0968	0.04568
85	0.00873	0.00873	0.00000	0.00000	0.1110	0.1109	0.04674
86	0.00807	0.00807	0.00000	0.00000	0.1109	0.1354	0.04614
87	0.00833	0.00833	0.00000	0.00000	0.1121	0.1195	0.04507
88	0.00833	0.00833	0.00000	0.00000	0.1104	0.1232	0.04940
89	0.00936	0.00936	0.00000	0.00000	0.1130	0.1047	0.04627
90	0.00842	0.00842	0.00000	0.00000	0.1099	0.1109	0.04599
91	0.00786	0.00786	0.00000	0.00000	0.1109	0.1271	0.04777
92	0.00794	0.00794	0.00000	0.00000	0.1119	0.1226	0.04607
93	0.00807	0.00807	0.00000	0.00000	0.1119	0.1167	0.04561
94	0.00734	0.00734	0.00000	0.00000	0.1115	0.0938	0.04621
95	0.00755	0.00755	0.00000	0.00000	0.1101	0.1459	0.05219
96	0.00890	0.00890	0.00000	0.00000	0.1137	0.0940	0.04557
97	0.00819	0.00819	0.00000	0.00000	0.1104	0.1227	0.04517
98	0.00776	0.00776	0.00000	0.00000	0.1130	0.0846	0.04662
99	0.00756	0.00756	0.00000	0.00000	0.1106	0.0994	0.04648
100	0.00762	0.00762	0.00000	0.00000	0.1123	0.0949	0.04603
101	0.00723	0.00723	0.00000	0.00000	0.1124	0.0899	0.04540
102	0.00767	0.00767	0.00000	0.00000	0.1098	0.1293	0.04729
103	0.00766	0.00766	0.00000	0.00000	0.1124	0.1130	0.04503
104	0.00717	0.00717	0.00000	0.00000	0.1111	0.0902	0.04603
105	0.00730	0.00730	0.00000	0.00000	0.1100	0.1314	0.04546
106	0.00776	0.00776	0.00000	0.00000	0.1130	0.1235	0.04495
107	0.00666	0.00666	0.00000	0.00000	0.1107	0.1190	0.04632
108	0.00681	0.00681	0.00000	0.00000	0.1126	0.1047	0.04705
109	0.00655	0.00655	0.00000	0.00000	0.1115	0.0749	0.04731
110	0.00701	0.00701	0.00000	0.00000	0.1101	0.1199	0.04564
111	0.00621	0.00621	0.00000	0.00000	0.1116	0.1090	0.04731
112	0.00622	0.00622	0.00000	0.00000	0.1109	0.1087	0.04650
113	0.00650	0.00650	0.00000	0.00000	0.1114	0.1235	0.04682
114	0.00648	0.00648	0.00000	0.00000	0.1104	0.1330	0.04722
115	0.00735	0.00735	0.00000	0.00000	0.1122	0.1285	0.04757
116	0.00673	0.00673	0.00000	0.00000	0.1121	0.1146	0.04698
117	0.00637	0.00637	0.00000	0.00000	0.1117	0.1156	0.04893
118	0.00649	0.00649	0.00000	0.00000	0.1115	0.1037	0.04704
119	0.00659	0.00659	0.00000	0.00000	0.1107	0.1428	0.04733
120	0.00628	0.00628	0.00000	0.00000	0.1124	0.0959	0.04675
121	0.00592	0.00592	0.00000	0.00000	0.1108	0.1015	0.04639
122	0.00628	0.00628	0.00000	0.00000	0.1113	0.1356	0.04645
123	0.00689	0.00689	0.00000	0.00000	0.1090	0.1498	0.05015
124	0.00820	0.00820	0.00000	0.00000	0.1145	0.0772	0.04579
125	0.00711	0.00711	0.00000	0.00000	0.1098	0.1098	0.04653
126	0.00617	0.00617	0.00000	0.00000	0.1110	0.1191	0.04480
127	0.00620	0.00620	0.00000	0.00000	0.1127	0.1320	0.04548
128	0.00570	0.00570	0.00000	0.00000	0.1114	0.1068	0.04581
129	0.00606	0.00606	0.00000	0.00000	0.1114	0.1006	0.04736
130	0.00579	0.00579	0.00000	0.00000	0.1106	0.1062	0.04714
131	0.00564	0.00564	0.00000	0.00000	0.1110	0.1096	0.04593
132	0.00567	0.00567	0.00000	0.00000	0.1116	0.1156	0.04682
133	0.00542	0.00542	0.00000	0.00000	0.1121	0.1012	0.04707
134	0.00632	0.00632	0.00000	0.00000	0.1123	0.1111	0.04617
135	0.00556	0.00556	0.00000	0.00000	0.1120	0.0955	0.04760
136	0.00522	0.00522	0.00000	0.00000	0.1111	0.1305	0.04719
137	0.00574	0.00574	0.00000	0.00000	0.1113	0.1350	0.04746
138	0.00592	0.00592	0.00000	0.00000	0.1113	0.1236	0.04709
139	0.00549	0.00549	0.00000	0.00000	0.1120	0.1150	0.04831
140	0.00541	0.00541	0.00000	0.00000	0.1114	0.1303	0.04656
141	0.00574	0.00574	0.00000	0.00000	0.1109	0.1296	0.04979
142	0.00697	0.00697	0.00000	0.00000	0.1130	0.1055	0.04570
143	0.00537	0.00537	0.00000	0.00000	0.1111	0.1123	0.04535
144	0.00546	0.00546	0.00000	0.00000	0.1122	0.1167	0.04828
145	0.00558	0.00558	0.00000	0.00000	0.1115	0.1108	0.04795
146	0.00517	0.00517	0.00000	0.00000	0.1114	0.1071	0.04600
147	0.00542	0.00542	0.00000	0.00000	0.1110	0.1255	0.04771
148	0.00538	0.00538	0.00000	0.00000	0.1118	0.1099	0.04783
149	0.00534	0.00534	0.00000	0.00000	0.1107	0.1086	0.04765
150	0.00498	0.00498	0.00000	0.00000	0.1119	0.1093	0.04815
151	0.00524	0.00524	0.00000	0.00000	0.1121	0.0985	0.04792
152	0.00561	0.00561	0.00000	0.00000	0.1104	0.1282	0.04732
153	0.00518	0.00518	0.00000	0.00000	0.1126	0.1091	0.04646
154	0.00528	0.00528	0.00000	0.00000	0.1122	0.1072	0.04832
155	0.00490	0.00490	0.00000	0.00000	0.1122	0.0873	0.04713
156	0.00486	0.00486	0.00000	0.00000	0.1119	0.0838	0.04693
157	0.00483	0.00483	0.00000	0.00000	0.1107	0.1138	0.04805
158	0.00463	0.00463	0.00000	0.00000	0.1114	0.0937	0.04702
159	0.00458	0.00458	0.00000	0.00000	0.1110	0.1217	0.04686
160	0.00492	0.00492	0.00000	0.00000	0.1113	0.1383	0.04623
161	0.00631	0.00631	0.00000	0.00000	0.1127	0.0787	0.04678
162	0.00572	0.00572	0.00000	0.00000	0.1098	0.1208	0.04749
163	0.00544	0.00544	0.00000	0.00000	0.1127	0.1045	0.04573
164	0.00522	0.00522	0.00000	0.00000	0.1111	0.1023	0.04580
165	0.00515	0.00515	0.00000	0.00000	0.1113	0.1386	0.04875
166	0.00486	0.00486	0.00000	0.00000	0.1120	0.0963	0.04837
167	0.00504	0.00504	0.00000	0.00000	0.1128	0.0991	0.04836
168	0.00465	0.00465	0.00000	0.00000	0.1114	0.1085	0.04519
169	0.00458	0.00458	0.00000	0.00000	0.1098	0.1387	0.04827
170	0.00485	0.00485	0.00000	0.00000	0.1117	0.1048	0.04777
171	0.00461	0.00461	0.00000	0.00000	0.1110	0.0999	0.04629
172	0.00465	0.00465	0.00000	0.00000	0.1105	0.1194	0.04593
173	0.00416	0.00416	0.00000	0.00000	0.1125	0.0838	0.04644
174	0.00446	0.00446	0.00000	0.00000	0.1112	0.0996	0.04641
175	0.00456	0.00456	0.00000	0.00000	0.1127	0.0966	0.04745
176	0.00413	0.00413	0.00000	0.00000	0.1115	0.1159	0.04778
177	0.00441	0.00441	0.00000	0.00000	0.1117	0.0951	0.04683
178	0.00402	0.00402	0.00000	0.00000	0.1098	0.1267	0.04633
179	0.00397	0.00397	0.00000	0.00000	0.1120	0.1066	0.04794
180	0.00404	0.00404	0.00000	0.00000	0.1114	0.1057	0.04788
181	0.00420	0.00420	0.00000	0.00000	0.1107	0.1364	0.04756
182	0.00419	0.00419	0.00000	0.00000	0.1127	0.0926	0.04787
183	0.00422	0.00422	0.00000	0.00000	0.1118	0.0798	0.05075
184	0.00442	0.00442	0.00000	0.00000	0.1100	0.1196	0.04795
185	0.00443	0.00443	0.00000	0.00000	0.1125	0.0852	0.04570
186	0.00423	0.00423	0.00000	0.00000	0.1103	0.1069	0.04638
187	0.00441	0.00441	0.00000	0.00000	0.1121	0.1064	0.04660
188	0.00376	0.00376	0.00000	0.00000	0.1127	0.0883	0.04688
189	0.00408	0.00408	0.00000	0.00000	0.1110	0.0895	0.04852
190	0.00399	0.00399	0.00000	0.00000	0.1110	0.0934	0.04814
191	0.00404	0.00404	0.00000	0.00000	0.1101	0.1298	0.04667
192	0.00409	0.00409	0.00000	0.00000	0.1130	0.0970	0.04591
193	0.00397	0.00397	0.00000	0.00000	0.1098	0.1255	0.04719
194	0.00345	0.00345	0.00000	0.00000	0.1122	0.1170	0.04829
195	0.00397	0.00397	0.00000	0.00000	0.1115	0.1370	0.04749
196	0.00383	0.00383	0.00000	0.00000	0.1116	0.1226	0.04776
197	0.00371	0.00371	0.00000	0.00000	0.1120	0.1153	0.04836
198	0.00339	0.00339	0.00000	0.00000	0.1120	0.1016	0.04664
199	0.00362	0.00362	0.00000	0.00000	0.1112	0.1170	0.04768
200	0.00386	0.00386	0.00000	0.00000	0.1123	0.0865	0.04798
201	0.00380	0.00380	0.00000	0.00000	0.1104	0.1002	0.04896
202	0.00391	0.00391	0.00000	0.00000	0.1106	0.1102	0.04769
203	0.00384	0.00384	0.00000	0.00000	0.1114	0.1227	0.04638
204	0.00433	0.00433	0.00000	0.00000	0.1131	0.0895	0.04778
205	0.00370	0.00370	0.00000	0.00000	0.1119	0.0881	0.04637
206	0.00375	0.00375	0.00000	0.00000	0.1114	0.0877	0.04555
207	0.00434	0.00434	0.00000	0.00000	0.1107	0.1054	0.04710
208	0.00415	0.00415	0.00000	0.00000	0.1109	0.1197	0.04634
209	0.00358	0.00358	0.00000	0.00000	0.1125	0.1050	0.04972
210	0.00382	0.00382	0.00000	0.00000	0.1111	0.0976	0.04545
211	0.00365	0.00365	0.00000	0.00000	0.1119	0.1056	0.04647
212	0.00378	0.00378	0.00000	0.00000	0.1110	0.1183	0.04731
213	0.00334	0.00334	0.00000	0.00000	0.1114	0.1169	0.04818
214	0.00339	0.00339	0.00000	0.00000	0.1112	0.1094	0.04781
215	0.00343	0.00343	0.00000	0.00000	0.1117	0.1074	0.04782
216	0.00327	0.00327	0.00000	0.00000	0.1119	0.1230	0.04883
217	0.00374	0.00374	0.00000	0.00000	0.1114	0.0928	0.04643
