# {"dataset": "kitti", "cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_train_g2.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_val_g2.pt", "flops": "method02_advantage_regress_tinyConv/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 0, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/kitti/ablation/policy_input_g2noprev_s0.pt", "logdir": "method02_advantage_regress_tinyConv/outputs/kitti/ablation/logs", "tag": "g2noprev_s0", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04394	0.04394	0.00000	0.00000	0.1114	0.0748	0.04316
1	0.04145	0.04145	0.00000	0.00000	0.1101	0.0938	0.04116
2	0.04008	0.04008	0.00000	0.00000	0.1124	0.1017	0.04019
3	0.03872	0.03872	0.00000	0.00000	0.1139	0.1070	0.03942
4	0.03767	0.03767	0.00000	0.00000	0.1106	0.1122	0.03970
5	0.03751	0.03751	0.00000	0.00000	0.1144	0.0988	0.03854
6	0.03616	0.03616	0.00000	0.00000	0.1128	0.0838	0.03944
7	0.03502	0.03502	0.00000	0.00000	0.1101	0.0918	0.03969
8	0.03380	0.03380	0.00000	0.00000	0.1092	0.1284	0.03923
9	0.03317	0.03317	0.00000	0.00000	0.1155	0.0856	0.03913
10	0.03231	0.03231	0.00000	0.00000	0.1085	0.1438	0.04068
11	0.03148	0.03148	0.00000	0.00000	0.1127	0.0907	0.03969
12	0.03110	0.03110	0.00000	0.00000	0.1122	0.0900	0.03949
13	0.03006	0.03006	0.00000	0.00000	0.1099	0.1268	0.04021
14	0.02928	0.02928	0.00000	0.00000	0.1118	0.1019	0.03949
15	0.02849	0.02849	0.00000	0.00000	0.1136	0.1047	0.03897
16	0.02868	0.02868	0.00000	0.00000	0.1121	0.0914	0.04042
17	0.02812	0.02812	0.00000	0.00000	0.1106	0.1056	0.03923
18	0.02687	0.02687	0.00000	0.00000	0.1105	0.1167	0.03994
19	0.02614	0.02614	0.00000	0.00000	0.1115	0.0979	0.03950
20	0.02534	0.02534	0.00000	0.00000	0.1090	0.1181	0.04050
21	0.02545	0.02545	0.00000	0.00000	0.1143	0.0718	0.04088
22	0.02506	0.02506	0.00000	0.00000	0.1101	0.0804	0.04199
23	0.02439	0.02439	0.00000	0.00000	0.1124	0.0802	0.04187
24	0.02383	0.02383	0.00000	0.00000	0.1109	0.0969	0.04171
25	0.02299	0.02299	0.00000	0.00000	0.1106	0.1118	0.04068
26	0.02249	0.02249	0.00000	0.00000	0.1108	0.1419	0.04318
27	0.02265	0.02265	0.00000	0.00000	0.1124	0.1260	0.04286
28	0.02137	0.02137	0.00000	0.00000	0.1118	0.1229	0.04108
29	0.02181	0.02181	0.00000	0.00000	0.1133	0.1085	0.04179
30	0.02096	0.02096	0.00000	0.00000	0.1100	0.0943	0.04287
31	0.02015	0.02015	0.00000	0.00000	0.1122	0.0907	0.04313
32	0.02016	0.02016	0.00000	0.00000	0.1093	0.1203	0.04273
33	0.01916	0.01916	0.00000	0.00000	0.1145	0.0735	0.04380
34	0.01992	0.01992	0.00000	0.00000	0.1093	0.1276	0.04366
35	0.01921	0.01921	0.00000	0.00000	0.1132	0.0966	0.04304
36	0.01817	0.01817	0.00000	0.00000	0.1111	0.1123	0.04225
37	0.01837	0.01837	0.00000	0.00000	0.1116	0.1195	0.04310
38	0.01784	0.01784	0.00000	0.00000	0.1125	0.0764	0.04362
39	0.01742	0.01742	0.00000	0.00000	0.1089	0.1450	0.04564
40	0.01793	0.01793	0.00000	0.00000	0.1150	0.0981	0.04348
41	0.01678	0.01678	0.00000	0.00000	0.1111	0.1087	0.04460
42	0.01646	0.01646	0.00000	0.00000	0.1120	0.1009	0.04537
43	0.01557	0.01557	0.00000	0.00000	0.1125	0.0618	0.04748
44	0.01556	0.01556	0.00000	0.00000	0.1101	0.1030	0.04436
