# {"dataset": "kitti", "cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_train_g2x8.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_val_g2x8.pt", "flops": "method02_advantage_regress_tinyConv/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 1, "device": "cuda:0", "out": "method02_advantage_regress_tinyConv/outputs/kitti/ablation/policy_input_g2x8_s1.pt", "logdir": "method02_advantage_regress_tinyConv/outputs/kitti/ablation/logs", "tag": "g2x8_s1", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04387	0.04387	0.00000	0.00000	0.1081	0.1315	0.04250
1	0.04216	0.04216	0.00000	0.00000	0.1140	0.1023	0.04122
2	0.04091	0.04091	0.00000	0.00000	0.1117	0.1023	0.04047
3	0.03968	0.03968	0.00000	0.00000	0.1127	0.1111	0.03992
4	0.03890	0.03890	0.00000	0.00000	0.1130	0.1012	0.03999
5	0.03752	0.03752	0.00000	0.00000	0.1108	0.0952	0.03969
6	0.03644	0.03644	0.00000	0.00000	0.1132	0.1074	0.03900
7	0.03501	0.03501	0.00000	0.00000	0.1093	0.1639	0.04271
8	0.03417	0.03417	0.00000	0.00000	0.1150	0.0816	0.03980
9	0.03319	0.03319	0.00000	0.00000	0.1109	0.0817	0.03972
10	0.03192	0.03192	0.00000	0.00000	0.1104	0.1375	0.04019
11	0.03133	0.03133	0.00000	0.00000	0.1114	0.0891	0.03905
12	0.02959	0.02959	0.00000	0.00000	0.1128	0.1259	0.04083
13	0.02878	0.02878	0.00000	0.00000	0.1132	0.0791	0.03914
14	0.02873	0.02873	0.00000	0.00000	0.1117	0.1202	0.03905
15	0.02706	0.02706	0.00000	0.00000	0.1107	0.1232	0.04065
16	0.02582	0.02582	0.00000	0.00000	0.1113	0.1054	0.03929
17	0.02542	0.02542	0.00000	0.00000	0.1117	0.1004	0.03980
18	0.02437	0.02437	0.00000	0.00000	0.1102	0.1499	0.04311
19	0.02498	0.02498	0.00000	0.00000	0.1135	0.1115	0.03967
20	0.02320	0.02320	0.00000	0.00000	0.1103	0.1467	0.04245
21	0.02224	0.02224	0.00000	0.00000	0.1147	0.0462	0.04504
22	0.02378	0.02378	0.00000	0.00000	0.1106	0.0820	0.04083
23	0.02110	0.02110	0.00000	0.00000	0.1115	0.1129	0.04052
24	0.02040	0.02040	0.00000	0.00000	0.1108	0.1471	0.04296
25	0.01981	0.01981	0.00000	0.00000	0.1128	0.1251	0.04170
26	0.01902	0.01902	0.00000	0.00000	0.1119	0.0955	0.04321
27	0.01838	0.01838	0.00000	0.00000	0.1123	0.0884	0.04268
28	0.01859	0.01859	0.00000	0.00000	0.1110	0.1379	0.04305
29	0.01805	0.01805	0.00000	0.00000	0.1100	0.1321	0.04375
30	0.01814	0.01814	0.00000	0.00000	0.1147	0.0852	0.04251
31	0.01646	0.01646	0.00000	0.00000	0.1109	0.1179	0.04447
32	0.01670	0.01670	0.00000	0.00000	0.1125	0.1052	0.04328
33	0.01595	0.01595	0.00000	0.00000	0.1120	0.1317	0.04422
34	0.01510	0.01510	0.00000	0.00000	0.1114	0.1227	0.04576
35	0.01570	0.01570	0.00000	0.00000	0.1122	0.0966	0.04451
36	0.01447	0.01447	0.00000	0.00000	0.1108	0.1372	0.04420
37	0.01437	0.01437	0.00000	0.00000	0.1120	0.1111	0.04437
38	0.01415	0.01415	0.00000	0.00000	0.1097	0.1493	0.04630
39	0.01443	0.01443	0.00000	0.00000	0.1118	0.1367	0.04524
40	0.01349	0.01349	0.00000	0.00000	0.1129	0.0691	0.04640
41	0.01364	0.01364	0.00000	0.00000	0.1101	0.1176	0.04392
42	0.01371	0.01371	0.00000	0.00000	0.1116	0.1384	0.04580
43	0.01430	0.01430	0.00000	0.00000	0.1149	0.0620	0.04535
44	0.01303	0.01303	0.00000	0.00000	0.1103	0.1235	0.04516
45	0.01214	0.01214	0.00000	0.00000	0.1111	0.1110	0.04478
46	0.01185	0.01185	0.00000	0.00000	0.1109	0.1370	0.04578
47	0.01131	0.01131	0.00000	0.00000	0.1119	0.1552	0.04823
48	0.01125	0.01125	0.00000	0.00000	0.1134	0.1079	0.04503
49	0.01071	0.01071	0.00000	0.00000	0.1100	0.1734	0.05167
50	0.01077	0.01077	0.00000	0.00000	0.1124	0.1050	0.04651
51	0.01073	0.01073	0.00000	0.00000	0.1108	0.1697	0.05095
52	0.01146	0.01146	0.00000	0.00000	0.1118	0.0932	0.04774
53	0.01036	0.01036	0.00000	0.00000	0.1100	0.1209	0.04635
54	0.01055	0.01055	0.00000	0.00000	0.1121	0.1218	0.04648
55	0.01007	0.01007	0.00000	0.00000	0.1105	0.1305	0.04673
56	0.00968	0.00968	0.00000	0.00000	0.1119	0.1109	0.04674
57	0.01007	0.01007	0.00000	0.00000	0.1120	0.0607	0.04799
58	0.01053	0.01053	0.00000	0.00000	0.1104	0.0992	0.04665
59	0.00914	0.00914	0.00000	0.00000	0.1096	0.1284	0.04754
60	0.00880	0.00880	0.00000	0.00000	0.1120	0.1155	0.04776
61	0.00861	0.00861	0.00000	0.00000	0.1123	0.0800	0.04749
62	0.00890	0.00890	0.00000	0.00000	0.1110	0.1332	0.04847
63	0.00829	0.00829	0.00000	0.00000	0.1121	0.0916	0.04681
64	0.00919	0.00919	0.00000	0.00000	0.1113	0.0870	0.04772
65	0.00999	0.00999	0.00000	0.00000	0.1099	0.1236	0.04837
66	0.00951	0.00951	0.00000	0.00000	0.1111	0.1380	0.04847
67	0.00853	0.00853	0.00000	0.00000	0.1111	0.1268	0.04951
68	0.00900	0.00900	0.00000	0.00000	0.1123	0.1191	0.04796
69	0.00794	0.00794	0.00000	0.00000	0.1108	0.0897	0.04801
70	0.00836	0.00836	0.00000	0.00000	0.1109	0.0810	0.04941
71	0.00789	0.00789	0.00000	0.00000	0.1091	0.1605	0.05239
72	0.00872	0.00872	0.00000	0.00000	0.1125	0.1076	0.04815
73	0.00744	0.00744	0.00000	0.00000	0.1119	0.0922	0.04740
74	0.00853	0.00853	0.00000	0.00000	0.1112	0.0776	0.04828
75	0.00858	0.00858	0.00000	0.00000	0.1106	0.0943	0.04652
76	0.00772	0.00772	0.00000	0.00000	0.1126	0.1112	0.04762
77	0.00715	0.00715	0.00000	0.00000	0.1103	0.1253	0.04765
78	0.00737	0.00737	0.00000	0.00000	0.1124	0.1052	0.04789
79	0.00681	0.00681	0.00000	0.00000	0.1128	0.0964	0.04854
80	0.00723	0.00723	0.00000	0.00000	0.1107	0.1052	0.04844
81	0.00668	0.00668	0.00000	0.00000	0.1110	0.1328	0.04830
82	0.00708	0.00708	0.00000	0.00000	0.1127	0.1044	0.04919
83	0.00691	0.00691	0.00000	0.00000	0.1121	0.0585	0.04991
84	0.00854	0.00854	0.00000	0.00000	0.1121	0.0539	0.04992
85	0.00851	0.00851	0.00000	0.00000	0.1099	0.1163	0.04804
86	0.00688	0.00688	0.00000	0.00000	0.1108	0.1155	0.04772
87	0.00646	0.00646	0.00000	0.00000	0.1123	0.1116	0.04969
88	0.00660	0.00660	0.00000	0.00000	0.1101	0.1499	0.05073
89	0.00685	0.00685	0.00000	0.00000	0.1115	0.1299	0.04922
90	0.00609	0.00609	0.00000	0.00000	0.1119	0.1131	0.04999
91	0.00591	0.00591	0.00000	0.00000	0.1114	0.1452	0.05013
92	0.00635	0.00635	0.00000	0.00000	0.1115	0.1187	0.04956
93	0.00613	0.00613	0.00000	0.00000	0.1118	0.1053	0.04981
94	0.00700	0.00700	0.00000	0.00000	0.1109	0.1158	0.04815
95	0.00624	0.00624	0.00000	0.00000	0.1110	0.1250	0.04982
96	0.00585	0.00585	0.00000	0.00000	0.1121	0.1151	0.05074
97	0.00579	0.00579	0.00000	0.00000	0.1114	0.1072	0.04819
98	0.00574	0.00574	0.00000	0.00000	0.1117	0.0764	0.04976
99	0.00528	0.00528	0.00000	0.00000	0.1112	0.0798	0.04920
100	0.00542	0.00542	0.00000	0.00000	0.1114	0.1062	0.04970
101	0.00595	0.00595	0.00000	0.00000	0.1114	0.0794	0.05141
102	0.00593	0.00593	0.00000	0.00000	0.1103	0.0723	0.05101
103	0.00589	0.00589	0.00000	0.00000	0.1105	0.1125	0.04912
104	0.00489	0.00489	0.00000	0.00000	0.1130	0.0601	0.05088
105	0.00551	0.00551	0.00000	0.00000	0.1105	0.0675	0.05361
106	0.00626	0.00626	0.00000	0.00000	0.1110	0.0849	0.04939
107	0.00498	0.00498	0.00000	0.00000	0.1110	0.0977	0.04950
108	0.00522	0.00522	0.00000	0.00000	0.1112	0.1195	0.04934
109	0.00475	0.00475	0.00000	0.00000	0.1119	0.1246	0.04943
110	0.00465	0.00465	0.00000	0.00000	0.1124	0.1231	0.05134
111	0.00510	0.00510	0.00000	0.00000	0.1117	0.1268	0.05082
112	0.00457	0.00457	0.00000	0.00000	0.1113	0.1048	0.04970
113	0.00500	0.00500	0.00000	0.00000	0.1123	0.0572	0.05066
114	0.00698	0.00698	0.00000	0.00000	0.1123	0.0875	0.05065
115	0.00537	0.00537	0.00000	0.00000	0.1119	0.1081	0.05007
116	0.00466	0.00466	0.00000	0.00000	0.1119	0.0767	0.05130
117	0.00454	0.00454	0.00000	0.00000	0.1099	0.1219	0.05006
118	0.00432	0.00432	0.00000	0.00000	0.1127	0.0762	0.05310
119	0.00642	0.00642	0.00000	0.00000	0.1108	0.1326	0.05181
120	0.00481	0.00481	0.00000	0.00000	0.1144	0.0553	0.05451
121	0.00539	0.00539	0.00000	0.00000	0.1110	0.0596	0.05199
122	0.00518	0.00518	0.00000	0.00000	0.1110	0.0945	0.05062
123	0.00501	0.00501	0.00000	0.00000	0.1120	0.0934	0.04897
124	0.00471	0.00471	0.00000	0.00000	0.1116	0.1182	0.05009
125	0.00438	0.00438	0.00000	0.00000	0.1110	0.0952	0.05082
126	0.00505	0.00505	0.00000	0.00000	0.1118	0.0561	0.05254
127	0.00469	0.00469	0.00000	0.00000	0.1102	0.1039	0.05022
128	0.00409	0.00409	0.00000	0.00000	0.1120	0.0881	0.05115
129	0.00459	0.00459	0.00000	0.00000	0.1109	0.1105	0.04958
130	0.00421	0.00421	0.00000	0.00000	0.1119	0.1288	0.05133
131	0.00442	0.00442	0.00000	0.00000	0.1121	0.1132	0.05065
132	0.00418	0.00418	0.00000	0.00000	0.1105	0.1119	0.05078
133	0.00396	0.00396	0.00000	0.00000	0.1130	0.0461	0.05412
134	0.00442	0.00442	0.00000	0.00000	0.1098	0.1272	0.05104
135	0.00389	0.00389	0.00000	0.00000	0.1118	0.0972	0.05080
136	0.00382	0.00382	0.00000	0.00000	0.1109	0.1434	0.05153
137	0.00407	0.00407	0.00000	0.00000	0.1124	0.0910	0.05209
