# {"dataset": "kitti", "cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_train_g2.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_val_g2.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method03_advantage_rank/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "rank", "margin": 0.05, "prev_p": 0.5, "seed": 2, "device": "cuda:0", "out": "method03_advantage_rank/outputs/kitti/ablation/policy_input_rank_s2.pt", "logdir": "method03_advantage_rank/outputs/kitti/ablation/logs", "tag": "rank_s2", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04789	0.04789	0.00000	0.00000	0.0034	-0.0074	0.04892
1	0.04504	0.04504	0.00000	0.00000	0.0027	0.0009	0.04659
2	0.04317	0.04317	0.00000	0.00000	0.0135	0.0145	0.04649
3	0.04188	0.04188	0.00000	0.00000	0.0222	0.0352	0.04688
4	0.04093	0.04093	0.00000	0.00000	0.0334	0.0170	0.04594
5	0.03969	0.03969	0.00000	0.00000	0.0251	0.0351	0.04633
6	0.03866	0.03866	0.00000	0.00000	0.0293	0.0211	0.04532
7	0.03820	0.03820	0.00000	0.00000	0.0322	0.0368	0.04633
8	0.03756	0.03756	0.00000	0.00000	0.0528	0.0424	0.04559
9	0.03677	0.03677	0.00000	0.00000	0.0427	0.0371	0.04638
10	0.03606	0.03606	0.00000	0.00000	0.0476	0.0464	0.04603
11	0.03590	0.03590	0.00000	0.00000	0.0614	0.0659	0.04620
12	0.03523	0.03523	0.00000	0.00000	0.0654	0.0628	0.04590
13	0.03474	0.03474	0.00000	0.00000	0.0681	0.0630	0.04670
14	0.03453	0.03453	0.00000	0.00000	0.0661	0.0613	0.04638
15	0.03340	0.03340	0.00000	0.00000	0.0642	0.0523	0.04720
16	0.03303	0.03303	0.00000	0.00000	0.0675	0.0748	0.04798
17	0.03310	0.03310	0.00000	0.00000	0.0764	0.0852	0.04652
18	0.03262	0.03262	0.00000	0.00000	0.0784	0.0707	0.04656
19	0.03174	0.03174	0.00000	0.00000	0.0781	0.0755	0.04676
20	0.03172	0.03172	0.00000	0.00000	0.0788	0.0726	0.04692
21	0.03119	0.03119	0.00000	0.00000	0.0744	0.0810	0.04606
22	0.03095	0.03095	0.00000	0.00000	0.0868	0.0806	0.04736
23	0.03012	0.03012	0.00000	0.00000	0.0774	0.0878	0.04711
24	0.03048	0.03048	0.00000	0.00000	0.0912	0.0899	0.04807
25	0.02967	0.02967	0.00000	0.00000	0.0881	0.0942	0.04832
26	0.02913	0.02913	0.00000	0.00000	0.0930	0.1031	0.04904
27	0.02905	0.02905	0.00000	0.00000	0.0909	0.0663	0.04888
28	0.02854	0.02854	0.00000	0.00000	0.0874	0.0956	0.04963
29	0.02820	0.02820	0.00000	0.00000	0.0955	0.0904	0.04857
30	0.02853	0.02853	0.00000	0.00000	0.1064	0.1062	0.04893
31	0.02810	0.02810	0.00000	0.00000	0.1024	0.0978	0.04817
32	0.02742	0.02742	0.00000	0.00000	0.1045	0.1085	0.04806
33	0.02696	0.02696	0.00000	0.00000	0.1137	0.1138	0.05054
34	0.02682	0.02682	0.00000	0.00000	0.1149	0.0929	0.04989
35	0.02740	0.02740	0.00000	0.00000	0.1096	0.1005	0.04920
36	0.02636	0.02636	0.00000	0.00000	0.1086	0.0884	0.04858
37	0.02647	0.02647	0.00000	0.00000	0.0999	0.1216	0.05000
38	0.02653	0.02653	0.00000	0.00000	0.1096	0.1073	0.04898
39	0.02557	0.02557	0.00000	0.00000	0.1089	0.0951	0.05004
40	0.02554	0.02554	0.00000	0.00000	0.1167	0.1061	0.05015
41	0.02538	0.02538	0.00000	0.00000	0.1107	0.1196	0.05092
42	0.02526	0.02526	0.00000	0.00000	0.1183	0.1070	0.05038
43	0.02475	0.02475	0.00000	0.00000	0.1189	0.1171	0.05105
44	0.02490	0.02490	0.00000	0.00000	0.1229	0.1230	0.05113
45	0.02440	0.02440	0.00000	0.00000	0.1151	0.1091	0.05208
46	0.02454	0.02454	0.00000	0.00000	0.1233	0.1555	0.05273
47	0.02408	0.02408	0.00000	0.00000	0.1309	0.1212	0.05080
48	0.02331	0.02331	0.00000	0.00000	0.1277	0.1225	0.05196
49	0.02358	0.02358	0.00000	0.00000	0.1292	0.1396	0.05270
50	0.02342	0.02342	0.00000	0.00000	0.1355	0.1369	0.05270
51	0.02282	0.02282	0.00000	0.00000	0.1440	0.1518	0.05259
52	0.02236	0.02236	0.00000	0.00000	0.1510	0.1573	0.05291
53	0.02265	0.02265	0.00000	0.00000	0.1504	0.1351	0.05240
54	0.02291	0.02291	0.00000	0.00000	0.1461	0.1339	0.05395
55	0.02330	0.02330	0.00000	0.00000	0.1412	0.1324	0.05302
56	0.02212	0.02212	0.00000	0.00000	0.1354	0.1373	0.05387
57	0.02184	0.02184	0.00000	0.00000	0.1462	0.1497	0.05491
58	0.02201	0.02201	0.00000	0.00000	0.1494	0.1454	0.05429
59	0.02159	0.02159	0.00000	0.00000	0.1507	0.1558	0.05344
60	0.02150	0.02150	0.00000	0.00000	0.1597	0.1521	0.05343
61	0.02115	0.02115	0.00000	0.00000	0.1530	0.1481	0.05527
62	0.02172	0.02172	0.00000	0.00000	0.1506	0.1497	0.05513
63	0.02100	0.02100	0.00000	0.00000	0.1628	0.1686	0.05577
64	0.02078	0.02078	0.00000	0.00000	0.1631	0.1605	0.05441
65	0.02039	0.02039	0.00000	0.00000	0.1557	0.1613	0.05553
66	0.02087	0.02087	0.00000	0.00000	0.1514	0.1421	0.05579
67	0.02038	0.02038	0.00000	0.00000	0.1635	0.1597	0.05652
68	0.01969	0.01969	0.00000	0.00000	0.1685	0.1832	0.05712
69	0.02034	0.02034	0.00000	0.00000	0.1745	0.1476	0.05675
70	0.02045	0.02045	0.00000	0.00000	0.1706	0.1716	0.05475
71	0.01997	0.01997	0.00000	0.00000	0.1594	0.1614	0.05597
72	0.02007	0.02007	0.00000	0.00000	0.1685	0.1632	0.05553
73	0.01917	0.01917	0.00000	0.00000	0.1643	0.1579	0.05738
74	0.01965	0.01965	0.00000	0.00000	0.1675	0.1723	0.05670
75	0.01959	0.01959	0.00000	0.00000	0.1755	0.1715	0.05710
76	0.01929	0.01929	0.00000	0.00000	0.1795	0.1736	0.05709
77	0.01956	0.01956	0.00000	0.00000	0.1721	0.1780	0.05801
78	0.01854	0.01854	0.00000	0.00000	0.1739	0.1853	0.05746
79	0.01920	0.01920	0.00000	0.00000	0.1762	0.1886	0.05941
80	0.01913	0.01913	0.00000	0.00000	0.1644	0.1649	0.05877
81	0.01873	0.01873	0.00000	0.00000	0.1661	0.1788	0.05863
82	0.01864	0.01864	0.00000	0.00000	0.1769	0.1784	0.05875
83	0.01858	0.01858	0.00000	0.00000	0.1674	0.1724	0.05759
84	0.01892	0.01892	0.00000	0.00000	0.1759	0.1819	0.05894
85	0.01817	0.01817	0.00000	0.00000	0.1689	0.1734	0.05863
86	0.01949	0.01949	0.00000	0.00000	0.1820	0.1848	0.05816
87	0.01914	0.01914	0.00000	0.00000	0.1763	0.1536	0.05749
88	0.01849	0.01849	0.00000	0.00000	0.1706	0.1529	0.05673
89	0.01790	0.01790	0.00000	0.00000	0.1645	0.1636	0.06050
90	0.01835	0.01835	0.00000	0.00000	0.1635	0.1590	0.05801
