# {"dataset": "kitti", "cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_train_g2.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_val_g2.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method03_advantage_rank/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "optimizer": "adam", "lr_sched": "cosine", "warmup": 10, "aug_noise": 0.0, "aug_cdrop": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 4, "device": "cuda:0", "out": "method03_advantage_rank/outputs/kitti/ablation/policy_input_cosine_s4.pt", "logdir": "method03_advantage_rank/outputs/kitti/ablation/logs", "tag": "cosine_s4", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.06004	0.06004	0.00000	0.00000	-0.0009	0.0274	0.04937
1	0.04389	0.04389	0.00000	0.00000	0.1294	0.0743	0.04342
2	0.04231	0.04231	0.00000	0.00000	0.1090	0.0998	0.04162
3	0.04127	0.04127	0.00000	0.00000	0.1108	0.1205	0.04130
4	0.04066	0.04066	0.00000	0.00000	0.1105	0.1156	0.04052
5	0.03996	0.03996	0.00000	0.00000	0.1120	0.0952	0.04023
6	0.03910	0.03910	0.00000	0.00000	0.1144	0.0921	0.04010
7	0.03804	0.03804	0.00000	0.00000	0.1097	0.1307	0.04020
8	0.03739	0.03739	0.00000	0.00000	0.1112	0.1341	0.04055
9	0.03636	0.03636	0.00000	0.00000	0.1123	0.1323	0.03994
10	0.03541	0.03541	0.00000	0.00000	0.1120	0.1262	0.03917
11	0.03473	0.03473	0.00000	0.00000	0.1113	0.0927	0.03895
12	0.03395	0.03395	0.00000	0.00000	0.1123	0.1002	0.03821
13	0.03275	0.03275	0.00000	0.00000	0.1122	0.0981	0.03922
14	0.03235	0.03235	0.00000	0.00000	0.1106	0.1322	0.03984
15	0.03116	0.03116	0.00000	0.00000	0.1118	0.1179	0.03910
16	0.03019	0.03019	0.00000	0.00000	0.1123	0.1203	0.03948
17	0.03036	0.03036	0.00000	0.00000	0.1112	0.0821	0.03990
18	0.02973	0.02973	0.00000	0.00000	0.1122	0.0980	0.04051
19	0.02918	0.02918	0.00000	0.00000	0.1082	0.1580	0.04232
20	0.02899	0.02899	0.00000	0.00000	0.1147	0.1165	0.03871
21	0.02907	0.02907	0.00000	0.00000	0.1114	0.0977	0.03890
22	0.02748	0.02748	0.00000	0.00000	0.1094	0.0684	0.04133
23	0.02694	0.02694	0.00000	0.00000	0.1090	0.1355	0.04103
24	0.02732	0.02732	0.00000	0.00000	0.1130	0.1423	0.04122
25	0.02664	0.02664	0.00000	0.00000	0.1103	0.1425	0.04115
26	0.02569	0.02569	0.00000	0.00000	0.1138	0.0785	0.04028
27	0.02477	0.02477	0.00000	0.00000	0.1121	0.0858	0.04051
28	0.02460	0.02460	0.00000	0.00000	0.1099	0.1267	0.04048
29	0.02353	0.02353	0.00000	0.00000	0.1118	0.1173	0.04035
30	0.02347	0.02347	0.00000	0.00000	0.1139	0.0844	0.04144
31	0.02345	0.02345	0.00000	0.00000	0.1109	0.1214	0.04112
32	0.02253	0.02253	0.00000	0.00000	0.1108	0.1621	0.04521
33	0.02290	0.02290	0.00000	0.00000	0.1119	0.0990	0.04092
34	0.02306	0.02306	0.00000	0.00000	0.1114	0.1314	0.04274
35	0.02260	0.02260	0.00000	0.00000	0.1131	0.0912	0.04193
36	0.02231	0.02231	0.00000	0.00000	0.1090	0.0917	0.04044
37	0.02061	0.02061	0.00000	0.00000	0.1112	0.1453	0.04231
38	0.02032	0.02032	0.00000	0.00000	0.1130	0.0921	0.04202
39	0.02022	0.02022	0.00000	0.00000	0.1098	0.1590	0.04618
40	0.01969	0.01969	0.00000	0.00000	0.1131	0.1175	0.04257
41	0.01896	0.01896	0.00000	0.00000	0.1113	0.1562	0.04541
42	0.02017	0.02017	0.00000	0.00000	0.1130	0.1111	0.04264
43	0.01850	0.01850	0.00000	0.00000	0.1122	0.1088	0.04308
