# {"dataset": "kitti", "cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_train_g2.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_val_g2.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method03_advantage_rank/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0001, "optimizer": "adamw", "lr_sched": "const", "warmup": 0, "aug_noise": 0.0, "aug_cdrop": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 4, "device": "cuda:0", "out": "method03_advantage_rank/outputs/kitti/ablation/policy_input_adamw_s4.pt", "logdir": "method03_advantage_rank/outputs/kitti/ablation/logs", "tag": "adamw_s4", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04772	0.04772	0.00000	0.00000	0.1097	0.0778	0.04299
1	0.04195	0.04195	0.00000	0.00000	0.1046	0.1103	0.04136
2	0.04070	0.04070	0.00000	0.00000	0.1127	0.1115	0.04072
3	0.03962	0.03962	0.00000	0.00000	0.1126	0.1184	0.04038
4	0.03838	0.03838	0.00000	0.00000	0.1113	0.1257	0.04011
5	0.03747	0.03747	0.00000	0.00000	0.1116	0.1245	0.03962
6	0.03653	0.03653	0.00000	0.00000	0.1135	0.0990	0.03942
7	0.03566	0.03566	0.00000	0.00000	0.1106	0.1336	0.04062
8	0.03479	0.03479	0.00000	0.00000	0.1113	0.1450	0.04142
9	0.03442	0.03442	0.00000	0.00000	0.1126	0.1261	0.04034
10	0.03330	0.03330	0.00000	0.00000	0.1114	0.1205	0.03984
11	0.03293	0.03293	0.00000	0.00000	0.1116	0.0826	0.04006
12	0.03262	0.03262	0.00000	0.00000	0.1131	0.0825	0.03991
13	0.03168	0.03168	0.00000	0.00000	0.1115	0.1077	0.03982
14	0.03178	0.03178	0.00000	0.00000	0.1089	0.1559	0.04162
15	0.03007	0.03007	0.00000	0.00000	0.1117	0.1211	0.04036
16	0.02912	0.02912	0.00000	0.00000	0.1119	0.1347	0.04036
17	0.02976	0.02976	0.00000	0.00000	0.1118	0.0946	0.03936
18	0.02837	0.02837	0.00000	0.00000	0.1121	0.0847	0.04135
19	0.02810	0.02810	0.00000	0.00000	0.1076	0.1363	0.04127
20	0.02761	0.02761	0.00000	0.00000	0.1139	0.1212	0.03971
21	0.02749	0.02749	0.00000	0.00000	0.1132	0.0755	0.04167
22	0.02655	0.02655	0.00000	0.00000	0.1093	0.0624	0.04262
23	0.02631	0.02631	0.00000	0.00000	0.1115	0.1069	0.04185
24	0.02575	0.02575	0.00000	0.00000	0.1128	0.1239	0.04033
25	0.02492	0.02492	0.00000	0.00000	0.1114	0.1092	0.04105
26	0.02521	0.02521	0.00000	0.00000	0.1117	0.0900	0.04115
27	0.02367	0.02367	0.00000	0.00000	0.1136	0.0770	0.04158
28	0.02341	0.02341	0.00000	0.00000	0.1098	0.1165	0.04061
29	0.02257	0.02257	0.00000	0.00000	0.1118	0.1145	0.04082
30	0.02241	0.02241	0.00000	0.00000	0.1123	0.0798	0.04257
31	0.02236	0.02236	0.00000	0.00000	0.1109	0.1319	0.04294
32	0.02218	0.02218	0.00000	0.00000	0.1118	0.1412	0.04457
33	0.02148	0.02148	0.00000	0.00000	0.1111	0.1249	0.04228
34	0.02136	0.02136	0.00000	0.00000	0.1124	0.1182	0.04227
35	0.02176	0.02176	0.00000	0.00000	0.1132	0.0922	0.04209
36	0.02127	0.02127	0.00000	0.00000	0.1083	0.1004	0.04122
37	0.01964	0.01964	0.00000	0.00000	0.1113	0.1401	0.04391
38	0.01961	0.01961	0.00000	0.00000	0.1127	0.0918	0.04252
39	0.01980	0.01980	0.00000	0.00000	0.1111	0.1308	0.04426
40	0.01870	0.01870	0.00000	0.00000	0.1119	0.1108	0.04373
41	0.01808	0.01808	0.00000	0.00000	0.1108	0.1556	0.04531
42	0.01949	0.01949	0.00000	0.00000	0.1120	0.1276	0.04269
43	0.01859	0.01859	0.00000	0.00000	0.1125	0.1102	0.04224
44	0.01774	0.01774	0.00000	0.00000	0.1106	0.1202	0.04423
45	0.01753	0.01753	0.00000	0.00000	0.1105	0.1504	0.04516
46	0.01817	0.01817	0.00000	0.00000	0.1112	0.1101	0.04259
47	0.01648	0.01648	0.00000	0.00000	0.1116	0.1311	0.04349
48	0.01621	0.01621	0.00000	0.00000	0.1099	0.1309	0.04441
49	0.01576	0.01576	0.00000	0.00000	0.1119	0.0857	0.04411
50	0.01649	0.01649	0.00000	0.00000	0.1110	0.0898	0.04406
51	0.01619	0.01619	0.00000	0.00000	0.1107	0.0931	0.04526
52	0.01727	0.01727	0.00000	0.00000	0.1145	0.0904	0.04426
53	0.01703	0.01703	0.00000	0.00000	0.1085	0.1174	0.04728
54	0.01581	0.01581	0.00000	0.00000	0.1117	0.1022	0.04552
55	0.01460	0.01460	0.00000	0.00000	0.1111	0.1254	0.04494
56	0.01379	0.01379	0.00000	0.00000	0.1116	0.1298	0.04557
57	0.01453	0.01453	0.00000	0.00000	0.1119	0.1207	0.04614
58	0.01415	0.01415	0.00000	0.00000	0.1111	0.1296	0.04599
59	0.01394	0.01394	0.00000	0.00000	0.1107	0.1118	0.04550
60	0.01410	0.01410	0.00000	0.00000	0.1126	0.1017	0.04463
61	0.01427	0.01427	0.00000	0.00000	0.1121	0.0782	0.04660
62	0.01434	0.01434	0.00000	0.00000	0.1116	0.0972	0.04416
63	0.01414	0.01414	0.00000	0.00000	0.1145	0.0539	0.04781
64	0.01474	0.01474	0.00000	0.00000	0.1086	0.1153	0.04380
65	0.01258	0.01258	0.00000	0.00000	0.1109	0.1191	0.04426
66	0.01337	0.01337	0.00000	0.00000	0.1109	0.1036	0.04332
67	0.01240	0.01240	0.00000	0.00000	0.1117	0.0853	0.04699
68	0.01236	0.01236	0.00000	0.00000	0.1121	0.0529	0.04901
69	0.01352	0.01352	0.00000	0.00000	0.1087	0.1179	0.04608
70	0.01255	0.01255	0.00000	0.00000	0.1109	0.0891	0.04805
71	0.01253	0.01253	0.00000	0.00000	0.1108	0.1219	0.04527
72	0.01141	0.01141	0.00000	0.00000	0.1134	0.0790	0.04823
73	0.01233	0.01233	0.00000	0.00000	0.1106	0.0920	0.04586
74	0.01154	0.01154	0.00000	0.00000	0.1115	0.1112	0.04688
75	0.01158	0.01158	0.00000	0.00000	0.1116	0.1032	0.04646
76	0.01140	0.01140	0.00000	0.00000	0.1116	0.0942	0.04590
77	0.01195	0.01195	0.00000	0.00000	0.1099	0.1114	0.04698
78	0.01174	0.01174	0.00000	0.00000	0.1106	0.1455	0.04743
79	0.01149	0.01149	0.00000	0.00000	0.1121	0.1033	0.04725
80	0.01121	0.01121	0.00000	0.00000	0.1114	0.1225	0.04792
81	0.01111	0.01111	0.00000	0.00000	0.1107	0.1097	0.04635
82	0.01156	0.01156	0.00000	0.00000	0.1128	0.0821	0.04781
83	0.01043	0.01043	0.00000	0.00000	0.1100	0.1090	0.04678
84	0.01021	0.01021	0.00000	0.00000	0.1115	0.0859	0.04855
85	0.01137	0.01137	0.00000	0.00000	0.1116	0.0852	0.04898
86	0.01079	0.01079	0.00000	0.00000	0.1099	0.1300	0.04789
87	0.01061	0.01061	0.00000	0.00000	0.1111	0.1478	0.04927
88	0.01036	0.01036	0.00000	0.00000	0.1131	0.0981	0.04857
89	0.01032	0.01032	0.00000	0.00000	0.1113	0.0845	0.04770
90	0.01030	0.01030	0.00000	0.00000	0.1103	0.1106	0.04888
91	0.01036	0.01036	0.00000	0.00000	0.1110	0.1052	0.04686
92	0.00991	0.00991	0.00000	0.00000	0.1132	0.1104	0.04800
93	0.00970	0.00970	0.00000	0.00000	0.1127	0.0696	0.05045
94	0.01026	0.01026	0.00000	0.00000	0.1119	0.0835	0.04753
95	0.01033	0.01033	0.00000	0.00000	0.1111	0.0719	0.04935
96	0.01025	0.01025	0.00000	0.00000	0.1118	0.0898	0.04757
97	0.01033	0.01033	0.00000	0.00000	0.1114	0.0805	0.04774
98	0.00996	0.00996	0.00000	0.00000	0.1112	0.1125	0.04765
99	0.00935	0.00935	0.00000	0.00000	0.1116	0.1069	0.04681
100	0.00915	0.00915	0.00000	0.00000	0.1121	0.0884	0.04822
101	0.00913	0.00913	0.00000	0.00000	0.1110	0.1235	0.04757
