# {"dataset": "kitti", "cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_train_g2.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_val_g2.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method03_advantage_rank/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.1, "weight_decay": 0.0, "optimizer": "adam", "lr_sched": "const", "warmup": 0, "aug_noise": 0.0, "aug_cdrop": 0.0, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 2, "device": "cuda:0", "out": "method03_advantage_rank/outputs/kitti/ablation/policy_input_dropout_s2.pt", "logdir": "method03_advantage_rank/outputs/kitti/ablation/logs", "tag": "dropout_s2", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04457	0.04457	0.00000	0.00000	0.1106	0.0818	0.04268
1	0.04243	0.04243	0.00000	0.00000	0.1134	0.0918	0.04130
2	0.04097	0.04097	0.00000	0.00000	0.1078	0.1025	0.04062
3	0.03978	0.03978	0.00000	0.00000	0.1095	0.1089	0.04002
4	0.03855	0.03855	0.00000	0.00000	0.1117	0.0978	0.03984
5	0.03747	0.03747	0.00000	0.00000	0.1124	0.0969	0.03952
6	0.03613	0.03613	0.00000	0.00000	0.1092	0.1201	0.04060
7	0.03596	0.03596	0.00000	0.00000	0.1118	0.0875	0.03961
8	0.03448	0.03448	0.00000	0.00000	0.1105	0.1246	0.04034
9	0.03422	0.03422	0.00000	0.00000	0.1102	0.1108	0.03848
10	0.03337	0.03337	0.00000	0.00000	0.1128	0.1204	0.03888
11	0.03216	0.03216	0.00000	0.00000	0.1106	0.1419	0.04066
12	0.03200	0.03200	0.00000	0.00000	0.1126	0.1089	0.04033
13	0.03091	0.03091	0.00000	0.00000	0.1121	0.0999	0.03825
14	0.03106	0.03106	0.00000	0.00000	0.1099	0.0901	0.03829
15	0.02994	0.02994	0.00000	0.00000	0.1126	0.1002	0.03890
16	0.02896	0.02896	0.00000	0.00000	0.1096	0.1012	0.03832
17	0.02818	0.02818	0.00000	0.00000	0.1119	0.1088	0.03961
18	0.02793	0.02793	0.00000	0.00000	0.1100	0.1082	0.03931
19	0.02711	0.02711	0.00000	0.00000	0.1136	0.1192	0.03978
20	0.02730	0.02730	0.00000	0.00000	0.1082	0.1330	0.03952
21	0.02663	0.02663	0.00000	0.00000	0.1120	0.1319	0.04044
22	0.02596	0.02596	0.00000	0.00000	0.1117	0.1047	0.03980
23	0.02600	0.02600	0.00000	0.00000	0.1144	0.1035	0.03828
24	0.02622	0.02622	0.00000	0.00000	0.1078	0.1547	0.04285
25	0.02550	0.02550	0.00000	0.00000	0.1106	0.1032	0.04103
26	0.02398	0.02398	0.00000	0.00000	0.1136	0.0944	0.04201
27	0.02343	0.02343	0.00000	0.00000	0.1095	0.1001	0.04071
28	0.02305	0.02305	0.00000	0.00000	0.1114	0.1313	0.04212
29	0.02227	0.02227	0.00000	0.00000	0.1130	0.0971	0.04350
