# {"dataset": "kitti", "cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_train_g2.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_val_g2.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method03_advantage_rank/outputs/kitti/flops_table.json", "epochs": 300, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0, "optimizer": "adam", "lr_sched": "const", "warmup": 0, "aug_noise": 0.1, "aug_cdrop": 0.1, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "method03_advantage_rank/outputs/kitti/ablation/policy_input_aug_s0.pt", "logdir": "method03_advantage_rank/outputs/kitti/ablation/logs", "tag": "aug_s0", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04480	0.04480	0.00000	0.00000	0.1131	0.0780	0.04311
1	0.04260	0.04260	0.00000	0.00000	0.1077	0.1106	0.04144
2	0.04147	0.04147	0.00000	0.00000	0.1120	0.0908	0.04165
3	0.04054	0.04054	0.00000	0.00000	0.1124	0.1100	0.04086
4	0.03975	0.03975	0.00000	0.00000	0.1123	0.1108	0.04088
5	0.03865	0.03865	0.00000	0.00000	0.1125	0.0812	0.04136
6	0.03839	0.03839	0.00000	0.00000	0.1098	0.1007	0.04038
7	0.03749	0.03749	0.00000	0.00000	0.1116	0.1207	0.04028
8	0.03670	0.03670	0.00000	0.00000	0.1096	0.1387	0.04117
9	0.03635	0.03635	0.00000	0.00000	0.1145	0.0959	0.04000
10	0.03546	0.03546	0.00000	0.00000	0.1132	0.0759	0.04154
11	0.03516	0.03516	0.00000	0.00000	0.1090	0.1274	0.04033
12	0.03444	0.03444	0.00000	0.00000	0.1131	0.1165	0.03990
13	0.03401	0.03401	0.00000	0.00000	0.1116	0.1103	0.04015
14	0.03329	0.03329	0.00000	0.00000	0.1107	0.1165	0.03986
15	0.03279	0.03279	0.00000	0.00000	0.1121	0.1333	0.04068
16	0.03298	0.03298	0.00000	0.00000	0.1111	0.1116	0.03918
17	0.03174	0.03174	0.00000	0.00000	0.1132	0.1230	0.04007
18	0.03132	0.03132	0.00000	0.00000	0.1126	0.0884	0.03927
19	0.03181	0.03181	0.00000	0.00000	0.1114	0.1007	0.03936
20	0.03122	0.03122	0.00000	0.00000	0.1102	0.1114	0.03953
21	0.03044	0.03044	0.00000	0.00000	0.1105	0.1157	0.03915
22	0.03037	0.03037	0.00000	0.00000	0.1140	0.0865	0.03957
23	0.03080	0.03080	0.00000	0.00000	0.1105	0.0994	0.04011
24	0.03001	0.03001	0.00000	0.00000	0.1108	0.0822	0.04029
25	0.02950	0.02950	0.00000	0.00000	0.1124	0.0739	0.04029
26	0.03103	0.03103	0.00000	0.00000	0.1108	0.1213	0.03911
27	0.02901	0.02901	0.00000	0.00000	0.1081	0.1304	0.04018
28	0.02901	0.02901	0.00000	0.00000	0.1127	0.0834	0.03911
29	0.02831	0.02831	0.00000	0.00000	0.1119	0.1028	0.03898
30	0.02815	0.02815	0.00000	0.00000	0.1107	0.1054	0.03983
31	0.02814	0.02814	0.00000	0.00000	0.1102	0.1006	0.03917
32	0.02767	0.02767	0.00000	0.00000	0.1113	0.1009	0.03930
33	0.02721	0.02721	0.00000	0.00000	0.1112	0.0832	0.04097
34	0.02704	0.02704	0.00000	0.00000	0.1125	0.0858	0.03997
35	0.02661	0.02661	0.00000	0.00000	0.1109	0.1221	0.04143
36	0.02702	0.02702	0.00000	0.00000	0.1113	0.1009	0.03982
37	0.02664	0.02664	0.00000	0.00000	0.1146	0.0853	0.04016
38	0.02660	0.02660	0.00000	0.00000	0.1083	0.1074	0.04019
39	0.02610	0.02610	0.00000	0.00000	0.1136	0.0950	0.04026
40	0.02566	0.02566	0.00000	0.00000	0.1091	0.1313	0.04107
41	0.02590	0.02590	0.00000	0.00000	0.1111	0.1122	0.04090
42	0.02574	0.02574	0.00000	0.00000	0.1140	0.1028	0.04042
43	0.02554	0.02554	0.00000	0.00000	0.1089	0.1298	0.04085
44	0.02496	0.02496	0.00000	0.00000	0.1134	0.1036	0.04002
45	0.02527	0.02527	0.00000	0.00000	0.1087	0.1298	0.04174
46	0.02433	0.02433	0.00000	0.00000	0.1122	0.1084	0.04095
47	0.02404	0.02404	0.00000	0.00000	0.1128	0.0874	0.04064
