# {"dataset": "kitti", "cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_train_g2.pt", "val_cache": "method02_advantage_regress_tinyConv/outputs/kitti/cache_val_g2.pt", "flops": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method03_advantage_rank/outputs/kitti/flops_table.json", "epochs": 20, "batch": 256, "lr": 0.001, "lambda_flops": 1.0, "lambda_uni": 0.1, "hidden": 128, "group_dim": 64, "path_dim": 8, "feat": "input", "norm": "batch", "dropout": 0.0, "weight_decay": 0.0001, "optimizer": "adamw", "lr_sched": "cosine", "warmup": 5, "aug_noise": 0.1, "aug_cdrop": 0.1, "select": "val_corr", "mode": "regress", "regress_loss": "mse", "margin": 0.0, "prev_p": 0.5, "seed": 0, "device": "cuda:0", "out": "/tmp/smoke_opt.pt", "logdir": "/home/hslee/Desktop/Embedded_AI/context-anydepth-det/anydepth-yolov12/method03_advantage_rank/outputs/kitti/logs", "tag": "", "keep_layers": ""}
epoch	total	l_acc	l_flops	l_uni	p_super	val_p_super	val_l_acc
0	0.04545	0.04545	0.00000	0.00000	0.1041	0.0869	0.04266
1	0.04290	0.04290	0.00000	0.00000	0.1060	0.1033	0.04185
2	0.04229	0.04229	0.00000	0.00000	0.1111	0.0872	0.04201
3	0.04161	0.04161	0.00000	0.00000	0.1112	0.1157	0.04133
4	0.04081	0.04081	0.00000	0.00000	0.1117	0.1153	0.04123
5	0.03972	0.03972	0.00000	0.00000	0.1121	0.0789	0.04157
6	0.03920	0.03920	0.00000	0.00000	0.1093	0.1144	0.04020
7	0.03811	0.03811	0.00000	0.00000	0.1139	0.1158	0.03986
8	0.03751	0.03751	0.00000	0.00000	0.1080	0.1351	0.04091
9	0.03667	0.03667	0.00000	0.00000	0.1132	0.1035	0.04023
10	0.03556	0.03556	0.00000	0.00000	0.1145	0.0796	0.04050
11	0.03533	0.03533	0.00000	0.00000	0.1092	0.1034	0.03968
12	0.03431	0.03431	0.00000	0.00000	0.1112	0.1212	0.03969
13	0.03390	0.03390	0.00000	0.00000	0.1119	0.1111	0.03922
14	0.03304	0.03304	0.00000	0.00000	0.1116	0.1126	0.03908
15	0.03280	0.03280	0.00000	0.00000	0.1119	0.1060	0.03935
16	0.03232	0.03232	0.00000	0.00000	0.1113	0.1068	0.03895
17	0.03210	0.03210	0.00000	0.00000	0.1110	0.1073	0.03902
18	0.03212	0.03212	0.00000	0.00000	0.1144	0.1012	0.03907
19	0.03207	0.03207	0.00000	0.00000	0.1096	0.1019	0.03926
