epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,447.163,1.31102,0.89905,1.03075,0.67219,0.42937,0.46481,0.26521,1.23542,0.70754,0.99557,0.00333029,0.00333029,0.00333029
2,886.17,1.3389,0.8337,1.03171,0.67412,0.42416,0.45735,0.25455,1.25713,0.75183,0.99772,0.00665262,0.00665262,0.00665262
3,1322.11,1.38303,0.86955,1.04909,0.64092,0.38742,0.4173,0.23006,1.28557,0.77743,1.01463,0.00996396,0.00996396,0.00996396
4,1756.62,1.37839,0.86527,1.05298,0.66597,0.40427,0.44196,0.24315,1.27021,0.74443,1.01241,0.0099505,0.0099505,0.0099505
5,2190.95,1.34605,0.8319,1.04305,0.65737,0.42302,0.45453,0.25119,1.25106,0.72016,1.00497,0.009934,0.009934,0.009934
6,2625.54,1.3272,0.81341,1.03607,0.68521,0.42782,0.46693,0.25959,1.24054,0.699,0.99661,0.0099175,0.0099175,0.0099175
7,3059.77,1.31034,0.79207,1.02689,0.69059,0.43917,0.48457,0.26934,1.23393,0.68918,0.99557,0.009901,0.009901,0.009901
8,3494.06,1.29827,0.78013,1.0218,0.69967,0.44353,0.49037,0.27413,1.22525,0.68153,0.98998,0.0098845,0.0098845,0.0098845
9,3928.75,1.28938,0.77016,1.01865,0.69291,0.45323,0.50281,0.27883,1.21838,0.67035,0.98663,0.009868,0.009868,0.009868
10,4362.99,1.28063,0.76064,1.01592,0.69906,0.45573,0.50408,0.28428,1.21285,0.66593,0.9848,0.0098515,0.0098515,0.0098515
