epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
1,1782.19,super,1.45098,1.356,1.20412,0.69943,0.42165,0.47664,0.27364,1.38136,0.8706,1.13707,0.000333181,0.000333181,0.000333181
1,1853.93,base,1.46854,1.4293,1.20888,0.66575,0.41379,0.4636,0.26204,1.3984,0.92605,1.13887,0.000333181,0.000333181,0.000333181
2,3610.61,super,1.37971,0.885325,1.14752,0.72203,0.5064,0.56022,0.32373,1.36056,0.80113,1.12245,0.000644519,0.000644519,0.000644519
2,3681.88,base,1.39569,0.932629,1.14811,0.71667,0.48986,0.54339,0.31021,1.37636,0.84088,1.12222,0.000644519,0.000644519,0.000644519
3,5431.37,super,1.36377,0.824562,1.13325,0.63186,0.52923,0.58238,0.33889,1.35061,0.77489,1.10871,0.000933858,0.000933858,0.000933858
3,5502.37,base,1.37933,0.861895,1.13334,0.63076,0.51168,0.56935,0.32724,1.36398,0.80818,1.10702,0.000933858,0.000933858,0.000933858
4,7249.37,super,1.35417,0.796754,1.12966,0.64698,0.53115,0.59366,0.34807,1.34397,0.76152,1.12124,0.000901,0.000901,0.000901
4,7320.6,base,1.36906,0.828628,1.12846,0.63447,0.52449,0.58226,0.33793,1.35707,0.79142,1.11547,0.000901,0.000901,0.000901
5,9066.95,super,1.34964,0.782288,1.13967,0.64114,0.54106,0.5999,0.35159,1.34031,0.75314,1.12182,0.000868,0.000868,0.000868
5,9138.03,base,1.36437,0.812819,1.13265,0.63545,0.53314,0.59081,0.34266,1.35249,0.7793,1.11178,0.000868,0.000868,0.000868
6,10884.3,super,1.34358,0.769963,1.12941,0.65218,0.54502,0.60659,0.35606,1.33844,0.74606,1.09839,0.000835,0.000835,0.000835
6,10955.5,base,1.35659,0.798962,1.12293,0.63266,0.54263,0.59653,0.34774,1.34783,0.77192,1.09518,0.000835,0.000835,0.000835
7,12705.3,super,1.34091,0.760748,1.12178,0.65547,0.54317,0.60803,0.35874,1.33658,0.74102,1.10494,0.000802,0.000802,0.000802
7,12776.4,base,1.3539,0.788219,1.11798,0.6444,0.54067,0.6,0.35039,1.34659,0.76385,1.09871,0.000802,0.000802,0.000802
8,14527.1,super,1.33684,0.756038,1.1166,0.65478,0.5475,0.61018,0.3612,1.33151,0.73701,1.10834,0.000769,0.000769,0.000769
8,14598.4,base,1.34977,0.781792,1.11339,0.64318,0.54657,0.60191,0.35294,1.34149,0.76032,1.10182,0.000769,0.000769,0.000769
9,16352.6,super,1.33394,0.750098,1.1195,0.75632,0.55469,0.61659,0.36302,1.33303,0.73508,1.11288,0.000736,0.000736,0.000736
9,16424,base,1.34706,0.776027,1.11568,0.75073,0.54789,0.61119,0.35919,1.34278,0.75888,1.1059,0.000736,0.000736,0.000736
10,18178.2,super,1.33211,0.746378,1.12744,0.75345,0.55575,0.61934,0.3676,1.3312,0.73303,1.11439,0.000703,0.000703,0.000703
10,18249.4,base,1.34529,0.772543,1.12014,0.75009,0.5466,0.61345,0.36126,1.34116,0.75511,1.10544,0.000703,0.000703,0.000703
11,20003.1,super,1.33013,0.742822,1.12973,0.75495,0.56036,0.62151,0.36729,1.33044,0.73118,1.11535,0.00067,0.00067,0.00067
11,20074.3,base,1.34296,0.768974,1.12167,0.75428,0.54918,0.61488,0.36195,1.33994,0.7522,1.10475,0.00067,0.00067,0.00067
12,21827.5,super,1.3287,0.737518,1.11742,0.76044,0.55743,0.62275,0.3693,1.32858,0.72908,1.10647,0.000637,0.000637,0.000637
12,21898.7,base,1.3412,0.762268,1.1125,0.74985,0.55162,0.61495,0.36253,1.33735,0.74992,1.09829,0.000637,0.000637,0.000637
13,23653.8,super,1.32489,0.733829,1.11404,0.7636,0.55527,0.62363,0.37056,1.32768,0.72581,1.10668,0.000604,0.000604,0.000604
13,23725.1,base,1.33791,0.758802,1.10952,0.75525,0.55341,0.61873,0.36536,1.33647,0.74657,1.09959,0.000604,0.000604,0.000604
14,25478.3,super,1.32541,0.733241,1.1115,0.76127,0.55851,0.62255,0.36887,1.32807,0.72686,1.09796,0.000571,0.000571,0.000571
