epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
1,1915.64,super,1.45858,1.37314,1.20837,0.68853,0.41717,0.47601,0.27321,1.38305,0.87005,1.14221,0.000333181,0.000333181,0.000333181
1,2025.96,base,1.4766,1.4477,1.21356,0.63171,0.39848,0.4629,0.26312,1.39924,0.92528,1.14285,0.000333181,0.000333181,0.000333181
2,3884.43,super,1.38542,0.89329,1.15782,0.71683,0.50645,0.55916,0.32395,1.35826,0.80307,1.13403,0.000644519,0.000644519,0.000644519
2,3993.89,base,1.4026,0.943499,1.15844,0.71155,0.4914,0.54385,0.31096,1.37494,0.84522,1.13202,0.000644519,0.000644519,0.000644519
3,5838.65,super,1.3675,0.832715,1.13899,0.63087,0.52076,0.57876,0.33713,1.34941,0.77802,1.11499,0.000933858,0.000933858,0.000933858
3,5948.15,base,1.38423,0.870203,1.13872,0.6316,0.50588,0.56587,0.32598,1.36336,0.81045,1.11229,0.000933858,0.000933858,0.000933858
4,7788.24,super,1.35903,0.804581,1.1385,0.65534,0.52517,0.59369,0.34749,1.34545,0.76052,1.12266,0.000901,0.000901,0.000901
4,7897.22,base,1.37438,0.838919,1.13524,0.64272,0.51875,0.58216,0.33812,1.35862,0.79066,1.11659,0.000901,0.000901,0.000901
5,9738.06,super,1.35277,0.786984,1.13687,0.65857,0.5336,0.60012,0.35213,1.33945,0.7537,1.10836,0.000868,0.000868,0.000868
5,9846.9,base,1.36683,0.817671,1.13267,0.64706,0.52808,0.5894,0.34267,1.35112,0.78028,1.10543,0.000868,0.000868,0.000868
6,11687.1,super,1.34726,0.776566,1.13316,0.64798,0.54047,0.60498,0.35567,1.33567,0.7494,1.11097,0.000835,0.000835,0.000835
6,11795.2,base,1.36168,0.805467,1.1284,0.64393,0.53453,0.59576,0.34799,1.3466,0.77444,1.10534,0.000835,0.000835,0.000835
7,13636,super,1.34263,0.768185,1.12086,0.65334,0.54535,0.60817,0.35955,1.33613,0.74564,1.10904,0.000802,0.000802,0.000802
7,13744.3,base,1.35593,0.795667,1.11874,0.63801,0.54505,0.59852,0.35094,1.34753,0.76975,1.10504,0.000802,0.000802,0.000802
8,15584,super,1.34006,0.762407,1.12178,0.65825,0.54912,0.61049,0.35962,1.33493,0.73959,1.10936,0.000769,0.000769,0.000769
8,15692.2,base,1.3531,0.790031,1.1182,0.64437,0.54798,0.60184,0.35207,1.34492,0.76276,1.10398,0.000769,0.000769,0.000769
