epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
1,813.292,super,1.33971,1.16082,1.04517,0.64109,0.38317,0.40905,0.23594,1.24864,0.75137,0.9968,0.000333181,0.000333181,0.000333181
1,838.411,base,1.36177,1.22232,1.05015,0.62648,0.37467,0.39381,0.22599,1.26812,0.79709,0.99965,0.000333181,0.000333181,0.000333181
2,1626.79,super,1.27543,0.78913,1.0087,0.68639,0.42962,0.47346,0.2741,1.22419,0.69731,0.98527,0.000653317,0.000653317,0.000653317
2,1651.52,base,1.29462,0.831744,1.01068,0.67925,0.42042,0.46002,0.26404,1.24347,0.73358,0.98768,0.000653317,0.000653317,0.000653317
3,2434.3,super,1.25536,0.736138,0.998076,0.5982,0.45021,0.49485,0.2853,1.21235,0.67693,0.9774,0.000960254,0.000960254,0.000960254
3,2459.04,base,1.2735,0.769334,0.99935,0.58891,0.4394,0.48213,0.27588,1.22768,0.70796,0.97772,0.000960254,0.000960254,0.000960254
4,3238.89,super,1.24442,0.707677,0.989683,0.61047,0.45513,0.50401,0.29074,1.2067,0.66507,0.97234,0.0009406,0.0009406,0.0009406
4,3263.62,base,1.25995,0.736148,0.990289,0.60739,0.44229,0.49197,0.28235,1.22041,0.69058,0.97252,0.0009406,0.0009406,0.0009406
5,4043.56,super,1.23835,0.69665,0.985478,0.62152,0.46161,0.51416,0.29704,1.20032,0.65912,0.9705,0.0009208,0.0009208,0.0009208
5,4068.31,base,1.25342,0.722689,0.986307,0.61137,0.45179,0.50119,0.28865,1.21362,0.68322,0.97038,0.0009208,0.0009208,0.0009208
6,4847.89,super,1.2316,0.685779,0.988065,0.6255,0.46163,0.51626,0.29869,1.19836,0.65555,0.97645,0.000901,0.000901,0.000901
6,4872.56,base,1.24646,0.710847,0.987812,0.62875,0.44649,0.50634,0.29097,1.2123,0.67891,0.97519,0.000901,0.000901,0.000901
7,5652.83,super,1.22741,0.678101,0.990053,0.62061,0.47071,0.52116,0.3023,1.19689,0.64937,0.97596,0.0008812,0.0008812,0.0008812
7,5677.55,base,1.24263,0.702807,0.987906,0.61335,0.46214,0.51105,0.29455,1.21001,0.67257,0.97378,0.0008812,0.0008812,0.0008812
8,6456.79,super,1.22176,0.672043,0.988748,0.62084,0.47201,0.52608,0.30465,1.19285,0.64398,0.97368,0.0008614,0.0008614,0.0008614
