epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
1,859.738,super,1.514,1.50545,1.22479,0.59911,0.37517,0.42011,0.23807,1.42111,0.9489,1.14615,0.000333181,0.000333181,0.000333181
1,898.636,base,1.54514,1.59451,1.22839,0.58599,0.36063,0.39963,0.22194,1.44737,1.01202,1.14314,0.000333181,0.000333181,0.000333181
2,1735.47,super,1.42434,0.967544,1.1602,0.67191,0.45792,0.49573,0.28327,1.38993,0.87146,1.13061,0.000644519,0.000644519,0.000644519
2,1774.01,base,1.44943,1.02504,1.15386,0.66204,0.43568,0.47461,0.26672,1.41321,0.92154,1.11881,0.000644519,0.000644519,0.000644519
3,2606.14,super,1.40347,0.899282,1.14646,0.69923,0.47887,0.5247,0.30079,1.37853,0.8378,1.11239,0.000933858,0.000933858,0.000933858
3,2644.39,base,1.42575,0.947369,1.13492,0.68763,0.45529,0.50352,0.28504,1.39859,0.88149,1.10624,0.000933858,0.000933858,0.000933858
4,3474.62,super,1.39205,0.863708,1.13949,0.7158,0.49279,0.54237,0.31091,1.37226,0.82015,1.12326,0.000901,0.000901,0.000901
4,3512.78,base,1.41166,0.908804,1.12698,0.69931,0.47483,0.52372,0.29626,1.38989,0.86168,1.10257,0.000901,0.000901,0.000901
5,4343.25,super,1.38666,0.847981,1.14016,0.61885,0.49662,0.54958,0.31628,1.36598,0.80819,1.11461,0.000868,0.000868,0.000868
5,4381.38,base,1.40549,0.888792,1.12304,0.60419,0.47657,0.53,0.30135,1.38366,0.84883,1.09563,0.000868,0.000868,0.000868
6,5211.69,super,1.37908,0.831259,1.13107,0.61762,0.50156,0.55425,0.32024,1.36014,0.79983,1.11472,0.000835,0.000835,0.000835
6,5249.77,base,1.39744,0.870848,1.11621,0.61106,0.48022,0.53543,0.30458,1.37825,0.83836,1.09304,0.000835,0.000835,0.000835
7,6079.67,super,1.37439,0.823182,1.13169,0.62145,0.50896,0.56012,0.3235,1.36136,0.79257,1.11756,0.000802,0.000802,0.000802
7,6117.65,base,1.39177,0.861095,1.11094,0.61627,0.48655,0.54186,0.30941,1.37604,0.82923,1.09274,0.000802,0.000802,0.000802
8,6947.67,super,1.3722,0.81729,1.13436,0.62745,0.51186,0.56504,0.32707,1.35772,0.79198,1.12451,0.000769,0.000769,0.000769
8,6985.69,base,1.38874,0.853254,1.11064,0.62109,0.48766,0.54727,0.31267,1.37279,0.82498,1.08999,0.000769,0.000769,0.000769
9,7815.92,super,1.36849,0.810974,1.13163,0.62756,0.51105,0.5669,0.32932,1.3554,0.78726,1.11504,0.000736,0.000736,0.000736
9,7853.97,base,1.38534,0.846428,1.108,0.6186,0.49307,0.54862,0.314,1.37119,0.82085,1.08918,0.000736,0.000736,0.000736
10,8682.95,super,1.36698,0.804277,1.12907,0.62108,0.52125,0.57074,0.33102,1.35459,0.7802,1.10761,0.000703,0.000703,0.000703
10,8720.91,base,1.38271,0.839536,1.10627,0.62408,0.49383,0.55318,0.3171,1.36898,0.81632,1.08801,0.000703,0.000703,0.000703
11,9549.34,super,1.36514,0.800002,1.12105,0.73059,0.51599,0.57116,0.3323,1.35304,0.777,1.10361,0.00067,0.00067,0.00067
11,9587.28,base,1.38103,0.836059,1.10531,0.61792,0.49657,0.55463,0.31811,1.36787,0.81069,1.08475,0.00067,0.00067,0.00067
12,10416.4,super,1.36246,0.794968,1.12164,0.72634,0.52019,0.57283,0.33376,1.35151,0.77769,1.10404,0.000637,0.000637,0.000637
12,10454.4,base,1.37761,0.830025,1.10281,0.62328,0.49652,0.55606,0.32028,1.36552,0.81053,1.08386,0.000637,0.000637,0.000637
13,11283.2,super,1.36014,0.791376,1.12161,0.73667,0.51885,0.57658,0.33601,1.34973,0.7732,1.1034,0.000604,0.000604,0.000604
13,11321.2,base,1.37523,0.825185,1.10071,0.71789,0.50196,0.55836,0.32263,1.36417,0.80481,1.0821,0.000604,0.000604,0.000604
14,12149.9,super,1.35981,0.788753,1.11388,0.73282,0.52254,0.57824,0.33733,1.34891,0.77084,1.09744,0.000571,0.000571,0.000571
14,12187.9,base,1.375,0.823045,1.10031,0.71543,0.50491,0.5589,0.32247,1.36331,0.80314,1.08118,0.000571,0.000571,0.000571
15,13016.2,super,1.35701,0.78466,1.11768,0.73581,0.52433,0.58009,0.33878,1.34822,0.76936,1.10398,0.000538,0.000538,0.000538
15,13054.1,base,1.37169,0.819367,1.0997,0.7254,0.50393,0.56192,0.32401,1.36177,0.80119,1.08437,0.000538,0.000538,0.000538
16,13883.3,super,1.35645,0.782609,1.11901,0.72748,0.52622,0.58136,0.33919,1.34761,0.76701,1.10371,0.000505,0.000505,0.000505
16,13921.3,base,1.37075,0.817212,1.09989,0.71697,0.5089,0.56302,0.32566,1.36087,0.799,1.083,0.000505,0.000505,0.000505
17,14750,super,1.35493,0.780087,1.11165,0.73208,0.52387,0.58019,0.33959,1.34716,0.7647,1.09538,0.000472,0.000472,0.000472
17,14787.9,base,1.36999,0.814171,1.09654,0.72288,0.50736,0.56443,0.32635,1.35911,0.79615,1.07841,0.000472,0.000472,0.000472
18,15616.7,super,1.35378,0.777415,1.11228,0.73479,0.52395,0.58128,0.34051,1.34585,0.76441,1.10202,0.000439,0.000439,0.000439
18,15654.6,base,1.36818,0.810957,1.09762,0.72441,0.50522,0.56506,0.32616,1.35845,0.79587,1.08148,0.000439,0.000439,0.000439
19,16483.9,super,1.35295,0.776856,1.11792,0.73786,0.52335,0.58279,0.34166,1.34576,0.76465,1.10417,0.000406,0.000406,0.000406
19,16521.9,base,1.36795,0.810059,1.09742,0.73098,0.50405,0.56535,0.32739,1.35783,0.79554,1.07979,0.000406,0.000406,0.000406
20,17350.9,super,1.35183,0.775488,1.11071,0.73858,0.52452,0.58313,0.34218,1.34513,0.76244,1.09982,0.000373,0.000373,0.000373
20,17388.9,base,1.36623,0.809162,1.09519,0.72938,0.50999,0.56672,0.32854,1.35768,0.79354,1.07903,0.000373,0.000373,0.000373
21,18218.5,super,1.35083,0.771458,1.11019,0.72879,0.53201,0.58434,0.34213,1.34558,0.75947,1.096,0.00034,0.00034,0.00034
21,18256.3,base,1.36515,0.805486,1.09301,0.72887,0.5101,0.56795,0.32927,1.35727,0.79111,1.0759,0.00034,0.00034,0.00034
22,19085,super,1.35048,0.769822,1.11154,0.74147,0.52383,0.58419,0.34254,1.34458,0.75937,1.0974,0.000307,0.000307,0.000307
22,19122.8,base,1.36512,0.804219,1.09355,0.72995,0.50864,0.56759,0.32916,1.35637,0.7908,1.07771,0.000307,0.000307,0.000307
23,19952.4,super,1.34805,0.768375,1.10978,0.73863,0.52623,0.58501,0.34342,1.34387,0.75969,1.0967,0.000274,0.000274,0.000274
23,19990.2,base,1.36212,0.802078,1.0931,0.73774,0.50645,0.56978,0.32987,1.35656,0.78981,1.07962,0.000274,0.000274,0.000274
24,20819,super,1.34783,0.768585,1.11202,0.73109,0.53281,0.58616,0.34417,1.34407,0.75811,1.10043,0.000241,0.000241,0.000241
24,20856.9,base,1.36214,0.802515,1.09397,0.72874,0.51172,0.56977,0.33026,1.35586,0.78896,1.07875,0.000241,0.000241,0.000241
25,21686.2,super,1.34647,0.766745,1.11032,0.73087,0.53176,0.58597,0.34365,1.34372,0.75779,1.0978,0.000208,0.000208,0.000208
25,21724,base,1.36138,0.800618,1.09184,0.73379,0.51139,0.57007,0.33047,1.356,0.78831,1.07665,0.000208,0.000208,0.000208
26,22553.9,super,1.34639,0.766077,1.11214,0.735,0.53038,0.58618,0.34388,1.34341,0.75784,1.09919,0.000175,0.000175,0.000175
26,22591.8,base,1.36078,0.799092,1.09255,0.73081,0.51373,0.57018,0.33044,1.35547,0.78771,1.07648,0.000175,0.000175,0.000175
27,23421.4,super,1.34524,0.763795,1.10703,0.73077,0.53246,0.58587,0.3442,1.34308,0.75718,1.09508,0.000142,0.000142,0.000142
27,23459.3,base,1.35925,0.797228,1.08928,0.73357,0.51098,0.56997,0.33087,1.35503,0.78743,1.07573,0.000142,0.000142,0.000142
28,24287.4,super,1.34464,0.761452,1.10649,0.74214,0.52654,0.58634,0.34459,1.34349,0.75664,1.09552,0.000109,0.000109,0.000109
28,24325.2,base,1.35859,0.795335,1.09057,0.73937,0.50936,0.57015,0.33118,1.35501,0.78698,1.07667,0.000109,0.000109,0.000109
29,25154.1,super,1.34555,0.761731,1.10829,0.73481,0.52861,0.58613,0.34448,1.34334,0.75618,1.09608,7.6e-05,7.6e-05,7.6e-05
29,25191.9,base,1.35913,0.795136,1.09161,0.73823,0.51059,0.57024,0.33087,1.35478,0.78603,1.07708,7.6e-05,7.6e-05,7.6e-05
30,26020.6,super,1.34432,0.761049,1.10699,0.73254,0.53029,0.58678,0.34499,1.34314,0.75615,1.0955,4.3e-05,4.3e-05,4.3e-05
30,26058.4,base,1.35822,0.794436,1.0905,0.73765,0.51073,0.57095,0.33157,1.35458,0.78606,1.07639,4.3e-05,4.3e-05,4.3e-05
