epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
1,890.911,super,1.51714,1.57584,1.23552,0.73381,0.33811,0.37933,0.21421,1.41889,0.9712,1.15789,0.000333181,0.000333181,0.000333181
1,932.671,base,1.53592,1.66673,1.23945,0.71524,0.32885,0.36132,0.20114,1.43346,1.04364,1.1569,0.000333181,0.000333181,0.000333181
2,1797.64,super,1.42586,0.98416,1.16935,0.64914,0.43829,0.46864,0.26379,1.39566,0.87809,1.14467,0.000653317,0.000653317,0.000653317
2,1838.64,base,1.44238,1.04826,1.1683,0.65677,0.4113,0.44922,0.24868,1.4111,0.93597,1.14049,0.000653317,0.000653317,0.000653317
3,2697.88,super,1.40627,0.908487,1.1526,0.68909,0.47141,0.51576,0.29101,1.3821,0.84353,1.12866,0.000960254,0.000960254,0.000960254
3,2738.69,base,1.42217,0.960335,1.15132,0.67747,0.45556,0.49785,0.27594,1.39565,0.89137,1.1246,0.000960254,0.000960254,0.000960254
4,3596.88,super,1.39444,0.873692,1.14418,0.69825,0.48527,0.53542,0.30506,1.37434,0.82359,1.11617,0.0009406,0.0009406,0.0009406
4,3637.56,base,1.40977,0.917755,1.14206,0.69904,0.47264,0.51936,0.29172,1.3869,0.86561,1.11308,0.0009406,0.0009406,0.0009406
5,4495.97,super,1.38975,0.852069,1.137,0.72236,0.48753,0.54596,0.3125,1.3701,0.81102,1.12042,0.0009208,0.0009208,0.0009208
5,4536.57,base,1.40312,0.892416,1.13523,0.71332,0.47652,0.53187,0.29977,1.38107,0.8519,1.11612,0.0009208,0.0009208,0.0009208
6,5393.5,super,1.38262,0.837162,1.13086,0.71483,0.49752,0.55206,0.3173,1.36423,0.80509,1.10283,0.000901,0.000901,0.000901
6,5434.12,base,1.39648,0.875522,1.1298,0.71408,0.48237,0.53945,0.30621,1.37472,0.84227,1.10137,0.000901,0.000901,0.000901
7,6291.26,super,1.37732,0.828011,1.1315,0.7236,0.5029,0.56016,0.3224,1.36278,0.7976,1.11693,0.0008812,0.0008812,0.0008812
7,6331.8,base,1.39054,0.865163,1.129,0.71824,0.49361,0.54674,0.31181,1.37306,0.83447,1.11149,0.0008812,0.0008812,0.0008812
8,7189.16,super,1.37518,0.821232,1.12463,0.7241,0.51049,0.56484,0.32535,1.35971,0.79205,1.09892,0.0008614,0.0008614,0.0008614
8,7229.9,base,1.38809,0.856998,1.12372,0.7276,0.49078,0.55146,0.31563,1.36848,0.82734,1.09705,0.0008614,0.0008614,0.0008614
9,8086.95,super,1.3721,0.814303,1.12622,0.73141,0.50621,0.56487,0.32652,1.35661,0.78804,1.10419,0.0008416,0.0008416,0.0008416
9,8127.48,base,1.3849,0.849897,1.12455,0.72279,0.49641,0.55487,0.31803,1.36756,0.82286,1.10248,0.0008416,0.0008416,0.0008416
10,8984.79,super,1.37087,0.809394,1.1222,0.73035,0.51654,0.57024,0.32888,1.35646,0.78367,1.10576,0.0008218,0.0008218,0.0008218
10,9025.29,base,1.38335,0.842977,1.12117,0.72771,0.5007,0.55988,0.32093,1.36535,0.81681,1.10244,0.0008218,0.0008218,0.0008218
11,9881.55,super,1.36766,0.806624,1.13039,0.72864,0.5141,0.57205,0.33161,1.35644,0.782,1.11694,0.000802,0.000802,0.000802
11,9922.02,base,1.38083,0.840472,1.12649,0.72739,0.50232,0.56211,0.32285,1.36552,0.81701,1.10898,0.000802,0.000802,0.000802
12,10779.7,super,1.36521,0.799648,1.12119,0.72893,0.52135,0.57588,0.33372,1.35451,0.77844,1.10708,0.0007822,0.0007822,0.0007822
12,10820.2,base,1.37741,0.833098,1.11821,0.73487,0.50104,0.56265,0.32441,1.36376,0.81154,1.10155,0.0007822,0.0007822,0.0007822
13,11677.8,super,1.36313,0.796251,1.12424,0.73056,0.52307,0.57929,0.33592,1.35199,0.77701,1.11532,0.0007624,0.0007624,0.0007624
13,11718.3,base,1.37577,0.82943,1.12067,0.72535,0.50905,0.56651,0.32556,1.36136,0.8106,1.10647,0.0007624,0.0007624,0.0007624
14,12575.9,super,1.3636,0.795128,1.12675,0.7317,0.52088,0.57876,0.33649,1.35045,0.77431,1.1051,0.0007426,0.0007426,0.0007426
14,12616.4,base,1.3766,0.828681,1.12202,0.73768,0.50442,0.567,0.32729,1.35929,0.80599,1.09771,0.0007426,0.0007426,0.0007426
15,13473.5,super,1.35958,0.789797,1.12075,0.73965,0.52068,0.58125,0.33772,1.35056,0.77135,1.10638,0.0007228,0.0007228,0.0007228
15,13513.9,base,1.3722,0.822326,1.11655,0.74029,0.50843,0.57005,0.32852,1.35952,0.80345,1.09933,0.0007228,0.0007228,0.0007228
16,14371.2,super,1.35919,0.78779,1.12592,0.73239,0.52499,0.58262,0.33912,1.34838,0.77048,1.10948,0.000703,0.000703,0.000703
16,14411.6,base,1.37165,0.821335,1.11996,0.73977,0.50839,0.57075,0.33046,1.35578,0.80332,1.09932,0.000703,0.000703,0.000703
17,15269.1,super,1.35856,0.785309,1.12301,0.73878,0.52327,0.58409,0.34037,1.34936,0.76778,1.11154,0.0006832,0.0006832,0.0006832
17,15309.6,base,1.37091,0.81841,1.11748,0.73722,0.5119,0.57321,0.33122,1.35774,0.79984,1.10203,0.0006832,0.0006832,0.0006832
18,16164.5,super,1.35722,0.782883,1.12154,0.73438,0.52609,0.58588,0.34068,1.34759,0.76657,1.1053,0.0006634,0.0006634,0.0006634
18,16205.1,base,1.36966,0.81607,1.11659,0.73723,0.51407,0.5744,0.33238,1.3556,0.79736,1.09829,0.0006634,0.0006634,0.0006634
19,17061.4,super,1.35617,0.781043,1.11616,0.73758,0.52592,0.58528,0.341,1.34801,0.76554,1.09568,0.0006436,0.0006436,0.0006436
19,17102,base,1.36851,0.81342,1.11357,0.73303,0.51598,0.5734,0.33241,1.35623,0.79533,1.09216,0.0006436,0.0006436,0.0006436
20,17956.6,super,1.35574,0.779484,1.11616,0.73567,0.52873,0.58714,0.3422,1.34758,0.76443,1.09436,0.0006238,0.0006238,0.0006238
20,17997,base,1.36782,0.81183,1.11345,0.73616,0.5181,0.57646,0.33414,1.35488,0.79442,1.09077,0.0006238,0.0006238,0.0006238
21,18852.3,super,1.35391,0.7755,1.11436,0.74503,0.52738,0.58711,0.3426,1.34571,0.76185,1.1048,0.000604,0.000604,0.000604
21,18892.7,base,1.36615,0.80722,1.11223,0.7349,0.51832,0.57761,0.33467,1.35443,0.79216,1.09941,0.000604,0.000604,0.000604
22,19748,super,1.35301,0.775917,1.11986,0.73822,0.53104,0.58911,0.34387,1.34473,0.76176,1.10553,0.0005842,0.0005842,0.0005842
22,19788.6,base,1.36565,0.808969,1.11647,0.74211,0.51831,0.57793,0.33521,1.3532,0.79206,1.09844,0.0005842,0.0005842,0.0005842
23,20644.4,super,1.35095,0.77325,1.11755,0.74167,0.52924,0.58933,0.34382,1.34493,0.75994,1.10573,0.0005644,0.0005644,0.0005644
23,20684.8,base,1.364,0.805888,1.11388,0.74104,0.51612,0.57742,0.33472,1.35292,0.79014,1.09764,0.0005644,0.0005644,0.0005644
24,21540.5,super,1.35095,0.771496,1.11102,0.74936,0.5274,0.58997,0.34455,1.34438,0.75755,1.09336,0.0005446,0.0005446,0.0005446
24,21581.1,base,1.36342,0.803681,1.10834,0.73888,0.51981,0.579,0.3366,1.35251,0.78684,1.08925,0.0005446,0.0005446,0.0005446
25,22436,super,1.35004,0.769076,1.11493,0.74816,0.52767,0.59039,0.3447,1.3442,0.75732,1.10157,0.0005248,0.0005248,0.0005248
25,22476.4,base,1.36268,0.801527,1.11236,0.73809,0.52213,0.58011,0.33663,1.35239,0.78762,1.09523,0.0005248,0.0005248,0.0005248
