epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
1,865.336,super,1.51374,1.54224,1.22753,0.61028,0.36042,0.41625,0.23587,1.41922,0.96706,1.14509,0.000333181,0.000333181,0.000333181
1,905.04,base,1.53918,1.6588,1.23599,0.69631,0.34146,0.39279,0.21824,1.44208,1.05354,1.14882,0.000333181,0.000333181,0.000333181
2,1747.74,super,1.42442,0.978849,1.1597,0.67562,0.4588,0.49573,0.2836,1.39197,0.87278,1.12656,0.000653317,0.000653317,0.000653317
2,1786.58,base,1.44698,1.05173,1.16357,0.66618,0.43234,0.47071,0.26413,1.41415,0.93491,1.12885,0.000653317,0.000653317,0.000653317
3,2623.53,super,1.40597,0.905807,1.1483,0.70125,0.48193,0.52637,0.30025,1.38041,0.84592,1.12985,0.000960254,0.000960254,0.000960254
3,2662.23,base,1.42764,0.963936,1.15013,0.5833,0.45831,0.50269,0.28368,1.40226,0.8969,1.12737,0.000960254,0.000960254,0.000960254
4,3496.33,super,1.39389,0.871783,1.14095,0.71114,0.4902,0.5409,0.31029,1.37187,0.82586,1.11583,0.0009406,0.0009406,0.0009406
4,3534.95,base,1.41458,0.922707,1.14207,0.59937,0.47543,0.52302,0.2951,1.39169,0.87209,1.11578,0.0009406,0.0009406,0.0009406
5,4368.27,super,1.38893,0.852658,1.13803,0.62018,0.49598,0.54927,0.3162,1.37012,0.81284,1.12214,0.0009208,0.0009208,0.0009208
5,4406.87,base,1.4091,0.899099,1.13786,0.60804,0.47953,0.52905,0.30024,1.38865,0.85781,1.11714,0.0009208,0.0009208,0.0009208
6,5241.03,super,1.38243,0.838851,1.13879,0.72651,0.49951,0.55627,0.3216,1.36377,0.80598,1.12367,0.000901,0.000901,0.000901
6,5279.63,base,1.40155,0.883462,1.13575,0.6056,0.48801,0.538,0.30575,1.38322,0.84952,1.119,0.000901,0.000901,0.000901
7,6113.14,super,1.37755,0.828112,1.12913,0.72991,0.50486,0.56198,0.32446,1.36447,0.79773,1.10364,0.0008812,0.0008812,0.0008812
7,6151.6,base,1.39579,0.870862,1.12802,0.61149,0.48952,0.54358,0.30956,1.38108,0.83654,1.10224,0.0008812,0.0008812,0.0008812
8,6985.94,super,1.37593,0.821085,1.12683,0.72569,0.50869,0.56466,0.32734,1.35986,0.79399,1.11739,0.0008614,0.0008614,0.0008614
8,7024.44,base,1.3941,0.862734,1.12669,0.61333,0.49465,0.54854,0.31308,1.3782,0.83398,1.11386,0.0008614,0.0008614,0.0008614
9,7858.7,super,1.37111,0.815486,1.12678,0.63251,0.50967,0.56829,0.3301,1.35498,0.79151,1.11032,0.0008416,0.0008416,0.0008416
9,7897.24,base,1.38938,0.856108,1.12666,0.60952,0.50032,0.54976,0.31541,1.37165,0.82913,1.10747,0.0008416,0.0008416,0.0008416
10,8730.2,super,1.36986,0.808412,1.12505,0.63149,0.51566,0.57115,0.33123,1.35548,0.78412,1.10124,0.0008218,0.0008218,0.0008218
10,8768.61,base,1.38735,0.848585,1.12404,0.61671,0.50271,0.55517,0.31759,1.37121,0.82068,1.10081,0.0008218,0.0008218,0.0008218
11,9602.47,super,1.36773,0.805294,1.11634,0.73375,0.51342,0.5727,0.33275,1.35379,0.78215,1.09304,0.000802,0.000802,0.000802
11,9640.87,base,1.38483,0.843318,1.11761,0.61381,0.50089,0.55718,0.31981,1.36963,0.81624,1.09371,0.000802,0.000802,0.000802
12,10474.9,super,1.36536,0.800524,1.11605,0.72223,0.52115,0.574,0.33434,1.35327,0.78081,1.10452,0.0007822,0.0007822,0.0007822
12,10513.3,base,1.38222,0.838374,1.11705,0.61718,0.50525,0.55897,0.32139,1.36747,0.81607,1.10281,0.0007822,0.0007822,0.0007822
13,11347.3,super,1.36358,0.795545,1.12027,0.7373,0.51857,0.57757,0.33699,1.35143,0.77638,1.10612,0.0007624,0.0007624,0.0007624
13,11385.7,base,1.37996,0.833448,1.11989,0.61681,0.5041,0.56075,0.32346,1.36559,0.81127,1.10262,0.0007624,0.0007624,0.0007624
14,12218.7,super,1.36341,0.794323,1.11672,0.74073,0.51731,0.5795,0.33813,1.35029,0.77413,1.10095,0.0007426,0.0007426,0.0007426
14,12257.1,base,1.38007,0.831881,1.11691,0.62152,0.50688,0.5638,0.32473,1.36475,0.80777,1.09898,0.0007426,0.0007426,0.0007426
15,13091.4,super,1.35959,0.790594,1.11789,0.74419,0.52137,0.58154,0.33929,1.34983,0.7725,1.10654,0.0007228,0.0007228,0.0007228
15,13129.7,base,1.37583,0.827717,1.11727,0.62565,0.50911,0.5667,0.32645,1.36443,0.80631,1.10305,0.0007228,0.0007228,0.0007228
16,13963.5,super,1.36049,0.788903,1.12268,0.73507,0.5251,0.58014,0.33979,1.34863,0.77235,1.10908,0.000703,0.000703,0.000703
16,14001.9,base,1.37641,0.826244,1.12067,0.62415,0.51193,0.56611,0.32688,1.36299,0.80598,1.1046,0.000703,0.000703,0.000703
17,14835.7,super,1.35907,0.78731,1.12343,0.73679,0.52164,0.58246,0.34104,1.34812,0.7684,1.10496,0.0006832,0.0006832,0.0006832
17,14874,base,1.37601,0.824195,1.12062,0.61734,0.51821,0.56956,0.32922,1.36218,0.80107,1.10077,0.0006832,0.0006832,0.0006832
18,15707.3,super,1.35734,0.784195,1.12249,0.7422,0.52051,0.58276,0.34112,1.34695,0.76831,1.10121,0.0006634,0.0006634,0.0006634
18,15745.6,base,1.37435,0.821037,1.11989,0.72278,0.5146,0.57004,0.32941,1.3609,0.80042,1.0974,0.0006634,0.0006634,0.0006634
19,16580.4,super,1.35679,0.781883,1.12207,0.74327,0.52298,0.58275,0.34173,1.34795,0.76664,1.10838,0.0006436,0.0006436,0.0006436
19,16618.7,base,1.37356,0.818928,1.11954,0.72293,0.51584,0.57063,0.32966,1.36095,0.79912,1.10118,0.0006436,0.0006436,0.0006436
20,17452.3,super,1.35458,0.78045,1.11782,0.74599,0.52498,0.58434,0.3422,1.3465,0.76483,1.10066,0.0006238,0.0006238,0.0006238
20,17490.7,base,1.37134,0.817679,1.11525,0.726,0.51231,0.57022,0.3311,1.35936,0.79702,1.09639,0.0006238,0.0006238,0.0006238
21,18324,super,1.35401,0.776682,1.11242,0.74856,0.52132,0.58397,0.34293,1.34683,0.76363,1.10167,0.000604,0.000604,0.000604
21,18362.4,base,1.37019,0.812487,1.11209,0.73027,0.51273,0.57171,0.33143,1.35983,0.79557,1.09787,0.000604,0.000604,0.000604
22,19196.7,super,1.35396,0.776008,1.11573,0.7458,0.52511,0.58567,0.34405,1.34637,0.76323,1.10474,0.0005842,0.0005842,0.0005842
22,19235.1,base,1.37079,0.812442,1.11521,0.72463,0.51639,0.57172,0.33176,1.35984,0.79521,1.1002,0.0005842,0.0005842,0.0005842
23,20069.3,super,1.35224,0.77597,1.12103,0.74709,0.52582,0.58735,0.34441,1.34559,0.76319,1.10832,0.0005644,0.0005644,0.0005644
23,20107.6,base,1.36875,0.811845,1.11766,0.7266,0.51726,0.57353,0.33253,1.3584,0.79529,1.10096,0.0005644,0.0005644,0.0005644
24,20941.5,super,1.35116,0.773862,1.11881,0.74574,0.52591,0.58764,0.34493,1.34509,0.76093,1.10448,0.0005446,0.0005446,0.0005446
24,20979.8,base,1.36768,0.810453,1.11617,0.72854,0.51601,0.57375,0.33347,1.35815,0.79298,1.09911,0.0005446,0.0005446,0.0005446
25,21813.5,super,1.35005,0.770924,1.10912,0.74073,0.52749,0.58745,0.34507,1.34482,0.75957,1.09447,0.0005248,0.0005248,0.0005248
25,21851.9,base,1.36688,0.80685,1.10891,0.73,0.51757,0.57377,0.33341,1.35742,0.79002,1.09104,0.0005248,0.0005248,0.0005248
26,22685.7,super,1.35003,0.768751,1.10916,0.74406,0.52956,0.58892,0.34547,1.34402,0.75877,1.09745,0.000505,0.000505,0.000505
26,22724,base,1.36628,0.805383,1.10909,0.73133,0.51941,0.57614,0.33471,1.35629,0.79002,1.0936,0.000505,0.000505,0.000505
27,23557.8,super,1.34836,0.766838,1.11014,0.73942,0.53247,0.5895,0.34675,1.34373,0.7581,1.09612,0.0004852,0.0004852,0.0004852
27,23596.2,base,1.36516,0.80307,1.10993,0.72676,0.52212,0.57653,0.3351,1.35612,0.7881,1.09313,0.0004852,0.0004852,0.0004852
28,24430.5,super,1.34769,0.764125,1.10755,0.74612,0.53096,0.59017,0.34715,1.34344,0.75665,1.09656,0.0004654,0.0004654,0.0004654
28,24468.8,base,1.36409,0.800379,1.1084,0.72783,0.52287,0.57938,0.33696,1.35542,0.7872,1.09347,0.0004654,0.0004654,0.0004654
29,25302.9,super,1.34801,0.764805,1.11367,0.74295,0.53375,0.59072,0.34747,1.34353,0.75645,1.1002,0.0004456,0.0004456,0.0004456
29,25341.3,base,1.36485,0.80126,1.11272,0.73342,0.52021,0.57666,0.33586,1.35593,0.78676,1.09591,0.0004456,0.0004456,0.0004456
30,26174.9,super,1.34698,0.763821,1.11011,0.74874,0.53235,0.59179,0.34807,1.3435,0.75604,1.09805,0.0004258,0.0004258,0.0004258
30,26213.2,base,1.36372,0.799819,1.10987,0.73547,0.52006,0.57877,0.33744,1.35549,0.78599,1.09446,0.0004258,0.0004258,0.0004258
31,27046.6,super,1.34623,0.762053,1.10795,0.74774,0.53235,0.59207,0.34744,1.34282,0.75547,1.09489,0.000406,0.000406,0.000406
31,27084.9,base,1.36302,0.798268,1.10861,0.73421,0.51878,0.57823,0.3372,1.3549,0.78488,1.09253,0.000406,0.000406,0.000406
32,27918.9,super,1.3461,0.76072,1.10789,0.75129,0.52857,0.59213,0.34807,1.3437,0.75509,1.09501,0.0003862,0.0003862,0.0003862
32,27957.2,base,1.3627,0.796778,1.10824,0.73199,0.5202,0.57912,0.33756,1.35523,0.7844,1.09238,0.0003862,0.0003862,0.0003862
33,28790.2,super,1.34387,0.75904,1.10591,0.75104,0.53084,0.59148,0.34787,1.34322,0.75412,1.09584,0.0003664,0.0003664,0.0003664
33,28828.6,base,1.36057,0.796072,1.10665,0.73227,0.52229,0.58029,0.33786,1.35475,0.78422,1.09311,0.0003664,0.0003664,0.0003664
34,29662,super,1.34347,0.758001,1.10746,0.75037,0.53139,0.59234,0.34787,1.34224,0.75374,1.09528,0.0003466,0.0003466,0.0003466
34,29700.3,base,1.36038,0.795374,1.10775,0.72954,0.52519,0.58102,0.33845,1.35369,0.78344,1.09245,0.0003466,0.0003466,0.0003466
35,30534.5,super,1.34462,0.757073,1.109,0.74911,0.53151,0.59306,0.34809,1.34256,0.75323,1.09814,0.0003268,0.0003268,0.0003268
35,30572.9,base,1.36167,0.794087,1.10949,0.72842,0.52872,0.58158,0.33885,1.354,0.78289,1.09467,0.0003268,0.0003268,0.0003268
36,31406.7,super,1.34242,0.756547,1.11079,0.74897,0.53294,0.59381,0.34834,1.34268,0.75327,1.0997,0.000307,0.000307,0.000307
36,31445,base,1.35934,0.793658,1.11014,0.72793,0.5278,0.58136,0.33888,1.35409,0.78293,1.09576,0.000307,0.000307,0.000307
37,32278.8,super,1.34348,0.755818,1.10851,0.74995,0.53339,0.59341,0.34873,1.34252,0.75249,1.09834,0.0002872,0.0002872,0.0002872
37,32317.1,base,1.36071,0.793393,1.10878,0.72551,0.52903,0.58176,0.33957,1.35396,0.78221,1.09436,0.0002872,0.0002872,0.0002872
38,33150.8,super,1.34179,0.755269,1.10539,0.75388,0.5325,0.59351,0.34829,1.34244,0.7523,1.09628,0.0002674,0.0002674,0.0002674
38,33189.1,base,1.35892,0.792121,1.10626,0.72862,0.52722,0.58166,0.33931,1.35373,0.78173,1.09289,0.0002674,0.0002674,0.0002674
39,34023,super,1.34109,0.753194,1.10759,0.75206,0.53138,0.5926,0.34823,1.3424,0.75203,1.09788,0.0002476,0.0002476,0.0002476
39,34061.4,base,1.3579,0.79034,1.10749,0.7297,0.52633,0.58196,0.33943,1.35354,0.78181,1.09407,0.0002476,0.0002476,0.0002476
40,34894.7,super,1.34117,0.7529,1.11065,0.74803,0.53299,0.59243,0.3484,1.34243,0.75191,1.09957,0.0002278,0.0002278,0.0002278
40,34933.1,base,1.3578,0.790929,1.10951,0.73311,0.52509,0.58231,0.33956,1.35346,0.78166,1.0952,0.0002278,0.0002278,0.0002278
41,35766.8,super,1.33959,0.751226,1.10907,0.74788,0.53351,0.59378,0.34935,1.34245,0.75173,1.1,0.000208,0.000208,0.000208
41,35805.1,base,1.35691,0.789338,1.10872,0.7348,0.52329,0.58308,0.34005,1.35343,0.78154,1.09567,0.000208,0.000208,0.000208
42,36637.1,super,1.33993,0.750434,1.10797,0.74624,0.53638,0.59338,0.34925,1.34222,0.75156,1.09994,0.0001882,0.0001882,0.0001882
42,36675.4,base,1.35733,0.788252,1.10743,0.73131,0.52521,0.5834,0.3402,1.35334,0.78116,1.09537,0.0001882,0.0001882,0.0001882
43,37508.4,super,1.33966,0.749688,1.10562,0.74752,0.53506,0.59337,0.34931,1.34208,0.75119,1.09875,0.0001684,0.0001684,0.0001684
43,37546.8,base,1.35682,0.787622,1.10568,0.73391,0.52428,0.583,0.34024,1.35314,0.78072,1.09444,0.0001684,0.0001684,0.0001684
44,38380.5,super,1.33984,0.749217,1.10334,0.74782,0.53563,0.59382,0.34921,1.34202,0.75102,1.0974,0.0001486,0.0001486,0.0001486
44,38418.8,base,1.35674,0.786165,1.10414,0.73503,0.52393,0.58279,0.34011,1.35324,0.78007,1.09356,0.0001486,0.0001486,0.0001486
45,39252.4,super,1.3378,0.748205,1.10704,0.7493,0.53449,0.59382,0.34911,1.34237,0.7509,1.09831,0.0001288,0.0001288,0.0001288
45,39290.6,base,1.35559,0.785887,1.10694,0.73528,0.524,0.58281,0.34021,1.35335,0.77996,1.09407,0.0001288,0.0001288,0.0001288
46,40123.7,super,1.33899,0.747552,1.1072,0.7523,0.53352,0.59408,0.34927,1.34251,0.75078,1.09871,0.000109,0.000109,0.000109
46,40162,base,1.35648,0.785712,1.10734,0.73384,0.52536,0.58271,0.34048,1.3534,0.77974,1.09442,0.000109,0.000109,0.000109
47,40996,super,1.33763,0.745968,1.10392,0.75193,0.53322,0.59434,0.34908,1.3425,0.7505,1.09823,8.92e-05,8.92e-05,8.92e-05
47,41034.3,base,1.35452,0.783668,1.10447,0.73166,0.52684,0.58315,0.34055,1.35324,0.77953,1.09402,8.92e-05,8.92e-05,8.92e-05
48,41868,super,1.33671,0.746209,1.10215,0.75201,0.53346,0.59433,0.34914,1.3426,0.75034,1.09761,6.94e-05,6.94e-05,6.94e-05
48,41906.3,base,1.35425,0.783809,1.10337,0.7314,0.52701,0.58353,0.34059,1.35324,0.77915,1.09355,6.94e-05,6.94e-05,6.94e-05
49,42739.8,super,1.33607,0.744248,1.10166,0.75059,0.53395,0.59459,0.34937,1.34275,0.75028,1.09709,4.96e-05,4.96e-05,4.96e-05
49,42778,base,1.35383,0.782189,1.10335,0.73783,0.52373,0.58365,0.34073,1.35327,0.77898,1.09319,4.96e-05,4.96e-05,4.96e-05
50,43611.2,super,1.336,0.744771,1.10255,0.74938,0.53597,0.59459,0.34953,1.34261,0.75024,1.09684,2.98e-05,2.98e-05,2.98e-05
50,43649.5,base,1.35375,0.782548,1.10358,0.7376,0.52393,0.58349,0.34083,1.35326,0.77877,1.09307,2.98e-05,2.98e-05,2.98e-05
