epoch,time,config,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_om,val/cls_om,val/dfl_om,lr/pg0,lr/pg1,lr/pg2
1,861.219,super,1.51472,1.58389,1.2327,0.73738,0.34611,0.40346,0.22993,1.41893,0.98829,1.15359,0.000333181,0.000333181,0.000333181
1,901.344,base,1.53045,1.75954,1.24083,0.71673,0.32472,0.37359,0.20923,1.42571,1.1664,1.15448,0.000333181,0.000333181,0.000333181
2,1738.65,super,1.42716,1.00096,1.1698,0.67038,0.44865,0.48605,0.27842,1.39243,0.88598,1.13718,0.000644519,0.000644519,0.000644519
2,1777.42,base,1.42823,1.17894,1.17129,0.65072,0.41629,0.45231,0.2549,1.39659,1.0431,1.13659,0.000644519,0.000644519,0.000644519
3,2609.46,super,1.40965,0.922779,1.15786,0.69848,0.47327,0.51919,0.29675,1.38207,0.85596,1.12189,0.000933858,0.000933858,0.000933858
3,2648.05,base,1.40799,1.09785,1.15727,0.57675,0.44895,0.49307,0.27818,1.38303,1.00703,1.12221,0.000933858,0.000933858,0.000933858
4,3477.73,super,1.39934,0.885685,1.14095,0.71407,0.48535,0.53811,0.30662,1.37548,0.83811,1.12315,0.000901,0.000901,0.000901
4,3516.24,base,1.39626,1.04965,1.14081,0.59056,0.464,0.51279,0.28955,1.37608,0.97555,1.11962,0.000901,0.000901,0.000901
5,4345.85,super,1.39458,0.867842,1.14883,0.61557,0.49452,0.54686,0.31245,1.37471,0.82554,1.11799,0.000868,0.000868,0.000868
5,4384.22,base,1.39006,1.03939,1.14639,0.59616,0.47213,0.52125,0.29414,1.37282,0.96947,1.11568,0.000868,0.000868,0.000868
6,5213.94,super,1.38781,0.84997,1.13447,0.72206,0.49822,0.55494,0.31848,1.367,0.81697,1.11258,0.000835,0.000835,0.000835
6,5252.32,base,1.38323,1.01482,1.13356,0.6021,0.47928,0.5303,0.30046,1.36628,0.95205,1.11028,0.000835,0.000835,0.000835
7,6081.65,super,1.38259,0.841227,1.13719,0.73276,0.49804,0.55896,0.3221,1.36634,0.81224,1.12779,0.000802,0.000802,0.000802
7,6120.01,base,1.37754,1.00991,1.13536,0.60975,0.47987,0.53475,0.30413,1.3635,0.96094,1.12247,0.000802,0.000802,0.000802
8,6949.77,super,1.38157,0.835241,1.13858,0.62532,0.50589,0.55989,0.32412,1.36285,0.8078,1.12234,0.000769,0.000769,0.000769
8,6988.12,base,1.37569,1.00771,1.13638,0.60116,0.48661,0.53695,0.30632,1.3603,0.96018,1.1182,0.000769,0.000769,0.000769
9,7817.27,super,1.37739,0.82811,1.13162,0.62851,0.50449,0.56385,0.32635,1.35675,0.80431,1.11205,0.000736,0.000736,0.000736
9,7855.64,base,1.37161,1.0012,1.12985,0.60866,0.48915,0.54,0.30901,1.35465,0.94992,1.10814,0.000736,0.000736,0.000736
10,8685.09,super,1.37535,0.821013,1.13149,0.62736,0.51468,0.56948,0.32987,1.35535,0.79798,1.1117,0.000703,0.000703,0.000703
10,8723.41,base,1.36932,0.99638,1.12926,0.60806,0.4896,0.54526,0.31249,1.35325,0.94397,1.10829,0.000703,0.000703,0.000703
11,9551.89,super,1.37294,0.817753,1.13458,0.6352,0.51197,0.57044,0.33072,1.35625,0.79253,1.11426,0.00067,0.00067,0.00067
11,9590.17,base,1.36776,0.993074,1.13234,0.61082,0.48671,0.54534,0.31311,1.35426,0.93832,1.11092,0.00067,0.00067,0.00067
