epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1047.6,1.43194,1.20215,1.19351,0.7033,0.48045,0.5313,0.30321,1.35548,0.83489,1.12336,0.000333181,0.000333181,0.000333181
2,2057.61,1.36821,0.87206,1.13856,0.73665,0.51621,0.57889,0.33708,1.34317,0.7732,1.10837,0.000644519,0.000644519,0.000644519
3,3056.58,1.35681,0.81988,1.13135,0.73363,0.5292,0.58567,0.34126,1.34044,0.76016,1.11711,0.000933858,0.000933858,0.000933858
4,4051.34,1.35168,0.79615,1.1254,0.74842,0.5343,0.59606,0.35032,1.33614,0.75167,1.09161,0.000901,0.000901,0.000901
5,5046.1,1.34623,0.77676,1.1116,0.7572,0.53754,0.60708,0.35796,1.33258,0.74119,1.09217,0.000868,0.000868,0.000868
6,6041.34,1.34137,0.76395,1.11178,0.75627,0.55092,0.61567,0.36521,1.33015,0.73751,1.10039,0.000835,0.000835,0.000835
7,7034.55,1.33651,0.75514,1.11303,0.72309,0.57152,0.62039,0.36973,1.32714,0.73172,1.09867,0.000802,0.000802,0.000802
8,8027.62,1.33345,0.74737,1.10881,0.66021,0.54673,0.61327,0.36304,1.32753,0.72724,1.09176,0.000769,0.000769,0.000769
9,9019.03,1.33121,0.74323,1.11101,0.66056,0.57302,0.61604,0.36638,1.32483,0.72745,1.09911,0.000736,0.000736,0.000736
10,10010.9,1.3289,0.73892,1.10978,0.65718,0.55837,0.62028,0.36876,1.32348,0.72144,1.09599,0.000703,0.000703,0.000703
11,11002,1.32593,0.72985,1.10477,0.76375,0.55496,0.62082,0.37,1.32527,0.72181,1.10247,0.00067,0.00067,0.00067
12,11993,1.32324,0.72652,1.11092,0.6523,0.5625,0.62017,0.36907,1.32364,0.72212,1.10389,0.000637,0.000637,0.000637
13,12984,1.31972,0.72226,1.10918,0.68758,0.56961,0.62658,0.37332,1.32246,0.71579,1.09541,0.000604,0.000604,0.000604
14,13974.8,1.31841,0.71735,1.10515,0.70359,0.56891,0.63118,0.37892,1.32032,0.71607,1.08844,0.000571,0.000571,0.000571
15,14965.4,1.31715,0.71446,1.09899,0.70512,0.57143,0.63315,0.37878,1.32247,0.71348,1.09414,0.000538,0.000538,0.000538
16,15956.8,1.31422,0.7091,1.10026,0.69248,0.57172,0.63007,0.37665,1.32317,0.71175,1.10001,0.000505,0.000505,0.000505
17,16947.9,1.31236,0.70568,1.10094,0.64044,0.58027,0.6278,0.37606,1.32147,0.71227,1.09359,0.000472,0.000472,0.000472
18,17938.7,1.30984,0.7035,1.09794,0.70708,0.57504,0.63099,0.37813,1.32214,0.71122,1.0986,0.000439,0.000439,0.000439
19,18929.7,1.30833,0.69918,1.09787,0.69431,0.56994,0.62931,0.37488,1.32105,0.70994,1.09479,0.000406,0.000406,0.000406
20,19920.4,1.30438,0.69445,1.09171,0.66612,0.5879,0.63534,0.3804,1.32182,0.70691,1.09263,0.000373,0.000373,0.000373
21,20911.6,1.30432,0.69221,1.09261,04.69773,0.56992,0.63242,0.37887,1.3225,0.70809,1.09332,0.00034,0.00034,0.00034
22,21902.2,1.30162,0.68825,1.09566,0.68056,0.57571,0.63329,0.37982,1.32268,0.70776,1.09432,0.000307,0.000307,0.000307
23,22893.1,1.29934,0.68574,1.09126,0.69157,0.56902,0.63451,0.37971,1.32348,0.7074,1.09707,0.000274,0.000274,0.000274
24,23884.1,1.29783,0.68323,1.09089,0.68263,0.57482,0.63414,0.3801,1.32516,0.70583,1.09111,0.000241,0.000241,0.000241
25,24875.1,1.2965,0.67722,1.08388,0.68099,0.57275,0.63354,0.38021,1.32525,0.70514,1.08675,0.000208,0.000208,0.000208
26,25865.8,1.29381,0.67532,1.08478,0.69177,0.5707,0.63419,0.37966,1.32523,0.70592,1.08999,0.000175,0.000175,0.000175
27,26856.4,1.29075,0.6722,1.083,0.67974,0.57374,0.63335,0.37938,1.32594,0.70553,1.09226,0.000142,0.000142,0.000142
28,27846.7,1.29211,0.67101,1.08724,0.67991,0.57547,0.63325,0.37891,1.32704,0.70551,1.09434,0.000109,0.000109,0.000109
29,28836.5,1.28888,0.66672,1.0844,0.68464,0.57126,0.63374,0.37878,1.32722,0.70557,1.09493,7.6e-05,7.6e-05,7.6e-05
30,29827.6,1.28853,0.66618,1.08588,0.68121,0.57525,0.63408,0.37944,1.32771,0.70566,1.09575,4.3e-05,4.3e-05,4.3e-05
