epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.864,1.30261,0.95406,1.03597,0.67464,0.41612,0.45341,0.25909,1.22225,0.71698,0.98322,0.000333181,0.000333181,0.000333181
2,614.422,1.24701,0.75391,0.99814,0.70937,0.44009,0.49206,0.28272,1.20767,0.66948,0.9725,0.000653317,0.000653317,0.000653317
3,906.753,1.23722,0.71764,0.99252,0.70949,0.45507,0.50666,0.29289,1.19825,0.6558,0.97788,0.000960254,0.000960254,0.000960254
4,1197.24,1.23097,0.69796,0.98355,0.72871,0.46316,0.52252,0.30123,1.19901,0.65303,0.96088,0.0009406,0.0009406,0.0009406
5,1486.74,1.22749,0.68538,0.98016,0.73054,0.46517,0.52574,0.30365,1.19164,0.64532,0.97161,0.0009208,0.0009208,0.0009208
6,1776.75,1.22109,0.67279,0.97987,0.72765,0.47336,0.52957,0.30726,1.19138,0.63991,0.95705,0.000901,0.000901,0.000901
7,2067.16,1.21439,0.66423,0.97605,0.63866,0.47391,0.5331,0.30996,1.18731,0.63385,0.95731,0.0008812,0.0008812,0.0008812
8,2357.45,1.21104,0.65933,0.9788,0.62872,0.48104,0.53564,0.30997,1.18445,0.63065,0.96413,0.0008614,0.0008614,0.0008614
9,2648.2,1.20837,0.65441,0.97789,0.65709,0.49329,0.54019,0.31318,1.1827,0.62815,0.96163,0.0008416,0.0008416,0.0008416
10,2938.05,1.20448,0.64841,0.97338,0.61012,0.50241,0.54311,0.31519,1.17879,0.62577,0.96184,0.0008218,0.0008218,0.0008218
11,3228.13,1.20239,0.64471,0.97292,0.64581,0.49517,0.54378,0.3154,1.17912,0.62427,0.96038,0.000802,0.000802,0.000802
12,3517.46,1.19946,0.64152,0.96639,0.61949,0.50859,0.54323,0.31607,1.17605,0.62109,0.95362,0.0007822,0.0007822,0.0007822
13,3807.47,1.19521,0.63463,0.96276,0.66224,0.49828,0.54976,0.3197,1.17714,0.61885,0.95267,0.0007624,0.0007624,0.0007624
14,4097.56,1.19482,0.63456,0.96581,0.66843,0.49562,0.55579,0.32376,1.17572,0.61816,0.95351,0.0007426,0.0007426,0.0007426
15,4387.52,1.19083,0.62936,0.96798,0.65161,0.50187,0.55454,0.32308,1.1744,0.61586,0.96405,0.0007228,0.0007228,0.0007228
16,4676.98,1.18847,0.62672,0.96473,0.65418,0.50136,0.55135,0.3218,1.17203,0.61374,0.95696,0.000703,0.000703,0.000703
17,4966.63,1.18616,0.62344,0.96359,0.6566,0.50708,0.55917,0.3267,1.17133,0.61256,0.95174,0.0006832,0.0006832,0.0006832
18,5256.6,1.18436,0.62027,0.96169,0.65784,0.5011,0.55661,0.32534,1.16957,0.61062,0.95501,0.0006634,0.0006634,0.0006634
19,5546.17,1.18338,0.61857,0.96146,0.66271,0.50344,0.55729,0.32491,1.17044,0.61176,0.95802,0.0006436,0.0006436,0.0006436
20,5835.1,1.18226,0.61645,0.95819,0.64052,0.50117,0.55778,0.32471,1.16874,0.60874,0.95007,0.0006238,0.0006238,0.0006238
21,6125.23,1.17905,0.61234,0.95641,0.66616,0.50456,0.56211,0.32793,1.17018,0.60689,0.95199,0.000604,0.000604,0.000604
22,6414.82,1.17729,0.61024,0.95741,0.66437,0.50681,0.56165,0.32791,1.16965,0.6075,0.95111,0.0005842,0.0005842,0.0005842
23,6703.81,1.17491,0.60655,0.95735,0.6055,0.53519,0.55852,0.32632,1.16849,0.60679,0.95336,0.0005644,0.0005644,0.0005644
24,6993.24,1.17507,0.60658,0.95517,0.63947,0.52783,0.56193,0.32723,1.17091,0.60722,0.95231,0.0005446,0.0005446,0.0005446
25,7283.6,1.17224,0.60403,0.95525,0.67107,0.51875,0.56503,0.33097,1.16899,0.60526,0.95449,0.0005248,0.0005248,0.0005248
26,7572.82,1.17019,0.60032,0.95572,0.67401,0.51485,0.57236,0.33705,1.16734,0.60526,0.9574,0.000505,0.000505,0.000505
27,7862.16,1.16776,0.59807,0.95742,0.67602,0.51354,0.56478,0.33008,1.16846,0.60549,0.95873,0.0004852,0.0004852,0.0004852
28,8151.45,1.16566,0.59359,0.95422,0.66729,0.51373,0.56514,0.33031,1.16727,0.60364,0.95325,0.0004654,0.0004654,0.0004654
29,8440.39,1.16581,0.59237,0.95405,0.65626,0.52195,0.5648,0.32991,1.16808,0.60319,0.95544,0.0004456,0.0004456,0.0004456
30,8728.97,1.16391,0.59074,0.95495,0.65703,0.52249,0.56744,0.33278,1.16797,0.60358,0.95506,0.0004258,0.0004258,0.0004258
31,9018.7,1.16211,0.58799,0.95512,0.67769,0.51666,0.56696,0.33157,1.16774,0.60318,0.95723,0.000406,0.000406,0.000406
32,9307.96,1.16038,0.58587,0.95285,0.66459,0.52382,0.56543,0.32985,1.1677,0.60422,0.95492,0.0003862,0.0003862,0.0003862
33,9597.87,1.15682,0.5829,0.94874,0.67836,0.51301,0.56658,0.33196,1.16759,0.60293,0.95315,0.0003664,0.0003664,0.0003664
34,9887.5,1.15596,0.57982,0.94954,0.66573,0.52489,0.56815,0.3325,1.16788,0.60275,0.95414,0.0003466,0.0003466,0.0003466
35,10176.7,1.15566,0.57877,0.94771,0.65726,0.5133,0.56665,0.33173,1.16762,0.6024,0.95291,0.0003268,0.0003268,0.0003268
36,10465.9,1.15241,0.57664,0.94573,0.66651,0.50796,0.56403,0.3304,1.16808,0.60236,0.95245,0.000307,0.000307,0.000307
